ordem,cnpj,nome_fundo,status_scan,fontes_consultadas,status_online,erros_scan,originador,originador_status,originador_natureza,originador_fonte,originador_data,originador_pagina,originador_link,originador_camada,cedente,cedente_status,cedente_natureza,cedente_fonte,cedente_data,cedente_pagina,cedente_link,cedente_camada,sacado_devedor,sacado_devedor_status,sacado_devedor_natureza,sacado_devedor_fonte,sacado_devedor_data,sacado_devedor_pagina,sacado_devedor_link,sacado_devedor_camada,tipo_recebivel,tipo_recebivel_status,tipo_recebivel_natureza,tipo_recebivel_fonte,tipo_recebivel_data,tipo_recebivel_pagina,tipo_recebivel_link,tipo_recebivel_camada,minimo_junior,minimo_junior_status,minimo_junior_natureza,minimo_junior_fonte,minimo_junior_data,minimo_junior_pagina,minimo_junior_link,minimo_junior_camada,minimo_estrutural_total,minimo_estrutural_total_status,minimo_estrutural_total_natureza,minimo_estrutural_total_fonte,minimo_estrutural_total_data,minimo_estrutural_total_pagina,minimo_estrutural_total_link,minimo_estrutural_total_camada,natureza_indice,natureza_indice_status,natureza_indice_natureza,natureza_indice_fonte,natureza_indice_data,natureza_indice_pagina,natureza_indice_link,natureza_indice_camada
21,11230727000181,FIDC GM - VENDA DE VEÍCULOS,concluído,9,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
22,59356753000187,ER - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,concluído,11,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
23,50095909000149,VITA AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,concluído,13,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,"os direitos de crédito, originados e titularizados pel o Cedente, oriundos da venda de Veículos a prazo do Cedente em favor de uma Concessionária, devidamente performados pelo Cedente, formalizados e evidenciados por meio dos Documentos Comprobatórios, com tudo o que os referidos direitos de crédito representam, incluindo juros, multas, ajustes monetários, garantias, outros acessórios e demais direitos assegurados ao Cedente",encontrado_explicito,,1074512,30/12/2025,17,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1074512,regulamento,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
24,62393829000159,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS MEDICI I - RESPONSABILIDADE LIMITADA,concluído,1,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
25,52651831000127,HYUNDAI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,concluído,14,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,"os direitos de crédito , originados e titularizados pela Cedente, oriundos da venda de Veículos a prazo do Cedente em favor de uma Concessionária, devidamente performados pelo Cedente, formalizados e evidenciados por meio dos Documentos Comprobatórios, com tudo o que os referidos direitos de crédito representam, 9/88",encontrado_explicito,,668759,24/10/2023,10,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=668759,regulamento,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
26,09217024000171,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRANQUIAS - RESPONSABILIDADE LIMITADA,concluído,8,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
27,34218864000104,CLASSE ÚNICA MULTIMERCADO DO FUNDO DE INVESTIMENTO FINANCEIRO MOTO-HONDA,concluído,12,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
28,28279473000199,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AUTO-HONDA,concluído,9,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
29,29492605000129,GAZIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS - RESPONSABILIDADE LIMITADA,concluído,0,não solicitado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
30,40801446000130,EB VESTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,concluído,14,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
