chunk_id,extracted_at_utc,documents_scanned,participant_candidates,participant_accepted,participant_suppressed,participant_funds,participant_with_name,participant_with_cnpj,participant_with_page,criteria_candidates,criteria_funds,criteria_with_threshold,criteria_with_page,subordination_candidates,subordination_funds,avg_participant_confidence,avg_criteria_confidence,participant_types,criteria_keys,rerun_command
doc-0079,2026-07-10T17:23:08+00:00,100,30,27,3,6,22,24,30,179,15,10,179,7,2,0.775,0.816,cedente_originador | sacado_devedor,eligibility_rule | subordination_ratio_min,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0079
doc-0080,2026-07-10T17:23:10+00:00,100,1,0,1,1,0,1,1,81,8,31,81,13,3,0.3,0.8363,cedente_originador,eligibility_rule | subordination_ratio_min,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0080
doc-0081,2026-07-10T17:23:14+00:00,100,45,29,16,8,33,40,45,253,11,66,253,44,2,0.6069,0.8269,cedente_originador | consultora,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0081
doc-0082,2026-07-10T17:23:18+00:00,100,25,9,16,5,4,25,25,231,8,118,231,63,6,0.4748,0.8433,cedente_originador | sacado_devedor | consultora,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0082
doc-0083,2026-07-10T17:23:22+00:00,100,15,2,13,4,6,15,15,278,8,65,278,33,4,0.3473,0.8297,cedente_originador | sacado_devedor | consultora,subordination_not_applicable | eligibility_rule | subordination_ratio_min | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0083
doc-0084,2026-07-10T17:23:27+00:00,100,76,44,32,7,46,74,76,253,9,144,253,113,6,0.6318,0.8516,sacado_devedor | cedente_originador | consultora,eligibility_rule | subordination_ratio_min | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0084
doc-0085,2026-07-10T17:23:30+00:00,100,11,6,5,4,6,11,11,202,9,52,202,38,2,0.56,0.8297,cedente_originador | consultora,concentration_limit | subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0085
doc-0086,2026-07-10T17:23:33+00:00,100,21,9,12,4,10,19,21,117,10,46,117,5,1,0.47,0.8333,consultora | cedente_originador | sacado_devedor,eligibility_rule | subordination_ratio_min | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0086
doc-0087,2026-07-10T17:23:37+00:00,100,28,16,12,7,12,27,28,197,9,71,197,15,3,0.5414,0.8352,consultora | sacado_devedor | cedente_originador,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0087
doc-0088,2026-07-10T17:23:41+00:00,100,48,22,26,7,21,48,48,234,9,44,234,24,5,0.5292,0.8255,cedente_originador | consultora | sacado_devedor,subordination_not_applicable | eligibility_rule | concentration_limit | subordination_ratio_min,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0088
doc-0089,2026-07-10T17:23:46+00:00,100,27,6,21,4,17,27,27,310,10,153,310,120,5,0.483,0.8444,cedente_originador | sacado_devedor | consultora,subordination_ratio_min | concentration_limit | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0089
doc-0090,2026-07-10T17:23:51+00:00,100,1,0,1,1,0,1,1,275,6,103,275,29,2,0.23,0.8393,consultora,subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0090
doc-0091,2026-07-10T17:23:55+00:00,100,30,18,12,6,23,29,30,180,10,76,180,47,4,0.68,0.8393,cedente_originador | consultora,subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0091
