measure,ranking_code,ranking_label,window,participant,rank,value_brl_or_count,share
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,BAMBOO SEC,35.0,65000000.0,0.00025309505
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,TERRA,36.0,60056092.49,0.00023384461
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,EQI Investimentos CTVM,37.0,58087000.0,0.00022617742
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,EXES SERVIÇOS FINANCEIROS,38.0,40000000.0,0.0001557508
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,BANCO BMG,39.0,25000000.0,9.734425e-05
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,RABOBANK,40.0,22864357.58,8.902855e-05
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,ANDBANK,41.0,12024499.99,4.682064e-05
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,WARREN,42.0,10885000.0,4.238369e-05
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,TORO INVESTIMENTOS,43.0,3049500.230000001,1.187405e-05
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,AZIMUT,44.0,2283000.0,8.88948e-06
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,UNICRED DTVM,45.0,2223999.07,8.65974e-06
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,C6 CTVM,46.0,2130499.96,8.29568e-06
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CCTVM LTDA,47.0,709999.97,2.76458e-06
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,ATIVA,48.0,112500.0,4.3805e-07
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,JIVE HIGH YIELD GESTÃO DE RECURSOS LTDA.,49.0,11064.85,4.308e-08
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,ITAU BBA,1.0,6040720173.49,0.21767289026
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,BRADESCO BBI,2.0,5975145752.42,0.21530996442
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,BTG PACTUAL,3.0,2198720043.6,0.07922925297
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,CEF,4.0,2008100000.0,0.07236040048
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,UBS BB,5.0,1739719421.48,0.06268950453
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,VOTORANTIM,6.0,1591056842.0,0.05733255827
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,ABC BRASIL,7.0,1453425000.0,0.05237309649
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,XP INVESTIMENTOS,8.0,1402000922.49,0.05052006784
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,SANTANDER,9.0,1379304054.16,0.04970220295
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,SAFRA,10.0,1134576525.8700001,0.0408836272
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,BB-BI,11.0,914617419.2699999,0.03295756324
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,INTER,12.0,583767158.73,0.02103561844
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,BR PARTNERS,13.0,377203788.47999996,0.01359225995
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,M7 IB,14.0,236443687.0,0.00852007364
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,BOCOM BBM,15.0,232719506.66000003,0.00838587555
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,DAYCOVAL,16.0,147072864.57,0.00529966206
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,BNDES,17.0,130000000.0,0.00468445399
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,MAX CAPITAL MARKETS,18.0,100000000.0,0.00360342615
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,One Corporate,19.0,67841310.0,0.0024446115
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,BAMBOO SEC,20.0,20000000.0,0.00072068523
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,GENIAL CV,21.0,8881551.68,0.00032004016
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,ANDBANK,22.0,4023500.0,0.00014498385
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,WARREN,23.0,3469500.0,0.00012502087
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,OPEA SECURITIZADORA,24.0,1500000.0,5.405139e-05
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,UNICRED DTVM,25.0,1021500.0,3.6809e-05
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,C6 CTVM,26.0,25000.0,9.0086e-07
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,JIVE HIGH YIELD GESTÃO DE RECURSOS LTDA.,27.0,11064.85,3.9871e-07
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,ARCHX CAPITAL,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,ASA ASSET 2 GESTÃO DE RECURSOS LTDA,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,ATIVA,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,AZIMUT,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,BANCO BMG,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,BANCO BS2,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,BANCO SUMITOMO MITSUI BRASILEIRO,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,BNP PARIBAS,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,CANAL COMPANHIA DE SECURITIZAÇÃO,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,CITIGROUP,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,CREDIT AGRICOLE,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,EQI Investimentos CTVM,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,EXES SERVIÇOS FINANCEIROS,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,JGP FINANCIAL ADVISORY,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,KEA CAPITAL MARKETS,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CCTVM LTDA,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,ORIZ ASSESSORIA FINANCEIRA LTDA,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,RABOBANK,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,RB CAPITAL DTVM,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,TERRA,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_3_meses,TORO INVESTIMENTOS,,0.0,
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,acumulado_ano,BRADESCO BBI,1.0,925333000.0,0.68135677729
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,acumulado_ano,UBS BB,2.0,150500000.0,0.11081869444
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,acumulado_ano,BTG PACTUAL,3.0,119167000.0,0.08774705223
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,acumulado_ano,ITAU BBA,4.0,103074111.60000001,0.07589726563
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,acumulado_ano,CEF,5.0,60000000.0,0.04418021041
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,acumulado_ano,DAYCOVAL,,0.0,
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,ultimos_12_meses,BRADESCO BBI,1.0,4196333000.0,0.49528021533
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,ultimos_12_meses,ITAU BBA,2.0,3148074111.6,0.37155745835
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,ultimos_12_meses,UBS BB,3.0,618500000.0,0.07299964354
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,ultimos_12_meses,DAYCOVAL,4.0,330570000.0,0.03901615548
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,ultimos_12_meses,BTG PACTUAL,5.0,119167000.0,0.01406491273
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,ultimos_12_meses,CEF,6.0,60000000.0,0.00708161457
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,ultimos_3_meses,UBS BB,1.0,150500000.0,0.39807010156
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,ultimos_3_meses,ITAU BBA,2.0,103074111.60000001,0.27262938254
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,ultimos_3_meses,BRADESCO BBI,3.0,64500000.0,0.1706014721
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,ultimos_3_meses,CEF,4.0,60000000.0,0.15869904381
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,ultimos_3_meses,BTG PACTUAL,,0.0,
distribuicao_valor,1.1,Renda Fixa - Curto Prazo,ultimos_3_meses,DAYCOVAL,,0.0,
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,ITAU BBA,1.0,12369672566.18,0.23379543539
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,BTG PACTUAL,2.0,10074147048.56,0.19040840272
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,BRADESCO BBI,3.0,8876091212.019999,0.16776431214
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,SANTANDER,4.0,5313681153.719999,0.1004322784
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,XP INVESTIMENTOS,5.0,4527289171.699999,0.08556892168
