chunk_id,extracted_at_utc,documents,ready_docs,cached_docs,pdf_docs,json_docs,text_cache_docs,ocr_ready_docs,ocr_required_docs,error_docs,page_count,pages_processed,pages_with_text,text_chars,cache_bytes,avg_confidence,status_mix,source_methods,sample_documents,rerun_command
doc-0016,2026-07-09T19:37:37+00:00,250,250,250,116,105,29,0,0,0,3524,3658,3655,11923985,3318340,0.8688,text_ready | structured_ready,pypdf_all_pages | text_cache_utf-8 | json_passthrough_utf-8,"1129298_regulamento_regulamento_1129298_2026-03-05_2026-03-05.pdf, 1138961_regulamento_regulamento_1138961_2026-03-12_2026-03-12.pdf, 65343842000191_1138961_regulamento_regulamento_1138961_2026-03-12_2026-03-12.txt, 1127556_regulamento_regulamento_1127556_2026-03-02_2026-03-02.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0016
doc-0017,2026-07-09T19:15:09+00:00,250,250,250,60,183,7,0,0,0,1506,1696,1696,5644819,1577871,0.9112,structured_ready | text_ready,json_passthrough_utf-8 | pypdf_all_pages | text_cache_utf-8,"1176315.local.json, 1179056.local.json, 1179144.local.json, 1179147.local.json",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0017
doc-0018,2026-07-09T19:35:47+00:00,250,250,250,76,147,27,0,0,0,4917,5091,5083,14152929,3926679,0.8936,structured_ready | text_ready,json_passthrough_utf-8 | pypdf_all_pages | text_cache_utf-8,"434919.local.json, 468340.local.json, 468341.local.json, 480997.local.json",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0018
doc-0019,2026-07-09T19:32:07+00:00,250,250,250,65,165,20,0,0,0,4158,4343,4339,13389536,3748874,0.903,structured_ready | text_ready,json_passthrough_utf-8 | pypdf_all_pages | text_cache_utf-8,"1203913.local.json, 174730.local.json, 174749.local.json, 181768.local.json",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0019
doc-0020,2026-07-09T19:34:13+00:00,250,250,250,70,156,24,0,0,0,2800,2980,2979,11821260,3094057,0.8984,text_ready | structured_ready,text_cache_utf-8 | pypdf_all_pages | json_passthrough_utf-8,"39680495000182_1106634_regulamento_regulamento_1106634_2026-02-03_2026-02-03.txt, 39703077000163_901613_regulamento_regulamento_901613_2025-05-05_2025-05-05.txt, 39722215000151_1186708_regulamento_regulamento_1186708_2026-05-04_2026-05-04.txt, 39769235000188_1023665_regulamento_regulamento_1023665_2025-10-29_2025-10-29.txt",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0020
doc-0021,2026-07-09T19:12:57+00:00,220,220,220,46,137,37,0,0,0,2339,2513,2513,10262183,2866221,0.9018,structured_ready | text_ready,json_passthrough_utf-8 | pypdf_all_pages | text_cache_utf-8,"1141598.local.json, 1142353.local.json, 1154936.local.json, 1158616.local.json",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0021
doc-0022,2026-07-09T19:14:00+00:00,192,192,192,49,106,37,0,0,0,2317,2460,2456,9650828,2719503,0.8924,text_ready | structured_ready,pypdf_all_pages | text_cache_utf-8 | json_passthrough_utf-8,"675392_regulamento_regulamento_675392_2024-05-03_2024-05-03.pdf, 49776300000156_917087_regulamento_regulamento_917087_2025-05-23_2025-05-23.txt, 669068_regulamento_regulamento_669068_2024-05-24_2024-05-24.pdf, 49793609000154_669068_regulamento_regulamento_669068_2024-05-24_2024-05-24.txt",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0022
doc-0023,2026-07-09T20:32:25+00:00,201,201,201,57,108,36,1,0,0,2909,3053,3053,11903490,3282340,0.8903,text_ready | ocr_ready | structured_ready,pypdf_all_pages | text_cache_utf-8 | macos_vision_ocr_all_pages | json_passthrough_utf-8,"613176_regulamento_regulamento_613176_2024-02-29_2024-02-29.pdf, 53189745000107_613176_regulamento_regulamento_613176_2024-02-29_2024-02-29.txt, 617809_regulamento_regulamento_617809_2024-03-07_2024-03-07.pdf, 723476_regulamento_regulamento_723476_2024-08-09_2024-08-09.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0023
doc-0024,2026-07-09T19:13:35+00:00,159,159,159,47,78,34,0,0,0,1983,2095,2091,7885591,2286023,0.8843,text_ready | structured_ready,pypdf_all_pages | text_cache_utf-8 | json_passthrough_utf-8,"632685_regulamento_regulamento_632685_2024-04-01_2024-04-01.pdf, 54543217000177_632685_regulamento_regulamento_632685_2024-04-01_2024-04-01.txt, 634435_assembleia_assembleia_634435_2024-04-01.pdf, 664160_emissao_emissao_664160_2024-04-23.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0024
doc-0025,2026-07-09T19:12:10+00:00,85,85,85,23,27,35,0,0,0,1054,1116,1116,5402497,1572608,0.8682,text_ready | structured_ready,pypdf_all_pages | text_cache_utf-8 | json_passthrough_utf-8,"741609_regulamento_regulamento_741609_2024-09-18_2024-09-18.pdf, 55486394000121_741609_regulamento_regulamento_741609_2024-09-18_2024-09-18.txt, 688902_regulamento_regulamento_688902_2024-06-27_2024-06-27.pdf, 691674_assembleia_assembleia_691674_2024-07-03.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0025
doc-0026,2026-07-09T19:12:23+00:00,115,115,115,26,52,37,0,0,0,1040,1129,1127,6746512,1923146,0.8839,text_ready | structured_ready,text_cache_utf-8 | pypdf_all_pages | json_passthrough_utf-8,"57182268000109_1111438_regulamento_regulamento_1111438_2026-02-04_2026-02-04.txt, 770058_regulamento_regulamento_770058_2024-10-30_2024-10-30.pdf, 57182898000183_770058_regulamento_regulamento_770058_2024-10-30_2024-10-30.txt, 57186320000103_940775_regulamento_regulamento_940775_2025-07-07_2025-07-07.txt",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0026
doc-0027,2026-07-09T19:12:10+00:00,44,44,44,0,40,4,0,0,0,0,44,44,1166866,322501,0.9409,structured_ready | text_ready,json_passthrough_utf-8 | text_cache_utf-8,"1005989.local.json, 1005991.local.json, 1007124.local.json, 1018871.local.json",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0027
doc-0028,2026-07-09T22:17:10+00:00,100,100,100,100,0,0,0,0,0,2943,2943,2941,7082904,2064763,0.8,text_ready,pypdf_all_pages,"883631_assembleia_assembleia_883631_2025-05-02.pdf, 908279_assembleia_assembleia_908279_2025-05-02.pdf, 974566_emissao_emissao_974566_2025-08-12.pdf, 954689_evento_evento_954689_2025-07-28.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0028
doc-0029,2026-07-09T22:20:12+00:00,100,100,100,100,0,0,0,0,0,2326,2326,2326,5541250,1604467,0.8,text_ready,pypdf_all_pages,"243723_regulamento_regulamento_243723_2021-12-07_2021-12-07.pdf, 243292_regulamento_regulamento_243292_2021-12-01_2021-12-01.pdf, 1136756_emissao_emissao_1136756_2026-03-13_2026-03-13.pdf, 804585_regulamento_regulamento_804585_2024-12-17_2024-12-17.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0029
doc-0030,2026-07-09T22:20:58+00:00,100,100,100,100,0,0,1,0,0,2611,2611,2611,5691061,1687865,0.8015,text_ready | ocr_ready,pypdf_all_pages | macos_vision_ocr_all_pages,"893584_emissao_emissao_893584_2025-05-02_2025-05-02.pdf, 837861_regulamento_regulamento_837861_2025-02-11_2025-02-11.pdf, 1214382_emissao_emissao_1214382_2026-06-08_2026-06-08.pdf, 1111728_emissao_emissao_1111728_2026-02-12_2026-02-12.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0030
