competencia,segmento,nivel,valor
2014-01,Marcas e patentes,top,0.0
2014-01,Financeiro: credito pessoal,sub,2064091857.4299998
2014-01,Financeiro: consignado,sub,8653389649.59
2014-01,Financeiro: credito corporativo,sub,596084884.99
2014-01,Financeiro: middle market,sub,1258413643.82
2014-01,Financeiro: veiculos,sub,6667363739.99
2014-01,Financeiro: imobiliario empresarial,sub,317587664.82
2014-01,Financeiro: imobiliario residencial,sub,579728776.1700001
2014-01,Financeiro: outros,sub,2616156667.0299997
2014-02,Industrial,top,32002395298.4
2014-02,Imobiliario,top,303041244.63
2014-02,Comercial,top,7168683273.459999
2014-02,Servicos,top,4758785182.16
2014-02,Agronegocio,top,1350546668.6599998
2014-02,Financeiro,top,22216805772.93
2014-02,Cartao de credito,top,602292504.91
2014-02,Factoring,top,3299734552.3700004
2014-02,Setor publico,top,1985525344.68
2014-02,Acoes judiciais,top,2432269058.98
2014-02,Marcas e patentes,top,0.0
2014-02,Financeiro: credito pessoal,sub,1981282247.24
2014-02,Financeiro: consignado,sub,7315678956.780001
2014-02,Financeiro: credito corporativo,sub,594256122.88
2014-02,Financeiro: middle market,sub,826367948.6600001
2014-02,Financeiro: veiculos,sub,7674442836.26
2014-02,Financeiro: imobiliario empresarial,sub,311222663.62
2014-02,Financeiro: imobiliario residencial,sub,418876590.83000004
2014-02,Financeiro: outros,sub,3094678406.6600003
2014-03,Industrial,top,31983803573.05
2014-03,Imobiliario,top,322284200.83000004
2014-03,Comercial,top,7371406811.95
2014-03,Servicos,top,5693554969.65
2014-03,Agronegocio,top,1359599627.6399999
2014-03,Financeiro,top,22326275102.27
2014-03,Cartao de credito,top,613645257.77
2014-03,Factoring,top,3302141307.13
2014-03,Setor publico,top,1817208121.35
2014-03,Acoes judiciais,top,2292049529.4700003
2014-03,Marcas e patentes,top,14606741.85
2014-03,Financeiro: credito pessoal,sub,1935443459.6399999
2014-03,Financeiro: consignado,sub,7264555552.750001
2014-03,Financeiro: credito corporativo,sub,591259247.37
2014-03,Financeiro: middle market,sub,968325225.16
2014-03,Financeiro: veiculos,sub,7610271655.049999
2014-03,Financeiro: imobiliario empresarial,sub,314709855.11
2014-03,Financeiro: imobiliario residencial,sub,568571808.52
2014-03,Financeiro: outros,sub,3073138298.67
2014-04,Industrial,top,28154855738.789997
2014-04,Imobiliario,top,361330110.54999995
2014-04,Comercial,top,7321162563.440001
2014-04,Servicos,top,5443950648.809999
2014-04,Agronegocio,top,1303852741.3899999
2014-04,Financeiro,top,23125400778.960003
2014-04,Cartao de credito,top,570453140.2599999
2014-04,Factoring,top,3640571545.6
2014-04,Setor publico,top,1801771984.95
2014-04,Acoes judiciais,top,2536681886.7700005
2014-04,Marcas e patentes,top,0.0
2014-04,Financeiro: credito pessoal,sub,1854850490.4299998
2014-04,Financeiro: consignado,sub,8285749395.429999
2014-04,Financeiro: credito corporativo,sub,591930255.6800001
2014-04,Financeiro: middle market,sub,1198962059.7800002
2014-04,Financeiro: veiculos,sub,7373696451.06
2014-04,Financeiro: imobiliario empresarial,sub,318711083.17
2014-04,Financeiro: imobiliario residencial,sub,670578923.89
2014-04,Financeiro: outros,sub,2830922119.52
2014-05,Industrial,top,28180294785.250008
2014-05,Imobiliario,top,377275534.38
2014-05,Comercial,top,7877989195.69
2014-05,Servicos,top,5529160195.49
2014-05,Agronegocio,top,1265432255.08
2014-05,Financeiro,top,22393156188.79
2014-05,Cartao de credito,top,536047082.87000006
2014-05,Factoring,top,3624276674.9100003
2014-05,Setor publico,top,1785140338.52
2014-05,Acoes judiciais,top,1844908825.7600002
2014-05,Marcas e patentes,top,0.0
2014-05,Financeiro: credito pessoal,sub,1750802638.1900003
2014-05,Financeiro: consignado,sub,8090349895.629999
2014-05,Financeiro: credito corporativo,sub,485120977.59999996
2014-05,Financeiro: middle market,sub,1158909506.8999999
2014-05,Financeiro: veiculos,sub,7111059196.66
2014-05,Financeiro: imobiliario empresarial,sub,322994419.19
2014-05,Financeiro: imobiliario residencial,sub,645721860.06
2014-05,Financeiro: outros,sub,2828197694.5600004
2014-06,Industrial,top,23788839257.31
2014-06,Imobiliario,top,405519056.35
2014-06,Comercial,top,8130924502.89
2014-06,Servicos,top,6095329389.02
2014-06,Agronegocio,top,1277251059.27
2014-06,Financeiro,top,22601432684.480003
2014-06,Cartao de credito,top,947423449.0999999
2014-06,Factoring,top,3398779489.8900003
2014-06,Setor publico,top,1976045323.2200003
2014-06,Acoes judiciais,top,2544831574.66
2014-06,Marcas e patentes,top,0.0
2014-06,Financeiro: credito pessoal,sub,1685192208.82
2014-06,Financeiro: consignado,sub,7033855616.22
2014-06,Financeiro: credito corporativo,sub,1277012489.1
2014-06,Financeiro: middle market,sub,1499570396.7
2014-06,Financeiro: veiculos,sub,7125652851.690001
2014-06,Financeiro: imobiliario empresarial,sub,353896741.53999996
2014-06,Financeiro: imobiliario residencial,sub,765741532.39
2014-06,Financeiro: outros,sub,2860510848.02
2014-07,Industrial,top,27059406976.270004
2014-07,Imobiliario,top,392401968.56
2014-07,Comercial,top,8008828463.4800005
2014-07,Servicos,top,5994332715.45
2014-07,Agronegocio,top,1260837284.4499998
2014-07,Financeiro,top,18734593280.190002
2014-07,Cartao de credito,top,933449013.81
2014-07,Factoring,top,3761183595.52
2014-07,Setor publico,top,1974103050.02
2014-07,Acoes judiciais,top,2586325107.67
2014-07,Marcas e patentes,top,0.0
2014-07,Financeiro: credito pessoal,sub,1589836009.67
2014-07,Financeiro: consignado,sub,4537145833.76
2014-07,Financeiro: credito corporativo,sub,1288554605.1599998
2014-07,Financeiro: middle market,sub,935016512.5799999
2014-07,Financeiro: veiculos,sub,6398401712.940001
2014-07,Financeiro: imobiliario empresarial,sub,374773335.18
2014-07,Financeiro: imobiliario residencial,sub,637430170.34
2014-07,Financeiro: outros,sub,2973435100.56
2014-08,Industrial,top,22683422146.000004
2014-08,Imobiliario,top,353512764.72
2014-08,Comercial,top,10596117254.74
2014-08,Servicos,top,6080508474.379999
2014-08,Agronegocio,top,1165290986.48
2014-08,Financeiro,top,19660585669.129997
2014-08,Cartao de credito,top,858910468.89
2014-08,Factoring,top,3935517140.7700005
2014-08,Setor publico,top,1769039409.06
2014-08,Acoes judiciais,top,2589935239.43
2014-08,Marcas e patentes,top,0.0
2014-08,Financeiro: credito pessoal,sub,805394367.52
2014-08,Financeiro: consignado,sub,4948583470.93
2014-08,Financeiro: credito corporativo,sub,1292502822.59
2014-08,Financeiro: middle market,sub,1141556944.89
2014-08,Financeiro: veiculos,sub,6148246560.42
2014-08,Financeiro: imobiliario empresarial,sub,377021778.56
2014-08,Financeiro: imobiliario residencial,sub,679049087.5
2014-08,Financeiro: outros,sub,4268230636.7200003
2014-09,Industrial,top,22512188663.22
2014-09,Imobiliario,top,372328541.72
2014-09,Comercial,top,8564858585.079999
2014-09,Servicos,top,6511829359.83
2014-09,Agronegocio,top,1318724669.37
2014-09,Financeiro,top,21469925163.059998
2014-09,Cartao de credito,top,937030995.9300001
2014-09,Factoring,top,4052372575.61
2014-09,Setor publico,top,1774837756.43
2014-09,Acoes judiciais,top,2624535950.5499997
2014-09,Marcas e patentes,top,0.0
2014-09,Financeiro: credito pessoal,sub,1601035056.85
2014-09,Financeiro: consignado,sub,5215619533.75
2014-09,Financeiro: credito corporativo,sub,1338795033.99
2014-09,Financeiro: middle market,sub,1132734539.42
