competencia,publication_status,status_reason,n_veiculos,pl_total,previous_vehicles,previous_pl_brl,vehicle_ratio_vs_previous,pl_ratio_vs_previous,tab1_coverage,tab2_coverage,x1_coverage,x2_coverage,x4_coverage,tab7_coverage,generated_at_utc
2018-12,completa,competência histórica consolidada,890,141570227292.01,882.0,136339190820.23,1.0090702947845804,1.0383678122211932,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2019-01,completa,competência histórica consolidada,880,147968258468.12,890.0,141570227292.01,0.9887640449438202,1.045193338306317,1.0238636363636364,0.884090909090909,1.0238636363636364,1.0238636363636364,1.0238636363636364,1.0238636363636364,2026-07-16T03:26:27+00:00
2019-02,completa,competência histórica consolidada,898,170657614687.82,880.0,147968258468.12,1.0204545454545455,1.1533393476046654,1.0278396436525612,0.8875278396436526,1.0278396436525612,1.0278396436525612,1.0278396436525612,1.0278396436525612,2026-07-16T03:26:27+00:00
2019-03,completa,competência histórica consolidada,911,166290656905.68,898.0,170657614687.82,1.0144766146993318,0.9744109995318498,1.0285400658616906,0.8880351262349067,1.0285400658616906,1.0285400658616906,1.0285400658616906,1.0285400658616906,2026-07-16T03:26:27+00:00
2019-04,completa,competência histórica consolidada,921,162341839533.75,911.0,166290656905.68,1.0109769484083424,0.9762535223240488,1.026058631921824,0.8827361563517915,1.026058631921824,1.026058631921824,1.026058631921824,1.026058631921824,2026-07-16T03:26:27+00:00
2019-05,completa,competência histórica consolidada,925,201620409555.89,921.0,162341839533.75,1.004343105320304,1.2419497655992386,1.0291891891891891,0.8810810810810811,1.0291891891891891,1.0291891891891891,1.0291891891891891,1.0291891891891891,2026-07-16T03:26:27+00:00
2019-06,completa,competência histórica consolidada,938,216690282904.89,925.0,201620409555.89,1.0140540540540541,1.0747437889953426,1.0245202558635391,0.8624733475479744,1.0245202558635391,1.0245202558635391,1.0245202558635391,1.0245202558635391,2026-07-16T03:26:27+00:00
2019-07,completa,competência histórica consolidada,945,212138335219.54,938.0,216690282904.89,1.007462686567164,0.9789933003717202,1.0211640211640212,0.8772486772486773,1.0211640211640212,1.0211640211640212,1.0211640211640212,1.0211640211640212,2026-07-16T03:26:27+00:00
2019-08,completa,competência histórica consolidada,969,212613887362.29,945.0,212138335219.54,1.0253968253968253,1.0022417077151937,1.0185758513931888,0.8565531475748194,1.0185758513931888,1.0185758513931888,1.0185758513931888,1.0185758513931888,2026-07-16T03:26:27+00:00
2019-09,completa,competência histórica consolidada,992,231201780354.10995,969.0,212613887362.29,1.023735810113519,1.0874255826955768,1.0161290322580645,0.8477822580645161,1.0161290322580645,1.0161290322580645,1.0161290322580645,1.0161290322580645,2026-07-16T03:26:27+00:00
2019-10,completa,competência histórica consolidada,1004,234211985847.69,992.0,231201780354.10995,1.0120967741935485,1.0130198196958933,1.0179282868525896,0.8565737051792829,1.0179282868525896,1.0179282868525896,1.0179282868525896,1.0179282868525896,2026-07-16T03:26:27+00:00
2019-11,completa,competência histórica consolidada,1020,242348755878.31,1004.0,234211985847.69,1.0159362549800797,1.0347410488031616,1.0147058823529411,0.8686274509803922,1.0147058823529411,1.0147058823529411,1.0147058823529411,1.0147058823529411,2026-07-16T03:26:27+00:00
2019-12,completa,competência histórica consolidada,1042,237443419707.87,1020.0,242348755878.31,1.0215686274509803,0.9797591856716479,1.0259117082533589,0.8675623800383877,1.0259117082533589,1.0259117082533589,1.0259117082533589,1.0259117082533589,2026-07-16T03:26:27+00:00
2020-01,completa,competência histórica consolidada,1052,231083445014.66,1042.0,237443419707.87,1.0095969289827256,0.9732147780678245,1.0247148288973384,0.9334600760456274,1.0247148288973384,1.0247148288973384,1.0247148288973384,1.0247148288973384,2026-07-16T03:26:27+00:00
2020-02,completa,competência histórica consolidada,1061,236651704396.88,1052.0,231083445014.66,1.008555133079848,1.0240963145666568,1.0122525918944392,0.9236569274269556,1.0122525918944392,1.0122525918944392,1.0122525918944392,1.0122525918944392,2026-07-16T03:26:27+00:00
2020-03,completa,competência histórica consolidada,1070,242883196486.54,1061.0,236651704396.88,1.0084825636192272,1.0263319129923079,1.0149532710280371,0.9233644859813084,1.0149532710280371,1.0149532710280371,1.0149532710280371,1.0149532710280371,2026-07-16T03:26:27+00:00
2020-04,completa,competência histórica consolidada,1077,230695668449.15997,1070.0,242883196486.54,1.0065420560747664,0.9498214441604838,1.0157845868152275,0.9257195914577532,1.0157845868152275,1.0157845868152275,1.0157845868152275,1.0157845868152275,2026-07-16T03:26:27+00:00
2020-05,completa,competência histórica consolidada,1088,225973116494.68,1077.0,230695668449.15997,1.0102135561745589,0.9795290826818418,1.0165441176470589,0.9375,1.0165441176470589,1.0165441176470589,1.0165441176470589,1.0165441176470589,2026-07-16T03:26:27+00:00
2020-06,completa,competência histórica consolidada,1091,225542732796.35004,1088.0,225973116494.68,1.0027573529411764,0.9980954207960393,1.0164986251145738,0.8945921173235564,1.0164986251145738,1.0164986251145738,1.0164986251145738,1.0164986251145738,2026-07-16T03:26:27+00:00
2020-07,completa,competência histórica consolidada,1115,225172200448.61,1091.0,225542732796.35004,1.0219981668194318,0.9983571523535869,1.0143497757847533,0.8932735426008969,1.0143497757847533,1.0143497757847533,1.0143497757847533,1.0143497757847533,2026-07-16T03:26:27+00:00
2020-08,completa,competência histórica consolidada,1129,225182168425.62,1115.0,225172200448.61,1.0125560538116591,1.0000442682399966,1.0150575730735163,0.9468556244464128,1.0150575730735163,1.0150575730735163,1.0150575730735163,1.0150575730735163,2026-07-16T03:26:27+00:00
2020-09,completa,competência histórica consolidada,1144,230111885352.76,1129.0,225182168425.62,1.0132860938883967,1.0218921283226223,1.0174825174825175,0.9562937062937062,1.0174825174825175,1.0174825174825175,1.0174825174825175,1.0174825174825175,2026-07-16T03:26:27+00:00
2020-10,completa,competência histórica consolidada,1151,217425723839.76,1144.0,230111885352.76,1.006118881118881,0.9448695946602141,1.0199826238053866,0.9565595134665508,1.0199826238053866,1.0199826238053866,1.0199826238053866,1.0199826238053866,2026-07-16T03:26:27+00:00
2020-11,completa,competência histórica consolidada,1198,214070335329.26,1151.0,217425723839.76,1.0408340573414423,0.9845676562494837,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2020-12,completa,competência histórica consolidada,1230,217765239141.36,1198.0,214070335329.26,1.026711185308848,1.0172602327474138,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2021-01,completa,competência histórica consolidada,1224,216010298710.05005,1230.0,217765239141.36,0.9951219512195122,0.9919411360682283,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2021-02,completa,competência histórica consolidada,1234,223091603475.12,1224.0,216010298710.05005,1.0081699346405228,1.0327822553246646,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2021-03,completa,competência histórica consolidada,1273,246564478206.17,1234.0,223091603475.12,1.0316045380875203,1.1052163074065124,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2021-04,completa,competência histórica consolidada,1295,267398646168.59003,1273.0,246564478206.17,1.0172820109976433,1.0844978486519825,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2021-05,completa,competência histórica consolidada,1338,281722345080.47003,1295.0,267398646168.59003,1.0332046332046332,1.053566834077571,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2021-06,completa,competência histórica consolidada,1369,297768386704.68994,1338.0,281722345080.47003,1.0231689088191331,1.0569569361622224,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2021-07,completa,competência histórica consolidada,1383,291917477115.07996,1369.0,297768386704.68994,1.0102264426588752,0.9803508033396017,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2021-08,completa,competência histórica consolidada,1424,297461584263.74,1383.0,291917477115.07996,1.029645697758496,1.0189920357062912,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2021-09,completa,competência histórica consolidada,1456,303933333049.2,1424.0,297461584263.74,1.0224719101123596,1.021756586826089,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2021-10,completa,competência histórica consolidada,1478,309262607908.81,1456.0,303933333049.2,1.01510989010989,1.0175343546762188,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2021-11,completa,competência histórica consolidada,1493,330582077353.89,1478.0,309262607908.81,1.010148849797023,1.0689364601470552,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2021-12,completa,competência histórica consolidada,1547,308945976310.86,1493.0,330582077353.89,1.0361687876758205,0.9345515001411633,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2022-01,completa,competência histórica consolidada,1553,307117656465.77,1547.0,308945976310.86,1.0038784744667097,0.9940820726428549,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2022-02,completa,competência histórica consolidada,1578,312193135881.69006,1553.0,307117656465.77,1.0160978750804894,1.0165261726542438,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2022-03,completa,competência histórica consolidada,1607,327621389261.48,1578.0,312193135881.69006,1.0183776932826363,1.04941893849209,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2022-04,completa,competência histórica consolidada,1646,382699722064.61,1607.0,327621389261.48,1.0242688238954574,1.16811580259545,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2022-05,completa,competência histórica consolidada,1665,367886962052.29,1646.0,382699722064.61,1.011543134872418,0.961294040318589,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2022-06,completa,competência histórica consolidada,1700,364276358060.8001,1665.0,367886962052.29,1.021021021021021,0.9901855614253144,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2022-07,completa,competência histórica consolidada,1735,345925027882.5,1700.0,364276358060.8001,1.0205882352941176,0.9496225056273425,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2022-08,completa,competência histórica consolidada,1767,339295012187.04,1735.0,345925027882.5,1.0184438040345822,0.9808339519807395,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2022-09,completa,competência histórica consolidada,1787,346826952282.83,1767.0,339295012187.04,1.0113186191284664,1.0221987940442754,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2022-10,completa,competência histórica consolidada,1824,350474159529.5,1787.0,346826952282.83,1.02070509233352,1.010515927965413,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2022-11,completa,competência histórica consolidada,1854,369886876442.09,1824.0,350474159529.5,1.0164473684210527,1.0553898665129862,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2022-12,completa,competência histórica consolidada,1912,378898513471.24,1854.0,369886876442.09,1.0312837108953614,1.0243632245507928,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2023-01,completa,competência histórica consolidada,1937,375912070231.03,1912.0,378898513471.24,1.0130753138075315,0.9921180919585829,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2023-02,completa,competência histórica consolidada,1955,376974570132.83,1937.0,375912070231.03,1.0092927207021167,1.002826458594817,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2023-03,completa,competência histórica consolidada,2009,384761325516.94,1955.0,376974570132.83,1.0276214833759592,1.0206559168735607,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2023-04,completa,competência histórica consolidada,2034,399278389233.8501,2009.0,384761325516.94,1.0124440019910403,1.0377300491347614,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2023-05,completa,competência histórica consolidada,2044,391083631907.63,2034.0,399278389233.8501,1.0049164208456245,0.9794760809821326,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2023-06,completa,competência histórica consolidada,2068,403640617913.06,2044.0,391083631907.63,1.0117416829745598,1.032108186027064,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2023-07,completa,competência histórica consolidada,2087,418108072775.7901,2068.0,403640617913.06,1.0091876208897486,1.0358424158042643,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2023-08,completa,competência histórica consolidada,2129,416972340043.3001,2087.0,418108072775.7901,1.0201245807379014,0.9972836383546724,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2023-09,completa,competência histórica consolidada,2276,424424330784.87,2129.0,416972340043.3001,1.0690465007045562,1.0178716668371721,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2023-10,completa,competência histórica consolidada,2270,434140285699.91,2276.0,424424330784.87,0.9973637961335676,1.0228920780697768,1.0,1.0,0.9995594713656388,0.9995594713656388,0.9995594713656388,1.0,2026-07-16T03:26:27+00:00
2023-11,completa,competência histórica consolidada,2272,448480871448.3,2270.0,434140285699.91,1.0008810572687226,1.0330321470288584,1.0,1.0,0.9995598591549296,0.9995598591549296,0.9995598591549296,1.0,2026-07-16T03:26:27+00:00
2023-12,completa,competência histórica consolidada,2404,485359225501.6,2272.0,448480871448.3,1.0580985915492958,1.0822294916039719,1.0,1.0,0.9991680532445923,0.9991680532445923,0.9991680532445923,1.0,2026-07-16T03:26:27+00:00
2024-01,completa,competência histórica consolidada,2425,494413530821.27,2404.0,485359225501.6,1.0087354409317804,1.0186548536505364,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
