rank,participant_key,participant_cnpj,participant_name,funds,linked_pl_fractional_brl,linked_issuance_fractional_brl,confidence_median,sector,administrators,managers,custodians,first_evidence_date,latest_evidence_date,commercial_signal_brl
26,17479056000173,17479056000173,KOVR PREVIDENCIA S A,1,227835792.55,380000000.0,0.95,,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,VERT GESTORA DE RECURSOS FINANCEIROS LTDA.,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,2026-04-27,2026-04-27,607835792.55
27,E (I) A CASHME SOLUCOES FINANCEIRAS S.A,,é (i) a CASHME SOLUÇÕES FINANCEIRAS S.A,1,277862476.99,312000000.0,0.68,,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,M8 PARTNERS GESTORA DE RECURSOS LTDA.,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2023-12-22,2023-12-22,589862476.99
28,34408539000104,34408539000104,PRAVALER CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESP LIMITADA,1,261242807.55,316800000.0,0.6,"Atividades financeiras, seguros e serviços relacionados",OLIVEIRA TRUST DTVM S.A.,PRAVALER S/A,OLIVEIRA TRUST DTVM S.A.,2024-07-16,2024-07-16,578042807.55
29,12839955000116,12839955000116,EQUALS,1,545944064.0,1500000.0,0.77,Informação e comunicação,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,H2 KAPITAL S.A.,BANCO GENIAL S.A.,2025-03-06,2025-03-06,547444064.0
30,18858234000130,18858234000130,CHDS DO BRASIL,1,279622686.98,190000000.0,0.93,Comércio e reparação de veículos,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,ORRAM GESTÃO DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,2025-06-11,2025-06-11,469622686.98
31,31663906000110,31663906000110,V8 DIGITAL SISTEMA,1,167164295.78,290000000.0,0.78,Atividades administrativas e serviços complementares,BANCO DAYCOVAL S.A.,EXT CAPITAL LTDA.,BANCO DAYCOVAL S.A.,2025-12-05,2025-12-05,457164295.78
32,28796939000123,28796939000123,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ANGA MULTIESTRATEGIA I DE RESPONSABILIDADE LIMITADA,1,189340308.61,266000000.0,0.76,"Atividades financeiras, seguros e serviços relacionados",BANCO DAYCOVAL S.A.,ANGÁ ADMINISTRAÇÃO DE RECURSOS LTDA.,BANCO DAYCOVAL S.A.,2025-04-17,2025-04-17,455340308.61
33,33264668000286,33264668000286,BANCO XP S.A,1,155991373.51,255000000.0,0.95,,XP INVESTIMENTOS CCTVM S.A.,XP ALLOCATION ASSET MANAGEMENT LTDA.,OLIVEIRA TRUST DTVM S.A.,2025-08-21,2025-08-21,410991373.51
34,33041260065290,33041260065290,GRUPO CASAS BAHIA S.A.,1,179148475.03,220000000.0,0.93,Comércio e reparação de veículos,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,JIVE INVESTMENTS GESTÃO DE RECURSOS E CONSULTORIA S.A.,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,2026-04-15,2026-04-15,399148475.03
35,23149892000192,23149892000192,PAGBEM SERVICOS FINANCEIROS E DE LOGISTICA S.A.,1,104015015.1,290000000.0,0.77,"Atividades profissionais, científicas e técnicas",BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SRM Empírica Gestão de Crédito LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2026-01-26,2026-01-26,394015015.1
