role,participant,offer_volume_brl_current,offers_current,issuers_current,volume_share_current,offer_count_share_current,rank_current,offer_volume_brl_previous,offers_previous,issuers_previous,volume_share_previous,offer_count_share_previous,rank_previous,delta_offer_volume_brl,delta_volume_share_pp,delta_offers,delta_offer_count_share_pp,rank_change,window_previous,window_current,methodology
administrador,QORE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,88781000.0,3.0,3.0,0.0006771918681141301,0.001800720288115246,45.0,0.0,0.0,0.0,0.0,0.0,0.0,88781000.0,0.067719186811413,3.0,0.18007202881152462,-45.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,LIMINETRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,75000000.0,1.0,1.0,0.0005720749947461704,0.0006002400960384153,46.0,0.0,0.0,0.0,0.0,0.0,0.0,75000000.0,0.05720749947461704,1.0,0.060024009603841535,-46.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,67999999.99000001,5.0,4.0,0.0005186813284935846,0.003001200480192077,47.0,0.0,0.0,0.0,0.0,0.0,0.0,67999999.99000001,0.051868132849358456,5.0,0.3001200480192077,-47.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,63000000.0,8.0,7.0,0.00048054299558678313,0.004801920768307323,48.0,131697000.0,7.0,7.0,0.0011130878707012461,0.004648074369189907,35.0,-68697000.0,-0.0632544875114463,1.0,0.015384639911741535,-13.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS,60000000.0,2.0,1.0,0.00045765999579693635,0.0012004801920768306,49.0,30000000.0,1.0,1.0,0.0002535565435889761,0.0006640106241699867,49.0,30000000.0,0.020410345220796027,1.0,0.053646956790684396,0.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,MASTER CCTVM,60000000.0,7.0,7.0,0.00045765999579693635,0.004201680672268907,49.0,384675000.0,22.0,18.0,0.0032512287801696456,0.014608233731739707,25.0,-324675000.0,-0.2793568784372709,-15.0,-1.0406553059470798,-24.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,HEMERA DE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,55000030.2,4.0,1.0,0.00041952189316938953,0.0024009603841536613,51.0,0.0,0.0,0.0,0.0,0.0,0.0,55000030.2,0.041952189316938955,4.0,0.24009603841536614,-51.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,MASTER S.A. CCTVM,47697200.0,5.0,5.0,0.00036381833919209386,0.003001200480192077,52.0,21500000.0,4.0,3.0,0.00018171552290543287,0.0026560424966799467,51.0,26197200.0,0.0182102816286661,1.0,0.034515798351213024,-1.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,47500000.0,1.0,1.0,0.00036231416333924125,0.0006002400960384153,53.0,0.0,0.0,0.0,0.0,0.0,0.0,47500000.0,0.03623141633392413,1.0,0.060024009603841535,-53.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,VORTX DISTRIBUIDORA DE TITULOS EVALRESMOBILIARIOSLTDA,40000000.0,1.0,1.0,0.0003051066638646242,0.0006002400960384153,54.0,0.0,0.0,0.0,0.0,0.0,0.0,40000000.0,0.030510666386462423,1.0,0.060024009603841535,-54.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,39700000.0,6.0,6.0,0.00030281836388563956,0.003601440576230492,55.0,10000000.0,1.0,1.0,8.451884786299202e-05,0.0006640106241699867,55.0,29700000.0,0.021829951602264756,5.0,0.29374299520605057,0.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,62.285.390/0001-40,33000000.0,1.0,1.0,0.000251712997688315,0.0006002400960384153,56.0,0.0,0.0,0.0,0.0,0.0,0.0,33000000.0,0.0251712997688315,1.0,0.060024009603841535,-56.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
