rank_pl,#,FIDC,CNPJ do fundo,Volume 2026 (R$ mi),Ofertas,Coordenador líder,Tipo ANBIMA,Foco ANBIMA,CNPJ cedente,Razão social cedente,Natureza cedente,CNAE cedente,Seção CNAE,UF,Porte,% do fundo,Nº cedentes,Competência,Setor cedente,Segmento cedente,Setor sacado,Segmento sacado,Sacado nomeado,MIDDLE (preencher),cnpj,pl_mm,competencia_pl,Cedente Provável Middle,Capital social do cedente (R$)
61,39,"FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRO CITI-SYNGENTA RESPONSABILIDADE LIMITADA"",",46073195000109,440.0,1,Vórtx,"Agro, Indústria e Comércio",Agronegócio,60744463000190,SYNGENTA PROTECAO DE CULTIVOS LTDA,Operacional,Fabricação de defensivos agrícolas,C · Indústria de transformação,SP,Demais,0.8961,3.0,202512,C · Indústria de transformação,,,,,Provável,46073195000109,223.0,2026-06,SEMENTES VENEZA LTDA,1000000.0
62,98,WAREHOUSE SOL AGORA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE RESPONSABILIDADE LIMITADA,64330030000149,175.0,1,Bradesco BBI,,,34337707000100,BMP SOCIEDADE DE CREDITO DIRETO S.A,,Outras atividades de serviços financeiros não especificadas anteriormente,,SP,Demais,,,,K · Atividades financeiras e seguros,,,,,Provável,64330030000149,213.6,2026-06,BMP SOCIEDADE DE CREDITO DIRETO S.A,7000000.0
63,69,ARC SPECIAL I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,66745267000116,230.0,1,Oliv. Trust,,,,,,,,,,,,,Crédito PJ,Recebíveis comerciais/multissetorial,Crédito PJ,Recebíveis comerciais/multissetorial,,,66745267000116,210.2,2026-06,,
64,34,GUARDIAN MULTI CONSIGNADO XIV FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESP LTDA,62363602000160,500.0,1,Br,Financeiro,Multicarteira Financeiro,,,,,,,,,,,,,,,,,62363602000160,209.5,2026-06,,
65,29,SOL AGORA IV FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,65473122000140,562.5,1,Itaú BBA,,,64330030000149,WAREHOUSE SOL AGORA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO FINANCEIRO RESP LIMITADA,,"Fundos de investimento, exceto previdenciários e imobiliários",,RJ,DEMAIS,,,,"Fundos de investimento, exceto previdenciários e imobiliários",,,,,,65473122000140,204.6,2026-06,,
66,100,G5 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE INFRAESTRUTURA ALLOCATION,64756178000140,170.0,4,QI,,,52904364000108,NECTON INVESTIMENTOS S.A. CORRETORA DE VALORES MOBILIARIOS E COMMODITIES,,Corretoras de títulos e valores mobiliários,,SP,DEMAIS,,,,Corretoras de títulos e valores mobiliários,,,,,Provável,64756178000140,197.9,2026-06,"ATIVA INVESTIMENTOS S/A CORRETORA DE TITULOS, CAMBIO E VALORES",43186644.0
67,79,DAYCOVAL D310 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,62160076000131,204.0,1,Daycoval,Financeiro,Crédito Pessoal,29720593000142,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ANGA MULTI CONSIGNADOS I RESPONSABILIDADE LIMITADA,,"Fundos de investimento, exceto previdenciários e imobiliários",,SP,Demais,,,,K · Atividades financeiras e seguros,,,,,,62160076000131,183.0,2026-06,,
68,50,JIVEMAUÁ BOSSANOVA CRÉDITO SECURITIZADO II (VAREJO) FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,63912733000112,333.3,1,XP,,,,,,,,,,,,,,,,,,,63912733000112,180.7,2026-06,,
69,83,DAYCOVAL D369 FUNDO DE INVESTIMENTO EM DIREITOS  CREDITORIOS,63934300000168,200.0,1,Daycoval,,,48632754000190,CELCOIN SOCIEDADE DE CREDITO DIRETO S.A,,Outras instituições de intermediação não-monetária não especificadas anteriormente,,SP,Demais,,,,Crédito PF,Consignado/INSS,Crédito PF,Consignado/INSS,,Provável,63934300000168,174.2,2026-06,CELCOIN SOCIEDADE DE CREDITO DIRETO S.A,61515321.0
70,76,SIRIUS IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,58321970000179,220.0,2,Limine / QI,Outros,Multicarteira Outros,10989834000125,BMG FOODS IMPORTACAO E EXPORTACAO LTDA,,Comércio atacadista de carnes bovinas e suínas e derivados,,MS,Demais,,,,G · Comércio e reparação de veículos,,,,,Provável,58321970000179,169.7,2026-06,BMG FOODS IMPORTACAO E EXPORTACAO LTDA,500000000.0
71,47,GONN III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE RESPONSABILIDADE LIMITADA,62222488000159,350.0,1,Bradesco BBI,,,32402502000135,QI SOCIEDADE DE CREDITO DIRETO S.A.,,Outras atividades de serviços financeiros não especificadas anteriormente,,SP,Demais,,,,K · Atividades financeiras e seguros,,,,,Provável,62222488000159,169.3,2026-06,QI SOCIEDADE DE CREDITO DIRETO S.A.,100000000.0
72,86,SEGUE ÁRTICO FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO  RESPONSABILIDADE LIMITADA,58215693000110,200.0,1,Vert,Financeiro,Crédito Consignado,32402502000135,QI SOCIEDADE DE CREDITO DIRETO S.A.,,Outras atividades de serviços financeiros não especificadas anteriormente,,SP,Demais,,,,Crédito PJ,Recebíveis comerciais/multissetorial,Crédito PJ,Recebíveis comerciais/multissetorial,,Provável,58215693000110,165.2,2026-06,QI SOCIEDADE DE CREDITO DIRETO S.A.,100000000.0
73,93,PINE LIFT I CARTAO INSS FIDC - RESP LIMITADA,62543802000103,179.2,2,Daycoval,,,62144175000120,BANCO PINE S/A,,"Bancos múltiplos, com carteira comercial",,SP,DEMAIS,,,,"Bancos múltiplos, com carteira comercial",,,,,,62543802000103,160.7,2026-06,,
74,59,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COBUCCIO INSS,63931003000169,277.5,1,ABC Brasil,,,36947229000185,"COBUCCIO S/A SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTOS",,"Sociedades de crédito, financiamento e investimento - financeiras",,MG,Demais,,,,K · Atividades financeiras e seguros,,,,,Provável,63931003000169,149.1,2026-06,"COBUCCIO S/A SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTOS",45400000.0
75,77,BLUE HEALTH FIDC RECEBIVEIS COMERCIAIS DE RESPONSABILIDADE LIMITADA,63679792000192,210.0,1,Jgp,,,,,,,,,,,,,,,,,,,63679792000192,142.2,2026-06,,
76,56,SPARK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,39663988000104,300.0,1,Singulare,Financeiro,Crédito Consignado,32402502000135,QI SOCIEDADE DE CREDITO DIRETO S.A.,,Outras atividades de serviços financeiros não especificadas anteriormente,,SP,Demais,,,,Crédito PF,Consignado/INSS,Crédito PF,Consignado/INSS,,Provável,39663988000104,117.1,2026-06,QI SOCIEDADE DE CREDITO DIRETO S.A.,100000000.0
77,99,DAYCOVAL D321 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,62604155000194,170.0,1,Daycoval,,,02773542000122,OPEA SECURITIZADORA S.A.,,Securitização de créditos,,SP,Demais,,,,K · Atividades financeiras e seguros,,,,,Provável,62604155000194,103.3,2026-06,BMS SOCIEDADE DE CREDITO DIRETO S.A.,9500000.0
78,63,IORQ FREDERIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,63032712000102,251.5,1,BRL Trust,,,09358882000136,AGROPECUARIA VISTA ALEGRE LTDA,,Criação de bovinos para corte,,SP,DEMAIS,,,,Não classificado,Revisar manualmente,,,,Provável,63032712000102,102.8,2026-06,AGROPECUARIA VISTA ALEGRE LTDA,46202116.0
79,84,MARIS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,62107005000175,200.0,1,Singulare,Fomento Mercantil,Fomento Mercantil,25043891000194,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS XPCE III,,"Fundos de investimento, exceto previdenciários e imobiliários",,SP,DEMAIS,,,,Crédito PJ,Risco sacado/fornecedores,Crédito PJ,Risco sacado/fornecedores,,,62107005000175,95.7,2026-06,,
80,89,FG NOW FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,43866327000153,190.0,2,Vórtx,Financeiro,Crédito Pessoal,39587424000130,UY3 SOCIEDADE DE CREDITO DIRETO S/A,,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,,RS,Demais,,,,K · Atividades financeiras e seguros,,,,,Provável,43866327000153,94.7,2026-06,UY3 SOCIEDADE DE CREDITO DIRETO S/A,12630001.35
81,96,NEO CRÉDITO SPECIAL SITUATIONS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,61374410000197,175.0,4,Vórtx,Outros,Multicarteira Outros,,,,,,,,,,,Agro,Agro,Agro,Agro,,,61374410000197,93.8,2026-06,,
82,71,NTZ EMPREENDIMENTOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICARTEIRA DE RESPONSABILIDADE,62935248000100,230.0,6,BRL Trust / Terra,Fomento Mercantil,Fomento Mercantil,64643657000150,NEXUS ORGANIZACOES E NEGOCIOS LTDA,,Incorporação de empreendimentos imobiliários,,SE,DEMAIS,,,,Incorporação de empreendimentos imobiliários,,,,,Provável,62935248000100,87.0,2026-06,VENTURA NORDESTE AJU EMPREENDIMENTOS IMOBILIARIOS S/A,14710000.0
83,73,CHIMERA ALTERNATIVE ASSETS XIII FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESP LIMITADA,63503400000130,225.0,3,Vórtx,,,39268207000187,CAIQUE CASTRO SOCIEDADE INDIVIDUAL DE ADVOCACIA,,Serviços advocatícios,,SP,EMPRESA DE PEQUENO PORTE,,,,Crédito PF,Crédito pessoal/consumo,Crédito PF,Crédito pessoal/consumo,,,63503400000130,86.3,2026-06,,
84,64,FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RIZA SRM - RESPONSAB,63679105000139,251.0,2,Singulare,,,63679105000139,FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RIZA SRM - RESPONSAB,,"Fundos de investimento, exceto previdenciários e imobiliários",,SP,DEMAIS,,,,FIC/Alocador,FIC de FIDC,FIC/Alocador,FIC de FIDC,,,63679105000139,66.9,2026-06,,
85,90,CLASSE ÚNICA DO FIDC CRÉDITO NITRO AGRO - RESPONSABILIDADE LIMITADA,51554551000138,187.5,1,Itaú BBA,"Agro, Indústria e Comércio",Agronegócio,61150348000150,COMPANHIA NITRO QUIMICA BRASILEIRA,,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,,SP,DEMAIS,,,,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,,,,,Provável,51554551000138,64.5,2026-06,COMPANHIA NITRO QUIMICA BRASILEIRA,184980690.0
86,68,SOSU OPPORTUNITIES III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,61753072000102,237.0,3,BRL Trust,Outros,Multicarteira Outros,,,,,,,,,,,,,,,,,61753072000102,64.2,2026-06,,
87,85,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CREDITO NITRO AGRO II - RESPONSABILIDADE LIMITADA,62313140000177,200.0,1,Banco,,,61150348000150,COMPANHIA NITRO QUIMICA BRASILEIRA,,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,,SP,DEMAIS,,,,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,,,,,Provável,62313140000177,63.6,2026-06,COMPANHIA NITRO QUIMICA BRASILEIRA,184980690.0
88,87,ESTALEIRINHO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,63218738000140,200.0,1,BTG Pactual,,,,,,,,,,,,,,,,,,,63218738000140,55.5,2026-06,,
89,95,ESTANHO CRÉDITO ESTRUTURADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS- RESPONSABILIDADE LIMITADA,64156218000112,175.0,1,Finvest,,,,,,,,,,,,,Crédito PF,Auto/Veículos,Crédito PF,Auto/Veículos,,,64156218000112,51.2,2026-06,,
90,82,Algarve Gama Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,63565094000166,200.0,1,Lions,,,93526369291,,,,,,,,,,Crédito PF,Crédito pessoal/consumo,Crédito PF,Crédito pessoal/consumo,,,63565094000166,37.0,2026-06,,
91,20,LAVORO FORNECEDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO AGRONEGÓCIO - RESP LTDA,61669748000176,730.0,1,Oliv. Trust,,,,,,,,,,,,,Agro,Agro,Agro,Agro,,,61669748000176,20.7,2026-06,,
92,49,PARANA BANCO CONSIGNADO INSS IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESP LIMITADA,66888399000105,346.5,1,Santander,,,,,,,,,,,,,,,,,,,66888399000105,3.5,2026-06,,
93,6,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS STELLANTIS MOBILITY III - RESPONSABILIDADE LIMITADA,66146197000180,1800.0,1,Santander,,,,,,,,,,,,,,,,,,,66146197000180,,,,
94,31,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MEDICI - RESPONSABILIDADE LIMITADA,62144964000160,511.9,1,Itaú BBA,,,,,,,,,,,,,,,,,,,62144964000160,,,,
95,36,AUGME XPCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS I DE RESPONSABILIDADE LIMITADA,66573323000182,450.0,1,XP,,,,,,,,,,,,,,,,,,,66573323000182,,,,
96,40,CLASSE B DO PÁTRIA CRÉDITO DESENVOLVIMENTO AMAZÔNIA FIDC - RESP. LIMITADA,62717254000182,420.0,1,Pátria,,,,,,,,,,,,,,,Crédito PJ,CCB/Notas comerciais/Capital de giro,,,62717254000182,,,,
97,54,CP MASTER FUNDO DE INVESTIMENTO EM COTAS DE FIDCS - RESP. LIMITADA,68008670000198,318.7,1,XP,,,,,,,,,,,,,,,,,,,68008670000198,,,,
98,55,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS FINANCEIROS OMNI VEICULOS XI DE RESP LIMTADA,66801915000104,300.0,1,XP,,,,,,,,,,,,,,,,,,,66801915000104,,,,
99,57,FGCB II FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,60761394000122,284.0,1,BRL Trust,,,,,,,,,,,,,,,,,,,60761394000122,,,,
100,92,CLASSE A DO PÁTRIA CRÉDITO DESENVOLVIMENTO AMAZÔNIA FIDC  - RESP. LIMITADA,62715592000185,180.0,1,Pátria,,,,,,,,,,,,,,,Crédito PJ,CCB/Notas comerciais/Capital de giro,,,62715592000185,,,,
