cnpj_fundo,denominacao,pl_max,competencia_pl_max,competencias_observadas,anbima_tipo,anbima_foco,is_np
62497138000103,AVGA CAPITAL MANACÁ PREMIUM SHIELD FUNDO DE INVESTIMENTO EM COTAS DE FIDC RESPONSABILIDADE LIMITADA,4102681.51,2026-06,"2026-06, 2025-12",N/D,N/D,False
44681727000157,TERRA BONA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO,4096062.93,2024-12,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,True
44273371000112,GRYPHON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,4084778.4,2023-12,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,True
55913770000117,JUNTOS PELO RS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,4034647.73,2024-12,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,False
57993612000140,D&C JUDICIAIS II - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECUPERAÇÃO DE CRÉDITO,4004371.0,2025-12,"2026-06, 2025-12",Outros,Recuperação,False
14180196000158,JC DIVERSIFICADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,3964759.62,2024-12,"2024-12, 2023-12",Outros,N/D,True
63974556000107,EVOLUTION FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3951476.6,2026-06,2026-06,N/D,N/D,False
27467600000110,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS LOTEAMENTO,3949856.65,2023-12,"2026-06, 2023-12",Outros,Multicarteira Outros,False
55085520000136,VOLAR FUNDO DE INVESTIMENTO EM COTAS FIDC RESP LIMITADA,3931239.68,2024-12,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,False
66289666000110,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AUTO AVALIAR SEGMENTO FINANCEIRO RESP LIMITADA,3918624.14,2026-06,2026-06,N/D,N/D,False
57671358000163,ASTRO SAÚDE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,3891203.07,2025-12,"2026-06, 2025-12",Outros,Multicarteira Outros,False
28254193000126,BLP PRECATÓRIO III-FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS DE RESP. LIMITADA,3883212.12,2023-12,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Poder Público,True
49265047000176,RSS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3867081.2,2023-12,2023-12,Outros,N/D,False
49788461000160,NICE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,3808168.8,2026-06,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,True
33554563000180,SOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃOPADRONIZADOS - FIDC NP,3692330.63,2023-12,2023-12,Outros,N/D,False
61140425000190,ABACI LOW VOL FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,3529510.6,2025-12,2025-12,Outros,Multicarteira Outros,False
58051964000149,ENE2 LEGAL CLAIMS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA,3510026.22,2026-06,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,False
41240074000182,NACIONAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3509517.74,2023-12,"2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,False
66888399000105,PARANA BANCO CONSIGNADO INSS IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,3500000.0,2026-06,2026-06,N/D,N/D,False
33554808000170,FBM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3430265.19,2023-12,2023-12,Outros,N/D,False
63947096000110,STT2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3424941.78,2026-06,2026-06,N/D,N/D,False
