view,competence,effect,from_type,from_focus,to_type,to_focus,decision_count,pl_brl,cnpjs,source,note
current_bundle_incremental_flow,2026-06,Migra de Tipo,Fomento Mercantil,Fomento Mercantil,"Agro, Indústria e Comércio",Crédito Corporativo,2,4069550749.879999637604,06182371000118 | 62393829000159,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Efeito incremental no PL observado em 2026-06; decisões já presentes no baseline não reaparecem.
current_bundle_incremental_flow,2026-06,Migra de Tipo,Fomento Mercantil,Fomento Mercantil,Outros,Recuperação,1,3394314559.409999847412,17250006000110,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Efeito incremental no PL observado em 2026-06; decisões já presentes no baseline não reaparecem.
current_bundle_incremental_flow,2026-06,Migra de Tipo,Outros,Multicarteira Outros,"Agro, Indústria e Comércio",Crédito Corporativo,3,5316150794.279999732971,40770670000101 | 48349509000170 | 57976916000107,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Efeito incremental no PL observado em 2026-06; decisões já presentes no baseline não reaparecem.
current_bundle_incremental_flow,2026-06,Só Foco,Financeiro,Cartão de crédito,Financeiro,Multicarteira Financeiro,2,3370256294.989999771118,26722650000134 | 32526025000110,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Efeito incremental no PL observado em 2026-06; decisões já presentes no baseline não reaparecem.
current_bundle_incremental_flow,2026-06,Só Foco,Financeiro,Crédito PF,Financeiro,Multicarteira Financeiro,1,5751418460.989999771118,42922136000107,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Efeito incremental no PL observado em 2026-06; decisões já presentes no baseline não reaparecem.
current_bundle_incremental_flow,2026-06,Só Foco,Financeiro,Crédito Pessoal,Financeiro,Adquirência,1,1073810964.539999961853,60942242000126,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Efeito incremental no PL observado em 2026-06; decisões já presentes no baseline não reaparecem.
current_bundle_incremental_flow,2026-06,Só Foco,Financeiro,Crédito Pessoal,Financeiro,Crédito Consignado,2,3710262169.130000114441,40750266000176 | 54871427000194,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Efeito incremental no PL observado em 2026-06; decisões já presentes no baseline não reaparecem.
current_bundle_incremental_flow,2026-06,Só Foco,Financeiro,Crédito Pessoal,Financeiro,Financiamento de Veículos,1,1246401933.829999923706,57532556000146,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Efeito incremental no PL observado em 2026-06; decisões já presentes no baseline não reaparecem.
current_bundle_incremental_flow,2026-06,Só Foco,Financeiro,Multicarteira Financeiro,Financeiro,Financiamento de Veículos,1,1461910524.619999885559,66929956000180,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Efeito incremental no PL observado em 2026-06; decisões já presentes no baseline não reaparecem.
current_bundle_incremental_flow,2026-06,Só Foco,Outros,Multicarteira Outros,Outros,Recuperação,1,3058107297.599999904633,51079269000146,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Efeito incremental no PL observado em 2026-06; decisões já presentes no baseline não reaparecem.
current_bundle_incremental_flow,2026-06,Só Foco,Outros,Poder Público,Outros,Recuperação,4,7282526331.859999656677,13764696000174 | 29043573000184 | 29301202000155 | 45207707000101,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Efeito incremental no PL observado em 2026-06; decisões já presentes no baseline não reaparecem.
