nome,cnpj_prestador,pl,n_veiculos,n_fundos,share_pl,papel,fonte
KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,44870662000198,13541465222.99,42,42,0.014128985907337811,gestor,cadastro_registro_fundo
ARTESANAL INVESTIMENTOS LTDA,03084098000109,13439992082.76,29,29,0.014023110173458666,gestor,cadastro_registro_fundo
PETRA CAPITAL GESTÃO DE INVESTIMENTOS LTDA,09204714000196,13244109811.869999,56,56,0.013818729199957849,gestor,cadastro_registro_fundo
POLÍGONO CAPITAL LTDA,43241789000185,13202342508.58,54,54,0.013775149747523854,gestor,cadastro_registro_fundo
OURO PRETO GESTÃO DE RECURSOS S.A.,11916849000126,12239021209.8,100,100,0.012770033031528205,gestor,cadastro_registro_fundo
ANGÁ ADMINISTRAÇÃO DE RECURSOS LTDA.,09452272000105,12167667058.45,40,40,0.012695583052722177,gestor,cadastro_registro_fundo
JUS CAPITAL GESTÃO DE RECURSOS LTDA.,21744796000167,12120870728.0,35,35,0.01264675637979164,gestor,cadastro_registro_fundo
M8 PARTNERS GESTORA DE RECURSOS LTDA.,18038439000179,11847668162.81,56,56,0.012361700432753897,gestor,cadastro_registro_fundo
BTG PACTUAL GESTORA DE INVESTIMENTOS ALTERNATIVOS LTDA.,07625159000140,11176338450.55,17,17,0.011661243880416032,gestor,cadastro_registro_fundo
MULTIPLICA CAPITAL ASSET MANAGEMENT LTDA.,07252227000173,10531123421.18,53,53,0.010988035043185167,gestor,cadastro_registro_fundo
DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,72027832000102,9976146018.78,35,35,0.010408978953738655,gestor,cadastro_registro_fundo
REDASSET GESTAO DE RECURSOS LTDA,13037768000181,9899202766.779999,9,9,0.010328697381156163,gestor,cadastro_registro_fundo
CATÁLISE INVESTIMENTOS LTDA.,18223260000191,9441582390.22,105,105,0.009851222326215306,gestor,cadastro_registro_fundo
XP VISTA ASSET MANAGEMENT LTDA.,16789525000198,8906587475.48,41,41,0.009293015700389788,gestor,cadastro_registro_fundo
SMART AGRO INVESTIMENTOS LTDA.,28264093000180,8737524820.86,11,11,0.00911661796017127,gestor,cadastro_registro_fundo
JIVE HIGH YIELD GESTÃO DE RECURSOS LTDA.,07170960000149,8488837244.08,18,18,0.008857140628154847,gestor,cadastro_registro_fundo
JIVE INVESTMENTS GESTÃO DE RECURSOS E CONSULTORIA S.A.,12600032000107,8342318387.36,30,30,0.00870426478882237,gestor,cadastro_registro_fundo
ORRAM GESTÃO DE RECURSOS LTDA.,33459864000125,8296290647.650001,33,33,0.008656240053315528,gestor,cadastro_registro_fundo
XP INVESTIMENTOS CCTVM S.A.,02332886000104,8010271568.71,3,3,0.008357811525159495,gestor,cadastro_registro_fundo
VERSAL FINANCE GESTÃO DE RECURSOS LTDA,13741074000120,6970488538.29,13,13,0.00727291564856326,gestor,cadastro_registro_fundo
ASA ASSET MANAGEMENT LTDA.,19807960000196,6629398944.54,9,9,0.006917027272831847,gestor,cadastro_registro_fundo
G5 ADMINISTRADORA DE RECURSOS LTDA.,09446129000100,6091476108.18,42,42,0.006355765692270962,gestor,cadastro_registro_fundo
TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,67030395000146,5991042215.77,10,10,0.0062509742958369325,gestor,cadastro_registro_fundo
GV ATACAMA CAPITAL LTDA.,40888143000104,5826917986.14,31,31,0.006079729243007788,gestor,cadastro_registro_fundo
RIZA SECURITIZAÇÃO E CARTEIRAS GESTORA DE RECURSOS LTD,37556621000166,5693795604.17,18,18,0.005940831108438709,gestor,cadastro_registro_fundo
BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,13486793000142,5278360276.42,17,17,0.00550737137608827,gestor,cadastro_registro_fundo
VALORA RENDA FIXA ESTRUTURADOS LTDA.,57369679000108,5226986126.54,34,34,0.005453768266845436,gestor,cadastro_registro_fundo
REDWOOD ADMINISTRAÇÃO DE RECURSOS LTDA,10405423000145,5179762464.7,83,83,0.005404495721988364,gestor,cadastro_registro_fundo
BLESS CAPITAL GESTORA DE RECURSOS LTDA.,20675481000142,5100122724.62,76,76,0.005321400669368504,gestor,cadastro_registro_fundo
QI GESTÃO DE RECURSOS LTDA.,52332058000136,4911885951.61,16,16,0.005124996907345343,gestor,cadastro_registro_fundo
VCM GESTÃO DE CAPITAL LTDA,12678380000105,4846510824.46,24,24,0.005056785363396274,gestor,cadastro_registro_fundo
BRAVE GESTORA DE RECURSOS LTDA.,35704148000191,4376372204.889999,27,27,0.004566248939086565,gestor,cadastro_registro_fundo
LASS CAPITAL GESTÃO DE RECURSOS LTDA,23455855000102,4346824803.35,13,13,0.004535419570692344,gestor,cadastro_registro_fundo
PORTOFINO GESTÃO DE RECURSOS LTDA.,17590181000156,4344457175.13,11,11,0.0045329492186880855,gestor,cadastro_registro_fundo
GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.,32706879000188,4285819588.64,35,35,0.00447176753564902,gestor,cadastro_registro_fundo
ITAU UNIBANCO S.A.,60701190000104,4194346733.72,6,6,0.00437632596734115,gestor,cadastro_registro_fundo
NOVA OCCAM BRASIL GESTAO DE RECURSOS LTDA.,43228545000162,4189743621.41,6,6,0.004371523140772024,gestor,cadastro_registro_fundo
ACURA GESTORA DE RECURSOS LTDA,18167777000100,4044196054.04,14,14,0.004219660731914914,gestor,cadastro_registro_fundo
ECO GESTÃO DE ATIVOS LTDA,11695155000106,3979050191.58,9,9,0.004151688399714406,gestor,cadastro_registro_fundo
GESTORA DE RECURSOS ID - GRID LTDA,44615804000170,3965921746.0,57,57,0.004137990353045856,gestor,cadastro_registro_fundo
CARMEL GESTORA DE ATIVOS LTDA,24515907000151,3804172311.07,26,26,0.003969223129631519,gestor,cadastro_registro_fundo
SUESTE CAPITAL GESTÃO DE RECURSOS LTDA,29036872000191,3779427818.6200004,17,17,0.003943405053127012,gestor,cadastro_registro_fundo
INVISTA GESTORA DE RECURSOS LTDA.,19907396000183,3731463508.86,4,4,0.003893359726015461,gestor,cadastro_registro_fundo
SECURITY ADM. DE RECURSOS LTDA,02295841000107,3715379541.24,2,2,0.0038765779266979657,gestor,cadastro_registro_fundo
QUADRA GESTÃO DE RECURSOS S.A.,17707098000114,3605249422.74,23,23,0.003761669616065657,gestor,cadastro_registro_fundo
MILÊNIO CAPITAL GESTÃO DE INVESTIMENTOS LTDA.,16804280000120,3491652328.89,35,35,0.003643143909157938,gestor,cadastro_registro_fundo
INTRA ASSET MANAGEMENT LTDA.,42621928000133,3407402160.44,10,10,0.0035552383964886046,gestor,cadastro_registro_fundo
ARTESANAL FINANCEIRO LTDA,33576954000104,3402898699.1,10,10,0.0035505395444250126,gestor,cadastro_registro_fundo
H2 KAPITAL S.A.,40297139000163,3378653739.42,16,16,0.0035252426738130263,gestor,cadastro_registro_fundo
MULTIPLIKE GESTÃO DE RECURSOS LTDA.,29000207000148,3301105102.87,2,2,0.0034443294509892497,gestor,cadastro_registro_fundo
BANK OF AMERICA MERRILL LYNCH BANCO MULTIPLO S.A.,62073200000121,3167591673.65,2,2,0.0033050233028859358,gestor,cadastro_registro_fundo
MORE INVEST GESTORA DE RECURSOS LTDA.,10556398000109,3167290809.96,4,4,0.0033047093856867224,gestor,cadastro_registro_fundo
NEBRASKA CAPITAL GESTÃO DE RECURSOS LTDA,10290382000199,3165139500.64,5,5,0.003302464737964776,gestor,cadastro_registro_fundo
GUARDIAN CRÉDITO LTDA.,54882123000122,3108489509.54,14,14,0.0032433568856960406,gestor,cadastro_registro_fundo
VINCI GESTORA DE RECURSOS LTDA,11077576000173,3100971795.0,13,13,0.003235513001667101,gestor,cadastro_registro_fundo
NORTH SEA GESTORA DE RECURSOS LTDA.,41917181000100,2967850847.67,7,7,0.003096616363982444,gestor,cadastro_registro_fundo
EMERALD GESTÃO DE INVESTIMENTOS SOCIEDADE UNIPESSOAL LIMITADA,09815294000184,2956263542.31,4,4,0.003084526322658296,gestor,cadastro_registro_fundo
PHRONESIS INVESTIMENTOS LTDA.,10479557000100,2818319335.09,3,3,0.002940597159328073,gestor,cadastro_registro_fundo
NOVA S.R.M. ADMINISTRAÇÃO DE RECURSOS E FINANÇAS S/A,11504852000132,2746384695.22,9,9,0.0028655415064695383,gestor,cadastro_registro_fundo
BLUE SOLUTIONS ASSET MANAGEMENT LTDA.,02622448000172,2675134405.31,16,16,0.0027911998953178137,gestor,cadastro_registro_fundo
ARTESANAL MCMS LTDA,30701673000130,2656203376.84,12,12,0.0027714475103240593,gestor,cadastro_registro_fundo
REGIA CAPITAL LTDA,54464258000178,2585230919.89,8,8,0.002697395786412141,gestor,cadastro_registro_fundo
APEX GROUP INVESTIMENTOS LTDA.,23025053000162,2532101392.72,1,1,0.0026419611396965104,gestor,cadastro_registro_fundo
VINCI SPS GESTÃO DE RECURSOS LTDA,16954358000193,2493142902.39,9,9,0.0026013123655956685,gestor,cadastro_registro_fundo
EUQUEROINVESTIR GESTÃO DE RECURSOS LTDA,32288914000196,2471267501.22,28,28,0.002578487861027023,gestor,cadastro_registro_fundo
FARMTECH GESTÃO DE RECURSOS LTDA.,20043909000134,2444047404.45,12,12,0.0025500867716820707,gestor,cadastro_registro_fundo
REAG PORTFÓLIO SOLUTIONS LTDA.,48954141000170,2335952347.75,12,12,0.0024373018176451727,gestor,cadastro_registro_fundo
EUROVEST ASSET MANAGEMENT LTDA,10423667000150,2167261890.4700003,2,2,0.0022612924232138353,gestor,cadastro_registro_fundo
BURITI INVESTIMENTOS GESTORA DE RECURSOS LTDA,44696473000140,2144323058.74,41,41,0.0022373583492486544,gestor,cadastro_registro_fundo
LETO ASSET MANAGEMENT LTDA,13189882000127,2128731158.31,12,12,0.002221089966336141,gestor,cadastro_registro_fundo
AUGME CAPITAL GESTÃO DE RECURSOS LTDA.,23360896000115,2121053106.83,26,26,0.002213078788862336,gestor,cadastro_registro_fundo
IORQ GESTÃO DE RECURSOS LTDA,09456933000162,2111506564.6,17,17,0.002203118052825996,gestor,cadastro_registro_fundo
EB CAPITAL CRÉDITO PRIVADO LTDA.,53554944000177,2084491053.34,1,1,0.0021749304252992475,gestor,cadastro_registro_fundo
TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,03384738000198,2067324375.5,9,9,0.0021570189404426913,gestor,cadastro_registro_fundo
PRAVALER S/A,04531065000114,2054916276.52,4,4,0.002144072493899548,gestor,cadastro_registro_fundo
LATACHE GESTÃO DE RECURSOS LTDA,12461742000101,2051804645.93,11,11,0.002140825859651999,gestor,cadastro_registro_fundo
KINEA INVESTIMENTOS LTDA.,08604187000144,1978199653.56,4,4,0.0020640273830632295,gestor,cadastro_registro_fundo
BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,12695840000103,1968530742.39,9,9,0.0020539389688916006,gestor,cadastro_registro_fundo
MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.,21180163000173,1945034361.84,4,4,0.0020294231558538223,gestor,cadastro_registro_fundo
OPEA GESTORA DE RECURSOS LTDA.,36196900000101,1896183868.05,10,10,0.0019784531960334033,gestor,cadastro_registro_fundo
PRISMA CAPITAL LTDA,27451028000100,1877456387.2,6,6,0.001958913189937138,gestor,cadastro_registro_fundo
RENOVA GESTORA DE RECURSOS LTDA,13971519000169,1821071976.43,18,18,0.0019000824406759462,gestor,cadastro_registro_fundo
LIBERTAS ASSET S/A,32764855000185,1810355504.31,35,35,0.0018889010152491911,gestor,cadastro_registro_fundo
KUMB INVEST S.A.,48892980000100,1800662464.82,3,3,0.0018787874259072513,gestor,cadastro_registro_fundo
TRIUS CAPITAL GESTÃO DE INVESTIMENTOS E CONSULTORIA LTDA,11013757000136,1782546719.98,5,5,0.0018598856970817226,gestor,cadastro_registro_fundo
BERKANA INVESTIMENTOS E GESTAO DE RECURSOS LTDA.,10757908000106,1772099509.24,6,6,0.0018489852154214479,gestor,cadastro_registro_fundo
PRISMA CLAIMS LTDA.,38267850000123,1771616873.73,11,11,0.0018484816399067692,gestor,cadastro_registro_fundo
KP GESTÃO DE RECURSOS LTDA,25098663000111,1750563413.75,11,11,0.0018265147379164957,gestor,cadastro_registro_fundo
