role,participant,pl_current,funds_current,pl_previous_reconstructed,funds_previous_reconstructed,pl_previous_confirmed,funds_previous_confirmed,pl_previous_dated_cohort,pl_current_dated_cohort,share_current,share_previous_reconstructed,delta_share_pp_reconstructed,share_previous_min,share_previous_max,delta_share_pp_lower_bound,delta_share_pp_upper_bound,share_previous_dated_cohort,share_current_dated_cohort,delta_share_pp_dated_cohort,dated_market_coverage_previous,dated_cohort_current_pl_share,direction_crosscheck,decision_grade,rank_current,rank_previous_reconstructed,rank_change_reconstructed,delta_pl_brl_reconstructed,delta_funds_reconstructed,competencia_previous,competencia_current
administrador,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,17003097747.6,177.0,13187989502.14,114.0,13187989502.14,114.0,13187989502.14,12348337807.27,0.017738617826704866,0.016851507089354154,0.08871107373507117,0.016851507089354154,0.016851507089354154,0.08871107373507117,0.08871107373507117,0.016851507089354154,0.015440661131864085,-0.1410845957490069,1.0,0.8343232294168442,observed,observed,14,13,-1,3815108245.460001,63.0,2025-05,2026-05
administrador,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,16622704309.15,295.0,9706440851.7,165.0,9706440851.7,165.0,9706440851.7,14258171512.539999,0.017341769327177587,0.01240281217984571,0.49389571473318766,0.01240281217984571,0.01240281217984571,0.49389571473318766,0.49389571473318766,0.01240281217984571,0.017828763524392166,0.5425951344546456,1.0,0.8343232294168442,observed,observed,15,20,5,6916263457.449999,130.0,2025-05,2026-05
administrador,VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,15387367344.93,44.0,4161623190.26,12.0,4161623190.26,12.0,4161623190.26,5876688633.63,0.016052994150983976,0.005317688695650478,1.0735305455333497,0.005317688695650478,0.005317688695650478,1.0735305455333497,1.0735305455333497,0.005317688695650478,0.007348354020241952,0.20306653245914735,1.0,0.8343232294168442,observed,observed,16,29,13,11225744154.67,32.0,2025-05,2026-05
administrador,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,13227802357.82,43.0,11993086391.59,48.0,11993086391.59,48.0,11993086391.59,13227802357.82,0.013800010691914921,0.015324669489486699,-0.15246587975717776,0.015324669489486699,0.015324669489486699,-0.15246587975717776,-0.15246587975717776,0.015324669489486699,0.016540364939329963,0.12156954498432643,1.0,0.8343232294168442,observed,observed,17,16,-1,1234715966.2299995,-5.0,2025-05,2026-05
administrador,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,13100767649.99,163.0,6745382421.5,103.0,6745382421.5,103.0,6745382421.5,11516807677.39,0.013667480716120272,0.00861919549434484,0.504828522177543,0.00861919549434484,0.00861919549434484,0.504828522177543,0.504828522177543,0.00861919549434484,0.014400895686764831,0.5781700192419991,1.0,0.8343232294168442,observed,observed,18,22,4,6355385228.49,60.0,2025-05,2026-05
administrador,BNY MELLON SERVICOS FINANCEIROS DTVM S.A,13056460429.99,43.0,10434624118.369999,44.0,10434624118.369999,44.0,10434624118.369999,11880397565.18,0.013621256854197543,0.01333327891085481,0.028797794334273208,0.01333327891085481,0.01333327891085481,0.028797794334273208,0.028797794334273208,0.01333327891085481,0.014855537302175826,0.15222583913210158,1.0,0.8343232294168442,observed,observed,19,19,0,2621836311.620001,-1.0,2025-05,2026-05
administrador,PLANNER CORRETORA DE VALORES S.A,12568638779.27,184.0,5007849948.84,100.0,5007849948.84,100.0,5007849948.84,11371055903.08,0.013112333012309038,0.006398990452760466,0.6713342559548572,0.006398990452760466,0.006398990452760466,0.6713342559548572,0.6713342559548572,0.006398990452760466,0.014218644132619328,0.7819653679858863,1.0,0.8343232294168442,observed,observed,20,26,6,7560788830.43,84.0,2025-05,2026-05
administrador,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,11646899211.14,42.0,10709163049.97,79.0,10709163049.97,79.0,10709163049.97,8396092135.59,0.01215072082978083,0.01368408255316969,-0.15333617233888613,0.01368408255316969,0.01368408255316969,-0.15333617233888613,-0.15333617233888613,0.01368408255316969,0.010498677273084386,-0.31854052800853044,1.0,0.8343232294168442,observed,observed,21,18,-3,937736161.1700001,-37.0,2025-05,2026-05
administrador,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,10139078076.08,88.0,6188362477.22,31.0,6188362477.22,31.0,6188362477.22,8457546900.150001,0.010577674361255235,0.007907439882284116,0.26702344789711185,0.007907439882284116,0.007907439882284116,0.26702344789711185,0.26702344789711185,0.007907439882284116,0.010575521801418459,0.26680819191343425,1.0,0.8343232294168442,observed,observed,22,23,1,3950715598.8599997,57.0,2025-05,2026-05
administrador,SEFER INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,8008728255.19,25.0,12347451299.79,27.0,12347451299.79,27.0,12347451299.79,7810708931.66,0.00835516985819838,0.01577747412371708,-0.7422304265518702,0.01577747412371708,0.01577747412371708,-0.7422304265518702,-0.7422304265518702,0.01577747412371708,0.009766699915059199,-0.6010774208657883,1.0,0.8343232294168442,observed,observed,23,15,-8,-4338723044.600001,-2.0,2025-05,2026-05
administrador,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,7915269947.64,13.0,6771895288.95,14.0,6771895288.95,14.0,6771895288.95,7238061836.59,0.008257668730758581,0.008653073423480307,-0.03954046927217257,0.008653073423480307,0.008653073423480307,-0.03954046927217257,-0.03954046927217257,0.008653073423480307,0.0090506480964965,0.03975746730161926,1.0,0.8343232294168442,observed,observed,24,21,-3,1143374658.6900005,-1.0,2025-05,2026-05
administrador,CATALISE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,7177237789.43,78.0,4565690206.67,55.0,4565690206.67,55.0,4565690206.67,6243343371.4,0.007487710774117812,0.00583400228465526,0.16537084894625523,0.00583400228465526,0.00583400228465526,0.16537084894625523,0.16537084894625523,0.00583400228465526,0.007806827998413001,0.19728257137577415,1.0,0.8343232294168442,observed,observed,25,28,3,2611547582.76,23.0,2025-05,2026-05
administrador,QORE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6701330238.14,40.0,0.0,0.0,0.0,0.0,0.0,3249190075.79,0.006991216411826221,0.0,0.6991216411826221,0.0,0.0,0.6991216411826221,0.6991216411826221,0.0,0.004062866087430175,0.40628660874301753,1.0,0.8343232294168442,observed,observed,26,49,23,6701330238.14,40.0,2025-05,2026-05
administrador,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",6694362068.5199995,15.0,4803016680.06,70.0,4803016680.06,70.0,4803016680.06,5453020581.64,0.006983946813093349,0.006137256146676764,0.08466906664165849,0.006137256146676764,0.006137256146676764,0.08466906664165849,0.08466906664165849,0.006137256146676764,0.006818589210979675,0.06813330643029103,1.0,0.8343232294168442,observed,observed,27,27,0,1891345388.459999,-55.0,2025-05,2026-05
administrador,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6405709837.68,54.0,12664929313.23,100.0,12664929313.23,100.0,12664929313.23,4868507444.37,0.006682808062748915,0.0161831449800163,-0.9500336917267385,0.0161831449800163,0.0161831449800163,-0.9500336917267385,-0.9500336917267385,0.0161831449800163,0.006087699805411642,-1.0095445174604658,1.0,0.8343232294168442,observed,observed,28,14,-14,-6259219475.549999,-46.0,2025-05,2026-05
administrador,BANCO FINAXIS S.A,5337533438.6,17.0,5228370960.1,17.0,5228370960.1,17.0,5228370960.1,5337533438.6,0.0055684244841765675,0.006680770430216198,-0.11123459460396301,0.006680770430216198,0.006680770430216198,-0.11123459460396301,-0.11123459460396301,0.006680770430216198,0.006674181285913201,-0.0006589144302997056,1.0,0.8343232294168442,observed,observed,29,24,-5,109162478.5,0.0,2025-05,2026-05
administrador,RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA,3951789316.1,18.0,5212798922.83,10.0,5212798922.83,10.0,5212798922.83,3936217556.92,0.004122735836171256,0.0066608726060324195,-0.25381367698611634,0.0066608726060324195,0.0066608726060324195,-0.25381367698611634,-0.25381367698611634,0.0066608726060324195,0.004921941915284592,-0.17389306907478275,1.0,0.8343232294168442,observed,observed,30,25,-5,-1261009606.73,8.0,2025-05,2026-05
administrador,MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3195698423.1,80.0,1779679377.41,48.0,1779679377.41,48.0,1779679377.41,2367655916.37,0.003333937959909437,0.002274060018044109,0.10598779418653283,0.002274060018044109,0.002274060018044109,0.10598779418653283,0.10598779418653283,0.002274060018044109,0.0029605743908300694,0.06865143727859606,1.0,0.8343232294168442,observed,observed,31,33,2,1416019045.6899998,32.0,2025-05,2026-05
administrador,BANCO J. SAFRA S.A,2956263542.31,4.0,1919853143.0900002,3.0,1919853143.0900002,3.0,1919853143.0900002,2809715979.26,0.0030841456039655945,0.0024531729302673623,0.06309726736982323,0.0024531729302673623,0.0024531729302673623,0.06309726736982323,0.06309726736982323,0.0024531729302673623,0.003513337016662709,0.10601640863953468,1.0,0.8343232294168442,observed,observed,32,31,-1,1036410399.2199998,1.0,2025-05,2026-05
administrador,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,2397272549.62,21.0,1779832365.5100002,17.0,1779832365.5100002,17.0,1779832365.5100002,2389790737.93,0.0025009737763909455,0.00227425550500983,0.022671827138111538,0.00227425550500983,0.00227425550500983,0.022671827138111538,0.022671827138111538,0.00227425550500983,0.0029882523086402725,0.07139968036304423,1.0,0.8343232294168442,observed,observed,33,32,-1,617440184.1099997,4.0,2025-05,2026-05
administrador,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,2345324337.75,63.0,1102219225.54,36.0,1102219225.54,36.0,1102219225.54,2013288889.02,0.002446778388537418,0.0014084068758316623,0.10383715127057558,0.0014084068758316623,0.0014084068758316623,0.10383715127057558,0.10383715127057558,0.0014084068758316623,0.0025174652638351833,0.1109058388003521,1.0,0.8343232294168442,observed,observed,34,36,2,1243105112.21,27.0,2025-05,2026-05
administrador,AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2082665554.33,95.0,1340590069.85,63.0,1340590069.85,63.0,1340590069.85,1249355027.92,0.002172757510278792,0.001712995226628687,0.045976228365010474,0.001712995226628687,0.001712995226628687,0.045976228365010474,0.045976228365010474,0.001712995226628687,0.0015622238329231603,-0.015077139370552679,1.0,0.8343232294168442,observed,observed,35,35,0,742075484.48,32.0,2025-05,2026-05
administrador,CAIXA ECONOMICA FEDERAL,1865099983.25,4.0,1426885263.8100002,3.0,1426885263.8100002,3.0,1426885263.8100002,1372601163.75,0.001945780486743086,0.0018232625325404915,0.012251795420259448,0.0018232625325404915,0.0018232625325404915,0.012251795420259448,0.012251795420259448,0.0018232625325404915,0.0017163337907866666,-0.010692874175382488,1.0,0.8343232294168442,observed,observed,36,34,-2,438214719.4399998,1.0,2025-05,2026-05
administrador,FINVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1047476681.53,33.0,2979023854.8399997,7.0,2979023854.8399997,7.0,2979023854.8399997,767154476.48,0.001092788432547146,0.003806572760847689,-0.2713784328300543,0.003806572760847689,0.003806572760847689,-0.2713784328300543,-0.2713784328300543,0.003806572760847689,0.0009592685665066916,-0.28473041943409977,1.0,0.8343232294168442,observed,observed,37,30,-7,-1931547173.3099997,26.0,2025-05,2026-05
administrador,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,958433386.06,8.0,693543643.85,5.0,693543643.85,5.0,693543643.85,916535532.49,0.0009998933017998303,0.0008862044991178004,0.011368880268202992,0.0008862044991178004,0.0008862044991178004,0.011368880268202992,0.011368880268202992,0.0008862044991178004,0.0011460582625265443,0.02598537634087439,1.0,0.8343232294168442,observed,observed,38,37,-1,264889742.20999992,3.0,2025-05,2026-05
administrador,INTEGRAL ACCESS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,889201023.08,4.0,0.0,0.0,0.0,0.0,0.0,234003155.14,0.0009276660849495788,0.0,0.09276660849495788,0.0,0.0,0.09276660849495788,0.09276660849495788,0.0,0.00029260322147783597,0.029260322147783596,1.0,0.8343232294168442,observed,observed,39,49,10,889201023.08,4.0,2025-05,2026-05
administrador,WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,686294323.12,21.0,207266848.47,12.0,207266848.47,12.0,207266848.47,661410842.68,0.000715982046046941,0.0002648439146705063,0.04511381313764347,0.0002648439146705063,0.0002648439146705063,0.04511381313764347,0.04511381313764347,0.0002648439146705063,0.0008270441617453917,0.05622002470748854,1.0,0.8343232294168442,observed,observed,40,41,1,479027474.65,9.0,2025-05,2026-05
administrador,BR-CAPITAL DTVM S.A,640384800.38,1.0,509313725.99,1.0,509313725.99,1.0,509313725.99,640384800.38,0.000668086568965053,0.0006507969893995714,0.0017289579565481629,0.0006507969893995714,0.0006507969893995714,0.0017289579565481629,0.0017289579565481629,0.0006507969893995714,0.0008007526884179127,0.014995569901834127,1.0,0.8343232294168442,observed,observed,41,38,-3,131071074.38999999,0.0,2025-05,2026-05
administrador,LASTRO RDV DTVM LTDA,639716187.72,8.0,294704425.69,5.0,294704425.69,5.0,294704425.69,445999507.79,0.0006673890334555891,0.00037657094873886715,0.029081808471672195,0.00037657094873886715,0.00037657094873886715,0.029081808471672195,0.029081808471672195,0.00037657094873886715,0.0005576886032959974,0.018111765455713028,1.0,0.8343232294168442,observed,observed,42,40,-2,345011762.03000003,3.0,2025-05,2026-05
administrador,SANTANDER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,507114261.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005290510127526484,0.0,0.05290510127526484,0.0,0.0,0.05290510127526484,0.05290510127526484,0.0,0.0,0.0,1.0,0.8343232294168442,observed,observed,43,49,6,507114261.73,1.0,2025-05,2026-05
administrador,INTRA INVESTIMENTOS DTVM LTDA,444284369.98,26.0,339486820.43,17.0,339486820.43,17.0,339486820.43,408265842.72999996,0.0004635032252617601,0.0004337935331454524,0.0029709692116307676,0.0004337935331454524,0.0004337935331454524,0.0029709692116307676,0.0029709692116307676,0.0004337935331454524,0.0005105055131871651,0.007671198004171275,1.0,0.8343232294168442,observed,observed,44,39,-5,104797549.55000001,9.0,2025-05,2026-05
administrador,BARU DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,344831175.65000004,10.0,0.0,0.0,0.0,0.0,0.0,256647374.43,0.0003597478842025761,0.0,0.035974788420257614,0.0,0.0,0.035974788420257614,0.035974788420257614,0.0,0.0003209181025662575,0.032091810256625754,1.0,0.8343232294168442,observed,observed,45,49,4,344831175.65000004,10.0,2025-05,2026-05
administrador,LIONS TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,182357206.23,4.0,10380869.07,1.0,10380869.07,1.0,10380869.07,170711241.1,0.0001902456150801205,1.326459114168813e-05,0.01769810239384324,1.326459114168813e-05,1.326459114168813e-05,0.01769810239384324,0.01769810239384324,1.326459114168813e-05,0.00021346147686963855,0.020019688572795045,1.0,0.8343232294168442,observed,observed,46,45,-1,171976337.16,3.0,2025-05,2026-05
administrador,ATIVA INVESTIMENTOS S.A. C.T.C.V,98331024.33999999,4.0,29526.93,1.0,29526.93,1.0,29526.93,98331024.33999999,0.00010258462823469194,3.772927405963762e-08,0.01025468989606323,3.772927405963762e-08,3.772927405963762e-08,0.01025468989606323,0.01025468989606323,3.772927405963762e-08,0.0001229554980824328,0.012291776880837317,1.0,0.8343232294168442,observed,observed,47,48,1,98301497.40999998,3.0,2025-05,2026-05
administrador,BANCO BNP PARIBAS BRASIL S/A,78056259.53,1.0,65171678.98,1.0,65171678.98,1.0,65171678.98,78056259.53,8.143281755703595e-05,8.327584808725945e-05,-0.0001843030530223507,8.327584808725945e-05,8.327584808725945e-05,-0.0001843030530223507,-0.0001843030530223507,8.327584808725945e-05,9.760344035243265e-05,0.0014327592265173197,1.0,0.8343232294168442,observed,observed,48,44,-4,12884580.550000004,0.0,2025-05,2026-05
administrador,DILLON S/A DTVM,67371559.23,2.0,66004334.440000005,2.0,66004334.440000005,2.0,66004334.440000005,67371559.23,7.028591844323585e-05,8.43398085480183e-05,-0.0014053890104782452,8.43398085480183e-05,8.43398085480183e-05,-0.0014053890104782452,-0.0014053890104782452,8.43398085480183e-05,8.424303191505606e-05,-9.677663296223918e-06,1.0,0.8343232294168442,observed,observed,49,43,-6,1367224.789999999,0.0,2025-05,2026-05
administrador,BFL ADMINISTRACAO DE RECURSOS LTDA,38424092.17,1.0,0.0,0.0,0.0,0.0,0.0,38424092.17,4.0086241722507294e-05,0.0,0.00400862417225073,0.0,0.0,0.00400862417225073,0.00400862417225073,0.0,4.8046416915091575e-05,0.004804641691509157,1.0,0.8343232294168442,observed,observed,50,49,-1,38424092.17,1.0,2025-05,2026-05
administrador,MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,15993991.42,3.0,2413417.44,1.0,2413417.44,1.0,2413417.44,3199595.12,1.66858595730312e-05,3.0838454256527523e-06,0.0013602014147378447,3.0838454256527523e-06,3.0838454256527523e-06,0.0013602014147378447,0.0013602014147378447,3.0838454256527523e-06,4.000851351669357e-06,9.170059260166048e-05,1.0,0.8343232294168442,observed,observed,51,46,-5,13580573.98,2.0,2025-05,2026-05
administrador,HEDGE INVESTMENTS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,0.0,0.0,151250505.09,2.0,151250505.09,2.0,151250505.09,0.0,0.0,0.00019326668089771691,-0.019326668089771692,0.00019326668089771691,0.00019326668089771691,-0.019326668089771692,-0.019326668089771692,0.00019326668089771691,0.0,-0.019326668089771692,1.0,0.8343232294168442,observed,observed,52,42,-10,-151250505.09,-2.0,2025-05,2026-05
administrador,SICOOB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,0.0,0.0,150599.47,1.0,150599.47,1.0,150599.47,0.0,0.0,1.9243479348737488e-07,-1.9243479348737487e-05,1.9243479348737488e-07,1.9243479348737488e-07,-1.9243479348737487e-05,-1.9243479348737487e-05,1.9243479348737488e-07,0.0,-1.9243479348737487e-05,1.0,0.8343232294168442,observed,observed,52,47,-5,-150599.47,-1.0,2025-05,2026-05
custodiante,BTG PACTUAL,145656936481.02,426.0,95696424528.98,321.0,34614403674.71,140.0,34614403674.71,37712861562.81,0.15195776489670174,0.12228012284315755,2.9677642053544186,0.044230007069954815,0.7342442931123617,-58.228652821565994,10.772775782674692,0.14268401761252,0.14256682984346603,-0.011718776905397799,0.30998571395759317,0.2759705377590304,indeterminate,not_decision_grade,1,2,1,49960511952.03999,105.0,2025-05,2026-05
custodiante,QI TECH + SINGULARE,138779724251.94,796.0,103084891622.19,713.0,41665311000.99,284.0,41665311000.99,53193500044.82,0.14478305818997764,0.13172104676719348,1.3062011422784154,0.0532395998343338,0.7432538858767408,-59.847082768676316,9.154345835564385,0.17174855948883214,0.2010886566387405,2.9340097149908373,0.30998571395759317,0.2759705377590304,same_direction,directional_only,2,1,-1,35694832629.75,83.0,2025-05,2026-05
custodiante,OLIVEIRA TRUST,116525130023.44,202.0,92198936627.93,158.0,26579920128.19,55.0,26579920128.19,28730655074.88,0.1215657746239007,0.11781106088720811,0.37547137366925887,0.03396360850924084,0.7239778945516477,-60.2412119927747,8.760216611465985,0.10956507664700686,0.10861118047300289,-0.09538961740039736,0.30998571395759317,0.2759705377590304,indeterminate,not_decision_grade,3,3,0,24326193395.51001,44.0,2025-05,2026-05
custodiante,BANCO DAYCOVAL S.A,63717633407.03,475.0,45768285797.2,316.0,20910506114.739998,114.0,20910506114.739998,22097902128.3,0.06647393108052474,0.05848234808300012,0.7991582997524622,0.026719276806926883,0.7167335628493339,-65.02596317688092,3.975465427359785,0.08619518772591613,0.0835372263485214,-0.2657961377394727,0.30998571395759317,0.2759705377590304,indeterminate,not_decision_grade,4,6,2,17949347609.83,159.0,2025-05,2026-05
custodiante,GRUPO BB,60841973938.55,1.0,74619761016.06,1.0,0.0,0.0,0.0,0.0,0.06347387632177867,0.09534853144704142,-3.1874655125262747,0.0,0.690014286042407,-62.65404097206283,6.347387632177867,0.0,0.0,0.0,0.30998571395759317,0.2759705377590304,indeterminate,not_decision_grade,5,4,-1,-13777787077.509995,0.0,2025-05,2026-05
custodiante,GRUPO BRADESCO/BEM,49908473842.659996,46.0,33196132803.940002,38.0,6736499065.96,18.0,6736499065.96,7437435711.38,0.052067414829395066,0.042417751939669276,0.964966288972579,0.008607844413967102,0.6986221304563741,-64.65547156269791,4.345957041542796,0.027768519729733987,0.028115915568222516,0.034739583848852895,0.30998571395759317,0.2759705377590304,same_direction,directional_only,6,8,2,16712341038.719994,8.0,2025-05,2026-05
custodiante,REAG/CBSF,49376060585.88,87.0,72822023827.11,166.0,18137327730.96,69.0,18137327730.96,10048484860.09,0.05151197043755037,0.09305139730241152,-4.153942686486115,0.02317573173610853,0.7131900177785154,-66.1678047340965,2.833623870144184,0.07476387037397159,0.03798652692655427,-3.6777343447417317,0.30998571395759317,0.2759705377590304,same_direction,directional_only,7,5,-2,-23445963241.230003,-79.0,2025-05,2026-05
custodiante,GRUPO GENIAL,42802969338.17,125.0,36648394328.88,107.0,18278781863.66,41.0,18278781863.66,21141339575.059998,0.04465454037898094,0.0468290239953826,-0.21744836164016568,0.023356480691028893,0.7133707667334359,-66.87162263544549,2.129805968795205,0.07534695838990862,0.07992111011890911,0.45741517290004835,0.30998571395759317,0.2759705377590304,indeterminate,not_decision_grade,8,7,-1,6154575009.290001,18.0,2025-05,2026-05
