denominacao_referencia,pl_brl,tipo_atual,foco_atual,tipo_proposto,foco_proposto,efeito,cnpj_fundo
COBUCCIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA DE RESPONS LIMITADA,1759550198.61,"Agro, Indústria e Comércio",Recebíveis Comerciais,Financeiro,Multicarteira Financeiro,Migra de Tipo,32526025000110
HOTFUND FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDAD,1702368453.87,Financeiro,Multicarteira Financeiro,Financeiro,Adquirência,Só Foco,38376526000143
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MT I RECEIVABLES RESPONSABILIDADE LIMITADA,1701914787.69,Financeiro,Crédito Pessoal,Financeiro,Crédito Consignado,Só Foco,40750266000176
VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,1610706096.38,Outros,Multicarteira Outros,Financeiro,Multicarteira Financeiro,Migra de Tipo,26722650000134
BV AUTO III SEGMENTO FINANCEIRO FIDC RESPONSABILIDADE LIMITADA,1461910524.62,Financeiro,Multicarteira Financeiro,Financeiro,Financiamento de Veículos,Só Foco,66929956000180
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SOMACRED BACH - RESPONSABILIDADE LIMITADA,1461275229.61,Outros,Multicarteira Outros,Financeiro,Crédito Consignado,Migra de Tipo,39669950000149
JC 4870 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,1447126452.7,Outros,Multicarteira Outros,Outros,Recuperação,Só Foco,13764696000174
IFOOD I FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADA,1389238751.96,"Agro, Indústria e Comércio",Recebíveis Comerciais,Financeiro,Adquirência,Migra de Tipo,52327260000170
LASSIE EDUCATION CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1380228129.74,Outros,Poder Público,Outros,Recuperação,Só Foco,45207707000101
FIDC BV AUTO I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,1246401933.83,Financeiro,Crédito Pessoal,Financeiro,Financiamento de Veículos,Só Foco,57532556000146
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS VIKING,1146731982.97,Financeiro,Financiamento de Veículos,"Agro, Indústria e Comércio",Recebíveis Comerciais,Migra de Tipo,47166884000112
CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS III - RESPONSABILIDADE LTDA,1073810964.54,Financeiro,Crédito Pessoal,Financeiro,Adquirência,Só Foco,60942242000126
FOR-TE FIDC,977835561.91,Fomento Mercantil,Fomento Mercantil,"Agro, Indústria e Comércio",Crédito Corporativo,Migra de Tipo,06182371000118
MEZZO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,969334455.98,Outros,Multicarteira Outros,"Agro, Indústria e Comércio",Crédito Corporativo,Migra de Tipo,40770670000101
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,904073803.43,"Agro, Indústria e Comércio",Recebíveis Comerciais,Financeiro,Adquirência,Migra de Tipo,54218673000141
TM II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,876161254.62,Outros,Multicarteira Outros,"Agro, Indústria e Comércio",Crédito Corporativo,Migra de Tipo,57976916000107
MALTA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,855320775.99,Outros,Multicarteira Outros,Outros,Recuperação,Só Foco,29043573000184
CEA PAY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS RESPONSABILIDADE LIMITADA,842505368.1,"Agro, Indústria e Comércio",Recebíveis Comerciais,Financeiro,Multicarteira Financeiro,Migra de Tipo,50168890000113
