ordem,imagem,raiz_cnpj_foto,nome_foto,cnpj_fundo,status_identidade,regra_identidade,observacao_identidade
25,IMG_8685.JPG,43616659,TALO 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,43616659000180,localizado,raiz exata + nome compatível,"Raiz confirmada por inspeção ampliada da foto."
26,IMG_8685.JPG,52343195,FARMTECH SYNGENTA FUNDO DE INVESTIMENTO EM DIREITO,52343195000176,localizado,raiz exata + nome compatível,
27,IMG_8685.JPG,44574361,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS UPL,44574361000117,localizado,raiz exata + nome compatível,
28,IMG_8685.JPG,45123558,CLASSE I DO CANAA FUNDO DE INVESTIMENTO NAS CADEIAS USINA COCAL,45123558000100,fora_base_fidc,raiz exata + oferta pública,"Canaã FIAGRO Imobiliário; não integra a base mensal FIDC."
29,IMG_8685.JPG,50857998,LEO I FUNDO INV DIR CREDITORIOS,50857998000113,localizado,raiz exata; nome oficial LEO MADEIRAS,"O texto fotografado é abreviado."
30,IMG_8685.JPG,38376526,HOTFUND FIDC,38376526000143,localizado,raiz exata + nome compatível,
31,IMG_8685.JPG,45598747,FIDC SUMUP,45598747000121,localizado,raiz exata; nome oficial SUMUP SOLO,"O texto fotografado é um nome operacional."
32,IMG_8685.JPG,41197066,MOVILEPAY CREDITO I FIDC SEGMENTO FINANCEIRO DE RE,41197066000109,localizado,raiz exata; nome oficial IFOOD PAGO CREDITO I,"Raiz confirmada por inspeção ampliada; o nome operacional diverge do cadastro atual."
33,IMG_8685.JPG,44124617,CLOUDWALK AKIRA II FUNDO DE INVESTIMENTO EM DIREITO,44124617000194,localizado,raiz exata + nome compatível,
34,IMG_8685.JPG,42085816,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIRE,42085816000105,localizado,raiz exata + nome compatível,
35,IMG_8685.JPG,38385876,ESTRATEGIA EDUCACIONAL FIDC,38385876000176,localizado,raiz exata + nome compatível,
36,IMG_8685.JPG,40919667,RECARGAPAY I FUNDO DE INVESTIMENTO EM DIREITOS CRE,40919667000107,localizado,raiz exata + nome compatível,
37,IMG_8685.JPG,42102603,CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIR,42102603000144,localizado,raiz exata + nome compatível,
38,IMG_8685.JPG,28169275,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS PAGSEGURO I,28169275000172,localizado,raiz exata + nome compatível,
39,IMG_8685.JPG,38658727,FIDC FORNEC MADEIRA MADEIRA I,38658727000133,localizado,raiz exata + nome compatível,
40,IMG_8685.JPG,52271464,KIWIFY FUNDO DE INVESTIMENTO E,52271464000136,localizado,raiz exata + nome compatível,
41,IMG_8685.JPG,29226654,INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDI,29226654000110,localizado,raiz exata + nome compatível,
42,IMG_8685.JPG,54857414,INDIE MERX RAIZ I CREDITO AGRO FUNDO DE INVESTIMEN,54857414000160,localizado,raiz exata + nome compatível,
43,IMG_8685.JPG,44124465,TMAQ21 FUNDO I E D CREDITORIOS,44124465000120,localizado,raiz exata + nome compatível,
44,IMG_8685.JPG,55401645,QUATA FIDC FGTS FUNDO DE INVESTIMENTO EM DIREITOS,55401645000128,localizado,raiz exata + nome compatível,
45,IMG_8685.JPG,63622842,DESBRAVA UNO ART ESP FIDC RL,63622842000103,localizado,raiz exata + nome compatível,
46,IMG_8686.jpg,44272584,LAVORO AGRO FIDC DAS CADEIAS PRODUTIVAS AGROINDUST,44272584000120,localizado,raiz exata + nome compatível,
47,IMG_8686.jpg,62838025,TOP 2025 J FIDC RESP LTDA,62838025000116,localizado,raiz exata; nome oficial ENDURANCE,"O nome fotografado diverge da denominação oficial associada à raiz."
48,IMG_8686.jpg,47280025,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ALBA,47280025000150,localizado,raiz exata; nome oficial FIDC AGRO CAPITAL FINANCE,"O nome fotografado diverge da denominação oficial associada à raiz."
49,IMG_8686.jpg,57270666,MOBILITAS FIDC RL,57270666000187,localizado,raiz exata + nome compatível,
50,IMG_8686.jpg,58288437,ALTOMAX FIDC SEG RECEB COM LTD,58288437000152,localizado,raiz exata + nome compatível,
51,IMG_8686.jpg,55476342,LAVORO AGRO II FUNDO DE INVESTIMENTO EM DIREITOS C,55476342000174,localizado,raiz exata + nome compatível,
52,IMG_8686.jpg,63679792,BLUE HEALTH FIDC RECEB LTDA,63679792000192,localizado,raiz exata + nome compatível,
53,IMG_8686.jpg,42154687,MULTIPLIKE PLUS FUNDO I D CRED,42154687000160,localizado,raiz exata + nome compatível,
54,IMG_8686.jpg,48946335,NAGRO OIKOS FIAGRO FUNDO DE INVESTIMENTO EM DIREI,48946335000123,localizado,raiz exata + nome compatível,
55,IMG_8686.jpg,55374251,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS BLUE,55374251000128,localizado,raiz exata + nome compatível,
56,IMG_8686.jpg,35868110,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS BV,35868110000154,localizado,raiz exata + nome compatível,
57,IMG_8686.jpg,48953864,FUNDO INVESTIMENTO E D C A II,48953864000154,localizado,raiz exata; nome oficial ASAAS II,"O texto fotografado é abreviado."
58,IMG_8686.jpg,65976848,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS AGIBANK II,65976848000104,localizado,raiz exata + nome compatível,
59,IMG_8686.jpg,50536324,MAQNELSON FUNDO DE INVESTIMENTO EM DIREITOS CREDIT,50536324000117,localizado,raiz exata + nome compatível,
60,IMG_8686.jpg,57816252,NATURA PAY FUNDO DE INVESTIMENTO EM DIREITOS CREDI,57816252000100,localizado,raiz exata + nome compatível,
61,IMG_8686.jpg,50473039,SELLER FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,50473039000102,localizado,raiz exata + nome compatível,
62,IMG_8686.jpg,62588266,VTK FIDC RESP LIMIT,62588266000154,localizado,raiz exata + nome compatível,
63,IMG_8686.jpg,50988212,CARTAO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM,50988212000105,localizado,raiz exata + nome compatível,
64,IMG_8686.jpg,58476088,CONSORCIO DALTEZ,58476088000100,localizado,raiz exata; nome oficial SAGA,"O nome fotografado diverge da denominação oficial associada à raiz."
65,IMG_8686.jpg,58349979,VOLKSWAGEN TERA FIDC SEGMENTO RECEBIVEIS COMERCIAI,58349979000198,localizado,raiz exata + nome compatível,
66,IMG_8686.jpg,54559035,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESP,54559035000194,localizado,raiz exata; nome oficial ESTRATEGIA VINCULADA I,"O texto fotografado é genérico."
67,IMG_8686.jpg,55070804,ESTRATEGIA VINCULADA II FUNDO DE INVESTIMENTO EM D,55070804000159,localizado,raiz exata + nome compatível,
68,IMG_8686.jpg,43866348,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS OPEA,43866348000179,localizado,raiz exata + nome compatível,
69,IMG_8686.jpg,47936340,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS OPEA,47936340000192,localizado,raiz exata + nome compatível,
70,IMG_8686.jpg,58291962,HELM FUNDO I E D C RESPONS,58291962000127,localizado,raiz exata + nome compatível,
71,IMG_8686.jpg,57259989,TRES TENTOS FUNDO DE INVESTIMENTO EM DIREITOS CRE,57259989000170,localizado,raiz exata + nome compatível,
72,IMG_8686.jpg,58171340,FRIMESA FUNDO DE INVESTIMENTO EM DIREITOS CREDITOR,58171340000165,localizado,raiz exata + nome compatível,
73,IMG_8686.jpg,51554551,CLASSE UNICA DO FIDC CREDITO NITRO AGRO RESPONSA,51554551000138,localizado,raiz exata + nome compatível,
74,IMG_8686.jpg,57752597,AGROMERCANTIL CREDITO AGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,57752597000148,localizado,raiz exata + nome compatível,
75,IMG_8686.jpg,47425750,FIDC CROPFIELD CEREALIS,47425750000179,localizado,raiz exata; nome oficial CEREALIS,"O texto fotografado usa uma referência operacional."
76,IMG_8686.jpg,37035970,CD BANCK FIDC,37035970000132,localizado,raiz exata; nome oficial CD CASH,"A denominação mudou ao longo da série; foi usada a vigente na competência."
77,IMG_8686.jpg,17468142,VALOREM FIDC MULTISSETORIAL,17468142000180,localizado,raiz exata + nome compatível,
78,IMG_8686.jpg,29492605,GAZIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIO,29492605000129,localizado,raiz exata + nome compatível,"Raiz confirmada por inspeção ampliada da foto."
79,IMG_8686.jpg,31739396,FIDC LF III,31739396000117,localizado,raiz exata + nome compatível,
80,IMG_8686.jpg,26749095,CREDITO UNIVERSITARIO II FUNDO DE INVESTIMENTO EM,26749095000134,localizado,raiz exata + nome compatível,
81,IMG_8686.jpg,62393829,TOP 2025 V FIDC RESP LIMITADA,62393829000159,localizado,raiz exata; nome oficial COMERCIAIS MEDICI I,"O nome fotografado diverge da denominação oficial associada à raiz."
82,IMG_8686.jpg,47640584,SOL AGORA GREEN ESG FIDC IS SEGMENTO FINANCEIRO DE,47640584000123,localizado,raiz exata + nome compatível,
83,IMG_8686.jpg,57028406,IS GREEN SOLFACIL VI FIDC RL,57028406000108,localizado,raiz exata + nome compatível,
84,IMG_8686.jpg,31570767,FUNDO DE INVESTIMENTO EM DIREITOS,31570767000180,localizado,raiz exata; nome oficial TRADEPAY VAREJO I,"O texto fotografado está truncado."
85,IMG_8686.jpg,54464892,FUNDO I E D C MF RECEIV,54464892000100,localizado,raiz exata; nome oficial MT FGTS RECEIVABLES II,"O texto fotografado está truncado."
86,IMG_8686.jpg,11468186,ATLANTA FIDC NAO PADRONIZADO,11468186000124,localizado,raiz exata + nome histórico compatível,"A denominação vigente em jun/26 é de responsabilidade limitada."
87,IMG_8686.jpg,43193260,RESIDENCE CLUB FIDC,43193260000133,localizado,raiz exata + nome compatível,
88,IMG_8686.jpg,58152340,MONEE II FUNDO DE INVESTIMENTO,58152340000118,localizado,raiz exata + nome compatível,
89,IMG_8686.jpg,52340225,INOVA CREDTECH III FUNDO DE INVESTIMENTO,52340225000190,localizado,raiz exata + nome compatível,
90,IMG_8686.jpg,63546406,PINE INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE,63546406000194,localizado,raiz exata + nome compatível,
91,IMG_8687.jpg,37294759,FUNDO I E D C GALLERIA,37294759000134,localizado,raiz exata; nome oficial GALLERIA HOME EQUITY,"O texto fotografado é abreviado."
92,IMG_8687.jpg,42085830,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITO,42085830000109,localizado,raiz exata + nome compatível,
93,IMG_8687.jpg,61288838,FIDC MOVILE III,61288838000117,localizado,raiz exata; nome oficial IFOOD PAGO CREDITO III,"O nome operacional diverge do cadastro atual."
94,IMG_8687.jpg,30035329,VIAINVEST II FIDC MULTISSETORIAL,30035329000159,localizado,raiz exata + nome compatível,
95,IMG_8687.jpg,63657457,MSV3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RECEBIVEIS COMERCIAIS,63657457000193,localizado,raiz exata + nome compatível,
96,IMG_8687.jpg,63066147,FUNDO DE INVESTIMENTO EM DIREITOS,63066147000102,localizado,raiz exata; nome oficial INCLUSAO CREDIARIA,"O texto fotografado está truncado."
97,IMG_8687.jpg,65836995,DAYCOVAL 0410 FUNDO DE INV EM DIREITOS CREDITORIOS,65836995000170,localizado,raiz exata; nome oficial PNEUCASH II,"O nome fotografado diverge da denominação oficial associada à raiz."
98,IMG_8687.jpg,65873297,ARCELORMITTAL VERTICE FUNDO DE INVESTIMENTO EM DIREITOS CRED,65873297000145,localizado,raiz exata + nome compatível,
99,IMG_8687.jpg,65347578,ICRED INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE,65347578000164,localizado,raiz exata + nome compatível,
100,IMG_8687.jpg,18185812,GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,18185812000114,localizado,raiz exata + nome compatível,
101,IMG_8687.jpg,49113994,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CAP RESPONSABILIDADE LIMITADA,49113994000141,localizado,raiz exata + nome compatível,
