scope,scope_label,measure,participant,volume_brl,operations,registrations,share,rank,universe_volume_brl,universe_operations
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,BRADESCO BBI,14744386680.29,62,101,0.17869834914630753,2.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,BTG PACTUAL,12795175038.58,49,90,0.15507438227246195,3.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,XP INVESTIMENTOS,6064532493.56,41,81,0.07350064593680317,4.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,SANTANDER,5896399172.61,33,56,0.07146291133707139,5.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,UBS BB,4635954076.7,22,31,0.056186626014890315,6.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,CEF,2425725000.0,9,10,0.02939919186753186,7.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,ABC BRASIL,2357068918.19,12,21,0.028567097000222023,8.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,SAFRA,2166564477.33,19,36,0.026258229915758605,9.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,BR PARTNERS,1799511987.56,14,22,0.021809643793175255,10.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,VOTORANTIM,1745111842.0,9,11,0.021150327375634066,11.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,CITIGROUP,1413200920.39,4,6,0.017127648437443747,12.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,BB-BI,1367166619.27,8,18,0.016569724002021502,13.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,M7 IB,757443687.0,5,6,0.009180031653614381,14.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,INTER,586385502.54,14,37,0.007106848425733564,15.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,DAYCOVAL,551925364.57,14,26,0.006689200008059818,16.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,BOCOM BBM,282265506.66,3,3,0.003420988689106734,17.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,ASA ASSET 2 GESTÃO DE RECURSOS LTDA,204234000.0,1,1,0.002475265972801328,18.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,One Corporate,175298477.0,4,5,0.002124574533143337,19.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,BNDES,130000000.0,3,3,0.0015755681055268597,20.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,MAX CAPITAL MARKETS,100000000.0,1,3,0.001211975465789892,21.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,BAMBOO SEC,65000000.0,2,2,0.0007877840527634298,22.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,TERRA,59847092.5,1,1,0.0007253320780885826,23.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,EQI Investimentos CTVM,58087000.0,1,1,0.0007040001888133746,24.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,BANCO BS2,50000000.0,1,1,0.000605987732894946,25.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,BNP PARIBAS,37200000.0,1,1,0.00045085487327383984,26.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,CANAL COMPANHIA DE SECURITIZAÇÃO,25000000.0,1,1,0.000302993866447473,27.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.,20787000.0,2,2,0.00025193334007374486,28.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,RB CAPITAL DTVM,17397193.05,3,7,0.00021084971150210424,29.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,GENIAL CV,13995551.65,4,12,0.00016962265229995244,30.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,RABOBANK,6462936.1,2,2,7.832919990167808e-05,31.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,ANDBANK,4083500.0,4,8,4.949101814553024e-05,32.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,WARREN,3469500.0,2,5,4.2049488785580305e-05,33.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,OPEA SECURITIZADORA,1500000.0,1,1,1.8179631986848382e-05,34.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,UNICRED DTVM,1078000.0,2,8,1.3065095521215037e-05,35.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CCTVM LTDA,703499.97,2,7,8.52624703823925e-06,36.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,C6 CTVM,49999.990000000005,2,4,6.059876116973996e-07,37.0,82509921052.59001,198
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,JIVE HIGH YIELD GESTÃO DE RECURSOS LTDA.,11064.85,1,1,1.3410326732645289e-07,38.0,82509921052.59001,198
securitizacao,Tipo 1.3 — Securitização,originacao_valor,ITAU BBA,13713967413.19,33,67,0.37607394823195145,1.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,BRADESCO BBI,6868266956.87,19,43,0.1883463912490314,2.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,UBS BB,3446586206.89,6,12,0.09451468300123413,3.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,XP INVESTIMENTOS,2729134300.86,12,27,0.07484021806793299,4.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,BTG PACTUAL,2266565999.98,8,22,0.062155348547857175,5.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,SAFRA,1435072999.98,4,11,0.03935356945536243,6.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,BR PARTNERS,1321150073.96,9,18,0.036229495779843024,7.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,ABC BRASIL,1098125000.0,3,4,0.030113547156675753,8.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,SANTANDER,877171119.99,8,20,0.024054396253880887,9.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,BB-BI,744652999.98,2,8,0.020420392241555195,10.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,VOTORANTIM,701489021.48,5,7,0.019236719615916505,11.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,One Corporate,310761944.0,4,5,0.008521930067291274,12.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,ASA ASSET 2 GESTÃO DE RECURSOS LTDA,209004000.0,1,1,0.00573145298571097,13.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,CEF,156847620.0,4,4,0.004301184474702205,14.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,CANAL COMPANHIA DE SECURITIZAÇÃO,106500000.0,2,4,0.0029205170378472103,15.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,DAYCOVAL,104146999.98,4,10,0.002855991435514207,16.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,BOCOM BBM,90000000.0,1,1,0.0024680425671948255,17.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,TERRA,88205000.0,1,1,0.002418818829326884,18.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,EQI Investimentos CTVM,75281344.0,1,2,0.002064417350084853,19.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,BAMBOO SEC,65000000.0,2,2,0.001782475187418485,20.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,INTER,24999999.99,1,4,0.0006855673795021134,21.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.,14703000.0,1,1,0.0004031958873940613,22.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,M7 IB,8654760.0,1,1,0.00023733684543172318,23.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,GENIAL CV,8358999.98,1,4,0.00022922630855356328,24.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,originacao_valor,OPEA SECURITIZADORA,1500000.0,1,1,4.113404278658043e-05,25.0,36466145761.130005,89
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,ITAU BBA,9474152272.45,30,64,0.33544248606714827,1.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,BRADESCO BBI,4942962468.2699995,21,43,0.17501086864675433,2.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,UBS BB,2825125336.71,8,15,0.10002658170832064,3.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,BTG PACTUAL,2601860990.02,19,38,0.09212166891505347,4.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,XP INVESTIMENTOS,1537243321.86,15,33,0.054427742635541544,5.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,BR PARTNERS,1205394987.56,10,16,0.042678297719131314,6.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,SAFRA,1114858845.8799999,7,18,0.03947276886855762,7.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,ABC BRASIL,998125000.0,2,3,0.03533968230375403,8.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,BB-BI,989564419.27,5,14,0.03503658579446527,9.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,INTER,586385502.54,14,37,0.020761605377373326,10.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,SANTANDER,582718018.89,8,22,0.020631754199369357,11.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,VOTORANTIM,497210688.16,3,4,0.017604275774682848,12.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,ASA ASSET 2 GESTÃO DE RECURSOS LTDA,204234000.0,1,1,0.007231123031308605,13.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,One Corporate,175298477.0,4,5,0.006206629916605568,14.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,DAYCOVAL,96832864.57,6,14,0.003428471053691912,15.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,BAMBOO SEC,65000000.0,2,2,0.002301394464364696,16.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,BOCOM BBM,62366666.660000004,1,1,0.00220815848326465,17.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,TERRA,59847092.5,1,1,0.0021189502675049523,18.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,CEF,58175000.0,3,3,0.002059748045606403,19.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,EQI Investimentos CTVM,58087000.0,1,1,0.00205663231156234,20.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,CANAL COMPANHIA DE SECURITIZAÇÃO,25000000.0,1,1,0.0008851517170633446,21.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,M7 IB,21000000.0,1,1,0.0007435274423332095,22.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.,20787000.0,2,2,0.0007359859497038298,23.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,RB CAPITAL DTVM,17397193.05,3,7,0.0006159662120115994,24.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,GENIAL CV,13995551.65,4,12,0.000495527462969849,25.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,ANDBANK,3720000.0,3,5,0.00013171057549902568,26.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,WARREN,3071500.0,1,3,0.00010874973995840252,27.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,OPEA SECURITIZADORA,1500000.0,1,1,5.3109103023800675e-05,28.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,UNICRED DTVM,1078000.0,2,8,3.816774203977142e-05,29.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CCTVM LTDA,703499.97,2,7,2.4908168255980454e-05,30.0,28243745697.0,81
securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,C6 CTVM,49999.990000000005,2,4,1.7703030800660025e-06,31.0,28243745697.0,81
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),originacao_valor,ITAU BBA,11442565413.23,19,35,0.4566152303076336,1.0,25059535148.489998,43
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),originacao_valor,BRADESCO BBI,5174486206.889999,9,12,0.20648771719940687,2.0,25059535148.489998,43
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),originacao_valor,UBS BB,3296586206.89,5,9,0.1315501739100951,3.0,25059535148.489998,43
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),originacao_valor,ABC BRASIL,1098125000.0,3,4,0.043820645255112374,4.0,25059535148.489998,43
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),originacao_valor,BTG PACTUAL,1020000000.0,1,3,0.04070306946860751,5.0,25059535148.489998,43
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),originacao_valor,SAFRA,1020000000.0,1,2,0.04070306946860751,5.0,25059535148.489998,43
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),originacao_valor,XP INVESTIMENTOS,730166300.0,2,3,0.02913726434562364,7.0,25059535148.489998,43
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),originacao_valor,VOTORANTIM,631489021.48,4,5,0.025199550499964137,8.0,25059535148.489998,43
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),originacao_valor,BR PARTNERS,517107000.0,5,10,0.02063513935657179,9.0,25059535148.489998,43
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),originacao_valor,BAMBOO SEC,65000000.0,2,2,0.002593823054372047,10.0,25059535148.489998,43
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),originacao_valor,DAYCOVAL,64010000.0,2,2,0.0025543171340054577,11.0,25059535148.489998,43
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),distribuicao_valor,ITAU BBA,8519318450.26,14,29,0.4247156061796298,1.0,20058877814.48,36
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),distribuicao_valor,BRADESCO BBI,3835549243.92,7,10,0.19121454746342856,2.0,20058877814.48,36
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),distribuicao_valor,UBS BB,2775022461.71,5,8,0.13834385389728937,3.0,20058877814.48,36
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),distribuicao_valor,BTG PACTUAL,1636146933.4,2,4,0.08156722168270583,4.0,20058877814.48,36
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),distribuicao_valor,ABC BRASIL,998125000.0,2,3,0.0497597626961703,5.0,20058877814.48,36
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),distribuicao_valor,SAFRA,810963037.03,1,2,0.040429132902169936,6.0,20058877814.48,36
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),distribuicao_valor,XP INVESTIMENTOS,681645000.0,3,6,0.03398221008694403,7.0,20058877814.48,36
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),distribuicao_valor,VOTORANTIM,434210688.16,2,3,0.021646808569049374,8.0,20058877814.48,36
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),distribuicao_valor,BR PARTNERS,232803000.0,5,7,0.011605983253556955,9.0,20058877814.48,36
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),distribuicao_valor,BAMBOO SEC,65000000.0,2,2,0.0032404604385733947,10.0,20058877814.48,36
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),distribuicao_valor,DAYCOVAL,64010000.0,2,2,0.003191105733432046,11.0,20058877814.48,36
fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),distribuicao_valor,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.,6084000.0,1,1,0.00030330709705046977,12.0,20058877814.48,36
cri,Tipo 1.3.2 — CRI,originacao_valor,ITAU BBA,1646715000.0,7,14,0.2665982656969982,1.0,6176765612.84,30
cri,Tipo 1.3.2 — CRI,originacao_valor,XP INVESTIMENTOS,1456615000.88,7,12,0.2358216406742147,2.0,6176765612.84,30
cri,Tipo 1.3.2 — CRI,originacao_valor,BR PARTNERS,804043073.96,4,8,0.13017218466062386,3.0,6176765612.84,30
cri,Tipo 1.3.2 — CRI,originacao_valor,BTG PACTUAL,680000000.0,3,5,0.11008997954956307,4.0,6176765612.84,30
cri,Tipo 1.3.2 — CRI,originacao_valor,SANTANDER,373323500.0,4,9,0.060439965412310746,5.0,6176765612.84,30
cri,Tipo 1.3.2 — CRI,originacao_valor,BRADESCO BBI,370818750.0,2,6,0.06003445382955079,6.0,6176765612.84,30
cri,Tipo 1.3.2 — CRI,originacao_valor,SAFRA,267500000.0,1,1,0.04330745519045312,7.0,6176765612.84,30
cri,Tipo 1.3.2 — CRI,originacao_valor,ASA ASSET 2 GESTÃO DE RECURSOS LTDA,209004000.0,1,1,0.0338371265967307,8.0,6176765612.84,30
cri,Tipo 1.3.2 — CRI,originacao_valor,CEF,103000000.0,3,3,0.016675393961183817,9.0,6176765612.84,30
cri,Tipo 1.3.2 — CRI,originacao_valor,EQI Investimentos CTVM,75281344.0,1,2,0.012187825913858268,10.0,6176765612.84,30
cri,Tipo 1.3.2 — CRI,originacao_valor,VOTORANTIM,70000000.0,1,2,0.011332792012455021,11.0,6176765612.84,30
cri,Tipo 1.3.2 — CRI,originacao_valor,CANAL COMPANHIA DE SECURITIZAÇÃO,58500000.0,2,3,0.00947097618183741,12.0,6176765612.84,30
cri,Tipo 1.3.2 — CRI,originacao_valor,One Corporate,45761944.0,2,3,0.007408722763394486,13.0,6176765612.84,30
cri,Tipo 1.3.2 — CRI,originacao_valor,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.,14703000.0,1,1,0.0023803720137018027,14.0,6176765612.84,30
cri,Tipo 1.3.2 — CRI,originacao_valor,OPEA SECURITIZADORA,1500000.0,1,1,0.00024284554312403617,15.0,6176765612.84,30
cri,Tipo 1.3.2 — CRI,distribuicao_valor,BR PARTNERS,972591987.56,5,9,0.19393334393804793,1.0,5015083883.0,32
cri,Tipo 1.3.2 — CRI,distribuicao_valor,ITAU BBA,776584839.84,8,13,0.15484982065254121,2.0,5015083883.0,32
cri,Tipo 1.3.2 — CRI,distribuicao_valor,XP INVESTIMENTOS,603257439.52,8,12,0.12028860405803106,3.0,5015083883.0,32
cri,Tipo 1.3.2 — CRI,distribuicao_valor,INTER,562762533.84,10,22,0.1122139822521489,4.0,5015083883.0,32
cri,Tipo 1.3.2 — CRI,distribuicao_valor,BTG PACTUAL,561313058.96,9,13,0.11192495919414715,5.0,5015083883.0,32
cri,Tipo 1.3.2 — CRI,distribuicao_valor,SANTANDER,403648106.4,4,9,0.08048681055331412,6.0,5015083883.0,32
cri,Tipo 1.3.2 — CRI,distribuicao_valor,SAFRA,220604000.0,4,8,0.043988097736071305,7.0,5015083883.0,32
cri,Tipo 1.3.2 — CRI,distribuicao_valor,BRADESCO BBI,218314746.79999998,5,9,0.04353162417482938,8.0,5015083883.0,32
cri,Tipo 1.3.2 — CRI,distribuicao_valor,BB-BI,211393500.0,3,6,0.04215153822582632,9.0,5015083883.0,32
cri,Tipo 1.3.2 — CRI,distribuicao_valor,ASA ASSET 2 GESTÃO DE RECURSOS LTDA,204234000.0,1,1,0.04072394495579766,10.0,5015083883.0,32
