cnpj,fundo,categoria_vigente,categoria_documental,status,pontuacao,margem,multi_flag,termos,documento_id,documento_data,evidencia
43309233000183,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LIVERPOOL RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,confirma,28,28,,\bCPR\b|CEDULA DE PRODUTO RURAL | PRODUTORES? RURA(?:L|IS) | AGRONEGOCIO | \bCDCA\b|\bCRA\b,250448,28/10/2021,"PONSAVEIS PELA COBRANCA EXTRAJUDICIAL DOS DIREITOS CREDITORIOS INADIMPLIDOS AGRO, BEM COMO PELA PRESTACAO D OS SERVICOS DE FORMALIZACAO DAS CPR-F, DOS CDCA, DOS CONTRATOS DE CESSAO, RESPECTIVOS TERMOS DE CESSAO E DAS GARANTIAS, CONFORME O CASO. JUR_SP - 41467275V21 - 13189002.477522 - 5 - “AGENTE DE COBRANCA JUDICIAL” SIGNIFICA O HACKMANN, COSTA & ADVOGADOS ASSOCIADOS, COM SEDE NA CIDADE DE PORTO"
43616659000180,TALÓ 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,confirma,28,24,multissacado,\bCPR\b|CEDULA DE PRODUTO RURAL | PRODUTORES? RURA(?:L|IS) | AGRONEGOCIO | INSUMOS? AGRICOLAS?|INSUMOS? AGROPECUARIOS? | \bCDCA\b|\bCRA\b,791844,28/11/2024,"DEVIDO NOS TERMOS DESTE REGULAMENTO AQUELES QUE SEJAM COTISTAS AO FINAL DO DIA UTIL IMEDIATAMENTE ANTERIOR A RESPECTIVA DATA DO PAGAMENTO. CPR-F SIGNIFICA UMA CEDULA DE PRODUTO RURAL COM LIQUIDACAO FINANCEIRA, CONFORME PREVISTA NO ARTIGO 4O-A DA LEI NO 8.929/94, OBSERVADAS AS DISPOSICOES DA LEI NO 13.986, DE 7 DE ABRIL DE 2020, CONFORME O CASO, A SER (I) EMITIDA POR EMISSORES DE FORMA ELETRONICA"
52343195000176,FARMTECH SYNGENTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,confirma,22,18,multissacado,\bCPR\b|CEDULA DE PRODUTO RURAL | PRODUTORES? RURA(?:L|IS) | AGRONEGOCIO | INSUMOS? AGRICOLAS?|INSUMOS? AGROPECUARIOS?,791944,27/11/2024,"DEVIDO NOS TERMOS DESTE REGULAMENTO AQUELES QUE SEJAM COTISTAS AO FINAL DO DIA UTIL IMEDIATAMENTE ANTERIOR A RESPECTIVA DATA DO PAGAMENTO. CPR-F SIGNIFICA UMA CEDULA DE PRODUTO RURAL COM LIQUIDACAO FINANCEIRA, CONFORME PREVISTA NO ARTIGO 4O-A DA LEI NO 8.929/94, A SER EMITIDA POR EMISSORES DE FORMA ELETRONICA OU DIGITAL, EM FAVOR DO FUNDO, POR MEIO DOS SISTEMAS ELETRONICOS, OBSERVADAS AS DISPOSIC"
44574361000117,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS UPL 02 - RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,confirma,32,32,,\bCPR\b|CEDULA DE PRODUTO RURAL | PRODUTORES? RURA(?:L|IS) | AGRONEGOCIO | INSUMOS? AGRICOLAS?|INSUMOS? AGROPECUARIOS? | \bCDCA\b|\bCRA\b,453355,28/04/2023,"SPONSAVEIS PELA COBRANCA EXTRAJUDICIAL DOS DIREITOS CREDITORIOS INADIMPLIDOS AGRO, BEM COMO PELA PRESTACAO DOS SERVICOS DE FORMALIZACAO DAS CPR-F, DOS CDCA, DOS CONTRATOS DE CESSAO REVENDA, RESPECTIVOS TERMOS DE CESSAO REVENDA E DAS GARANTIAS, CONFORME O CASO. AGENTE DE FORMALIZACAO E COBRANCA JUDICIAL SIGNIFICA O LUCHESI ADVOGADOS., COM SEDE NA CIDADE DE SAO PAULO, ESTADO DE SAO PAULO, NA AVENIDA"
45123558000100,CLASSE I DO CANAA FUNDO DE INVESTIMENTO NAS CADEIAS USINA COCAL,N/D,,sem documento,,,,,,,
50857998000113,LEO MADEIRAS FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Adquirência,Adquirência,confirma,26,26,,ARRANJOS? DE PAGAMENTO | SUBCREDENCIADORA | CREDENCIADORAS?\b | TRANSACOES? DE PAGAMENTO,1017825,06/10/2025,"DOS EMISSORES E DAS CRE DENCIADORAS E DA SUBCREDENCIADORA, CONFORME O CASO, BEM COMO DE OUTRAS EVENTUAIS RETENCOES PREVISTAS NAS REGRAS DO ARRANJO DE PAGAMENTO E/OU NO RESPECTIVO. “ENTIDADES REGISTRADORAS” SIGNIFICAM AS ENTIDADES AUTORIZADAS PELO BACEN A EXERCER A ATIVIDADE DE REGISTRO DE RECEBIVEIS DE ARRANJOS DE PAGAMENTOS, INCLUSIVE PARA FINS DA RESOLUCAO CMN 4.734/19 E DA RESOLUCAO BCB 264/22"
38376526000143,HOTFUND FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDAD,Adquirência,Adquirência,confirma,35,35,,ARRANJOS? DE PAGAMENTO | SUBCREDENCIADORA | CREDENCIADORAS?\b | INSTRUMENTOS? DE PAGAMENTO | TRANSACOES? DE PAGAMENTO,180263,28/05/2021,AO DA TRANSACAO DE PAGAMENTO DO RESPECTIVO NSU ; E (VI) DATA DE VENCIMENTO APLICAVEL COM BASE NO PRAZO DE LIQUIDACAO DEFINIDO NO RESPECTIVO ARRANJO DE PAGAMENTO. ARQUIVO DE RETORNO DE DIREITOS CREDITORIOS ADQUIRIDOS SIGNIFICA CADA ARQUIVO ELETRONICO QUE SERA ENVIADO PELO FUNDO AO AGENTE DE LIQUIDACAO INDICANDO O ACEITE OU NAO ACEITE DOS DIREITOS CREDITORIOS COM BASE NO ARQUIVO DE ENVIO. ARRANJO DE
45598747000121,SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,Adquirência,,sem evidência,0,0,,,883977,22/04/2025,
41197066000109,IFOOD PAGO CRÉDITO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO DE RESP LIMITADA,Financeiro,Financeiro,confirma,8,8,,CREDITO PESSOAL | \bCCB\b,825529,02/01/2025,"RCEIROS ” DA ANBIMA O FUNDO E CLASSIFICADO COMO “FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS”, TIPO “FINANCEIRO”, COM FOCO DE ATUACAO EM “CREDITO PESSOAL”, CONFORME O ANEXO COMPLEMENTAR V DAS “REGRAS E PROCEDIMENTOS DE ADMIN ISTRACAO E GESTAO DE RECURSOS DE TERCEIROS ”, DE 1O DE NOVEMBRO DE 2024. 2.5. OS COTISTAS DA CLASSE DO FUNDO TERAO SUA RESPONSABILIDADE LIMITADA AO VALOR POR ELES SUBSCRITO,"
44124617000194,CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,Adquirência,Adquirência,confirma,25,25,,ARRANJOS? DE PAGAMENTO | CREDENCIADORAS?\b | INSTRUMENTOS? DE PAGAMENTO | TRANSACOES? DE PAGAMENTO,513520,28/08/2023,"TORIOS CEDIDOS SAO ORIUNDOS DO PAGAMENTO DEVIDO PELOS DEVEDORES A CEDENTE, DECORRENTES DAS TRANSACOES DE PAGAMENTO REALIZADAS NO AMBITO DOS ARRANJOS DE PAGAMENTO, ENVOLVENDO INSTRUMENTOS DE PAGAMENTO UTILIZADOS PELOS USUARIOS -FINAIS PARA A REALIZACAO DE COMPRAS DE BENS, PRODUTOS E SERVICOS EM ESTABELECIMENTOS CREDENCIADOS, QUE TENHAM SIDO CAPTURADAS, PROCESSADAS E LIQUIDADAS PELO SISTEMA CLOUDWAL"
