competencia,n_admins,hhi_admin,share_top5,share_top10
2015-12,38,0.1324501003342419,0.6795337240829223,0.8303615630598495
2016-01,38,0.133716842984957,0.6839369165335557,0.83083389984889
2016-02,39,0.13472751096045593,0.6861340294566561,0.8318503153255568
2016-03,39,0.13192530765299137,0.6858294206652145,0.8340481228015983
2016-04,38,0.13949817254546568,0.6901108560299428,0.8362767919629378
2016-05,38,0.14266853853833902,0.701506236952293,0.8449280102117389
2016-06,39,0.1397110293765196,0.6928796047279622,0.8395184148195567
2016-07,39,0.1579760330999611,0.7114590443309562,0.8520337126280463
2016-08,40,0.15831743470537898,0.7125761824315407,0.8485335321213993
2016-09,39,0.15788145261445644,0.715221433342805,0.8509037873195654
2016-10,39,0.13997026427998424,0.7140855222840504,0.8537347815539171
2016-11,39,0.13917020544632253,0.7117574443723407,0.8523334224638841
2016-12,39,0.1410411703635162,0.7140689704211712,0.8513627268520778
2017-01,39,0.12675159249286044,0.6982746890575104,0.845244029717937
2017-02,39,0.1366994198190381,0.7156902406128725,0.8454321221192712
2017-03,39,0.14144637036957391,0.7135492650811289,0.8508941030128365
2017-04,39,0.12987815670402042,0.6982418772152635,0.8392491826240509
2017-05,39,0.12395651584464205,0.686846398005599,0.8347731516002918
2017-06,39,0.13155577503679802,0.7076798879556023,0.8490625714970091
2017-07,38,0.13651316885867987,0.7194233912394568,0.857346085661034
2017-08,38,0.1534049958664915,0.7304378302315075,0.8596419948723601
2017-09,39,0.1403154773975661,0.7122942864889594,0.8481837314385903
2017-10,39,0.12131578782987447,0.6859927522838946,0.830958079815194
2017-11,39,0.12206361963026519,0.6863965786500387,0.8311677076146963
2017-12,40,0.12901301589706893,0.692077696279229,0.8302940686178435
2018-01,40,0.12316619271099606,0.6931148301189785,0.8304718090945769
2018-02,38,0.11523341620581912,0.6882630743941138,0.8275426840411119
2018-03,38,0.11702341538124975,0.6874479898916679,0.8263718849318616
2018-04,39,0.12197318714738792,0.6936886147450656,0.8264628292204608
2018-05,39,0.11534689596536035,0.6794975689357027,0.8197935420146614
2018-06,37,0.12173478538843213,0.6965840209229103,0.8237286077087392
2018-07,38,0.12150353167977705,0.6934739056291968,0.8217898609038498
2018-08,38,0.11540859926545288,0.6792458417558921,0.8087151195437127
2018-09,39,0.11427111081506164,0.6749149477599927,0.8043858582040844
2018-10,39,0.11368720758190497,0.6718231196232207,0.8012432215954861
2018-11,39,0.10963996514142522,0.6632447374841606,0.8000050495106109
2018-12,37,0.1103912368501496,0.6742494650922358,0.8061909076289803
2019-01,49,0.11141899856010265,0.684177158211967,0.8174982179822609
2019-02,50,0.12274006108235859,0.7058585658446083,0.8226945673189987
2019-03,51,0.11463441484344432,0.6916629698988646,0.8138834954669748
2019-04,51,0.10735970325105378,0.6781293653482555,0.8070585892481331
2019-05,51,0.168495522144856,0.7431683558837394,0.8457339452921971
2019-06,51,0.18532668904667277,0.7608253442429616,0.8599694579160231
2019-07,50,0.16527727168740333,0.741404769029916,0.8530018581002013
2019-08,50,0.14690514765622775,0.714676924212476,0.8396529796939703
2019-09,50,0.1424480946644975,0.6943205559645672,0.8387462301073834
2019-10,51,0.1423741091172522,0.6916927856462415,0.8380491674319267
2019-11,50,0.1524507841732505,0.6968318102971504,0.8410309353067796
2019-12,49,0.13175797330120267,0.6760706048590824,0.8309694082914425
2020-01,49,0.11640006423289777,0.6471194347878103,0.8132340406148028
2020-02,50,0.1102653853571853,0.6399407604283847,0.8064941149462204
2020-03,50,0.11981494766888999,0.6605553308426374,0.8083008714226759
2020-04,50,0.10409330588225421,0.6347232668658583,0.7891573210922355
2020-05,51,0.10221704695749058,0.6300032613690052,0.7869984203994215
2020-06,51,0.09776133076480652,0.6161046411613498,0.7783375708668001
2020-07,51,0.09626762787907396,0.6164439880973275,0.7761119739795881
2020-08,51,0.09400886159334497,0.6066587355578964,0.7717493121665834
2020-09,50,0.09616004945187344,0.6095206128732311,0.7696298746710153
2020-10,50,0.08517973227102296,0.582513404404585,0.7534601044532219
2020-11,39,0.08717607268837607,0.5610276239700192,0.7654054724391989
2020-12,40,0.08613535930513704,0.5539146908448442,0.7568592331774787
2021-01,42,0.08890220808322447,0.5750199095879083,0.7581100589295698
2021-02,42,0.08877576515236003,0.5757045809149134,0.7637462856817557
2021-03,43,0.09237163196999511,0.5866824345577212,0.7726633617141315
2021-04,44,0.09855068547350244,0.6079066220319719,0.7869611968936682
2021-05,44,0.1038157787995051,0.6198848881059038,0.7962450304683362
