competencia,tp_oper,valor
2019-02,Resgates Solicitados,21889772.84
2019-02,Resgates no Mês,13768087467.72
2019-02,Amortizações,634310938.35
2019-02,Captações no Mês,33287725519.11
2019-03,Amortizações,795058551.61
2019-03,Captações no Mês,16231458052.51
2019-03,Resgates Solicitados,9516785.94
2019-03,Resgates no Mês,20387638803.65
2019-04,Resgates Solicitados,8083381.21
2019-04,Resgates no Mês,22799097137.83
2019-04,Amortizações,961105659.05
2019-04,Captações no Mês,18289835577.77
2019-05,Amortizações,926650397.7
2019-05,Captações no Mês,52890444340.84
2019-05,Resgates Solicitados,5687979.5
2019-05,Resgates no Mês,14492364043.98
2019-06,Resgates no Mês,31852733581.47
2019-06,Amortizações,718522297.25
2019-06,Captações no Mês,48886379346.46
2019-06,Resgates Solicitados,4552680.87
2019-07,Resgates Solicitados,6831799.8
2019-07,Resgates no Mês,28938641161.68
2019-07,Amortizações,736803529.58
2019-07,Captações no Mês,21731022796.66
2019-08,Resgates Solicitados,7388579.25
2019-08,Resgates no Mês,18654706098.19
2019-08,Amortizações,1551202937.38
2019-08,Captações no Mês,17610261932.13
2019-09,Resgates Solicitados,26310832.59
2019-09,Resgates no Mês,10693539529.93
2019-09,Amortizações,1446131810.3
2019-09,Captações no Mês,27744883773.81
2019-10,Amortizações,2817464367.5299997
2019-10,Captações no Mês,23509968234.91
2019-10,Resgates Solicitados,249557169.27999997
2019-10,Resgates no Mês,20422639454.78
2019-11,Resgates Solicitados,92872640.08
2019-11,Resgates no Mês,11636713272.35
2019-11,Amortizações,889781039.85
2019-11,Captações no Mês,22361973748.27
2019-12,Amortizações,1273664093.96
2019-12,Captações no Mês,62780281788.32
2019-12,Resgates Solicitados,267318667.72
2019-12,Resgates no Mês,70580344266.67
2020-01,Amortizações,1369588084.25
2020-01,Captações no Mês,19690667518.34
2020-01,Resgates Solicitados,230119743.25
2020-01,Resgates no Mês,26378822522.19
2020-02,Resgates no Mês,14067293723.69
