gap_id,status_lacuna,acao_revisada,responsavel,prazo,notas,updated_at_utc
snapshot_2026-05_63987794000149,pendente,,,,,
snapshot_2026-05_55586406000190,pendente,,,,,
snapshot_2026-05_63218738000140,pendente,,,,,
snapshot_2026-05_57456281000109,pendente,,,,,
snapshot_2026-05_15578550000160,pendente,,,,,
snapshot_2026-05_54083491000100,pendente,,,,,
snapshot_2026-05_64352617000159,pendente,,,,,
snapshot_2026-05_50041229000142,pendente,,,,,
snapshot_2026-05_65813874000103,pendente,,,,,
snapshot_2026-05_63673464000189,pendente,,,,,
snapshot_2026-05_63884724000165,pendente,,,,,
snapshot_2026-05_62145323000120,pendente,,,,,
snapshot_2026-05_60871114000139,pendente,,,,,
snapshot_2026-05_23076742000104,pendente,,,,,
snapshot_2026-05_44571204000158,pendente,,,,,
snapshot_2026-05_64125992000166,pendente,,,,,
snapshot_2026-05_20905862000170,pendente,,,,,
snapshot_2026-05_65782846000176,pendente,,,,,
snapshot_2026-05_61135235000185,pendente,,,,,
snapshot_2026-05_58407746000102,pendente,,,,,
snapshot_2026-05_61430639000100,pendente,,,,,
snapshot_2026-05_58610515000193,pendente,,,,,
snapshot_2026-05_58479412000136,pendente,,,,,
snapshot_2026-05_53129205000138,pendente,,,,,
snapshot_2026-05_62088020000113,pendente,,,,,
snapshot_2026-05_29109383000112,pendente,,,,,
snapshot_2026-05_66710965000186,pendente,,,,,
snapshot_2026-05_64276709000105,pendente,,,,,
snapshot_2026-05_27531301000106,pendente,,,,,
snapshot_2026-05_56886293000100,pendente,,,,,
snapshot_2026-05_44395545000110,pendente,,,,,
snapshot_2026-05_61289833000109,pendente,,,,,
snapshot_2026-05_20953316000105,pendente,,,,,
snapshot_2026-05_63823304000179,pendente,,,,,
snapshot_2026-05_55154982000168,pendente,,,,,
snapshot_2026-05_58731626000158,pendente,,,,,
snapshot_2026-05_61089007000116,pendente,,,,,
snapshot_2026-05_53272409000123,pendente,,,,,
snapshot_2026-05_63279654000116,pendente,,,,,
snapshot_2026-05_57660538000140,pendente,,,,,
snapshot_2026-05_62771666000109,pendente,,,,,
snapshot_2026-05_49743173000199,pendente,,,,,
snapshot_2026-05_49938183000180,pendente,,,,,
snapshot_2026-05_53560257000164,pendente,,,,,
snapshot_2026-05_56659005000185,pendente,,,,,
snapshot_2026-05_25306519000123,pendente,,,,,
snapshot_2026-05_31024416000173,pendente,,,,,
snapshot_2026-05_55567840000122,pendente,,,,,
snapshot_2026-05_59999281000180,pendente,,,,,
snapshot_2026-05_42043708000170,pendente,,,,,
snapshot_2026-05_61085513000137,pendente,,,,,
snapshot_2026-05_59260452000155,pendente,,,,,
snapshot_2026-05_62514003000109,pendente,,,,,
snapshot_2026-05_61532126000100,pendente,,,,,
snapshot_2026-05_63819527000162,pendente,,,,,
snapshot_2026-05_58137388000157,pendente,,,,,
snapshot_2026-05_59482333000147,pendente,,,,,
snapshot_2026-05_38305947000183,pendente,,,,,
snapshot_2026-05_61141562000140,pendente,,,,,
snapshot_2026-05_52343885000125,pendente,,,,,
snapshot_2026-05_38315192000106,pendente,,,,,
snapshot_2026-05_20861236000120,pendente,,,,,
snapshot_2026-05_51498070000152,pendente,,,,,
snapshot_2026-05_63528674000183,pendente,,,,,
snapshot_2026-05_09410142000100,pendente,,,,,
snapshot_2026-05_51730136000198,pendente,,,,,
snapshot_2026-05_64168109000115,pendente,,,,,
snapshot_2026-05_60300116000178,pendente,,,,,
snapshot_2026-05_56964123000105,pendente,,,,,
snapshot_2026-05_60115778000178,pendente,,,,,
snapshot_2026-05_56322644000150,pendente,,,,,
snapshot_2026-05_62456242000141,pendente,,,,,
snapshot_2026-05_56073212000153,pendente,,,,,
snapshot_2026-05_59509925000105,pendente,,,,,
snapshot_2026-05_23956975000193,pendente,,,,,
snapshot_2026-05_52349539000154,pendente,,,,,
snapshot_2026-05_46610394000109,pendente,,,,,
snapshot_2026-05_60707118000186,pendente,,,,,
snapshot_2026-05_63764461000150,pendente,,,,,
snapshot_2026-05_63821288000185,pendente,,,,,
snapshot_2026-05_39273409000117,pendente,,,,,
snapshot_2026-05_56213199000190,pendente,,,,,
snapshot_2026-05_65604780000124,pendente,,,,,
snapshot_2026-05_22397286000123,pendente,,,,,
snapshot_2026-05_61942198000117,pendente,,,,,
snapshot_2026-05_54233886000142,pendente,,,,,
snapshot_2026-05_60543693000190,pendente,,,,,
snapshot_2026-05_56348388000170,pendente,,,,,
snapshot_2026-05_61621939000168,pendente,,,,,
snapshot_2026-05_47117821000176,pendente,,,,,
snapshot_2026-05_60456307000123,pendente,,,,,
snapshot_2026-05_63951011000177,pendente,,,,,
snapshot_2026-05_54389751000170,pendente,,,,,
snapshot_2026-05_59929292000194,pendente,,,,,
snapshot_2026-05_62792509000171,pendente,,,,,
snapshot_2026-05_18675887000183,pendente,,,,,
snapshot_2026-05_62121679000124,pendente,,,,,
snapshot_2026-05_59137241000120,pendente,,,,,
snapshot_2026-05_47425628000100,pendente,,,,,
snapshot_2026-05_45018961000161,pendente,,,,,
snapshot_2026-05_58494685000150,pendente,,,,,
snapshot_2026-05_63679664000149,pendente,,,,,
snapshot_2026-05_64064985000100,pendente,,,,,
snapshot_2026-05_54023881000195,pendente,,,,,
snapshot_2026-05_53077542000129,pendente,,,,,
snapshot_2026-05_59695343000160,pendente,,,,,
snapshot_2026-05_63694302000127,pendente,,,,,
snapshot_2026-05_32302142000108,pendente,,,,,
snapshot_2026-05_57300010000160,pendente,,,,,
snapshot_2026-05_61995402000168,pendente,,,,,
snapshot_2026-05_62900415000179,pendente,,,,,
snapshot_2026-05_51296133000198,pendente,,,,,
snapshot_2026-05_61591473000103,pendente,,,,,
snapshot_2026-05_63249161000133,pendente,,,,,
snapshot_2026-05_66857424000185,pendente,,,,,
snapshot_2026-05_59905357000161,pendente,,,,,
snapshot_2026-05_65281804000151,pendente,,,,,
snapshot_2026-05_42866957000165,pendente,,,,,
snapshot_2026-05_21053703000158,pendente,,,,,
snapshot_2026-05_48169685000120,pendente,,,,,
snapshot_2026-05_62135021000171,pendente,,,,,
snapshot_2026-05_60373765000107,pendente,,,,,
snapshot_2026-05_59825500000105,pendente,,,,,
snapshot_2026-05_62347912000191,pendente,,,,,
snapshot_2026-05_13425492000109,pendente,,,,,
snapshot_2026-05_64738624000193,pendente,,,,,
snapshot_2026-05_55261422000102,pendente,,,,,
snapshot_2026-05_52362629000185,pendente,,,,,
snapshot_2026-05_29720600000106,pendente,,,,,
snapshot_2026-05_63428663000121,pendente,,,,,
snapshot_2026-05_61281536000117,pendente,,,,,
snapshot_2026-05_61755814000120,pendente,,,,,
snapshot_2026-05_64126861000101,pendente,,,,,
snapshot_2026-05_47542777000141,pendente,,,,,
snapshot_2026-05_61621790000117,pendente,,,,,
snapshot_2026-05_60417354000168,pendente,,,,,
snapshot_2026-05_57391980000118,pendente,,,,,
snapshot_2026-05_50309743000116,pendente,,,,,
snapshot_2026-05_58733274000170,pendente,,,,,
snapshot_2026-05_57658801000166,pendente,,,,,
snapshot_2026-05_14364744000108,pendente,,,,,
snapshot_2026-05_64155784000100,pendente,,,,,
snapshot_2026-05_44574109000108,pendente,,,,,
snapshot_2026-05_60602947000102,pendente,,,,,
snapshot_2026-05_46082697000198,pendente,,,,,
snapshot_2026-05_55659693000110,pendente,,,,,
snapshot_2026-05_58363382000106,pendente,,,,,
snapshot_2026-05_60124803000180,pendente,,,,,
snapshot_2026-05_65562163000103,pendente,,,,,
snapshot_2026-05_65947492000172,pendente,,,,,
snapshot_2026-05_60698656000151,pendente,,,,,
snapshot_2026-05_09636040000107,pendente,,,,,
snapshot_2026-05_63535955000163,pendente,,,,,
snapshot_2026-05_42794237000131,pendente,,,,,
snapshot_2026-05_63139835000147,pendente,,,,,
snapshot_2026-05_63672769000176,pendente,,,,,
snapshot_2026-05_64569883000138,pendente,,,,,
snapshot_2026-05_58284749000198,pendente,,,,,
snapshot_2026-05_62324138000101,pendente,,,,,
snapshot_2026-05_62031792000119,pendente,,,,,
snapshot_2026-05_59714044000126,pendente,,,,,
snapshot_2026-05_55694842000182,pendente,,,,,
snapshot_2026-05_58231315000120,pendente,,,,,
snapshot_2026-05_22101473000118,pendente,,,,,
snapshot_2026-05_51410150000104,pendente,,,,,
snapshot_2026-05_58242346000186,pendente,,,,,
snapshot_2026-05_44479995000190,pendente,,,,,
snapshot_2026-05_54585485000151,pendente,,,,,
snapshot_2026-05_60203969000191,pendente,,,,,
snapshot_2026-05_61561993000165,pendente,,,,,
snapshot_2026-05_61199031000108,pendente,,,,,
snapshot_2026-05_56320097000174,pendente,,,,,
snapshot_2026-05_51294885000110,pendente,,,,,
snapshot_2026-05_61746700000114,pendente,,,,,
snapshot_2026-05_61601122000128,pendente,,,,,
snapshot_2026-05_65424072000101,pendente,,,,,
snapshot_2026-05_26677268000156,pendente,,,,,
snapshot_2026-05_53926245000100,pendente,,,,,
snapshot_2026-05_60693131000123,pendente,,,,,
snapshot_2026-05_60550625000159,pendente,,,,,
snapshot_2026-05_64157229000117,pendente,,,,,
snapshot_2026-05_53190018000160,pendente,,,,,
snapshot_2026-05_57570843000140,pendente,,,,,
snapshot_2026-05_36232996000108,pendente,,,,,
snapshot_2026-05_63974821000149,pendente,,,,,
snapshot_2026-05_63834653000196,pendente,,,,,
snapshot_2026-05_60252007000122,pendente,,,,,
snapshot_2026-05_64510628000110,pendente,,,,,
snapshot_2026-05_64171337000144,pendente,,,,,
snapshot_2026-05_59151364000115,pendente,,,,,
snapshot_2026-05_60707702000131,pendente,,,,,
snapshot_2026-05_64656842000189,pendente,,,,,
snapshot_2026-05_64145940000151,pendente,,,,,
snapshot_2026-05_61622111000124,pendente,,,,,
snapshot_2026-05_51920831000112,pendente,,,,,
snapshot_2026-05_61385760000159,pendente,,,,,
snapshot_2026-05_60499242000101,pendente,,,,,
snapshot_2026-05_59815957000139,pendente,,,,,
snapshot_2026-05_65564636000101,pendente,,,,,
snapshot_2026-05_61177258000152,pendente,,,,,
snapshot_2026-05_48885265000140,pendente,,,,,
snapshot_2026-05_66571531000142,pendente,,,,,
snapshot_2026-05_61917809000177,pendente,,,,,
snapshot_2026-05_62193694000188,pendente,,,,,
