competencia,tipo_cotista,n_cotistas
2022-05,Seguradora,3
2022-05,Regime proprio (RPPS),182
2022-05,Capitalizacao,0
2022-05,Previdencia aberta (EAPC),12
2022-05,Investidor nao residente,187
2022-05,Outra PJ financeira,147
2022-05,Corretora/distribuidora,72
2022-05,Banco comercial,134
2022-05,PJ nao financeira,6755
2022-05,Pessoa fisica,9836
2022-05,Previdencia fechada (EFPC),144
2022-06,Seguradora,12
2022-06,Outros,4959
2022-06,Clube de investimento,11
2022-06,Outros fundos,16447
2022-06,FII,18
2022-06,Cotas de FIDC (outros FIDC/FIC-FIDC),264
2022-06,Capitalizacao,4
2022-06,Regime proprio (RPPS),183
2022-06,Banco comercial,151
2022-06,Previdencia aberta (EAPC),12
2022-06,Investidor nao residente,201
2022-06,Outra PJ financeira,251
2022-06,Corretora/distribuidora,78
2022-06,PJ nao financeira,2592
2022-06,Pessoa fisica,15106
2022-06,Previdencia fechada (EFPC),188
2022-07,Seguradora,2
2022-07,Clube de investimento,30
2022-07,Outros fundos,11956
2022-07,Outros,5151
2022-07,FII,11
2022-07,Cotas de FIDC (outros FIDC/FIC-FIDC),230
2022-07,Capitalizacao,0
2022-07,Regime proprio (RPPS),181
2022-07,Banco comercial,148
2022-07,Previdencia aberta (EAPC),13
2022-07,Previdencia fechada (EFPC),145
2022-07,PJ nao financeira,6771
2022-07,Pessoa fisica,22285
2022-07,Outra PJ financeira,141
2022-07,Corretora/distribuidora,77
2022-07,Investidor nao residente,199
2022-08,Outros,5123
2022-08,Clube de investimento,26
2022-08,Outros fundos,12338
2022-08,FII,12
2022-08,Cotas de FIDC (outros FIDC/FIC-FIDC),242
2022-08,Seguradora,2
2022-08,Previdencia fechada (EFPC),140
2022-08,Capitalizacao,4
2022-08,Investidor nao residente,191
2022-08,Outra PJ financeira,139
2022-08,Corretora/distribuidora,86
2022-08,Banco comercial,146
2022-08,PJ nao financeira,6889
2022-08,Pessoa fisica,22486
2022-08,Previdencia aberta (EAPC),13
2022-08,Regime proprio (RPPS),181
2022-09,Outros,5196
2022-09,Regime proprio (RPPS),181
2022-09,Clube de investimento,18
2022-09,Outros fundos,12370
2022-09,FII,19
2022-09,Cotas de FIDC (outros FIDC/FIC-FIDC),257
2022-09,Capitalizacao,5
2022-09,Seguradora,2
2022-09,Previdencia fechada (EFPC),140
2022-09,Investidor nao residente,189
2022-09,Outra PJ financeira,133
2022-09,Corretora/distribuidora,80
2022-09,Banco comercial,166
2022-09,PJ nao financeira,6781
2022-09,Pessoa fisica,22684
2022-09,Previdencia aberta (EAPC),13
2022-10,Outros,5166
2022-10,Clube de investimento,222
2022-10,Outros fundos,12895
2022-10,FII,14
2022-10,Cotas de FIDC (outros FIDC/FIC-FIDC),270
2022-10,Capitalizacao,5
2022-10,Seguradora,2
2022-10,Regime proprio (RPPS),181
2022-10,Previdencia fechada (EFPC),140
2022-10,Previdencia aberta (EAPC),13
2022-10,Investidor nao residente,198
2022-10,Outra PJ financeira,140
2022-10,Corretora/distribuidora,84
2022-10,Banco comercial,165
2022-10,PJ nao financeira,6843
2022-10,Pessoa fisica,23016
2022-11,Clube de investimento,271
2022-11,Outros fundos,12900
2022-11,FII,16
2022-11,Cotas de FIDC (outros FIDC/FIC-FIDC),257
2022-11,Capitalizacao,3
2022-11,Seguradora,1
2022-11,Regime proprio (RPPS),181
2022-11,Outros,5197
2022-11,Previdencia aberta (EAPC),14
2022-11,Investidor nao residente,205
2022-11,Outra PJ financeira,146
2022-11,Corretora/distribuidora,77
2022-11,Banco comercial,160
2022-11,PJ nao financeira,6526
2022-11,Pessoa fisica,21205
2022-11,Previdencia fechada (EFPC),141
2022-12,Clube de investimento,71
2022-12,Outros fundos,18124
2022-12,FII,19
2022-12,Cotas de FIDC (outros FIDC/FIC-FIDC),308
2022-12,Capitalizacao,8
2022-12,Seguradora,8
2022-12,Regime proprio (RPPS),216
2022-12,Outros,5128
2022-12,Previdencia aberta (EAPC),13
2022-12,Investidor nao residente,221
2022-12,Outra PJ financeira,260
2022-12,Corretora/distribuidora,81
2022-12,Banco comercial,173
2022-12,PJ nao financeira,2350
2022-12,Pessoa fisica,21639
2022-12,Previdencia fechada (EFPC),157
2023-01,Outros,5133
2023-01,Clube de investimento,65
2023-01,Outros fundos,18454
2023-01,FII,19
2023-01,Cotas de FIDC (outros FIDC/FIC-FIDC),437
2023-01,Capitalizacao,7
2023-01,Seguradora,7
2023-01,Regime proprio (RPPS),216
2023-01,Previdencia fechada (EFPC),161
2023-01,Investidor nao residente,236
2023-01,Outra PJ financeira,282
2023-01,Corretora/distribuidora,85
2023-01,Banco comercial,176
2023-01,PJ nao financeira,1900
2023-01,Pessoa fisica,22139
2023-01,Previdencia aberta (EAPC),14
2023-02,Seguradora,18
2023-02,Clube de investimento,65
2023-02,Outros fundos,18671
2023-02,FII,20
2023-02,Cotas de FIDC (outros FIDC/FIC-FIDC),433
2023-02,Capitalizacao,6
2023-02,Regime proprio (RPPS),222
2023-02,Outros,5102
2023-02,Previdencia aberta (EAPC),13
2023-02,Investidor nao residente,249
2023-02,Outra PJ financeira,317
2023-02,Corretora/distribuidora,101
2023-02,Banco comercial,193
2023-02,PJ nao financeira,1869
2023-02,Pessoa fisica,21981
2023-02,Previdencia fechada (EFPC),182
2023-03,Outros,5071
2023-03,Clube de investimento,73
2023-03,Outros fundos,18694
2023-03,FII,25
2023-03,Cotas de FIDC (outros FIDC/FIC-FIDC),472
2023-03,Capitalizacao,6
2023-03,Seguradora,19
2023-03,Regime proprio (RPPS),219
2023-03,Previdencia fechada (EFPC),178
2023-03,Previdencia aberta (EAPC),12
2023-03,Investidor nao residente,236
2023-03,Outra PJ financeira,269
2023-03,Corretora/distribuidora,107
2023-03,Banco comercial,194
2023-03,PJ nao financeira,1894
2023-03,Pessoa fisica,22133
2023-04,Clube de investimento,145
2023-04,Outros fundos,18919
2023-04,FII,28
2023-04,Cotas de FIDC (outros FIDC/FIC-FIDC),420
2023-04,Capitalizacao,16
2023-04,Seguradora,18
2023-04,Regime proprio (RPPS),219
2023-04,Outros,4971
2023-04,Previdencia aberta (EAPC),12
2023-04,Investidor nao residente,235
2023-04,Outra PJ financeira,283
2023-04,Corretora/distribuidora,107
2023-04,Banco comercial,201
2023-04,PJ nao financeira,1896
2023-04,Pessoa fisica,22140
2023-04,Previdencia fechada (EFPC),176
2023-05,Clube de investimento,66
2023-05,Outros fundos,19322
2023-05,FII,33
2023-05,Cotas de FIDC (outros FIDC/FIC-FIDC),444
2023-05,Capitalizacao,10
2023-05,Seguradora,18
2023-05,Regime proprio (RPPS),220
2023-05,Outros,4937
2023-05,Previdencia aberta (EAPC),12
2023-05,Investidor nao residente,243
2023-05,Outra PJ financeira,297
2023-05,Corretora/distribuidora,96
2023-05,Banco comercial,197
2023-05,PJ nao financeira,1956
2023-05,Pessoa fisica,22138
2023-05,Previdencia fechada (EFPC),178
2023-06,Outros,5053
2023-06,Clube de investimento,65
2023-06,Outros fundos,19761
2023-06,FII,42
2023-06,Cotas de FIDC (outros FIDC/FIC-FIDC),281
2023-06,Capitalizacao,12
2023-06,Seguradora,20
2023-06,Regime proprio (RPPS),220
2023-06,Previdencia fechada (EFPC),196
2023-06,Investidor nao residente,246
2023-06,Outra PJ financeira,291
2023-06,Corretora/distribuidora,102
2023-06,Banco comercial,205
2023-06,PJ nao financeira,1880
2023-06,Pessoa fisica,22579
2023-06,Previdencia aberta (EAPC),18
2023-07,Seguradora,20
2023-07,Outros,4717
2023-07,Clube de investimento,67
2023-07,Outros fundos,22066
2023-07,FII,23
2023-07,Cotas de FIDC (outros FIDC/FIC-FIDC),286
2023-07,Capitalizacao,11
2023-07,Regime proprio (RPPS),219
2023-07,Previdencia fechada (EFPC),196
2023-07,Previdencia aberta (EAPC),17
2023-07,Investidor nao residente,249
2023-07,Outra PJ financeira,287
2023-07,Corretora/distribuidora,43
2023-07,Banco comercial,216
2023-07,PJ nao financeira,1962
2023-07,Pessoa fisica,22881
2023-08,Outros,5076
2023-08,Clube de investimento,73
2023-08,Outros fundos,23377
2023-08,FII,11
2023-08,Cotas de FIDC (outros FIDC/FIC-FIDC),305
2023-08,Capitalizacao,10
2023-08,Seguradora,20
2023-08,Regime proprio (RPPS),220
2023-08,Previdencia aberta (EAPC),17
2023-08,Investidor nao residente,258
2023-08,Outra PJ financeira,311
2023-08,Corretora/distribuidora,92
2023-08,Banco comercial,220
2023-08,PJ nao financeira,2036
2023-08,Pessoa fisica,23051
2023-08,Previdencia fechada (EFPC),196
2023-09,Seguradora,17
2023-09,Outros,5101
2023-09,Clube de investimento,133
2023-09,Outros fundos,22645
2023-09,FII,65
2023-09,Cotas de FIDC (outros FIDC/FIC-FIDC),313
2023-09,Capitalizacao,13
2023-09,Regime proprio (RPPS),219
2023-09,Pessoa fisica,23306
2023-09,Previdencia aberta (EAPC),17
2023-09,Investidor nao residente,250
2023-09,Outra PJ financeira,311
2023-09,Corretora/distribuidora,95
2023-09,Banco comercial,219
2023-09,PJ nao financeira,2198
2023-09,Previdencia fechada (EFPC),192
2023-10,Seguradora,32
2023-10,Outros,5304
2023-10,Clube de investimento,180
2023-10,Outros fundos,23694
2023-10,FII,22
2023-10,Cotas de FIDC (outros FIDC/FIC-FIDC),315
2023-10,Capitalizacao,6
2023-10,Regime proprio (RPPS),209
2023-10,Pessoa fisica,23094
2023-10,Previdencia aberta (EAPC),17
2023-10,Investidor nao residente,251
2023-10,Outra PJ financeira,222
2023-10,Corretora/distribuidora,103
2023-10,Banco comercial,233
2023-10,PJ nao financeira,2110
2023-10,Previdencia fechada (EFPC),192
2023-11,Outros,5851
2023-11,Clube de investimento,92
2023-11,Outros fundos,24331
2023-11,FII,34
2023-11,Cotas de FIDC (outros FIDC/FIC-FIDC),344
2023-11,Capitalizacao,6
2023-11,Seguradora,18
2023-11,Regime proprio (RPPS),205
2023-11,Previdencia aberta (EAPC),17
2023-11,Investidor nao residente,242
2023-11,Outra PJ financeira,295
2023-11,Corretora/distribuidora,99
2023-11,Banco comercial,249
2023-11,PJ nao financeira,2415
2023-11,Pessoa fisica,22929
2023-11,Previdencia fechada (EFPC),189
2023-12,Seguradora,34
2023-12,Outros,6361
2023-12,Clube de investimento,95
2023-12,Outros fundos,26137
2023-12,FII,46
2023-12,Cotas de FIDC (outros FIDC/FIC-FIDC),387
2023-12,Capitalizacao,7
2023-12,Regime proprio (RPPS),208
2023-12,Previdencia fechada (EFPC),187
2023-12,Previdencia aberta (EAPC),17
2023-12,Investidor nao residente,253
2023-12,Outra PJ financeira,286
2023-12,Corretora/distribuidora,100
2023-12,Banco comercial,259
2023-12,PJ nao financeira,2300
2023-12,Pessoa fisica,25063
2024-01,Outros,5669
2024-01,Clube de investimento,114
2024-01,Outros fundos,26644
2024-01,FII,31
2024-01,Cotas de FIDC (outros FIDC/FIC-FIDC),420
2024-01,Capitalizacao,7
2024-01,Seguradora,20
2024-01,Regime proprio (RPPS),205
2024-01,Previdencia aberta (EAPC),17
2024-01,Investidor nao residente,246
2024-01,Outra PJ financeira,285
2024-01,Corretora/distribuidora,101
2024-01,Banco comercial,259
2024-01,PJ nao financeira,2276
2024-01,Pessoa fisica,21063
2024-01,Previdencia fechada (EFPC),187
2024-02,Seguradora,20
2024-02,Outros,5745
