competencia,n_veiculos,n_registros_classe,n_registros_fundo,pl_total,pl_fic_fidc,ativo_total,carteira_dc,dc_inadimplentes,dc_a_vencer_com_parcela_inad,inad_pct,dc_inadimplentes_ajustado,inad_pct_ajustada,carteira_dc_np,inad_pct_ajustada_ex_np,pl_condominio_aberto,pl_condominio_fechado,pl_exclusivo,x4_linhas_descartadas,x4_valor_descartado,captacoes,resgates,amortizacoes,captacao_liquida,cotistas_total,vl_cotas_total,vl_cotas_subordinadas,subordinacao_pct,x2_pl_coberto,vl_recompras,vl_substituicoes,tab4_duplicate_cnpjs,tab4_duplicate_rows_dropped,tab4_type_conflict_cnpjs,tab4_pl_conflict_cnpjs,tab4_class_preferred_cnpjs
2018-08,846,0,846,128543409266.27998,8688942309.190002,131052875765.75,97760092454.22,6897809726.860001,4451121041.549999,0.0705585434065559,3521697956.09,0.0360238811940483,25601304231.62,0.0206004536666322,44542162244.35,84001247021.93001,12048144710.45,0,0.0,15199894323.33,16172967078.53,560887833.3,-1533960588.4999988,23803,126033073700.9179,46768358312.69231,0.3710800422409415,127310001355.05,760306708.0799999,0.0,,,,,
2018-09,857,0,857,130546002952.83,8842191227.699999,136688465810.44002,101386385838.76,6826296581.950001,4504570585.29,0.0673295189041082,5499991030.59,0.054247826126645,25349115840.9,0.020445424057883,46005249413.85,84540753538.98,10790423094.64,0,0.0,16218724279.22,13191006067.71,630903403.8199999,2396814807.6900005,17600,128557221365.815,48026095184.7653,0.3735775763860438,129244087487.07,604893671.76,0.0,,,,,
2018-10,868,0,868,133970119263.28,9238578621.09,139509942936.82,100801368441.16,9094416544.24,4401695126.440001,0.0902211615266772,6006369348.2,0.0595861885714979,25535489247.160004,0.0233628486217188,47061019028.4,86909100234.88,10848313799.03,0,0.0,21113391031.0,18758789999.25,814531424.0,1540069607.75,17507,129973275717.2992,47372227709.05679,0.3644766775909737,131394977588.65,962342659.7,0.0,,,,,
2018-11,882,0,882,136339190820.23,10143091994.410004,144982215127.33,104322753363.27002,7568854126.89,4860878742.400001,0.072552284931878,6333827554.860001,0.060713769054815,26991131594.85,0.0272785115149551,46871714656.66,89467476163.57,12111356320.07,0,0.0,17187120536.079998,15421332740.92,728008207.2,1037779587.959998,16835,132098455180.9638,51545986977.7435,0.3902088552597365,133710435806.18,760648689.74,0.0,,,,,
2018-12,890,0,890,141570227292.01,10351475725.71,145893868695.3,106120687525.4,8682935916.09,4616669212.700001,0.0818213311519654,3618290396.72,0.034095994674497,26600802893.29,0.022074074609902,49853575564.93,91716651727.08,11467970729.31,0,0.0,26665495068.23,20958970183.66,1040243970.66,4666280913.91,17678,137096638429.5965,51530178287.2504,0.3758675550145804,137969048928.17,826465300.82,504994.5,,,,,
2019-01,880,0,880,147968258468.12,5743856806.349999,146640828920.47,105388198811.9,11908150018.09,5091968075.37,0.1129932018227583,4829975591.12,0.0458303267877334,11572392180.2,0.0444827980450353,55880096738.83,92073763474.91,13080602729.79,0,0.0,14666296367.11,13979133945.43,860860144.97,-173697723.29000163,17913,139008761251.80933,54632996391.62045,0.3930183673290546,144591547005.33,900833108.84,0.0,,,,,
2019-02,898,0,898,170657614687.82,5803620919.33,167258333613.61,113722702760.49998,11514953531.95,4981741049.900001,0.1012546593814297,4264817778.41,0.0375019030931027,11800165148.84,0.0348199085428187,74873391600.66,95768387679.94,11739505062.06,0,0.0,33287725519.11,13768087467.72,634310938.35,18885327113.04,18284,166280602967.27466,63986183241.666626,0.3848084629225191,166400636783.53,732759813.26,0.0,,,,,
2019-03,911,0,911,166290656905.68,5861078500.71,166154884232.09998,120060515393.08,9740424508.14,4673915815.92,0.0811292911433013,4189831713.2,0.0348976655604253,11698383933.53,0.0312646288325793,69347747543.14,96926187308.52,13479816888.12,0,0.0,16231458052.51,20387638803.65,795058551.61,-4951239302.750001,18007,162663088996.48035,64832220067.07022,0.3985674959638387,163062681396.99,680382834.87,0.0,,,,,
2019-04,921,0,921,162341839533.75,5679120781.030002,161057097539.69,115498385255.65,12706846163.94,4429840357.68,0.1100175222001071,4331332777.13,0.0375012409701036,12033631376.3,0.0341535362445323,63483384843.09,98839549311.33,11857826667.49,0,0.0,18289835577.77,22799097137.83,961105659.05,-5470367219.109998,17556,156991076450.23947,62370066397.49266,0.3972841502062171,158048748774.44,798313490.6400001,0.0,,,,,
2019-05,925,0,925,201620409555.89,5729946453.11,203052755377.68,156498545369.45,31636745132.840004,4563063924.13,0.2021536050584646,4658300376.15,0.0297657742770262,11904766165.59,0.0265793573576324,101706373384.97,99895057139.41,14892601778.28,1,81000000000.0,52890444340.84,14492364043.98,926650397.7,37471429899.16,17690,197398444999.97333,66421198542.09537,0.3364828863880075,197656568309.09003,910050291.36,14782789.62,,,,,
2019-06,938,0,938,216690282904.89,5777412559.4,159613320106.49,99628916209.64,32451054010.059994,4474510361.56,0.3257192313703003,6208920787.939999,0.0623204690380766,11574205946.02,0.0608286465320747,112725989317.37,103940748206.12,15346291019.01,1,611680820000.0,48886379346.46,31852733581.47,718522297.25,16315123467.739998,17766,209548392687.63474,69586789145.24428,0.3320798038712445,214777543209.85,705044155.28,20170403.71,,,,,
2019-07,945,0,945,212138335219.54,5926629226.28,211444172141.6,154817468327.51,31415795011.699997,4310613289.24,0.2029215136449665,5069475631.65,0.0327448555154366,11931692967.56,0.0303990311529462,103263465281.08,108847030728.78,17681495582.0,6,2668116100000.0,21731022796.66,28938641161.68,736803529.58,-7944421894.6,17994,195147313251.74316,67452425238.638596,0.3456487517797587,210269991510.48,780858746.02,0.0,,,,,
2019-08,969,0,969,212613887362.29,6940416657.379998,218348005394.16,160941196292.34003,36527281492.13,4299077160.32,0.2269604199149879,10266226844.039995,0.0637886823296131,12640948824.95,0.0643146385398803,99769070311.26,112813424769.86,18758463818.67,0,0.0,17610261932.13,18654706098.19,1551202937.38,-2595647103.4400015,18075,205784779369.0107,68661268423.263275,0.333655718531742,211391734640.29,685280940.11,0.0,,,,,
2019-09,992,0,992,231201780354.10995,7068621611.500001,229454447270.37997,162567827682.54,32465298850.910004,5077501827.719999,0.1997030981696313,5386201857.639999,0.0331320282396717,13869019119.48,0.0311650929834096,105777120580.58,125389979341.56,17736768258.58,2,29999999970000.0,27744883773.81,10693539529.93,1446131810.3,15605212433.579998,18383,227638155010.9838,75542647155.89197,0.3318540652916772,230633855180.15,700186136.6800001,11157390.75,,,,,
2019-10,1004,0,1004,234211985847.69,7333486372.22,235075532952.61996,160029909271.45,32880993636.05,6696476252.66,0.2054678015237499,5788300988.11,0.0361701197886178,13458119879.87,0.0341364715018443,106806866238.42,127365890121.66,19663994064.72,3,10621837380000.0,23509968234.91,20422639454.78,2817464367.5299997,269864412.60000134,18525,232602530626.53485,81073416576.20033,0.3485491596235954,233745554358.51,950524642.36,850321.39,,,,,
2019-11,1020,0,1020,242348755878.31,7344328832.59,242177785476.19,157572665040.06,35781356149.5,8005598770.049999,0.2270784475238978,8102076678.759999,0.0514180341920357,12606467820.29,0.0505851981000984,113549269489.27,128760301778.32,19705300606.07,0,0.0,22361973748.27,11636713272.35,889781039.85,9835479436.07,25677,237029903847.74716,75701175372.4939,0.3193739445682747,240616750588.8401,783964318.3799999,0.0,,,,,
