rank,commercial_group,legal_entities,funds,linked_pl_fractional_brl,linked_issuance_fractional_brl,commercial_signal_brl,confidence_median,sector
69,MEUCASHCARD SERVICOS TECNOLOGICOS E FINANCEIROS SA,1,1,52314470.94,50000000.0,102314470.94,0.95,"Atividades profissionais, científicas e técnicas"
70,CON INVEST LTDA,1,1,52806417.885,48500000.0,101306417.88499999,0.78,"Atividades profissionais, científicas e técnicas"
71,RT RENTAL SPE LTDA,1,1,0.0,100000000.0,100000000.0,0.93,Atividades administrativas e serviços complementares
72,WEG DRIVES & CONTROLS - AUTOMACAO LTDA,1,1,49997648.095,49500000.0,99497648.095,0.95,Indústrias de transformação
73,WEG EQUIPAMENTOS ELETRICOS S/A - CORPORATIVO,1,1,49997648.095,49500000.0,99497648.095,0.76,"Atividades profissionais, científicas e técnicas"
74,HELM DO BRASIL MERCANTIL LTDA,1,1,0.0,96000000.0,96000000.0,0.95,
75,TARGET,1,1,27546482.89,60000000.0,87546482.89,0.76,Comércio e reparação de veículos
76,HDN COMERCIAL IMPORTADORA E EXPORTADORA LTDA,1,1,46647257.95,40000000.0,86647257.95,0.95,Comércio e reparação de veículos
77,E A FPW SECURITIZADORA DE CREDITOS S.A,1,1,25641520.08,60000000.0,85641520.08,0.68,
78,JURI ATIVOS JUDICIAIS S.A,1,1,27942963.49,55200000.0,83142963.49,0.68,
79,GO PARTICIPACOES LTDA,1,1,27804231.965,55000000.0,82804231.965,0.95,"Atividades profissionais, científicas e técnicas"
80,KENERSON INDUSTRIA E COMERCIO DE PRODUTOS OPTICOS LTDA,1,1,27804231.965,55000000.0,82804231.965,0.95,
81,QI TECH,1,1,14447639.5,65000000.0,79447639.5,0.84,Informação e comunicação
82,INSTITUTO DE SAUDE ESPERANCA,1,1,42088677.57,33500000.0,75588677.57,0.95,Saúde humana e serviços sociais
83,LOOMY,1,1,30063693.43,37500000.0,67563693.43,0.95,Informação e comunicação
