cnpj,FIDC,competencia,pl,source
54218673000141,Big Picture I,03/2025,904212179.48,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
54218673000141,Big Picture I,04/2025,903442169.35,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
54218673000141,Big Picture I,05/2025,905004314.5,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
54218673000141,Big Picture I,06/2025,903427679.15,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
54218673000141,Big Picture I,07/2025,904498708.99,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
54218673000141,Big Picture I,08/2025,904563054.38,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
54218673000141,Big Picture I,09/2025,904155333.22,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
54218673000141,Big Picture I,10/2025,905315173.74,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
54218673000141,Big Picture I,11/2025,903798488.78,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
54218673000141,Big Picture I,12/2025,904380891.02,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
54218673000141,Big Picture I,01/2026,905458298.61,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
54218673000141,Big Picture I,02/2026,903838037.86,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
54218673000141,Big Picture I,03/2026,904769442.51,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
54218941000125,Big Picture II,02/2025,301238935.18,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
54218941000125,Big Picture II,03/2025,301445402.78,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
54218941000125,Big Picture II,04/2025,301285628.26,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
54218941000125,Big Picture II,05/2025,301862566.95,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
54218941000125,Big Picture II,06/2025,301355382.1,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
54218941000125,Big Picture II,07/2025,301761699.41,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
54218941000125,Big Picture II,08/2025,301812644.7,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
54218941000125,Big Picture II,09/2025,301707819.42,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
54218941000125,Big Picture II,10/2025,302136325.47,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
54218941000125,Big Picture II,11/2025,301628023.91,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
54218941000125,Big Picture II,12/2025,301859068.28,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
54218941000125,Big Picture II,01/2026,302262947.61,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
54218941000125,Big Picture II,02/2026,301754870.52,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
54218941000125,Big Picture II,03/2026,302114886.65,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
54219179000100,Big Picture III,02/2025,150918917.51,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
54219179000100,Big Picture III,03/2025,151055312.32,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
54219179000100,Big Picture III,04/2025,150928505.8,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
54219179000100,Big Picture III,05/2025,151239520.61,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
54219179000100,Big Picture III,06/2025,151018206.82,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
54219179000100,Big Picture III,07/2025,151266725.58,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
54219179000100,Big Picture III,08/2025,151335626.6,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
54219179000100,Big Picture III,09/2025,151332070.35,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
54219179000100,Big Picture III,10/2025,151596108.1,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
54219179000100,Big Picture III,11/2025,151393981.92,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
54219179000100,Big Picture III,12/2025,151560206.31,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
54219179000100,Big Picture III,01/2026,151816547.35,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
54219179000100,Big Picture III,02/2026,151613700.76,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
54219179000100,Big Picture III,03/2026,151842958.64,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
54248022000102,Big Picture IV,02/2025,303797432.97,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
54248022000102,Big Picture IV,03/2025,304572594.52,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
54248022000102,Big Picture IV,04/2025,302933850.2,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
54248022000102,Big Picture IV,05/2025,304063734.5,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
54248022000102,Big Picture IV,06/2025,304289833.11,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
54248022000102,Big Picture IV,07/2025,305488673.2,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
54248022000102,Big Picture IV,08/2025,306298697.37,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
54248022000102,Big Picture IV,09/2025,303482230.48,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
54248022000102,Big Picture IV,10/2025,304669003.94,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
54248022000102,Big Picture IV,11/2025,304892901.24,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
54248022000102,Big Picture IV,12/2025,305912949.83,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
54248022000102,Big Picture IV,01/2026,307053645.42,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
54248022000102,Big Picture IV,02/2026,307268608.02,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
54248022000102,Big Picture IV,03/2026,308426514.82,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
57609282000146,A.I.,01/2025,2694151801.84,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
57609282000146,A.I.,02/2025,2694060074.56,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
57609282000146,A.I.,03/2025,2696436277.67,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
57609282000146,A.I.,04/2025,2692646301.85,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
57609282000146,A.I.,05/2025,2697565158.84,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
57609282000146,A.I.,06/2025,2694740274.49,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
57609282000146,A.I.,07/2025,2698286906.17,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
57609282000146,A.I.,08/2025,2698672280.64,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
57609282000146,A.I.,09/2025,2697678509.05,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
57609282000146,A.I.,10/2025,2699872449.07,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
57609282000146,A.I.,11/2025,2697265194.71,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
57609282000146,A.I.,12/2025,2699440757.63,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
57609282000146,A.I.,01/2026,2701462272.34,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
57609282000146,A.I.,02/2026,2695492980.68,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
57609282000146,A.I.,03/2026,2701719668.6,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
60356171000180,PI,04/2025,3247439113.31,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
60356171000180,PI,05/2025,3261647156.94,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
60356171000180,PI,06/2025,3249709591.7,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
60356171000180,PI,07/2025,3252254898.05,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
60356171000180,PI,08/2025,3249086094.82,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
60356171000180,PI,09/2025,3251775219.54,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
60356171000180,PI,10/2025,3254252930.29,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
60356171000180,PI,11/2025,3250886392.16,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
60356171000180,PI,12/2025,3253382344.38,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
60356171000180,PI,01/2026,3253840977.04,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
60356171000180,PI,02/2026,3252233098.89,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
60356171000180,PI,03/2026,3255911127.51,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
62393679000183,Bela,09/2025,4293033486.49,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
62393679000183,Bela,10/2025,4302334996.78,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
62393679000183,Bela,11/2025,4299762350.66,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
62393679000183,Bela,12/2025,4361048234.97,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
62393679000183,Bela,01/2026,4371287290.17,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
62393679000183,Bela,02/2026,4371371047.48,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
62393679000183,Bela,03/2026,7939779760.04,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
