fund_name,short_name,cnpj,competencia,class_kind,label,event_type,qt_cotas,valor_cota,valor_total
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,11/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,14.83,5154459.79
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,12/2025,senior,Sênior · Série 1,amortizacao,,12.36,27745545.14
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,12/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,14.83,5154459.79
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Akira I,42085830000109,03/2025,senior,Sênior,amortizacao,,9.85711174,4928555.87
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Akira I,42085830000109,04/2025,senior,Sênior,amortizacao,,11.468334,5734167.0
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Akira I,42085830000109,05/2025,senior,Sênior,amortizacao,,11.6964148,5848207.4
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Akira I,42085830000109,06/2025,senior,Sênior,amortizacao,,13.05261078,6526305.39
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Akira I,42085830000109,07/2025,senior,Sênior · Série 1,amortizacao,,12.6,6298808.46
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Akira I,42085830000109,09/2025,senior,Sênior · Série 1,amortizacao,,27.01,13506934.65
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Akira I,42085830000109,10/2025,senior,Sênior · Série 1,amortizacao,,11.99,5996981.47
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Akira I,42085830000109,11/2025,senior,Sênior · Série 1,amortizacao,,13.2,6600621.46
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Akira I,42085830000109,12/2025,senior,Sênior · Série 1,amortizacao,,12.6,6298711.49
CLOUDWALK AKIRA II FIDC,Akira Ii,44124617000194,03/2025,senior,Sênior,amortizacao,,8.39775857,12596637.85
CLOUDWALK AKIRA II FIDC,Akira Ii,44124617000194,04/2025,senior,Sênior,amortizacao,,9.76408875,14646133.12
CLOUDWALK AKIRA II FIDC,Akira Ii,44124617000194,04/2025,subordinada,Subordinada,amortizacao,,162.03098234,12999999.99
CLOUDWALK AKIRA II FIDC,Akira Ii,44124617000194,05/2025,senior,Sênior,amortizacao,,9.95552803,14933292.04
CLOUDWALK AKIRA II FIDC,Akira Ii,44124617000194,06/2025,senior,Sênior,amortizacao,,11.10784667,16661770.0
CLOUDWALK AKIRA II FIDC,Akira Ii,44124617000194,07/2025,senior,Sênior,amortizacao,,10.71897342,16078460.13
CLOUDWALK AKIRA II FIDC,Akira Ii,44124617000194,08/2025,senior,Sênior,amortizacao,,172.04256541,258063848.11
CLOUDWALK AKIRA II FIDC,Akira Ii,44124617000194,09/2025,senior,Sênior,amortizacao,,170.28494363,255427415.45
CLOUDWALK AKIRA II FIDC,Akira Ii,44124617000194,09/2025,subordinada,Subordinada,amortizacao,,186.95882592,15000000.0
CLOUDWALK AKIRA II FIDC,Akira Ii,44124617000194,10/2025,senior,Sênior · Série 1,amortizacao,,167.08228131,250623421.96
CLOUDWALK AKIRA II FIDC,Akira Ii,44124617000194,10/2025,subordinada,Subordinada 1,amortizacao,,322.81557276,25900000.0
CLOUDWALK AKIRA II FIDC,Akira Ii,44124617000194,12/2025,senior,Sênior · Série 1,amortizacao,,163.3,244948445.65
CLOUDWALK AKIRA II FIDC,Akira Ii,44124617000194,12/2025,subordinada,Subordinada 1,amortizacao,,153.62,12000000.0
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,62393679000183,10/2025,senior,Sênior · Série 1,amortizacao,,12.85979573,46772530.23
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,62393679000183,10/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,13.38496613,4056889.54
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,62393679000183,10/2025,subordinada,Mezanino 1 · Série 2,amortizacao,,15.84141451,4115504.44
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,62393679000183,11/2025,senior,Sênior · Série 1,amortizacao,,13.44824527,48912787.71
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,62393679000183,11/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,13.99761251,4242578.37
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,62393679000183,11/2025,subordinada,Mezanino 1 · Série 2,amortizacao,,16.56741164,4304114.14
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,62393679000183,12/2025,senior,Sênior · Série 1,amortizacao,,11.1,40359211.27
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,62393679000183,12/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,11.55,3500495.94
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,62393679000183,12/2025,subordinada,Mezanino 1 · Série 2,amortizacao,,13.66653252,3550483.15
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture I,54218673000141,03/2025,senior,Sênior,amortizacao,,9.72359533,8532454.9
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture I,54218673000141,04/2025,senior,Sênior,amortizacao,,12.63944775,11091115.4
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture I,54218673000141,05/2025,senior,Sênior,amortizacao,,10.48107782,9197145.79
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture I,54218673000141,06/2025,senior,Sênior,amortizacao,,13.65901109,11985782.23
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture I,54218673000141,07/2025,senior,Sênior,amortizacao,,12.64769475,11098352.14
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture I,54218673000141,08/2025,senior,Sênior,amortizacao,,12.64769484,11098352.22
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture I,54218673000141,09/2025,senior,Sênior · Série 1,amortizacao,,13.86054838,12162631.2
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture I,54218673000141,10/2025,senior,Sênior · Série 1,amortizacao,,12.64769484,11098352.22
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture I,54218673000141,11/2025,senior,Sênior · Série 1,amortizacao,,13.25394014,11630332.47
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture I,54218673000141,12/2025,senior,Sênior · Série 1,amortizacao,,12.65,11098352.22
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Ii,54218941000125,03/2025,senior,Sênior,amortizacao,,9.93710302,2891696.98
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Ii,54218941000125,04/2025,senior,Sênior,amortizacao,,12.90116172,3754238.06
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Ii,54218941000125,05/2025,senior,Sênior,amortizacao,,10.69474797,3112171.66
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Ii,54218941000125,06/2025,senior,Sênior,amortizacao,,13.93289859,4054473.49
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Ii,54218941000125,07/2025,senior,Sênior,amortizacao,,12.89751333,3753176.38
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Ii,54218941000125,08/2025,senior,Sênior,amortizacao,,12.8975156,3753177.04
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Ii,54218941000125,09/2025,senior,Sênior · Série 1,amortizacao,,14.13449251,4113137.32
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Ii,54218941000125,10/2025,senior,Sênior · Série 1,amortizacao,,12.8975156,3753177.04
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Ii,54218941000125,11/2025,senior,Sênior · Série 1,amortizacao,,13.51581533,3933102.26
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Ii,54218941000125,12/2025,senior,Sênior · Série 1,amortizacao,,12.9,3753177.04
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iii,54219179000100,03/2025,senior,Sênior,amortizacao,,10.22087347,1456474.47
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iii,54219179000100,04/2025,senior,Sênior,amortizacao,,13.24902063,1887985.44
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iii,54219179000100,05/2025,senior,Sênior,amortizacao,,10.97873116,1564469.19
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iii,54219179000100,06/2025,senior,Sênior,amortizacao,,14.29694253,2037314.31
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iii,54219179000100,07/2025,senior,Sênior,amortizacao,,13.22955663,1885211.82
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iii,54219179000100,08/2025,senior,Sênior,amortizacao,,13.22955916,1885212.18
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iii,54219179000100,09/2025,senior,Sênior · Série 1,amortizacao,,14.49860905,2066051.79
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iii,54219179000100,10/2025,senior,Sênior · Série 1,amortizacao,,13.22955916,1885212.18
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iii,54219179000100,11/2025,senior,Sênior · Série 1,amortizacao,,13.86388554,1975603.69
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iii,54219179000100,12/2025,senior,Sênior · Série 1,amortizacao,,13.23,1885212.18
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iv,54248022000102,03/2025,senior,Sênior,amortizacao,,10.99594254,2639026.21
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iv,54248022000102,04/2025,senior,Sênior,amortizacao,,14.19924792,3407819.5
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iv,54248022000102,04/2025,subordinada,Subordinada,amortizacao,,33.16749833,1999999.99
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iv,54248022000102,05/2025,senior,Sênior,amortizacao,,11.7543805,2821051.32
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iv,54248022000102,06/2025,senior,Sênior,amortizacao,,15.29141017,3669938.44
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iv,54248022000102,07/2025,senior,Sênior · Série 1,amortizacao,,14.13655483,3392773.16
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iv,54248022000102,08/2025,senior,Sênior,amortizacao,,14.13655604,3392773.45
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iv,54248022000102,09/2025,senior,Sênior · Série 1,amortizacao,,15.49327321,3718385.57
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iv,54248022000102,09/2025,subordinada,Subordinada 1,amortizacao,,58.04312237,3500000.0
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iv,54248022000102,10/2025,senior,Sênior · Série 1,amortizacao,,14.13655604,3392773.45
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iv,54248022000102,11/2025,senior,Sênior · Série 1,amortizacao,,14.81468788,3555525.09
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iv,54248022000102,12/2025,senior,Sênior · Série 1,amortizacao,,14.14,3392773.45
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Kick Ass I,42085816000105,03/2025,senior,Sênior,amortizacao,,9.86424337,2870494.82
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Kick Ass I,42085816000105,04/2025,senior,Sênior,amortizacao,,11.47627069,3339594.77
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Kick Ass I,42085816000105,05/2025,senior,Sênior,amortizacao,,11.7043533,3405966.81
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Kick Ass I,42085816000105,06/2025,senior,Sênior,amortizacao,,13.06135478,3800854.24
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Kick Ass I,42085816000105,07/2025,senior,Sênior,amortizacao,,12.60599206,3668343.69
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Kick Ass I,42085816000105,08/2025,senior,Sênior,amortizacao,,13.2102254,3844175.59
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Kick Ass I,42085816000105,09/2025,senior,Sênior,amortizacao,,97.14815265,28270112.42
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Kick Ass I,42085816000105,09/2025,subordinada,Subordinada,amortizacao,,65.38133261,1000000.01
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Kick Ass I,42085816000105,10/2025,senior,Sênior · Série 1,amortizacao,,94.33527584,27451565.27
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Kick Ass I,42085816000105,10/2025,subordinada,Subordinada 1,amortizacao,,169.99146244,2599999.99
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Kick Ass I,42085816000105,11/2025,senior,Sênior · Série 1,amortizacao,,94.3418545,27453479.66
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Kick Ass I,42085816000105,11/2025,subordinada,Subordinada 1,amortizacao,,84.99573155,1300000.0
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Kick Ass I,42085816000105,12/2025,senior,Sênior · Série 1,amortizacao,,92.79,27001257.77
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Pi,60356171000180,05/2025,senior,Sênior · Série 1,amortizacao,,0.01,18992092.2
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Pi,60356171000180,05/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,0.01,2744303.17
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Pi,60356171000180,05/2025,subordinada,Mezanino 2 · Série 1,amortizacao,,0.18,2849855.12
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Pi,60356171000180,06/2025,senior,Sênior · Série 1,amortizacao,,0.01,19267060.78
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Pi,60356171000180,06/2025,senior,Sênior · Série 2,amortizacao,,0.02,24967227.05
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Pi,60356171000180,06/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,0.01,2782106.53
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Pi,60356171000180,06/2025,subordinada,Mezanino 2 · Série 1,amortizacao,,0.18,2882339.98
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Pi,60356171000180,07/2025,senior,Sênior · Série 1,amortizacao,,0.01,21508028.85
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Pi,60356171000180,07/2025,senior,Sênior · Série 2,amortizacao,,0.01,13954858.34
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Pi,60356171000180,07/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,0.01,3103700.72
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Pi,60356171000180,07/2025,subordinada,Mezanino 2 · Série 1,amortizacao,,0.2,3208596.3
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Pi,60356171000180,08/2025,senior,Sênior · Série 1,amortizacao,,0.01,22492300.53
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Pi,60356171000180,08/2025,senior,Sênior · Série 2,amortizacao,,0.01,14593471.65
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Pi,60356171000180,08/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,0.01,3245783.23
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Pi,60356171000180,08/2025,subordinada,Mezanino 2 · Série 1,amortizacao,,0.21,3355693.82
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Pi,60356171000180,09/2025,senior,Sênior · Série 1,amortizacao,,0.01,20524336.41
