Data,target_comp,cnpj,FIDC,Classe,class_macro,class_label,PL classe,source
31/12/25,12/2025,54218673000141,Big Picture I,Sênior,senior,Sênior · Série 1,881183962.909575,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
31/12/25,12/2025,54218673000141,Big Picture I,Subordinada,subordinada,Subordinada 1,23196938.0999021,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
Hoje (23/05/26),04/2026,54218673000141,Big Picture I,Sênior,senior,Sênior · Série 1,881130648.5894251,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
Hoje (23/05/26),04/2026,54218673000141,Big Picture I,Subordinada,subordinada,Subordinada 1,22989932.82007552,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
31/12/25,12/2025,54218941000125,Big Picture II,Sênior,senior,Sênior · Série 1,292245718.71020997,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
31/12/25,12/2025,54218941000125,Big Picture II,Subordinada,subordinada,Subordinada 1,9613349.570026545,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
Hoje (23/05/26),04/2026,54218941000125,Big Picture II,Sênior,senior,Sênior · Série 1,292228036.95075,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
Hoje (23/05/26),04/2026,54218941000125,Big Picture II,Subordinada,subordinada,Subordinada 1,9659335.239995949,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
31/12/25,12/2025,54219179000100,Big Picture III,Sênior,senior,Sênior · Série 1,143125653.08002502,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
31/12/25,12/2025,54219179000100,Big Picture III,Subordinada,subordinada,Subordinada 1,8434553.229975116,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
Hoje (23/05/26),04/2026,54219179000100,Big Picture III,Sênior,senior,Sênior · Série 1,143116993.540275,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
Hoje (23/05/26),04/2026,54219179000100,Big Picture III,Subordinada,subordinada,Subordinada 1,8637841.890025811,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
31/12/25,12/2025,54248022000102,Big Picture IV,Sênior,senior,Sênior · Série 1,241125636.8208,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
31/12/25,12/2025,54248022000102,Big Picture IV,Subordinada,subordinada,Subordinada 1,64787313.02986836,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
Hoje (23/05/26),04/2026,54248022000102,Big Picture IV,Sênior,senior,Sênior · Série 1,241270188.4392,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
Hoje (23/05/26),04/2026,54248022000102,Big Picture IV,Subordinada,subordinada,Subordinada 1,67156326.39975905,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
31/12/25,12/2025,57609282000146,A.I.,Sênior,senior,Sênior · Série 1,2264084037.5,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
31/12/25,12/2025,57609282000146,A.I.,Mezzanino,mezzanino,Mezanino 1 · Série 1,350964724.68,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
31/12/25,12/2025,57609282000146,A.I.,Subordinada,subordinada,Subordinada 1 · item 2,84390513.998,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
Hoje (23/05/26),04/2026,57609282000146,A.I.,Sênior,senior,Sênior · Série 1,2262489633.6749,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
Hoje (23/05/26),04/2026,57609282000146,A.I.,Mezzanino,mezzanino,Mezanino 1 · Série 1,350679743.52,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
Hoje (23/05/26),04/2026,57609282000146,A.I.,Subordinada,subordinada,Subordinada 1 · item 2,85451515.22879998,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
31/12/25,12/2025,60356171000180,PI,Sênior,senior,Sênior · Série 1,1650000000.0,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
31/12/25,12/2025,60356171000180,PI,Sênior,senior,Sênior · Série 2,1070554462.0,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
31/12/25,12/2025,60356171000180,PI,Mezzanino,mezzanino,Mezanino 1 · Série 1,226712872.0,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
31/12/25,12/2025,60356171000180,PI,Mezzanino,mezzanino,Mezanino 2 · Série 1,195119781.23999998,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
31/12/25,12/2025,60356171000180,PI,Subordinada,subordinada,Subordinada 1 · item 3,100009769.0239,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
Hoje (23/05/26),04/2026,60356171000180,PI,Sênior,senior,Sênior · Série 1,1650000000.0,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
Hoje (23/05/26),04/2026,60356171000180,PI,Sênior,senior,Sênior · Série 2,1070554462.0,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
Hoje (23/05/26),04/2026,60356171000180,PI,Mezzanino,mezzanino,Mezanino 1 · Série 1,226712872.0,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
Hoje (23/05/26),04/2026,60356171000180,PI,Mezzanino,mezzanino,Mezanino 2 · Série 1,195119781.23999998,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
Hoje (23/05/26),04/2026,60356171000180,PI,Subordinada,subordinada,Subordinada 1 · item 3,100980737.6552,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
31/12/25,12/2025,62393679000183,Bela,Sênior,senior,Sênior · Série 1,3660424558.939743,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
31/12/25,12/2025,62393679000183,Bela,Mezzanino,mezzanino,Mezanino 1 · Série 1,305114702.143041,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
31/12/25,12/2025,62393679000183,Bela,Mezzanino,mezzanino,Mezanino 1 · Série 2,261843666.6896136,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
31/12/25,12/2025,62393679000183,Bela,Subordinada,subordinada,Subordinada 1 · item 3,133665306.80594885,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
Hoje (23/05/26),03/2026,62393679000183,Bela,Sênior,senior,Sênior · Série 1,3660171455.155763,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
Hoje (23/05/26),03/2026,62393679000183,Bela,Sênior,senior,Sênior · Série 2,3064094080.300523,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
Hoje (23/05/26),03/2026,62393679000183,Bela,Mezzanino,mezzanino,Mezanino 1 · Série 1,305093604.6879714,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
Hoje (23/05/26),03/2026,62393679000183,Bela,Mezzanino,mezzanino,Mezanino 1 · Série 2,261825561.2560626,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
Hoje (23/05/26),03/2026,62393679000183,Bela,Mezzanino,mezzanino,Mezanino 1 · Série 3,255395173.72187,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
Hoje (23/05/26),03/2026,62393679000183,Bela,Mezzanino,mezzanino,Mezanino 1 · Série 4,219129557.799108,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
Hoje (23/05/26),03/2026,62393679000183,Bela,Subordinada,subordinada,Subordinada 1 · item 5,174070325.7664005,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
