mes,fundo,pl,ativo,dc_risco,venc_ad,venc_inad,parc_inad,inad,pdd,b_sr,b_mez,b_jr,a_sr,a_mez,a_jr,c_sr,c_mez,c_jr
202407,V,142650961.1,142707255.26,136934727.39,115550107.09,32000179.63,3461922.36,22114.29,10637673.62,111546465.12034148,18566989.759944122,12537506.220074613,2402659.61,368818.14,0.0,0.0,0.0,0.0
202408,I,248540238.12,249242209.76,237110983.25,185174368.09,112406766.59,26611844.04,1099612.72,61569764.15,149318670.45990235,87764737.50004838,11456830.160355698,3234376.62,7366228.989999999,1199394.38,0.0,0.0,0.0
202408,II,208212879.19,208813361.6,181892437.91,203968802.48,0.0,0.0,8388500.21,30464864.78,159925055.8096,32129957.240000002,16157866.13306648,8946300.72,35.11,0.0,0.0,0.0,0.0
202408,III,327796240.84,328104254.85,313304635.55,268808249.49,52423187.9,3760959.79,61702.26,7988504.1,219302770.99961618,77037373.23,31456096.609969098,8441008.01,2051889.87,0.0,0.0,0.0,0.0
202408,IV,1005588718.45,1008056009.34,690667593.69,721377304.87,0.0,0.0,16928411.76,47638122.94,705182794.27017,197824096.14082915,102581828.04068695,9711441.94,3289112.97,0.0,0.0,0.0,2000000.0
202408,V,139726281.71,139905142.34,134042297.22,111263358.87,34058643.03,3780746.14,22425.75,11302130.43,108606090.67013304,18150794.22005385,12969396.82005792,4087252.31,650604.45,0.0,0.0,0.0,0.0
202409,I,241156945.03,242079753.62,230169772.91,206222202.71,85254271.17,25416216.07,1098976.09,62405677.06,147265194.38849705,83183424.17965496,10708326.460219735,3253986.36,5906081.01,944677.56,0.0,0.0,0.0
202409,II,190488226.18,191435235.15,178317201.82,200932086.02,0.0,0.0,6457246.3,29072130.5,150350760.84,30149144.07008,9988321.2694661,11139104.22,2399217.4699999997,6182701.18,0.0,0.0,0.0
202409,III,318541643.63,319040594.56,306063757.56,282109721.79,32663967.45,3107015.11,58079.98,8768011.66,0.0,72790986.0,32317022.410036407,0.0,0.0,0.0,29134371.97,0.0,0.0
202409,IV,1020606513.95,1022773280.95,785944344.81,821011965.11,0.0,0.0,17789221.52,52856841.82,704830796.6886767,197694207.28018376,118081509.96973038,8405479.61,2858518.41,0.0,0.0,0.0,18900000.0
202409,V,136977362.88,137221711.65,131710200.71,100537299.54,42879941.56,4232238.66,21775.59,11728815.98,0.0,17730020.950057376,13580336.880006915,0.0,0.0,0.0,6813166.83,0.0,0.0
202410,I,233704484.83,234685315.15,221554025.53,178340905.94,104501506.92,28184284.77,1388258.98,62676646.31,145039636.46929485,78686221.82982098,9978626.52997077,0.0,0.0,0.0,2222862.45,0.0,0.0
202410,II,182139910.63,183543204.68,174482666.31,193172117.9,0.0,0.0,7509513.23,26198964.82,142652400.84,28618817.500080004,10868692.292266982,8683626.959999999,1834783.51,0.0,0.0,0.0,0.0
202410,III,311201832.29,311416096.77,295715919.07,262562815.44,42749814.24,3992888.88,59753.84,9656464.45,208019606.98125002,69974154.84,33208070.469934497,0.0,0.0,0.0,874697.36,0.0,0.0
202410,IV,1024131013.06,1025843921.07,908506839.74,944652104.19,0.0,0.0,18002275.78,54147540.23,705640285.5684091,197954070.34949365,120536657.12921926,8119583.199999999,2727687.72,0.0,0.0,0.0,0.0
202410,V,133975769.71,134200344.0,127998860.93,108764979.44,31868577.23,4134801.75,27565.16,12662260.9,104358906.00044166,17584009.790025078,12032853.920069817,0.0,0.0,0.0,318999.49,0.0,0.0
202411,I,224369915.99,225536472.96,213839988.44,163925674.05,112334899.06,29669207.31,1612414.56,64032999.23,143054110.00758487,72386038.22038072,8929767.760317506,0.0,0.0,0.0,4730050.29,2386533.54,0.0
202411,II,176054236.07,176665762.4,169508677.86,189482920.44,0.0,0.0,6062825.72,26037068.3,139198747.3604,27903200.78,8952287.926436312,4881617.6,1087801.59,1470054.51,0.0,0.0,0.0
202411,III,301430143.07,301920442.5,287744899.35,264580333.56,33686456.41,3828384.42,57989.63,10579880.25,201794873.66875002,65900999.900000006,33734269.499960415,0.0,0.0,0.0,63059.25,0.0,0.0
202411,IV,1216813782.66,1218658145.93,1000166992.68,1040178955.52,0.0,0.0,19688899.85,59700862.69,704190901.9176128,235232771.74104363,136390108.98083913,0.0,0.0,12224812.36,0.0,37600000.0,18700000.0
202411,V,128927541.19,129088937.94,124632294.36,102286622.51,36385430.91,4660467.12,43852.03,14083611.09,100977873.96042588,16846092.830016125,11103574.399956502,0.0,0.0,0.0,479167.77,0.0,0.0
202411,VI,60237533.43,60264374.85,7583610.01,7583610.01,0.0,0.0,0.0,0.0,45276067.93005,12693474.79002,2267990.709996,0.0,0.0,0.0,45000000.0,12600000.0,2420000.0
202412,I,216819125.26,218264641.05,206005304.01,162309532.71,106531532.68,30368493.85,1688100.12,64523861.5,141249963.5887408,67454883.31021579,8114278.3602893455,18229511.34,5358702.4,846622.69,14876551.28,0.0,0.0
202412,II,173338100.08,174303982.03,166933953.29,184861633.94,0.0,0.0,5287308.33,23214988.98,135928455.43,27261324.17,10148320.47373372,4910912.55,1063906.61,0.0,0.0,0.0,0.0
202412,III,293236124.22,295035985.15,280092832.12,256896961.87,34359298.96,4091302.53,69153.84,11232582.55,196366340.95000002,62555763.91,34314019.36007803,8301938.23,4268326.57,0.0,480836.01,0.0,0.0
202412,IV,1214180400.81,1218243669.14,1010700198.73,1055345830.16,0.0,0.0,21900160.59,66545792.02,847074829.664726,235541978.11073217,131563593.02013648,8558511.950000001,2938444.26,0.0,0.0,0.0,0.0
202412,V,127178460.92,127328116.78,121305002.78,102179113.3,34202377.56,4952620.05,92345.09,15168833.17,99727341.03015444,16705132.669959346,10745987.219919555,2608870.99,405657.23,0.0,0.0,0.0,0.0
202412,VI,121602845.34,121927357.22,82780636.12,82768901.7,0.0,0.0,11774.27,39.85,90941846.86982812,25440719.229963772,5220279.239995401,0.0,0.0,0.0,44905388.45,12482962.09,2849740.6
202501,I,210666623.27,211825525.83,199427840.72,155078615.48,106948712.29,30904812.73,1577333.47,64176820.52,139311910.43854794,63825922.46013044,7528790.370202841,10967330.06,5525148.409999999,780240.54,7590289.82,543846.62,0.0
202501,II,168769985.88,169455613.78,162038004.74,177494155.27,0.0,0.0,6710550.79,22166701.32,132665680.32000001,26611257.69992,9493047.862644268,4678817.96,1029247.0,374696.71,0.0,0.0,0.0
202501,III,285168856.79,285365383.61,271042267.84,233371543.47,49131153.49,5173690.95,81837.56,11542266.68,190736262.359375,59885101.73,34547492.69991598,9990393.07,3597579.85,1045350.49,1853924.15,0.0,0.0
202501,IV,1238478590.12,1240611152.47,993049035.12,1038056600.3,0.0,0.0,23092445.38,68100010.56,848028069.8637822,235851590.92983955,154598925.5410008,10070568.68,3094117.35,0.0,0.0,0.0,23800000.0
202501,V,124976902.1,125237457.9,118231349.33,99209032.27,34061181.13,5148290.92,185197.71,15224061.78,97637901.53014222,16424155.710000826,10914844.859960731,4293697.71,521858.8,0.0,1000815.16,0.0,0.0
202501,VI,174314432.39,175648901.48,160714001.29,160656368.9,0.0,0.0,58427.79,795.4,130312570.76056652,36459681.88008815,7542179.750011107,0.0,0.0,0.0,38005926.52,10555019.03,1693314.14
202502,I,201934380.1,202614853.75,191874372.09,170026294.66,85964221.84,29891297.12,1580225.13,65696369.54,137163988.808967,58173448.839937404,6596942.449713124,4890686.06,5851522.58,930558.59,1472917.95,0.0,0.0
202502,II,163886069.38,164898254.39,157977606.89,174376618.26,0.0,0.0,5229703.95,21628715.32,128937409.6204,25850705.43,163886069.3876244,5196840.67,1139334.39,0.0,0.0,0.0,0.0
202502,III,276477779.96,276859519.59,263761488.42,242583575.69,28505374.06,2894307.57,33062.16,7360523.49,185076583.20937502,58093363.63,33307833.11999822,13031807.32,2638790.05,1945752.94,5031600.95,0.0,0.0
202502,IV,1231069131.31,1233234556.76,970755484.81,1019503810.63,0.0,0.0,23899638.52,72647964.34,846763067.849415,235387324.14993846,148918735.52887142,11909880.95,3561750.52,0.0,0.0,0.0,0.0
202502,V,121920476.53,122063128.46,115341818.09,84965797.26,38552323.08,3176928.72,128210.76,8304513.01,95387188.73981711,15913149.690016806,10620138.100007627,5414262.67,752274.18,0.0,1930660.82,0.0,0.0
202502,VI,289614920.0,293213056.03,254553592.87,254477726.22,0.0,0.0,77200.06,1333.41,216627172.45925313,60589541.36000766,12398206.179988531,0.0,0.0,0.0,84111832.62,23382316.14,3858493.25
202503,I,194848137.39,195052342.95,182704998.37,136402992.01,112417751.8,33985062.31,1780309.28,67896054.72,135051672.80717346,53893198.72012542,5903265.859852994,9088719.31,4603735.01,712746.3,5648862.16,0.0,0.0
202503,II,161868123.36,162899085.75,152287292.73,168975206.8,0.0,0.0,5171206.51,21859120.58,126230185.35,25303688.980079997,10334249.030833473,3647967.2399999998,813927.51,0.0,0.0,0.0,0.0
202503,III,266301674.33,266705210.9,254187982.57,230708383.82,31037626.32,3100308.95,54667.5,7612695.07,178405978.3,55994211.550000004,31901484.480078425,24611878.09,2990800.6100000003,1498321.79,15747427.6,99856.57,0.0
202503,IV,1030651295.14,1033254270.42,941923547.71,990412031.2,0.0,0.0,23956336.95,72444820.44,847501076.5561285,185509127.17134634,147740373.900532,159565744.74,52782873.41,0.0,0.0,0.0,0.0
202503,V,117130294.78,117262701.23,111140403.71,89162547.12,30847182.92,3082992.63,129662.44,8998988.77,91718028.70044057,15362171.29006131,10050094.789966429,4490001.51,719880.89,0.0,0.0,0.0,0.0
202503,VI,370741080.62,375306017.85,332658440.96,332364038.81,0.0,0.0,457689.91,163287.76,277373433.37056726,77570023.1398946,15797624.109953566,9964110.51,3664108.47,0.0,67847048.13,19688360.27,2241669.92
202504,I,185505953.7,186238774.32,174363218.58,131952598.58,109777978.78,35003131.22,2186150.76,69553509.54,133691400.99803808,47067438.78992453,4747113.910224288,6009705.64,4834529.08,751513.93,2518793.22,0.0,0.0
202504,II,153782575.82,154658214.47,147578471.18,162790712.36,0.0,0.0,7038126.84,22250368.02,119129200.0704,25875941.42008,8777434.332015708,9420361.31,0.0,0.0,0.0,0.0,0.0
202504,III,258824209.6,259137055.13,245351608.82,205619338.64,47685047.98,4176856.45,64375.44,8017153.24,173497491.9,54458784.349999994,30867933.35003631,14589362.11,2366997.49,1444383.12,7366608.13,0.0,0.0
202504,IV,1037243887.99,1039900849.22,915230555.72,962085358.53,0.0,0.0,24005686.58,70860489.39,696133265.1801599,185090887.38106313,156019732.3410389,10509481.76,2854253.61,0.0,0.0,0.0,0.0
202504,V,113594772.67,113731650.73,107664733.67,87779234.8,29052563.99,3084130.61,125708.85,9292773.97,89603904.60970354,15070415.3499848,8920452.709929546,5956620.03,638140.83,0.0,1972520.2,0.0,0.0
202504,VI,431995212.69,438359170.1,402960687.5,402831927.73,0.0,0.0,719201.55,590441.78,323069084.5889552,90171374.00955823,18754754.089981165,3962603.9,1305025.82,0.0,45736860.17,12609504.17,1747351.67
202505,I,181616943.69,181795014.24,167944705.92,127952945.54,104007139.14,34164521.91,2328396.55,66343775.31,129526813.7287585,47213524.20015025,4876605.759987369,8660610.69,3662898.38,441419.61,3079176.08,299977.16,0.0
202505,II,150451878.42,151383958.03,144142281.99,158244905.04,0.0,0.0,6775628.24,20878251.29,117466573.12040001,23557566.62008,9427738.68380336,3075852.53,2692163.68,0.0,0.0,0.0,0.0
202505,III,248393496.03,248745362.6,237426631.59,198622905.92,46785108.49,4210561.48,52167.74,8033550.56,165910481.45,52082514.25,30400500.33008726,11770789.92,3229852.87,1436632.23,1802531.22,0.0,0.0
202505,IV,939831444.15,942600161.05,891656922.99,939943348.94,0.0,0.0,24226542.82,72512968.77,629484615.776943,167337464.29864398,137683590.0708606,75800228.33,2854253.61,20118963.73,0.0,0.0,0.0
202505,V,109692605.08,111474609.03,104657116.25,85764319.64,26694073.64,2759249.76,121716.87,7922993.9,86427316.71956012,14598868.560004625,8666419.800062329,4365841.07,705229.19,0.0,0.0,0.0,0.0
202505,VI,495620495.04,499704826.21,475564109.96,475263968.76,0.0,0.0,1073916.83,773775.63,370471148.5505892,103449771.44012997,21699469.83995654,4066203.57,1332613.28,0.0,46597609.07,13007158.620000001,1334491.9
202506,I,176130883.34,176330963.24,160809262.29,143097250.21,80358512.72,31479678.83,2393581.57,65040082.21,127167997.92801173,44500638.06004799,4462247.350248279,4763450.69,4545182.38,700349.83,1247954.38,0.0,0.0
202506,II,145540444.56,146891119.07,140326535.31,155518775.2,0.0,0.0,5442505.18,20634745.07,113351010.13,22725816.99,9463617.43574047,5307528.42,1145063.02,0.0,0.0,0.0,0.0
202506,III,243052023.41,243664750.21,230214471.68,210157643.72,28125112.68,3255191.53,34052.42,8102337.14,162923993.41875002,51139812.75,28988217.23993156,15954688.75,4037161.06,1870512.23,10737486.71,2295827.09,0.0
202506,IV,141340672.82,147164276.2,128056572.72,175591855.63,0.0,0.0,21419909.37,68955192.28,64196616.80413632,17056038.160732634,57088017.5701871,569596168.6,151388179.95,86689882.27,0.0,0.0,3000000.0
202506,V,104094403.77,105782675.02,101603120.31,74818445.26,34222867.16,3063734.37,105173.56,7543365.67,81934206.59994547,13898917.5299891,8261279.640037419,5494420.56,899949.57,0.0,0.0,0.0,0.0
202506,VI,557237647.6,564291492.59,538844273.15,539265869.69,0.0,0.0,2053309.31,2474905.85,417358410.7087701,116543000.9899163,23336235.899945293,5533766.83,1831671.1600000001,0.0,47024192.41,13148738.52,1216830.56
202507,I,165443937.67,165580967.28,152998745.45,119181761.01,96661594.3,34291418.91,2897854.13,65742463.99,120203269.53859058,41179886.16004616,4060781.969801702,10105731.16,5484340.65,548979.15,2079311.73,1138979.02,0.0
202507,II,142342928.99,162544136.08,155917833.03,149061067.98,0.0,0.0,6856765.05,0.0,109642468.97,21992926.5796,10707533.439158104,0.0,0.0,0.0,0.0,0.0,0.0
