priority_rank,review_wave,review_reason,cnpj_emissor,nome_emissor,setor_n1,setor_n2,confidence,linhas_oferta,volume_total_registrado,volume_encerrado_conservador,platform_coverage_level,classification_evidence,expected_primary_docs,review_goal,cnpj,regulamento_count,document_count_total,latest_regulamento_file,latest_regulamento_date,pdf_extraction_status,setor_n1_document,setor_n2_document,setor_n1_final,setor_n2_final,feature_hits_count,feature_hits_share,subordination_main_pct,monocedente_or_multicedente,concentrated_or_pulverized_debtors,manual_review_status
1,Onda 1 - top 50 por volume,confianca_media_alto_volume,63662224000189,FIDC SANTANDER AUTO LOANS I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,Crédito PF,Auto/Veículos,media,1,3000000000.0,3000000000.0,sem_curadoria_local,nome_emissor: regex `\bAUTO\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,63662224000189,4.0,8.0,data/raw/63662224000189/1059307_regulamento_regulamento_1059307_2025-12-10_2025-12-10.pdf,2025-12-10,cache,Crédito PF,Auto/Veículos,Crédito PF,Auto/Veículos,1.0,0.07142857142857142,,indeterminado,indeterminado,regulamento_lido_heuristico
12,Onda 1 - top 50 por volume,sem_classificacao_setorial,19388423000159,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS IOSAN,Não classificado,Revisar manualmente,baixa,9,1390000000.0,790000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,19388423000159,17.0,18.0,data/raw/19388423000159/1181147_regulamento_regulamento_1181147_2026-05-06_2026-05-06.pdf,2026-05-06,cache,Judicial/Precatórios/NPL,Não padronizado/NPL,Judicial/Precatórios/NPL,Não padronizado/NPL,1.0,0.07142857142857142,,indeterminado,indeterminado,regulamento_lido_heuristico
13,Onda 1 - top 50 por volume,confianca_media_alto_volume,49520420000198,AFINITTY FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIC/Alocador,FIC de FIDC,media,18,1261000000.0,1121000000.0,sem_curadoria_local,nome_emissor: regex `FIC DE FIDC` | nome_emissor: regex `FUNDO DE INVESTIMENTO EM COTAS`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,49520420000198,6.0,18.0,data/raw/49520420000198/764527_regulamento_regulamento_764527_2024-10-23_2024-10-23.pdf,2024-10-23,cache,Crédito PJ,Recebíveis comerciais/multissetorial,FIC/Alocador,FIC de FIDC,9.0,0.6428571428571429,,indeterminado,indeterminado,regulamento_lido_heuristico
14,Onda 1 - top 50 por volume,confianca_media_alto_volume,65839682000176,FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS PICPAY FGTS II DE RESPONSABILIDADE LIMITADA,Crédito PF,FGTS,media,1,1250000000.0,1250000000.0,sem_curadoria_local,nome_emissor: regex `\bFGTS\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,65839682000176,5.0,9.0,data/raw/65839682000176/1201421_regulamento_regulamento_1201421_2026-05-20_2026-05-20.pdf,2026-05-20,cache,Crédito PF,FGTS,Crédito PF,FGTS,2.0,0.14285714285714285,,indeterminado,devedor_nomeado,regulamento_lido_heuristico
15,Onda 1 - top 50 por volume,confianca_media_alto_volume,57325251000163,ANGICO FIDC SEGMENTO INFRAESTRUTURA E AGRONEGOCIO DE RESPONSABILIDADE LIMITADA,Agro,Agro,media,6,1230974000.0,1230974000.0,sem_curadoria_local,nome_emissor: regex `AGRONEGOCIO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,57325251000163,5.0,18.0,data/raw/57325251000163/1086644_regulamento_regulamento_1086644_2026-01-14_2026-01-14.pdf,2026-01-14,cache,Agro,Agro,Agro,Agro,9.0,0.6428571428571429,,indeterminado,concentrado,regulamento_lido_heuristico
16,Onda 1 - top 50 por volume,confianca_media_alto_volume,61385893000125,FUNDO DE INVESTIMENTO EM COTAS DE FIDC SÊNIOR EXODUS INSTITUCIONAL - RESPONSABILIDADE LIMITADA,FIC/Alocador,FIC de FIDC,media,2,1202000000.0,601000000.0,sem_curadoria_local,nome_emissor: regex `FUNDO DE INVESTIMENTO EM COTAS`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,61385893000125,6.0,14.0,data/raw/61385893000125/949395_regulamento_regulamento_949395_2025-07-17_2025-07-17.pdf,2025-07-17,cache,Crédito PJ,Recebíveis comerciais/multissetorial,FIC/Alocador,FIC de FIDC,2.0,0.14285714285714285,,indeterminado,indeterminado,regulamento_lido_heuristico
17,Onda 1 - top 50 por volume,confianca_media_alto_volume,11468186000124,ATLANTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,Judicial/Precatórios/NPL,Não padronizado/NPL,media,5,1170000000.0,920000000.0,sem_curadoria_local,nome_emissor: regex `NAO PADRONIZADO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,11468186000124,18.0,18.0,data/raw/11468186000124/1130307_regulamento_regulamento_1130307_2026-03-06_2026-03-06.pdf,2026-03-06,cache,Judicial/Precatórios/NPL,Não padronizado/NPL,Judicial/Precatórios/NPL,Não padronizado/NPL,0.0,0.0,,indeterminado,indeterminado,regulamento_lido_heuristico
18,Onda 1 - top 50 por volume,confianca_media_alto_volume,8654210000105,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP,Crédito PJ,Recebíveis comerciais/multissetorial,media,8,1059999999.74,1059999999.74,sem_curadoria_local,nome_emissor: regex `MULTISSETORIAL`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,,,,,,,,,,,,,,,,sem_documento_local
19,Onda 1 - top 50 por volume,confianca_media_alto_volume,61271872000189,PINE INSS FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Crédito PF,Consignado/INSS,media,1,1000000000.0,1000000000.0,sem_curadoria_local,nome_emissor: regex `\bINSS\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,61271872000189,11.0,18.0,data/raw/61271872000189/1211502_regulamento_regulamento_1211502_2026-06-01_2026-06-01.pdf,2026-06-01,cache,Crédito PF,Consignado/INSS,Crédito PF,Consignado/INSS,10.0,0.7142857142857143,,indeterminado,devedor_nomeado,triagem_documental_forte
20,Onda 1 - top 50 por volume,confianca_media_alto_volume,61188091000125,BYX MOZART FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - CRÉDITO CONSIGNADO RESP. LIMITADA,Crédito PF,Consignado/INSS,media,1,1000000000.0,1000000000.0,sem_curadoria_local,nome_emissor: regex `CONSIGNADO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,61188091000125,2.0,9.0,data/raw/61188091000125/1008327_regulamento_regulamento_1008327_2025-10-03_2025-10-03.pdf,2025-10-03,cache,Crédito PF,Consignado/INSS,Crédito PF,Consignado/INSS,10.0,0.7142857142857143,,indeterminado,indeterminado,triagem_documental_forte
21,Onda 1 - top 50 por volume,sem_classificacao_setorial,22358482000199,AFINITTY MF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,6,969998255.18,909998255.12,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,22358482000199,11.0,18.0,data/raw/22358482000199/929735_regulamento_regulamento_929735_2025-06-23_2025-06-23.pdf,2025-06-23,cache,Crédito PJ,CCB/Notas comerciais/Capital de giro,Crédito PJ,CCB/Notas comerciais/Capital de giro,10.0,0.7142857142857143,,indeterminado,concentrado,triagem_documental_forte
22,Onda 1 - top 50 por volume,sem_classificacao_setorial,31570767000180,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRADEPAY VAREJO I,Não classificado,Revisar manualmente,baixa,13,944000401.9,889000286.14,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,31570767000180,18.0,18.0,data/raw/31570767000180/1203635_regulamento_regulamento_1203635_2026-05-25_2026-05-25.pdf,2026-05-25,cache,Imobiliário,Imobiliário,Imobiliário,Imobiliário,11.0,0.7857142857142857,,indeterminado,concentrado,triagem_documental_forte
23,Onda 1 - top 50 por volume,confianca_media_alto_volume,63322011000108,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS STELLANTIS MOBILITY II - RESPONSABILIDADE LIMITADA,Crédito PF,Auto/Veículos,media,1,900000000.0,900000000.0,sem_curadoria_local,nome_emissor: regex `\bSTELLANTIS\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,63322011000108,4.0,9.0,data/raw/63322011000108/1065608_regulamento_regulamento_1065608_2025-12-17_2025-12-17.pdf,2025-12-17,cache,Crédito PF,Auto/Veículos,Crédito PF,Auto/Veículos,8.0,0.5714285714285714,,indeterminado,indeterminado,regulamento_lido_heuristico
24,Onda 1 - top 50 por volume,confianca_media_alto_volume,61351481000174,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS STELLANTIS MOBILITY I - RESPONSABILIDADE LIMITADA,Crédito PF,Auto/Veículos,media,1,900000000.0,900000000.0,sem_curadoria_local,nome_emissor: regex `\bSTELLANTIS\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,61351481000174,11.0,18.0,data/raw/61351481000174/1133588_regulamento_regulamento_1133588_2025-12-31_2025-12-31.pdf,2025-12-31,cache,Crédito PF,Auto/Veículos,Crédito PF,Auto/Veículos,0.0,0.0,,indeterminado,indeterminado,regulamento_lido_heuristico
25,Onda 1 - top 50 por volume,confianca_media_alto_volume,49916151000183,ASA LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIC/Alocador,FIC de FIDC,media,8,860000000.0,750000000.0,sem_curadoria_local,nome_emissor: regex `FUNDO DE INVESTIMENTO EM COTAS`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,49916151000183,18.0,18.0,data/raw/49916151000183/1179608_regulamento_regulamento_1179608_2026-05-04_2026-05-04.pdf,2026-05-04,cache,Crédito PJ,Recebíveis comerciais/multissetorial,FIC/Alocador,FIC de FIDC,8.0,0.5714285714285714,,indeterminado,indeterminado,regulamento_lido_heuristico
26,Onda 1 - top 50 por volume,sem_classificacao_setorial,55070804000159,ESTRATÉGIA VINCULADA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,850000000.0,850000000.0,emissoes_curadas,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,55070804000159,2.0,10.0,data/raw/55070804000159/667195_regulamento_regulamento_667195_2024-05-22_2024-05-22.pdf,2024-05-22,cache,Crédito PF,Consignado/INSS,Crédito PF,Consignado/INSS,6.0,0.42857142857142855,,indeterminado,indeterminado,regulamento_lido_heuristico
27,Onda 1 - top 50 por volume,sem_classificacao_setorial,41351629000163,SIFRA LP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,3,830000000.02,100000000.0,emissoes_curadas,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,41351629000163,20.0,36.0,data/raw/41351629000163/1014985_regulamento_regulamento_1014985_2025-09-01_2025-09-01.pdf,2025-09-01,cache,Não classificado,Revisar manualmente,Não classificado,Revisar manualmente,3.0,0.21428571428571427,30.0,indeterminado,indeterminado,regulamento_lido_heuristico
28,Onda 1 - top 50 por volume,sem_classificacao_setorial,62627051000103,TOP 2025 E FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,2,826750000.0,826750000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,62627051000103,7.0,17.0,data/raw/62627051000103/1152645_regulamento_regulamento_1152645_2026-03-31_2026-03-31.pdf,2026-03-31,cache,Agro,Agro,Agro,Agro,8.0,0.5714285714285714,,indeterminado,indeterminado,regulamento_lido_heuristico
29,Onda 1 - top 50 por volume,sem_classificacao_setorial,62390922000100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLT NOW RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,3,808570000.0,380000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,62390922000100,6.0,15.0,data/raw/62390922000100/1170223_regulamento_regulamento_1170223_2026-04-15_2026-04-15.pdf,2026-04-15,cache,Crédito PJ,CCB/Notas comerciais/Capital de giro,Crédito PJ,CCB/Notas comerciais/Capital de giro,9.0,0.6428571428571429,,indeterminado,indeterminado,regulamento_lido_heuristico
30,Onda 1 - top 50 por volume,confianca_media_alto_volume,42196288000161,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EXODUS INSTITUCIONA,FIC/Alocador,FIC de FIDC,media,4,755000000.0,705000000.0,sem_curadoria_local,nome_emissor: regex `FUNDO DE INVESTIMENTO EM COTAS`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,42196288000161,9.0,18.0,data/raw/42196288000161/792287_regulamento_regulamento_792287_2024-11-29_2024-11-29.pdf,2024-11-29,cache,Crédito PJ,Risco sacado/fornecedores,FIC/Alocador,FIC de FIDC,8.0,0.5714285714285714,,indeterminado,indeterminado,regulamento_lido_heuristico
31,Onda 1 - top 50 por volume,confianca_media_alto_volume,61669748000176,LAVORO FORNECEDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO AGRONEGÓCIO - RESP LTDA,Agro,Agro,media,1,730000000.0,730000000.0,sem_curadoria_local,nome_emissor: regex `AGRONEGOCIO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,61669748000176,6.0,11.0,data/raw/61669748000176/1121937_regulamento_regulamento_1121937_2026-02-19_2026-02-19.pdf,2026-02-19,cache,Agro,Agro,Agro,Agro,14.0,1.0,,cedente_nomeado,devedor_nomeado,triagem_documental_forte
32,Onda 1 - top 50 por volume,confianca_media_alto_volume,60871638000120,MINERVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS II - CREDITO MERCANTIL RESP LIMITADA,Crédito PJ,Recebíveis comerciais/multissetorial,media,2,720000000.0,720000000.0,sem_curadoria_local,nome_emissor: regex `CREDITO MERCANTIL`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,60871638000120,14.0,18.0,data/raw/60871638000120/1152530_regulamento_regulamento_1152530_2026-03-31_2026-03-31.pdf,2026-03-31,cache,Crédito PJ,Recebíveis comerciais/multissetorial,Crédito PJ,Recebíveis comerciais/multissetorial,9.0,0.6428571428571429,,cedente_nomeado,indeterminado,regulamento_lido_heuristico
