cnpj,document_classification,source_file,file_name,document_date,file_size_bytes
08692888000182,regulamento,data/raw/08692888000182/256407_regulamento_regulamento_256407_2022-01-13.pdf,256407_regulamento_regulamento_256407_2022-01-13.pdf,2022-01-13,2041082
08692888000182,assembleia,data/raw/08692888000182/264420_assembleia_assembleia_264420_2022-02-18.pdf,264420_assembleia_assembleia_264420_2022-02-18.pdf,2022-02-18,721282
08692888000182,outro,data/raw/08692888000182/265949_outro_outro_265949_2021-12-01.pdf,265949_outro_outro_265949_2021-12-01.pdf,2021-12-01,331316
08692888000182,outro,data/raw/08692888000182/271436_outro_outro_271436_2022-02-04.pdf,271436_outro_outro_271436_2022-02-04.pdf,2022-02-04,74864
08692888000182,assembleia,data/raw/08692888000182/273790_assembleia_assembleia_273790_2022-03-03.pdf,273790_assembleia_assembleia_273790_2022-03-03.pdf,2022-03-03,951982
08692888000182,regulamento,data/raw/08692888000182/273886_regulamento_regulamento_273886_2022-03-03.pdf,273886_regulamento_regulamento_273886_2022-03-03.pdf,2022-03-03,1964996
08692888000182,emissao,data/raw/08692888000182/285893_emissao_emissao_285893_2022-03-29.pdf,285893_emissao_emissao_285893_2022-03-29.pdf,2022-03-29,13503548
08692888000182,emissao,data/raw/08692888000182/285894_emissao_emissao_285894_2022-03-28.pdf,285894_emissao_emissao_285894_2022-03-28.pdf,2022-03-28,663255
08692888000182,emissao,data/raw/08692888000182/285895_emissao_emissao_285895_2022-01-14.pdf,285895_emissao_emissao_285895_2022-01-14.pdf,2022-01-14,605843
08692888000182,outro,data/raw/08692888000182/286275_outro_outro_286275_2021-12-31.pdf,286275_outro_outro_286275_2021-12-31.pdf,2021-12-31,176252
08692888000182,outro,data/raw/08692888000182/305772_outro_outro_305772_2022-03-01.pdf,305772_outro_outro_305772_2022-03-01.pdf,2022-03-01,330366
