grupo,fundo,nome_curto,cnpj,data_referencia,categoria,tipo_documento,documento_id,source_file,arquivo_local_existe,page_count,categorias_com_evidencia,paginas_com_evidencia,amostra_trecho,status_auditoria
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,14/04/2023 23:59,assembleia,AGE,436942,data/raw/28472333000132/436942_assembleia_assembleia_436942_2023-04-14.pdf,True,10.0,alteracoes_assembleias: 5; cotistas_partes_relacionadas: 5; direitos_creditorios_cessoes: 4; emissoes: 1; governanca_operacional: 5; preco_economia: 3,"1, 2, 3, 4, 5, 7, 8, 9","...nforme Ato Declaratório da CVM nº 11.865, de 04 de agosto de 2011 (“Gestora”), na qualidade de gestora da carteira do Fundo, consultá-lo acerca das seguintes matérias de deliberação dos cotistas do Fundo: Vem o Fundo, consultar os cotistas para deliberar as seguintes matérias, as quais deverão ser aprovadas ou rejeitadas em pauta una, ou seja, não serão admitidas aprovações parciais, de forma que, caso tais matérias não sejam aprovadas, uma nova assembleia geral de cotistas deverá ser convocada com nova ordem do dia: MATÉRIAS OBJETO DA CONSULTA FORMAL a) a substituição da Gestora pela POLÍGONO CAPITAL LTDA. , sociedade de responsabilidade limitada, com sede na cidade de São Paulo, Estado de São Paulo, na Avenida Brigadeiro Faria Lima, n° 2601, 9º andar (parte), Jardim Paulistano, CEP 01452 -000, insc rita no CNPJ sob nº 43.241.789/0001 -85, autorizada à prestação do serviço de administração de car...",PDF analisado
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,19/04/2023,regulamento,Instrumento Particular de Alteração do Regulamento,448299,data/raw/28472333000132/448299_regulamento_regulamento_448299_2023-04-19.pdf,True,97.0,alteracoes_assembleias: 5; amortizacao: 5; cotistas_partes_relacionadas: 5; direitos_creditorios_cessoes: 5; emissoes: 5; governanca_operacional: 5; performance_risco: 5; preco_economia: 5; triggers_protecao: 5,"1, 10, 11, 13, 14, 15, 18, 19, 2, 20, 21, 22, 24, 3, 4, 5, 6, 7, 8, 9","INSTRUMENTO PARTICULAR DE ALTERAÇÃO DO REGULAMENTO DO MERCADO CRÉDITO MERCHANT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CNPJ/MF nº 28.472.333/0001-32 (“Fundo”) REALIZADO EM 19 DE ABRIL DE 2023 A VÓRTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA., sociedade devidamente autorizada pela CVM a atuar como administradora de fundos de investimento, com sede na cidade de São Paulo, na Rua Gilberto Sabino, nº 215, 4º andar, inscrita no CNPJ/MF sob o nº 22.610.500/0001-88 (“Adm...",PDF analisado
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,19/04/2023,evento,Fato Relevante,448302,data/raw/28472333000132/448302_evento_evento_448302_2023-04-19.pdf,True,1.0,cotistas_partes_relacionadas: 1; direitos_creditorios_cessoes: 1; governanca_operacional: 1,1,"...e fundos de investimento, com sede na cidade de São Paulo, na Rua Gilberto Sabino, nº 215, 4º andar, inscrita no CNPJ/MF sob o nº 22.610.500/0001-88 (“Administradora”), na qualidade de instituição administradora MERCADO CRÉDITO MERCHANT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS inscrito no CNPJ/MF nº 28.472.333/0001-32 (“Fundo”), em continuidade ao Termo de Apuração de Consulta Formal divulgado em 13 de abril de 2023, vem dar publicidade aos cotistas do Fundo e ao mercado em geral que, a partir a abertura dos mercados do dia 20 de abril de 2023, a gestão da carteira do Fundo passará a ser desempenhada pela POLÍGONO CAPITAL LTDA., sociedade de responsabilidade limitada, com sede na cidade de São Paulo, Estado de São Paulo, na Avenida Brigadeiro Faria Lima, n° 2601, 9º andar (parte), Jardim Paulistano, CEP 01452-000, inscrita no CNPJ sob nº 43.241.789/0001-85, autorizada à prestação do serviço...",PDF analisado
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,06/2023,outro,Informe Trimestral,507575,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,30/06/2023,outro,Relatório de Agência de Rating,499533,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,09/2023,outro,Informe Trimestral,552045,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,23/09/2023 23:59,assembleia,AGO,517767,data/raw/28472333000132/517767_assembleia_assembleia_517767_2023-09-23.pdf,True,4.0,alteracoes_assembleias: 1; cotistas_partes_relacionadas: 4; direitos_creditorios_cessoes: 2; governanca_operacional: 4,"1, 2, 3, 4","...nistradora e à Gestora, seus sócios, diretores e funcionários; (d) os prestadores de serviços do Fundo, seus sócios, diretores e funcionários; (e) o cotista cujo interesse seja conflitante com o do Fundo; e (f) o cotista, na hipótese de deliberação relativa a laudos de avaliação de bens de sua propriedade que concorram para a formação do patrimônio do Fundo; e (iv) os Cotistas deverão informar à Administradora qualquer situação que os coloque em conflito de interesses em relação a qualquer matéria objeto de deliberação por meio da presente Consulta Formal, ficando tais Cotistas impedidos de votar nas matérias relacionadas ao objeto do conflito de interesses, enquanto permanecer o conflito. Não se aplica a vedação prevista no inciso (iii) quando: (a) os únicos cotistas do Fundo forem tais pessoas; ou (b) houver aquiescência expressa da maioria dos demais cotistas, manifestada na própria assembleia, ou em instr...",PDF analisado
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,24/09/2023 23:59,assembleia,AGO,528403,data/raw/28472333000132/528403_assembleia_assembleia_528403_2023-09-24.pdf,True,1.0,alteracoes_assembleias: 1; cotistas_partes_relacionadas: 1; direitos_creditorios_cessoes: 1; governanca_operacional: 1,1,"...SULTA FORMAL DO Prezados Senhores(as) Cotistas, A Consulta Formal convocou os Cotistas a manifestarem-se a respeito da seguinte matéria: i. Deliberar sobre a aprovação das contas e demonstrações contábeis do Fundo, relativas ao exercício social findo em , devidamente auditadas, conforme disponíveis para consulta nos sites da Administradora e nos demais canais exigidos pela regulamentação em vigor. restou a Consulta Formal a Consulta Formal , que deliberou pela matéria constante na Ordem do Dia. Sendo o que nos cumpria ao momento, permanecemos à disposição para esclarecer eventuais dúvidas adicionais que se façam necessárias. Atenciosamente, Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios 28.472.333/0001-32 28.472.333/0001-32 24/09/2023 Mercado Crédito Merchant Fundo de Mercado Crédito Merchant Fundo de I...",PDF analisado
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,12/2023,outro,Informe Trimestral,607588,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,18/12/2023 23:59,assembleia,AGO,566552,data/raw/28472333000132/566552_assembleia_assembleia_566552_2023-12-18.pdf,True,4.0,alteracoes_assembleias: 1; cotistas_partes_relacionadas: 4; governanca_operacional: 4,"1, 2, 3, 4","...nistradora e à Gestora, seus sócios, diretores e funcionários; (d) os prestadores de serviços do Fundo, seus sócios, diretores e funcionários; (e) o cotista cujo interesse seja conflitante com o do Fundo; e (f) o cotista, na hipótese de deliberação relativa a laudos de avaliação de bens de sua propriedade que concorram para a formação do patrimônio do Fundo; e (iv) os Cotistas deverão informar à Administradora qualquer situação que os coloque em conflito de interesses em relação a qualquer matéria objeto de deliberação por meio da presente Consulta Formal, ficando tais Cotistas impedidos de votar nas matérias relacionadas ao objeto do conflito de interesses, enquanto permanecer o conflito. Não se aplica a vedação prevista no inciso (iii) quando: (a) os únicos cotistas do Fundo forem tais pessoas; ou (b) houver aquiescência expressa da maioria dos demais cotistas, manifestada na própria assembleia, ou em instr...",PDF analisado
