cnpj,fund_name,short_name,competencia,class_kind,class_macro,class_label,qt_cotas,vl_cota,pl_classe,pl_share_pct,pl_reconciliacao_role
54218941000125,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture II,05/2026,senior,senior,Sênior · Série 1,291000.0,1004.75474447,292383630.64077,96.78933713453326,classe_reportada
54218941000125,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture II,05/2026,subordinada,subordinada,Subordinada 1,9570.84175148,1013.37481925,9698850.029976398,3.2106628654667393,classe_reportada
54219179000100,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture III,05/2026,senior,senior,Sênior · Série 1,142500.0,1004.88020765,143195429.590125,94.25829800594411,classe_reportada
54219179000100,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture III,05/2026,subordinada,subordinada,Subordinada 1,7732.03072889,1128.12348345,8722685.44001783,5.74170199405589,classe_reportada
54248022000102,CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture IV,05/2026,senior,senior,Sênior · Série 1,240000.0,1005.22278812,241253469.14880002,77.84425174574389,classe_reportada
54248022000102,CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture IV,05/2026,subordinada,subordinada,Subordinada 1,60299.99519903,1138.71794008,68664686.31987333,22.15574825425611,classe_reportada
57609282000146,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Cloudwalk A.I.,05/2026,senior,senior,Sênior · Série 1,2245624.99994067,1008.5479334483,2264820452.9900017,83.8294152749166,classe_reportada
57609282000146,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Cloudwalk A.I.,05/2026,subordinada,mezzanino,Mezanino 1 · Série 1,347538.0,1010.30922065012,351120845.9263014,12.99628637933617,classe_reportada
57609282000146,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Cloudwalk A.I.,05/2026,subordinada,subordinada,Subordinada 1 · item 2,80136.845886055,1070.17016511531,85760061.59369963,3.1742983457472382,classe_reportada
60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Cloudwalk PI,05/2026,senior,senior,Sênior · Série 1,1650000000.0,1.00286095069788,1654720568.6515021,50.87761807918262,classe_reportada
60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Cloudwalk PI,05/2026,senior,senior,Sênior · Série 2,1070554462.0,1.00286095080953,1073617265.6547049,33.01046124646348,classe_reportada
60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Cloudwalk PI,05/2026,subordinada,mezzanino,Mezanino 1 · Série 1,226712872.0,1.00300824654455,227394880.213799,6.991700041601247,classe_reportada
60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Cloudwalk PI,05/2026,subordinada,mezzanino,Mezanino 2 · Série 1,15889233.0,12.2745422371867,195033061.57500076,5.996672675503814,classe_reportada
60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Cloudwalk PI,05/2026,subordinada,subordinada,Subordinada 1 · item 3,97096863.1323424,1.04626301424934,101588856.69500019,3.1235479572488374,classe_reportada
62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,05/2026,senior,senior,Sênior · Série 1,3637113.0,1005.6509426,3657666116.7927136,36.632025603860555,classe_reportada
62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,05/2026,senior,senior,Sênior · Série 2,4762886.0,1007.576764,4798973263.180904,48.06237251726927,classe_reportada
62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,05/2026,subordinada,mezzanino,Mezanino 1 · Série 1,303093.0,1005.887924,304877588.548932,3.053390679508178,classe_reportada
62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,05/2026,subordinada,mezzanino,Mezanino 1 · Série 2,259794.0,1006.9954992,261611388.71916482,2.6200737803332603,classe_reportada
62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,05/2026,subordinada,mezzanino,Mezanino 1 · Série 3,396907.0,1007.8912259,400039082.7982913,4.006446038454084,classe_reportada
62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,05/2026,subordinada,mezzanino,Mezanino 1 · Série 4,340207.0,1009.3543752,343389423.9236664,3.4390919694706383,classe_reportada
62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,05/2026,subordinada,subordinada,Subordinada 1 · item 5,74757.0941857,2920.5183543,218329465.68347064,2.1865994111040243,classe_reportada
