group,cnpj_fundo,admin_nome_group,name,pl,pl_previous,pl_delta_yoy
OLIVEIRA TRUST,26287464000114,OLIVEIRA TRUST,TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,40658253334.57,35580709128.07,5077544206.5
OLIVEIRA TRUST,50473039000102,OLIVEIRA TRUST,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,3633849616.56,3750613344.75,-116763728.19000006
OLIVEIRA TRUST,62588266000154,OLIVEIRA TRUST,VTK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,3080096054.77,0.0,3080096054.77
OLIVEIRA TRUST,65976848000104,OLIVEIRA TRUST,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGIBANK II RESPONSABILIDADE LIMITADA,2965169958.4,0.0,2965169958.4
OLIVEIRA TRUST,55471753000177,OLIVEIRA TRUST,SELLER II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO RESP LTDA,2794434432.66,1921830157.37,872604275.29
OLIVEIRA TRUST,52256912000122,OLIVEIRA TRUST,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ACR I BANCOS EMISSORES DE CARTÃO DE CRÉDITO RESP LIMI,2634962131.0,2610141566.33,24820564.670000076
OLIVEIRA TRUST,60528786000146,OLIVEIRA TRUST,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGIBANK I RESPONSABILIDADE LIMITADA,2371330642.84,2354373469.82,16957173.01999998
OLIVEIRA TRUST,63572282000111,OLIVEIRA TRUST,SELLER 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LIMITADA,1836029965.8,0.0,1836029965.8
OLIVEIRA TRUST,53036495000175,OLIVEIRA TRUST,XP RETURN I CONSIGNADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,1655183478.41,1946833446.54,-291649968.1299999
OLIVEIRA TRUST,26722650000134,OLIVEIRA TRUST,VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,1650369124.39,1544422815.15,105946309.24000001
ITAU/INTRAG,53286499000101,ITAU/INTRAG,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,8615892918.29,5232180627.75,3383712290.540001
ITAU/INTRAG,63700113000110,ITAU/INTRAG,NC 2025 I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,5655088696.55,0.0,5655088696.55
ITAU/INTRAG,62838025000116,ITAU/INTRAG,ENDURANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,2006132547.32,0.0,2006132547.32
ITAU/INTRAG,57325251000163,ITAU/INTRAG,ANGICO FIDC SEGMENTO INFRAESTRUTURA E AGRONEGÓCIO DE RESPONSABILIDADE LIMITADA,1392033377.56,912664508.89,479368868.66999996
ITAU/INTRAG,61285603000171,ITAU/INTRAG,MAROBÁ FUNDO DE INVESTMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,1354307152.86,0.0,1354307152.86
ITAU/INTRAG,60431592000128,ITAU/INTRAG,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS KINEA CRÉDITO ESTRUTURADO RESPONSABILIDADE LIMITADA,1095670331.31,0.0,1095670331.31
ITAU/INTRAG,42827518000143,ITAU/INTRAG,VERDE AM CRÉDITO ESTRUTURADO FIDC - CIC EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,954235650.26,894724719.16,59510931.100000024
ITAU/INTRAG,10613882000114,ITAU/INTRAG,ROYAL BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,802422100.79,834640120.42,-32218019.629999995
ITAU/INTRAG,62092802000126,ITAU/INTRAG,IA II - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,783253116.09,0.0,783253116.09
ITAU/INTRAG,29986319000110,ITAU/INTRAG,KINEA VÉRTICE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ABERTO RESPONSABILIDADE LIMITADA,762416742.73,658234053.68,104182689.05000007
