participant_type,participant_normalized,cnpj_participante,funds,linked_pl_brl,confidence_median,sector
cedente_originador,(IV) BM COMERCIO DE VEICULOS LTDA INSCRITA NO CNPJ SOB O No,43794925000164.0,1,147244087.04,0.95,
cedente_originador,(V) ONCAR SOLUCOES LTDA INSCRITA NO CNPJ SOB O No,46061488000168.0,1,147244087.04,0.95,
cedente_originador,FBV PARTICIPACOES S/A,5740799000176.0,1,147244087.04,0.76,Construção
cedente_originador,NOVA OPCAO LOCADORA DE VEICULOS,30083123000102.0,1,147244087.04,0.95,Atividades administrativas e serviços complementares
cedente_originador,CONTPETRA,36489600000102.0,1,146165336.85,0.78,Atividades administrativas e serviços complementares
cedente_originador,BANCO COOPERATIVO SICREDI,1181521000155.0,1,125473080.6,0.67,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,CON INVEST LTDA,53062420000169.0,1,105612835.77,0.78,"Atividades profissionais, científicas e técnicas"
cedente_originador,PAGBEM SERVICOS FINANCEIROS E DE LOGISTICA S.A.,23149892000192.0,1,104015015.1,0.77,"Atividades profissionais, científicas e técnicas"
cedente_originador,WEG DRIVES & CONTROLS - AUTOMACAO LTDA,14309992000148.0,1,99995296.19,0.95,Indústrias de transformação
cedente_originador,WEG EQUIPAMENTOS ELETRICOS S/A - CORPORATIVO,7175725000160.0,1,99995296.19,0.76,"Atividades profissionais, científicas e técnicas"
cedente_originador,SIGNIFICA O BANCO PAULISTA S.A,61820817000109.0,1,98525719.58,0.95,
cedente_originador,CELETI PROVEDORES BANDA LARGA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,38612994000170.0,1,93661992.04,0.67,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,MILENIO WAREHOUSE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,41195699000170.0,1,93661992.04,0.76,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,"REPRESENTADA POR SUA ADMINISTRADORA, A SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A",62285390000140.0,1,93661992.04,0.95,
cedente_originador,"LECCA CREDITO, FINANCIAMENTO E INVESTIMENTO S.A",7652226000116.0,1,90622249.78,0.95,
cedente_originador,(III) A CEDENTE AMEZIN; E (IV) A GUARANY ADMINISTRADORA DE BENS PROPRIOS LTDA,54261448000198.0,1,86703238.78,0.95,
cedente_originador,ARAGUAIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,32321306000136.0,1,86703238.78,0.6,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,II) A HOAHI IMPORTACA O E EXPORTACAO TEXTIL LTDA,20097745000128.0,1,86703238.78,0.77,
cedente_originador,II) A HOAHI IMPORTACAO E EXPORTACAO TEXTIL LTDA,20097745000128.0,1,86703238.78,0.77,
cedente_originador,STONE INSTITUICAO DE PAGAMENTO S.A,16501555000157.0,1,86703238.78,0.93,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,JURI ATIVOS JUDICIAIS LTDA,,1,85240546.65,0.68,
cedente_originador,"ARMAC LOCACAO, LOGISTICA E SERVICOS S.A",242184000104.0,1,70381062.53,0.95,
cedente_originador,BANKERIZE CONSULTORIA LTDA,,1,69525637.75,0.68,
cedente_originador,BMP SOCIEDADE DE CREDITO DIRETO S.A,,1,69525637.75,0.68,
cedente_originador,LAVORO,27490581000143.0,1,68966191.17,0.84,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,FLYTOUR CONSOLIDADORA,51757300000150.0,1,66735278.55,0.95,Atividades administrativas e serviços complementares
cedente_originador,SIMPALA S.A,,1,62917684.29,0.68,
cedente_originador,"SIMPALA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO",34991938000132.0,1,62917684.29,0.95,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,VIA SERVICOS DE COBRANCAS LTDA,33330065000154.0,1,60610808.3,0.95,
cedente_originador,SIGNIFICA A H. STRATTNER & CIA. LTDA,33250713000162.0,1,59718035.16,0.95,
cedente_originador,GO PARTICIPACOES LTDA,6088099000101.0,1,55608463.93,0.95,"Atividades profissionais, científicas e técnicas"
cedente_originador,KENERSON INDUSTRIA E COMERCIO DE PRODUTOS OPTICOS LTDA,7019231000196.0,1,55608463.93,0.95,
cedente_originador,MOSAIC FERTILIZANTES P&K LTDA.,33931486000564.0,1,55579531.31,0.93,Indústrias de transformação
cedente_originador,FFA SOCIEDADE DE CREDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA,24537861000171.0,1,53100029.82,0.95,
cedente_originador,MEUCASHCARD SERVICOS TECNOLOGICOS E FINANCEIROS SA,43299408000119.0,1,52314470.94,0.95,"Atividades profissionais, científicas e técnicas"
cedente_originador,AGROFORTE SECURITIZADORA CONSULTORIA E SERVICOS FINANCEIROS S.A.,37284282000106.0,1,49542356.88,0.95,"Atividades profissionais, científicas e técnicas"
