cnpj_fundo,first_offer_date,latest_offer_date,offer_volume_24m_brl,offers_24m,public_target,fund_name,current_pl_brl,cotistas_x1,administrator,manager,custodian,total_pf,total_pj_nao_financ,total_banco,total_corretora_distrib,total_pj_financ,total_invnr,total_eapc,total_efpc,total_rpps,total_segur,total_capitaliz,total_cota_fidc,total_fii,total_outro_fi,total_clube,total_outro,cotistas_x11,family_pessoas_naturais,family_pj_nao_financeira,family_instituicoes_financeiras,family_investidores_estrangeiros,family_previdencia_e_seguradoras,family_fundos_de_investimento,family_clubes_de_investimento,family_outros,dominant_investor_family,cotistas_histogram_value,cotistas_bucket
62729814000119,2025-09-25,2025-09-25,249000000.0,1,Profissional,DIRECIONAL RECEBÍVEIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESP LTDA,244771616.37,11.0,OLIVEIRA TRUST DTVM S.A.,RIZA SECURITIZAÇÃO E CARTEIRAS GESTORA DE RECURSOS LTD,OLIVEIRA TRUST DTVM S.A.,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,11.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,5.0,outros,11.0,11-50
55476342000174,2024-07-30,2024-07-30,248000000.0,1,Profissional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>500
55469182000136,2024-11-07,2025-11-05,247500000.0,3,Profissional,SC1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,187394570.02,26.0,FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,SH ASSET CAPITAL GESTÃO DE RECURSOS LTDA,FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,0.0,0.0,26.0,4.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,fundos de investimento,26.0,11-50
57660236000171,2024-12-30,2026-03-26,245000000.0,8,Profissional,INTRA SOLIDEZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,318415191.18,53.0,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,INTRA ASSET MANAGEMENT LTDA.,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,43.0,0.0,0.0,53.0,1.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,fundos de investimento,53.0,51-100
65788078000168,2026-04-10,2026-04-10,243750000.0,1,Qualificado,NXFS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,69525637.75,16.0,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,NEXA FINANCE LTDA.,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,12.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,12.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,pessoas naturais,16.0,11-50
32302296000191,2024-09-06,2026-05-12,243213346.24,10,Profissional,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SOLIS EXT CAPITAL,73343220.53,9.0,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SOLIS INVESTIMENTOS S A,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,fundos de investimento,9.0,6-10
53121758000144,2024-10-07,2024-10-07,242500000.0,1,Profissional,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PRATA DIGITAL II RESPONSABILIDADE LIMITADA,99017450.94,3.0,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,QI GESTÃO DE RECURSOS LTDA.,LASTRO RDV DTVM LTDA,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,pj nao financeira,3.0,2-5
58525584000107,2025-02-27,2025-02-27,240000000.0,1,,SOLIS PORTFOLIO CRÉDITO FIC FIDC RESPONSABILIDADE LIMITADA,111218449.65,2607.0,XP INVESTIMENTOS CCTVM S.A.,SOLIS INVESTIMENTOS S A,OLIVEIRA TRUST DTVM S.A.,0.0,0.0,0.0,2607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2607.0,0.0,0.0,2607.0,0.0,0.0,0.0,0.0,0.0,instituicoes financeiras,2607.0,>500
64352617000159,2026-02-10,2026-02-10,240000000.0,1,Profissional,COBUCCIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CONSIGNADO PRIVADO - RESP LIMITADA,54314560.08,36.0,BANCO DAYCOVAL S.A.,ANGÁ ADMINISTRAÇÃO DE RECURSOS LTDA.,BANCO DAYCOVAL S.A.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,2.0,36.0,0.0,1.0,0.0,0.0,0.0,33.0,0.0,2.0,fundos de investimento,36.0,11-50
62935248000100,2025-10-14,2026-05-13,238996982.86,8,Profissional | Qualificado,NTZ EMPREENDIMENTOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICARTEIRA DE RESP LIMITADA,81965841.57,15.0,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,NETZ ASSET GESTÃO DE RECURSOS LTDA,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,outros,15.0,11-50
42888478000140,2024-07-15,2024-12-23,237664825.1,2,Profissional,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS JUVO - RESPONSABILIDADE LIMITADA,111434117.3,68.0,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,NOVA S.R.M. ADMINISTRAÇÃO DE RECURSOS E FINANÇAS S/A,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,14.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,68.0,14.0,2.0,0.0,1.0,0.0,50.0,0.0,1.0,fundos de investimento,68.0,51-100
61753889000172,2025-07-23,2025-07-23,237500000.0,1,Profissional,NACIONAL 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE RESPONSABILIDADE LIMITADA,64434667.98,5.0,OLIVEIRA TRUST DTVM S.A.,OLIVEIRA TRUST SERVICER S/A,OLIVEIRA TRUST DTVM S.A.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,fundos de investimento,5.0,2-5
12610459000196,2024-09-19,2025-12-24,237098913.36,10,Profissional,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS GOAL ONE,210789100.35,105.0,OLIVEIRA TRUST DTVM S.A.,BRZ GESTÃO DE RECURSOS LTDA.,OLIVEIRA TRUST DTVM S.A.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,105.0,0.0,0.0,1.0,0.0,0.0,104.0,0.0,0.0,fundos de investimento,105.0,101-500
61753072000102,2025-07-31,2026-01-22,236500000.0,2,Profissional,SOSU OPPORTUNITIES III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,57279937.02,47.0,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,SOSU CAPITAL GESTÃO DE INVESTIMENTOS LTDA.,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,47.0,25.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,pessoas naturais,47.0,11-50
62475708000156,2025-09-03,2026-05-26,235267000.0,5,Profissional,VAREJO PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,126164541.25,31.0,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,MILÊNIO CAPITAL GESTÃO DE INVESTIMENTOS LTDA.,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,31.0,0.0,4.0,2.0,0.0,0.0,25.0,0.0,0.0,fundos de investimento,31.0,11-50
47085633000103,2025-01-17,2025-11-17,235000000.0,2,Profissional,FUNDO DE CRÉDITO E RECEBÍVEIS - FIDC RESPONSABILIDADE LIMITADA,277471953.46,6.0,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,JIVE INVESTMENTS GESTÃO DE RECURSOS E CONSULTORIA S.A.,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,fundos de investimento,6.0,6-10
20057764000120,2024-07-24,2026-03-27,233500000.0,11,Profissional,HARPIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,601698935.51,148.0,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,GOLDEN ASSET GESTORA DE RECURSOS LTDA.,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,108.0,0.0,0.0,148.0,7.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,fundos de investimento,148.0,101-500
26749095000134,2024-09-16,2025-08-13,233000000.0,2,Profissional,PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,386087567.08,38.0,OLIVEIRA TRUST DTVM S.A.,PRAVALER S/A,OLIVEIRA TRUST DTVM S.A.,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,38.0,0.0,1.0,7.0,0.0,0.0,30.0,0.0,0.0,fundos de investimento,38.0,11-50
51928470000150,2025-01-10,2026-03-31,232000000.0,4,Profissional,CASHME I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,277862476.99,39.0,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,M8 PARTNERS GESTORA DE RECURSOS LTDA.,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,0.0,0.0,39.0,0.0,4.0,0.0,0.0,0.0,35.0,0.0,0.0,fundos de investimento,39.0,11-50
