cnpj_fundo,veiculos_reportantes,cnpjs_reportantes,pl_brl,cnpj_fundo_14,diferenca_veiculos_menos_fundo,universo_veiculos,universo_fundos
26.142.862/0001-42,1,26.142.862/0001-42,2470380152.66,26142862000142,0,4252,4247
38.314.763/0001-80,1,38.314.763/0001-80,2464460565.77,38314763000180,0,4252,4247
59.356.753/0001-87,1,59.356.753/0001-87,2463356625.53,59356753000187,0,4252,4247
63.662.224/0001-89,1,63.662.224/0001-89,2430490971.94,63662224000189,0,4252,4247
60.528.786/0001-46,1,60.528.786/0001-46,2374382918.49,60528786000146,0,4252,4247
22.128.298/0001-52,1,22.128.298/0001-52,2370125529.63,22128298000152,0,4252,4247
47.228.232/0001-65,1,47.228.232/0001-65,2352850421.12,47228232000165,0,4252,4247
42.358.004/0001-96,1,42.358.004/0001-96,2341582512.2,42358004000196,0,4252,4247
55.720.253/0001-21,1,55.720.253/0001-21,2302518318.66,55720253000121,0,4252,4247
59.929.098/0001-09,1,59.929.098/0001-09,2207591119.67,59929098000109,0,4252,4247
40.801.446/0001-30,1,40.801.446/0001-30,2202074010.33,40801446000130,0,4252,4247
52.651.831/0001-27,1,52.651.831/0001-27,2187326043.42,52651831000127,0,4252,4247
44.229.197/0001-00,1,44.229.197/0001-00,2178946912.58,44229197000100,0,4252,4247
57.719.370/0001-09,1,57.719.370/0001-09,2140596574.92,57719370000109,0,4252,4247
42.154.687/0001-60,1,42.154.687/0001-60,2118132225.34,42154687000160,0,4252,4247
13.321.819/0001-00,1,13.321.819/0001-00,2110355080.85,13321819000100,0,4252,4247
49.306.883/0001-51,1,49.306.883/0001-51,2100498673.09,49306883000151,0,4252,4247
32.274.432/0001-87,1,32.274.432/0001-87,2093695955.21,32274432000187,0,4252,4247
34.583.819/0001-40,1,34.583.819/0001-40,2054273957.51,34583819000140,0,4252,4247
54.871.427/0001-94,1,54.871.427/0001-94,2008347381.44,54871427000194,0,4252,4247
62.838.025/0001-16,1,62.838.025/0001-16,2004513902.3,62838025000116,0,4252,4247
23.216.398/0001-01,1,23.216.398/0001-01,1993263958.67,23216398000101,0,4252,4247
61.652.768/0001-34,1,61.652.768/0001-34,1972712266.59,61652768000134,0,4252,4247
42.449.510/0001-90,1,42.449.510/0001-90,1967671103.82,42449510000190,0,4252,4247
50.114.948/0001-46,1,50.114.948/0001-46,1934784988.69,50114948000146,0,4252,4247
53.841.740/0001-17,1,53.841.740/0001-17,1918531934.02,53841740000117,0,4252,4247
53.300.525/0001-09,1,53.300.525/0001-09,1909790565.67,53300525000109,0,4252,4247
24.504.464/0001-01,1,24.504.464/0001-01,1893430371.86,24504464000101,0,4252,4247
43.489.824/0001-80,1,43.489.824/0001-80,1883891566.03,43489824000180,0,4252,4247
63.572.282/0001-11,1,63.572.282/0001-11,1876075238.87,63572282000111,0,4252,4247
28.279.473/0001-99,1,28.279.473/0001-99,1844741719.62,28279473000199,0,4252,4247
60.571.986/0001-81,1,60.571.986/0001-81,1833674485.73,60571986000181,0,4252,4247
50.716.952/0001-84,1,50.716.952/0001-84,1813162069.99,50716952000184,0,4252,4247
17.198.845/0001-36,1,17.198.845/0001-36,1809956971.41,17198845000136,0,4252,4247
56.924.942/0001-10,1,56.924.942/0001-10,1798768995.61,56924942000110,0,4252,4247
41.970.012/0001-26,1,41.970.012/0001-26,1761615997.81,41970012000126,0,4252,4247
32.526.025/0001-10,1,32.526.025/0001-10,1759550198.61,32526025000110,0,4252,4247
12.385.897/0001-06,1,12.385.897/0001-06,1726822662.69,12385897000106,0,4252,4247
38.376.526/0001-43,1,38.376.526/0001-43,1702368453.87,38376526000143,0,4252,4247
40.750.266/0001-76,1,40.750.266/0001-76,1701914787.69,40750266000176,0,4252,4247
49.520.420/0001-98,1,49.520.420/0001-98,1689674163.73,49520420000198,0,4252,4247
22.358.482/0001-99,1,22.358.482/0001-99,1668953204.88,22358482000199,0,4252,4247
05.754.060/0001-13,1,05.754.060/0001-13,1666972490.26,05754060000113,0,4252,4247
12.428.086/0001-37,1,12.428.086/0001-37,1629151199.24,12428086000137,0,4252,4247
26.722.650/0001-34,1,26.722.650/0001-34,1610706096.38,26722650000134,0,4252,4247
08.632.394/0001-02,1,08.632.394/0001-02,1569551198.23,08632394000102,0,4252,4247
58.893.662/0001-18,1,58.893.662/0001-18,1554710409.76,58893662000118,0,4252,4247
53.036.495/0001-75,1,53.036.495/0001-75,1546482100.39,53036495000175,0,4252,4247
62.310.468/0001-30,1,62.310.468/0001-30,1535189477.94,62310468000130,0,4252,4247
35.726.300/0001-37,1,35.726.300/0001-37,1534658749.92,35726300000137,0,4252,4247
23.200.289/0001-98,1,23.200.289/0001-98,1481651371.98,23200289000198,0,4252,4247
57.833.038/0001-62,1,57.833.038/0001-62,1477350540.58,57833038000162,0,4252,4247
66.929.956/0001-80,1,66.929.956/0001-80,1461910524.62,66929956000180,0,4252,4247
39.669.950/0001-49,1,39.669.950/0001-49,1461275229.61,39669950000149,0,4252,4247
13.764.696/0001-74,1,13.764.696/0001-74,1447126452.7,13764696000174,0,4252,4247
47.227.790/0001-06,1,47.227.790/0001-06,1425902192.06,47227790000106,0,4252,4247
65.839.682/0001-76,1,65.839.682/0001-76,1420614297.06,65839682000176,0,4252,4247
57.325.251/0001-63,1,57.325.251/0001-63,1391099575.18,57325251000163,0,4252,4247
52.327.260/0001-70,1,52.327.260/0001-70,1389238751.96,52327260000170,0,4252,4247
31.739.396/0001-17,1,31.739.396/0001-17,1385981646.72,31739396000117,0,4252,4247
18.048.642/0001-26,1,18.048.642/0001-26,1385172155.96,18048642000126,0,4252,4247
45.207.707/0001-01,1,45.207.707/0001-01,1380228129.74,45207707000101,0,4252,4247
47.669.805/0001-96,1,47.669.805/0001-96,1370830378.37,47669805000196,0,4252,4247
14.171.578/0001-15,1,14.171.578/0001-15,1348920016.15,14171578000115,0,4252,4247
62.681.110/0001-13,1,62.681.110/0001-13,1337788554.49,62681110000113,0,4252,4247
13.054.728/0001-48,1,13.054.728/0001-48,1318888006.56,13054728000148,0,4252,4247
43.690.506/0001-82,1,43.690.506/0001-82,1318645748.87,43690506000182,0,4252,4247
29.242.769/0001-06,1,29.242.769/0001-06,1308355355.32,29242769000106,0,4252,4247
41.240.321/0001-40,1,41.240.321/0001-40,1302594039.08,41240321000140,0,4252,4247
38.251.371/0001-19,1,38.251.371/0001-19,1299287705.83,38251371000119,0,4252,4247
46.879.223/0001-71,1,46.879.223/0001-71,1299037542.35,46879223000171,0,4252,4247
32.388.135/0001-62,1,32.388.135/0001-62,1284578705.45,32388135000162,0,4252,4247
14.166.140/0001-49,1,14.166.140/0001-49,1277114152.59,14166140000149,0,4252,4247
11.489.344/0001-22,1,11.489.344/0001-22,1271673604.01,11489344000122,0,4252,4247
19.221.032/0001-45,1,19.221.032/0001-45,1266715166.56,19221032000145,0,4252,4247
37.284.201/0001-78,1,37.284.201/0001-78,1250317417.94,37284201000178,0,4252,4247
57.532.556/0001-46,1,57.532.556/0001-46,1246401933.83,57532556000146,0,4252,4247
63.465.818/0001-08,1,63.465.818/0001-08,1245855236.41,63465818000108,0,4252,4247
08.417.544/0001-65,1,08.417.544/0001-65,1240666511.7,08417544000165,0,4252,4247
59.595.605/0001-15,1,59.595.605/0001-15,1239913416.4,59595605000115,0,4252,4247
19.392.834/0001-18,1,19.392.834/0001-18,1234132292.78,19392834000118,0,4252,4247
08.678.936/0001-88,1,08.678.936/0001-88,1234030780.83,08678936000188,0,4252,4247
47.094.392/0001-69,1,47.094.392/0001-69,1225291499.88,47094392000169,0,4252,4247
43.121.036/0001-36,1,43.121.036/0001-36,1222037129.19,43121036000136,0,4252,4247
29.242.999/0001-67,1,29.242.999/0001-67,1216374305.64,29242999000167,0,4252,4247
55.682.228/0001-09,1,55.682.228/0001-09,1215486145.64,55682228000109,0,4252,4247
25.213.355/0001-90,1,25.213.355/0001-90,1206500966.37,25213355000190,0,4252,4247
61.267.293/0001-62,1,61.267.293/0001-62,1202310624.7,61267293000162,0,4252,4247
29.226.654/0001-10,1,29.226.654/0001-10,1193589922.6,29226654000110,0,4252,4247
29.469.420/0001-01,1,29.469.420/0001-01,1178965486.16,29469420000101,0,4252,4247
51.679.169/0001-50,1,51.679.169/0001-50,1177031022.4,51679169000150,0,4252,4247
23.954.863/0001-01,1,23.954.863/0001-01,1174546978.45,23954863000101,0,4252,4247
14.051.028/0001-62,1,14.051.028/0001-62,1168381489.17,14051028000162,0,4252,4247
55.595.137/0001-28,1,55.595.137/0001-28,1167255846.63,55595137000128,0,4252,4247
23.711.364/0001-85,1,23.711.364/0001-85,1163955072.66,23711364000185,0,4252,4247
32.774.233/0001-38,1,32.774.233/0001-38,1163772257.6,32774233000138,0,4252,4247
42.401.957/0001-90,1,42.401.957/0001-90,1161233853.38,42401957000190,0,4252,4247
63.546.406/0001-94,1,63.546.406/0001-94,1153763377.65,63546406000194,0,4252,4247
47.166.884/0001-12,1,47.166.884/0001-12,1146731982.97,47166884000112,0,4252,4247
58.645.480/0001-28,1,58.645.480/0001-28,1141150790.24,58645480000128,0,4252,4247
15.254.301/0001-19,1,15.254.301/0001-19,1122503422.27,15254301000119,0,4252,4247
60.431.592/0001-28,1,60.431.592/0001-28,1116265513.27,60431592000128,0,4252,4247
63.733.796/0001-01,1,63.733.796/0001-01,1111178920.37,63733796000101,0,4252,4247
58.545.868/0001-57,1,58.545.868/0001-57,1108025278.38,58545868000157,0,4252,4247
53.960.578/0001-56,1,53.960.578/0001-56,1106052595.22,53960578000156,0,4252,4247
49.916.151/0001-83,1,49.916.151/0001-83,1099424222.75,49916151000183,0,4252,4247
58.349.979/0001-98,1,58.349.979/0001-98,1085890404.56,58349979000198,0,4252,4247
55.318.040/0001-78,1,55.318.040/0001-78,1082756618.4,55318040000178,0,4252,4247
30.910.762/0001-96,1,30.910.762/0001-96,1081054302.35,30910762000196,0,4252,4247
60.942.242/0001-26,1,60.942.242/0001-26,1073810964.54,60942242000126,0,4252,4247
29.292.312/0001-06,1,29.292.312/0001-06,1069185006.76,29292312000106,0,4252,4247
12.236.809/0001-04,1,12.236.809/0001-04,1064742280.9,12236809000104,0,4252,4247
34.780.531/0001-66,1,34.780.531/0001-66,1054531139.75,34780531000166,0,4252,4247
34.780.492/0001-05,1,34.780.492/0001-05,1052506551.94,34780492000105,0,4252,4247
26.459.204/0001-89,1,26.459.204/0001-89,1036550916.66,26459204000189,0,4252,4247
14.132.177/0001-56,1,14.132.177/0001-56,1035718461.82,14132177000156,0,4252,4247
54.519.672/0001-37,1,54.519.672/0001-37,1025784460.88,54519672000137,0,4252,4247
19.388.423/0001-59,1,19.388.423/0001-59,1021885945.83,19388423000159,0,4252,4247
44.302.112/0001-72,1,44.302.112/0001-72,1021572769.62,44302112000172,0,4252,4247
61.271.872/0001-89,1,61.271.872/0001-89,1019915716.89,61271872000189,0,4252,4247
63.321.684/0001-43,1,63.321.684/0001-43,1019657420.09,63321684000143,0,4252,4247
66.737.102/0001-00,1,66.737.102/0001-00,1016603043.91,66737102000100,0,4252,4247
60.598.366/0001-36,1,60.598.366/0001-36,1013813788.76,60598366000136,0,4252,4247
51.344.394/0001-36,1,51.344.394/0001-36,1013545604.38,51344394000136,0,4252,4247
57.816.252/0001-00,1,57.816.252/0001-00,1009314406.64,57816252000100,0,4252,4247
57.555.582/0001-90,1,57.555.582/0001-90,1002415606.75,57555582000190,0,4252,4247
17.024.362/0001-15,1,17.024.362/0001-15,1001151211.75,17024362000115,0,4252,4247
54.029.912/0001-15,1,54.029.912/0001-15,985011383.52,54029912000115,0,4252,4247
06.182.371/0001-18,1,06.182.371/0001-18,977835561.91,06182371000118,0,4252,4247
31.848.028/0001-07,1,31.848.028/0001-07,974199793.82,31848028000107,0,4252,4247
52.720.932/0001-02,1,52.720.932/0001-02,973969605.99,52720932000102,0,4252,4247
40.770.670/0001-01,1,40.770.670/0001-01,969334455.98,40770670000101,0,4252,4247
29.720.593/0001-42,1,29.720.593/0001-42,968651152.41,29720593000142,0,4252,4247
28.472.392/0001-00,1,28.472.392/0001-00,965789869.25,28472392000100,0,4252,4247
42.827.518/0001-43,1,42.827.518/0001-43,965774948.8,42827518000143,0,4252,4247
54.810.968/0001-02,1,54.810.968/0001-02,965301307.96,54810968000102,0,4252,4247
28.651.441/0001-72,1,28.651.441/0001-72,957903049.18,28651441000172,0,4252,4247
23.956.882/0001-69,1,23.956.882/0001-69,954213469.15,23956882000169,0,4252,4247
52.989.090/0001-99,1,52.989.090/0001-99,950559088.1,52989090000199,0,4252,4247
35.880.835/0001-68,1,35.880.835/0001-68,935477620.12,35880835000168,0,4252,4247
24.069.733/0001-40,1,24.069.733/0001-40,933195240.21,24069733000140,0,4252,4247
23.245.575/0001-70,1,23.245.575/0001-70,933138902.77,23245575000170,0,4252,4247
52.044.598/0001-14,1,52.044.598/0001-14,927447084.08,52044598000114,0,4252,4247
45.445.355/0001-22,1,45.445.355/0001-22,916110806.89,45445355000122,0,4252,4247
56.321.885/0001-85,1,56.321.885/0001-85,915291645.76,56321885000185,0,4252,4247
60.487.508/0001-98,1,60.487.508/0001-98,914908738.26,60487508000198,0,4252,4247
50.327.909/0001-27,1,50.327.909/0001-27,907215866.55,50327909000127,0,4252,4247
54.218.673/0001-41,1,54.218.673/0001-41,904073803.43,54218673000141,0,4252,4247
35.754.011/0001-41,1,35.754.011/0001-41,896266402.0,35754011000141,0,4252,4247
36.672.404/0001-79,1,36.672.404/0001-79,891514870.24,36672404000179,0,4252,4247
51.943.745/0001-25,1,51.943.745/0001-25,890681446.37,51943745000125,0,4252,4247
61.188.091/0001-25,1,61.188.091/0001-25,881787689.09,61188091000125,0,4252,4247
54.519.721/0001-31,1,54.519.721/0001-31,880049090.22,54519721000131,0,4252,4247
57.976.916/0001-07,1,57.976.916/0001-07,876161254.62,57976916000107,0,4252,4247
58.148.845/0001-09,1,58.148.845/0001-09,868936209.65,58148845000109,0,4252,4247
53.293.984/0001-02,1,53.293.984/0001-02,865057055.5,53293984000102,0,4252,4247
53.779.703/0001-26,1,53.779.703/0001-26,864281715.99,53779703000126,0,4252,4247
29.043.573/0001-84,1,29.043.573/0001-84,855320775.99,29043573000184,0,4252,4247
49.805.246/0001-20,1,49.805.246/0001-20,850538306.24,49805246000120,0,4252,4247
50.168.890/0001-13,1,50.168.890/0001-13,842505368.1,50168890000113,0,4252,4247
60.871.638/0001-20,1,60.871.638/0001-20,838018529.68,60871638000120,0,4252,4247
53.313.856/0001-83,1,53.313.856/0001-83,836729263.29,53313856000183,0,4252,4247
43.702.477/0001-21,1,43.702.477/0001-21,826467300.23,43702477000121,0,4252,4247
59.063.143/0001-95,1,59.063.143/0001-95,821140488.29,59063143000195,0,4252,4247
26.405.874/0001-12,1,26.405.874/0001-12,817184529.35,26405874000112,0,4252,4247
41.196.241/0001-35,1,41.196.241/0001-35,814573041.07,41196241000135,0,4252,4247
36.246.327/0001-95,1,36.246.327/0001-95,812145748.68,36246327000195,0,4252,4247
23.798.073/0001-76,1,23.798.073/0001-76,809070617.54,23798073000176,0,4252,4247
10.613.882/0001-14,1,10.613.882/0001-14,808540098.3,10613882000114,0,4252,4247
54.518.191/0001-07,1,54.518.191/0001-07,797908932.37,54518191000107,0,4252,4247
62.092.802/0001-26,1,62.092.802/0001-26,795397994.61,62092802000126,0,4252,4247
61.799.604/0001-34,1,61.799.604/0001-34,785615459.71,61799604000134,0,4252,4247
48.997.793/0001-91,1,48.997.793/0001-91,781782715.39,48997793000191,0,4252,4247
32.321.306/0001-36,1,32.321.306/0001-36,780376793.13,32321306000136,0,4252,4247
30.144.066/0001-16,1,30.144.066/0001-16,772069392.13,30144066000116,0,4252,4247
29.986.319/0001-10,1,29.986.319/0001-10,771314631.91,29986319000110,0,4252,4247
29.226.704/0001-69,1,29.226.704/0001-69,767494606.72,29226704000169,0,4252,4247
65.783.221/0001-29,1,65.783.221/0001-29,767075838.68,65783221000129,0,4252,4247
32.113.780/0001-72,1,32.113.780/0001-72,765710103.17,32113780000172,0,4252,4247
46.655.552/0001-39,1,46.655.552/0001-39,763807133.95,46655552000139,0,4252,4247
55.562.158/0001-47,1,55.562.158/0001-47,760477917.61,55562158000147,0,4252,4247
37.511.828/0001-14,1,37.511.828/0001-14,754432811.09,37511828000114,0,4252,4247
51.295.720/0001-62,1,51.295.720/0001-62,751721296.46,51295720000162,0,4252,4247
67.063.613/0001-49,1,67.063.613/0001-49,749412873.0,67063613000149,0,4252,4247
66.226.355/0001-01,1,66.226.355/0001-01,748831543.44,66226355000101,0,4252,4247
54.759.252/0001-28,1,54.759.252/0001-28,747930967.3,54759252000128,0,4252,4247
42.260.903/0001-51,1,42.260.903/0001-51,743867881.36,42260903000151,0,4252,4247
26.709.975/0001-87,1,26.709.975/0001-87,743782066.5,26709975000187,0,4252,4247
52.069.691/0001-83,1,52.069.691/0001-83,740484419.78,52069691000183,0,4252,4247
63.322.011/0001-08,1,63.322.011/0001-08,731257888.0,63322011000108,0,4252,4247
13.005.223/0001-93,1,13.005.223/0001-93,724029633.13,13005223000193,0,4252,4247
60.623.935/0001-56,1,60.623.935/0001-56,723497933.97,60623935000156,0,4252,4247
61.288.838/0001-17,1,61.288.838/0001-17,722466359.01,61288838000117,0,4252,4247
44.516.049/0001-77,1,44.516.049/0001-77,721268162.92,44516049000177,0,4252,4247
28.079.873/0001-50,1,28.079.873/0001-50,717547129.56,28079873000150,0,4252,4247
12.813.212/0001-77,1,12.813.212/0001-77,715409074.26,12813212000177,0,4252,4247
50.491.214/0001-86,1,50.491.214/0001-86,710016994.04,50491214000186,0,4252,4247
37.022.236/0001-39,1,37.022.236/0001-39,709452399.8,37022236000139,0,4252,4247
59.688.936/0001-08,1,59.688.936/0001-08,708363721.37,59688936000108,0,4252,4247
37.120.828/0001-93,1,37.120.828/0001-93,706366188.04,37120828000193,0,4252,4247
53.164.652/0001-28,1,53.164.652/0001-28,705498309.71,53164652000128,0,4252,4247
31.570.767/0001-80,1,31.570.767/0001-80,702136589.85,31570767000180,0,4252,4247
58.510.255/0001-84,1,58.510.255/0001-84,700445756.69,58510255000184,0,4252,4247
54.464.892/0001-00,1,54.464.892/0001-00,697493758.97,54464892000100,0,4252,4247
62.274.607/0001-17,1,62.274.607/0001-17,697089883.97,62274607000117,0,4252,4247
35.880.735/0001-31,1,35.880.735/0001-31,694793402.11,35880735000131,0,4252,4247
09.115.244/0001-94,1,09.115.244/0001-94,694519721.34,09115244000194,0,4252,4247
19.746.810/0001-10,1,19.746.810/0001-10,691010142.71,19746810000110,0,4252,4247
17.198.624/0001-68,1,17.198.624/0001-68,690085466.21,17198624000168,0,4252,4247
43.551.156/0001-73,1,43.551.156/0001-73,689641593.97,43551156000173,0,4252,4247
31.495.065/0001-89,1,31.495.065/0001-89,689016117.95,31495065000189,0,4252,4247
47.117.855/0001-60,1,47.117.855/0001-60,688855871.34,47117855000160,0,4252,4247
57.535.898/0001-10,1,57.535.898/0001-10,681351630.98,57535898000110,0,4252,4247
28.153.046/0001-60,1,28.153.046/0001-60,677089997.05,28153046000160,0,4252,4247
32.302.163/0001-15,1,32.302.163/0001-15,674233494.55,32302163000115,0,4252,4247
37.012.075/0001-00,1,37.012.075/0001-00,673294822.11,37012075000100,0,4252,4247
37.021.511/0001-08,1,37.021.511/0001-08,673285076.06,37021511000108,0,4252,4247
47.424.724/0001-26,1,47.424.724/0001-26,673036320.46,47424724000126,0,4252,4247
32.528.241/0001-02,1,32.528.241/0001-02,672100372.1,32528241000102,0,4252,4247
15.675.220/0001-92,1,15.675.220/0001-92,671805123.57,15675220000192,0,4252,4247
65.347.578/0001-64,1,65.347.578/0001-64,664757336.15,65347578000164,0,4252,4247
29.078.618/0001-56,1,29.078.618/0001-56,664681995.93,29078618000156,0,4252,4247
37.037.144/0001-22,1,37.037.144/0001-22,659339820.04,37037144000122,0,4252,4247
62.690.693/0001-49,1,62.690.693/0001-49,658827258.1,62690693000149,0,4252,4247
59.657.690/0001-07,1,59.657.690/0001-07,658122501.28,59657690000107,0,4252,4247
41.197.066/0001-09,1,41.197.066/0001-09,657095062.27,41197066000109,0,4252,4247
25.382.606/0001-60,1,25.382.606/0001-60,655903885.92,25382606000160,0,4252,4247
15.585.932/0001-10,1,15.585.932/0001-10,653996962.08,15585932000110,0,4252,4247
52.756.013/0001-99,1,52.756.013/0001-99,650997738.88,52756013000199,0,4252,4247
15.428.505/0001-29,1,15.428.505/0001-29,648584193.38,15428505000129,0,4252,4247
31.216.543/0001-74,1,31.216.543/0001-74,647834872.81,31216543000174,0,4252,4247
52.653.470/0001-58,1,52.653.470/0001-58,645139954.3,52653470000158,0,4252,4247
45.938.235/0001-67,1,45.938.235/0001-67,643719944.74,45938235000167,0,4252,4247
55.519.337/0001-00,1,55.519.337/0001-00,643144597.27,55519337000100,0,4252,4247
21.838.483/0001-78,1,21.838.483/0001-78,641969978.44,21838483000178,0,4252,4247
42.081.295/0001-18,1,42.081.295/0001-18,640690483.1,42081295000118,0,4252,4247
35.138.028/0001-74,1,35.138.028/0001-74,640370291.03,35138028000174,0,4252,4247
53.864.681/0001-00,1,53.864.681/0001-00,638743807.64,53864681000100,0,4252,4247
17.334.155/0001-67,1,17.334.155/0001-67,638630353.09,17334155000167,0,4252,4247
31.164.462/0001-78,1,31.164.462/0001-78,636635521.16,31164462000178,0,4252,4247
63.882.874/0001-30,1,63.882.874/0001-30,636583666.49,63882874000130,0,4252,4247
10.292.322/0001-05,1,10.292.322/0001-05,632022912.32,10292322000105,0,4252,4247
26.841.302/0001-86,1,26.841.302/0001-86,630944811.65,26841302000186,0,4252,4247
23.729.525/0001-68,1,23.729.525/0001-68,628807310.2,23729525000168,0,4252,4247
44.062.564/0001-24,1,44.062.564/0001-24,628122237.49,44062564000124,0,4252,4247
