rank_excesso,competencia,cnpj_veiculo,cnpj_fundo,cnpj_formatado,cnpj_fundo_formatado,denominacao,pl,carteira_dc,dc_inadimplentes,dc_inadimplentes_ajustado_recalculado,excesso_removido_ajuste,share_excesso,share_excesso_acumulado,is_np,report_flag_source
48,2026-05,28849649000109,28849649000109,28.849.649/0001-09,28.849.649/0001-09,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPÍRICA A55 SAAS,1271868.5,873339.93,59184652.55,873339.93,58311312.62,0.003999751796331346,0.8656184909598625,False,campo_bruto_CVM_reprocessado
49,2026-05,57028406000108,57028406000108,57.028.406/0001-08,57.028.406/0001-08,IS GREEN SOLFÁCIL VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,466847905.01,414432888.87,472338273.34,414432888.87,57905384.46999997,0.003971907939381585,0.8695903988992442,False,campo_bruto_CVM_reprocessado
50,2026-05,50990958000145,50990958000145,50.990.958/0001-45,50.990.958/0001-45,PETUNIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1273103.45,0.0,57464265.46,0.0,57464265.46,0.003941650233400222,0.8735320491326444,False,campo_bruto_CVM_reprocessado
51,2026-05,53075146000162,53075146000162,53.075.146/0001-62,53.075.146/0001-62,TRINU FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,169373774.63,13999999.03,68667608.52,13999999.03,54667609.489999995,0.003749819021974334,0.8772818681546187,False,campo_bruto_CVM_reprocessado
52,2026-05,36115099000114,36115099000114,36.115.099/0001-14,36.115.099/0001-14,VERTICAL BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1460311.18,1318007.79,55296140.79,1318007.79,53978133.0,0.003702525714629717,0.8809843938692484,False,campo_bruto_CVM_reprocessado
53,2026-05,45101831000198,45101831000198,45.101.831/0001-98,45.101.831/0001-98,ARISTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,-93121.88,0.0,53862567.15,0.0,53862567.15,0.0036945986984923108,0.8846789925677407,False,campo_bruto_CVM_reprocessado
54,2026-05,37266557000189,37266557000189,37.266.557/0001-89,37.266.557/0001-89,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TM II RESPONSABILIDADE LIMITADA,2763443.06,0.0,53847147.98,0.0,53847147.98,0.003693541050325353,0.8883725336180661,False,campo_bruto_CVM_reprocessado
55,2026-05,10740479000156,10740479000156,10.740.479/0001-56,10.740.479/0001-56,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CAIXA HABITAÇÃO,2685323.86,0.0,52672329.05,0.0,52672329.05,0.003612956616285021,0.8919854902343511,False,campo_bruto_CVM_reprocessado
56,2026-05,11989256000190,11989256000190,11.989.256/0001-90,11.989.256/0001-90,FIDC MULTISETORIAL MASTER II,807849.01,0.0,50206032.92,0.0,50206032.92,0.0034437857996282694,0.8954292760339794,False,campo_bruto_CVM_reprocessado
57,2026-05,35688153000158,35688153000158,35.688.153/0001-58,35.688.153/0001-58,MAGALU I FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,46921629.74,20864535.35,70430587.48,20864535.35,49566052.13,0.0033998875541694272,0.8988291635881488,False,campo_bruto_CVM_reprocessado
58,2026-05,47463403000130,47463403000130,47.463.403/0001-30,47.463.403/0001-30,ARTESANAL CP AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,26042580.0,24445238.06,73163869.38,24445238.06,48718631.31999999,0.003341760361438671,0.9021709239495874,False,campo_bruto_CVM_reprocessado
59,2026-05,57377862000155,57377862000155,57.377.862/0001-55,57.377.862/0001-55,AEDGER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,61431258.03,61562792.77,108305462.94,61562792.77,46742670.169999994,0.0032062231251103177,0.9053771470746977,True,campo_bruto_CVM_reprocessado
60,2026-05,12144737000167,12144737000167,12.144.737/0001-67,12.144.737/0001-67,CREDIT BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL MASTER - EM LIQUIDAÇÃO,804310.58,21471.11,45391486.559999995,21471.11,45370015.449999996,0.003112068527393723,0.9084892156020915,False,campo_bruto_CVM_reprocessado
61,2026-05,11675457000112,11675457000112,11.675.457/0001-12,11.675.457/0001-12,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL MASTER,1056694.33,0.0,41115691.65,0.0,41115691.65,0.002820251408267702,0.9113094670103592,False,campo_bruto_CVM_reprocessado
62,2026-05,41287621000185,41287621000185,41.287.621/0001-85,41.287.621/0001-85,TRIPOLI NPL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,117588825.97,11729514.25,51424468.44,11729514.25,39694954.19,0.002722798667925836,0.914032265678285,False,campo_bruto_CVM_reprocessado
63,2026-05,28254169000197,28254169000197,28.254.169/0001-97,28.254.169/0001-97,VEGA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL RESPONSABILIDADE LIMITADA,1605850.93,0.0,38571969.34,0.0,38571969.34,0.0026457696924282103,0.9166780353707132,False,campo_bruto_CVM_reprocessado
64,2026-05,10528349000154,10528349000154,10.528.349/0001-54,10.528.349/0001-54,CREDENCIAL - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,249236963.91,47855543.32,86300247.07,47855543.32,38444703.74999999,0.0026370401552365005,0.9193150755259497,False,campo_bruto_CVM_reprocessado
65,2026-05,11351413000137,11351413000137,11.351.413/0001-37,11.351.413/0001-37,CORAL FIDC MULTISETORIAL,-20889123.82,0.0,38281176.55,0.0,38281176.55,0.0026258233229862747,0.9219408988489359,False,campo_bruto_CVM_reprocessado
66,2026-05,41593704000100,41593704000100,41.593.704/0001-00,41.593.704/0001-00,INDÚSTRIA Q1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,5069695.42,0.0,33294571.67,0.0,33294571.67,0.0022837767983890267,0.9242246756473249,False,campo_bruto_CVM_reprocessado
