competencia,tipo_recebivel_tabela_ii,fundos_incluidos_coorte_anterior,pl_incluido_brl_coorte_anterior,carteira_incluida_brl_coorte_anterior,inadimplencia_sobre_carteira_coorte_anterior,fundos_incluidos_coorte_atual,pl_incluido_brl_coorte_atual,carteira_incluida_brl_coorte_atual,inadimplencia_sobre_carteira_coorte_atual,delta_inadimplencia_pp,competencia_coorte_anterior,competencia_coorte_atual
2014-02,Industrial,1,25783753617.91,25652889692.28,0.0,1,25783753617.91,25652889692.28,0.0,0.0,2026-05,2026-06
2014-02,Serviços,7,2351589316.0,2259834196.44,0.0008845609837876765,8,2758095885.46,2626230362.6499996,0.0007888942605588607,-9.566672322881581e-05,2026-05,2026-06
2014-02,Setor público,4,1110276985.48,1085213473.8999999,0.0,4,1110276985.48,1085213473.8999999,0.0,0.0,2026-05,2026-06
2014-03,Agronegócio,0,0.0,0.0,,0,0.0,0.0,,,2026-05,2026-06
2014-03,Ações judiciais,6,1056168308.32,1002452555.56,0.0,6,1056168308.32,1002452555.56,0.0,0.0,2026-05,2026-06
2014-03,Comercial,5,2648445745.7400002,2446078139.88,0.001640278360116833,4,2234907267.21,2081819993.47,0.0018922827873479008,0.0002520044272310677,2026-05,2026-06
2014-03,Financeiro,18,923099429.11,863358188.33,0.01806483351964064,18,1171660394.93,1030466793.82,0.09369615244182754,0.0756313189221869,2026-05,2026-06
2014-03,Imobiliário,1,4075704.94,2859461.65,0.009695286523601392,1,4075704.94,2859461.65,0.009695286523601392,0.0,2026-05,2026-06
2014-03,Industrial,1,28059309820.44,25652889692.28,0.0,1,28059309820.44,25652889692.28,0.0,0.0,2026-05,2026-06
2014-03,Serviços,7,2603029114.99,2515077047.9,0.000744960724588703,8,3016567593.52,2879335194.31,0.0006760208133622505,-6.893991122645243e-05,2026-05,2026-06
2014-03,Setor público,4,1122345738.82,1095204218.92,0.0,4,1122345738.82,1095204218.92,0.0,0.0,2026-05,2026-06
2014-04,Agronegócio,0,0.0,0.0,,0,0.0,0.0,,,2026-05,2026-06
2014-04,Ações judiciais,5,1093967710.79,1006072757.89,0.0,5,1093967710.79,1006072757.89,0.0,0.0,2026-05,2026-06
2014-04,Comercial,5,2714978167.6400003,2493696366.14,0.0017460049182890615,4,2263067780.6,2060749410.24,0.0021128265757906594,0.0003668216575015979,2026-05,2026-06
2014-04,Financeiro,19,958156120.03,895185416.8000001,0.017939081545145206,20,1208035036.1599998,1054378061.33,0.09327261323698961,0.07533353169184441,2026-05,2026-06
2014-04,Imobiliário,1,4177267.6,3817348.88,0.0066275419919177,1,4177267.6,3817348.88,0.0066275419919177,0.0,2026-05,2026-06
2014-04,Industrial,1,22027815219.51,21926538443.23,0.0,1,22027815219.51,21926538443.23,0.0,0.0,2026-05,2026-06
2014-04,Serviços,7,2611162788.55,2366633941.77,0.00042340267851080393,8,3063073175.59,2799580897.67,0.00035792469895546314,-6.54779795553408e-05,2026-05,2026-06
2014-04,Setor público,4,1133739848.02,1105232173.95,0.0,4,1133739848.02,1105232173.95,0.0,0.0,2026-05,2026-06
2014-05,Agronegócio,1,133397583.94,62221074.18,0.0,1,133397583.94,62221074.18,0.0,0.0,2026-05,2026-06
2014-05,Ações judiciais,6,1111579508.46,1024806891.25,0.0,6,1111579508.46,1024806891.25,0.0,0.0,2026-05,2026-06
