competencia_origem,competencia_destino,bridge_group,cnpj_14,cnpj,cnpj_fundo_14,cnpj_fundo,denominacao,reportava_origem,reportava_destino,pl_origem_brl,pl_destino_brl,delta_pl_brl,carteira_origem_brl,carteira_destino_brl,delta_carteira_brl,inad_bruta_origem_brl,inad_bruta_destino_brl,delta_inad_bruta_brl,inad_ajustada_origem_brl,inad_ajustada_destino_brl,delta_inad_ajustada_brl,excesso_origem_brl,excesso_destino_brl,delta_excesso_brl,contribuicao_abs
2024-06,2024-07,fundos continuantes,45853976000145,45.853.976/0001-45,45853976000145,45.853.976/0001-45,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CREDITAS AUTO IX,True,True,142982562.32,134563994.25,-8418568.069999993,131844381.68,123893957.16,-7950424.520000011,25564229.01,27178076.87,1613847.8599999994,25564229.01,27178076.87,1613847.8599999994,0.0,0.0,0.0,1613847.8599999994
2024-06,2024-07,fundos continuantes,40794358000158,40.794.358/0001-58,40794358000158,40.794.358/0001-58,AUTO LOANS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,True,True,21341760.87,18855537.03,-2486223.84,19429051.0,17239342.24,-2189708.7600000016,18310870.68,18847932.86,537062.1799999997,18310870.68,17239342.24,-1071528.4400000013,0.0,1608590.620000001,1608590.620000001,1608590.620000001
2024-06,2024-07,fundos continuantes,41287621000185,41.287.621/0001-85,41287621000185,41.287.621/0001-85,TRIPOLI NPL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,True,True,109607263.17,107228021.41,-2379241.7600000054,14120654.51,15720476.48,1599821.9700000007,49212758.97,49438414.93,225655.9600000009,14120654.51,15720476.48,1599821.9700000007,35092104.46,33717938.45,-1374166.009999998,1599821.9700000007
2024-06,2024-07,fundos continuantes,47239759000195,47.239.759/0001-95,47239759000195,47.239.759/0001-95,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRV23 RESPONSABILIDADE LIMITADA,True,True,12204873.47,12448797.13,243923.66000000015,11689179.36,8282965.77,-3406213.59,80120.73,1678201.46,1598080.73,80120.73,1678201.46,1598080.73,0.0,0.0,0.0,1598080.73
2024-06,2024-07,fundos continuantes,30591284000107,30.591.284/0001-07,30591284000107,30.591.284/0001-07,MOLEIRO CONSIGNADO FIDC FINANCEIROS DE RESPONSABILIDADE LIMITADA,True,True,584241991.75,544976996.32,-39264995.42999995,570656486.85,531050417.61,-39606069.24000001,67492095.79,69081259.79,1589164.0,67492095.79,69081259.79,1589164.0,0.0,0.0,0.0,1589164.0
2024-06,2024-07,fundos continuantes,40211684000195,40.211.684/0001-95,40211684000195,40.211.684/0001-95,CREDINOV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA,True,True,6937537.52,7292699.37,355161.85000000056,6011554.57,6338782.71,327228.13999999966,2020479.13,436981.2,-1583497.93,2020479.13,436981.2,-1583497.93,0.0,0.0,0.0,1583497.93
2024-06,2024-07,fundos continuantes,20057764000120,20.057.764/0001-20,20057764000120,20.057.764/0001-20,HARPIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,True,291152305.83,288405680.3,-2746625.5299999714,264797438.31,247598529.86,-17198908.449999988,23661784.75,25239437.19,1577652.4400000013,23661784.75,25239437.19,1577652.4400000013,0.0,0.0,0.0,1577652.4400000013
2024-06,2024-07,fundos continuantes,47669160000191,47.669.160/0001-91,47669160000191,47.669.160/0001-91,XAMA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,True,True,760872.61,245448.0,-515424.61,609629.93,201607.25,-408022.68000000005,3406557.98,1829185.57,-1577372.41,609629.93,201607.25,-408022.68000000005,2796928.05,1627578.32,-1169349.7299999997,1577372.41
2024-06,2024-07,fundos continuantes,51645270000190,51.645.270/0001-90,51645270000190,51.645.270/0001-90,LUTÈCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,True,True,17485081.59,19978784.14,2493702.5500000007,14941393.58,16557347.04,1615953.459999999,10786701.57,12355655.74,1568954.17,10786701.57,12355655.74,1568954.17,0.0,0.0,0.0,1568954.17
2024-06,2024-07,fundos continuantes,29492579000139,29.492.579/0001-39,29492579000139,29.492.579/0001-39,REAL TIME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,True,True,22341580.43,22991660.2,650079.7699999996,23017464.64,23135282.89,117818.25,5064823.26,6607984.7,1543161.4400000004,5064823.26,6607984.7,1543161.4400000004,0.0,0.0,0.0,1543161.4400000004
