competencia,tipo_recebivel_tabela_ii,fundos_presentes,fundos_incluidos,pl_presente_brl,pl_incluido_brl,carteira_incluida_brl,inadimplencia_ajustada_brl,inadimplencia_sobre_pl,inadimplencia_sobre_carteira,fundos_inad_supera_carteira_excluidos,fundos_campos_ausentes_excluidos,fundos_coorte,pl_coorte_referencia_brl,cobertura_fundos_coorte,cobertura_pl_referencia_coorte,fundos_inadimplencia_positiva,pl_inadimplencia_positiva_brl,carteira_inadimplencia_positiva_brl,inadimplencia_positiva_brl,inadimplencia_sobre_pl_ex_zeros,inadimplencia_sobre_carteira_ex_zeros,variacao_inadimplencia_sobre_pl_pp,variacao_inadimplencia_sobre_carteira_pp
2013-06,Comercial,4,4,2020460392.72,2020460392.72,1866686895.57,5316099.12,0.002631132557289737,0.0028478793806374844,0,0,257,93385844928.04,0.01556420233463035,0.03330743183420146,2,1980235065.76,1831703002.1299999,5316099.12,0.002684579831919964,0.002902271336465662,5.344727463022728e-05,5.4391955828177446e-05
2013-06,Industrial,1,1,38991710733.28,38991710733.28,22379884435.82,0.0,0.0,0.0,0,0,52,65013548181.39,0.019230769230769232,0.9421877943364444,0,0.0,0.0,0.0,,,,
2013-06,Serviços,7,7,2554155751.58,2554155751.58,2255757103.2,1172127.34,0.0004589098919574198,0.0005196159366348572,0,0,160,36529338314.49,0.04375,0.180906421726743,2,175923722.14,143993476.07,1172127.34,0.0066627020264340584,0.008140141984142325,0.006203792134476639,0.0076205260475074674
2013-06,Setor público,4,4,1023489793.62,1023489793.62,1012900087.09,0.0,0.0,0.0,0,0,129,30600789960.969997,0.031007751937984496,0.06069414754517424,0,0.0,0.0,0.0,,,,
2013-06,Ações judiciais,7,6,970149663.46,963738122.33,947781773.7199999,0.0,0.0,0.0,1,0,160,21969975460.06,0.0375,0.029103651254977495,0,0.0,0.0,0.0,,,,
2013-06,Agronegócio,1,0,3504087.33,0.0,0.0,0.0,,,1,0,36,7064715402.79,0.0,0.0,0,0.0,0.0,0.0,,,,
2013-07,Financeiro,21,20,1433409913.85,1418570990.6499999,1115207240.4,129336544.59,0.09117382594348487,0.11597534512384429,1,0,1215,256239377629.81,0.01646090534979424,0.0208679548579575,8,790427879.5699999,654200062.64,129336544.59,0.163628520618934,0.1977018223875846,0.07245469467544911,0.08172647726374031
2013-07,Comercial,4,4,2048360160.2,2048360160.2,1820418542.23,7338958.89,0.0035828459431096484,0.004031467884857856,0,0,257,93385844928.04,0.01556420233463035,0.03330743183420146,2,2007495999.6100001,1789010194.9,7338958.89,0.0036557775913006814,0.004102245426505367,7.2931648191033e-05,7.077754164751086e-05
2013-07,Industrial,1,1,36157370563.9,36157370563.9,29452017864.13,0.0,0.0,0.0,0,0,52,65013548181.39,0.019230769230769232,0.9421877943364444,0,0.0,0.0,0.0,,,,
2013-07,Serviços,7,7,2204313218.1,2204313218.1,2108881084.32,543362.7,0.00024649976942403383,0.0002576544993646264,0,0,160,36529338314.49,0.04375,0.180906421726743,1,160776133.82,138289864.72,543362.7,0.0033796228774124653,0.003929157795476654,0.0031331231079884314,0.0036715032961120277
