competencia,papel,participante,rank_independente,rank_geral,pl_brl,share_pl_total,fundos,denominador_pl_brl,fundos_universo,fonte_prestador,ownership_status,ownership_source_url,ownership_as_of_date,ownership_notes,latest_pl_brl,latest_rank_independente,selected_latest_top_n,ordem_slide
2026-06,gestor,Integral Investimentos,3,8,14931875223.759998,0.020778814619180803,20,718610541429.85,3472,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://integralinvest.com.br/,2026-07-20,Gestora independente; Integral Access e Integral Investimentos devem compartilhar o grupo quando o nome jurídico corresponder ao Integral Group.,14931875223.759998,3,True,3
2024-12,gestor,Solis Investimentos,6,15,8625622928.240002,0.016361458009600913,67,527191581775.81006,2732,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://solisinvestimentos.com.br/,2026-07-20,Gestora independente auditada para o ranking.,14329532473.91,4,True,4
2025-12,gestor,Solis Investimentos,6,11,12831469535.170002,0.019040300909092294,79,673911068760.61,3285,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://solisinvestimentos.com.br/,2026-07-20,Gestora independente auditada para o ranking.,14329532473.91,4,True,4
2026-06,gestor,Solis Investimentos,4,11,14329532473.91,0.019940609896144747,83,718610541429.85,3472,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://solisinvestimentos.com.br/,2026-07-20,Gestora independente auditada para o ranking.,14329532473.91,4,True,4
2024-12,gestor,CBSF,1,3,26228167409.61,0.04975073259186376,29,527191581775.81006,2732,cadastro CVM vigente aplicado à competência,independent_under_extrajudicial_liquidation,https://www.cbsf.com.br/,2026-07-20,Nova denominação da REAG Trust DTVM; independente no recorte societário e em liquidação extrajudicial desde janeiro de 2026.,10174411324.42,5,True,5
2025-12,gestor,CBSF,1,3,32483235436.2,0.04820107124214464,24,673911068760.61,3285,cadastro CVM vigente aplicado à competência,independent_under_extrajudicial_liquidation,https://www.cbsf.com.br/,2026-07-20,Nova denominação da REAG Trust DTVM; independente no recorte societário e em liquidação extrajudicial desde janeiro de 2026.,10174411324.42,5,True,5
2026-06,gestor,CBSF,5,14,10174411324.42,0.01415844986656547,9,718610541429.85,3472,cadastro CVM vigente aplicado à competência,independent_under_extrajudicial_liquidation,https://www.cbsf.com.br/,2026-07-20,Nova denominação da REAG Trust DTVM; independente no recorte societário e em liquidação extrajudicial desde janeiro de 2026.,10174411324.42,5,True,5
2024-12,gestor,REAG,5,10,12407700780.370003,0.02353546833690986,52,527191581775.81006,2732,cadastro CVM vigente aplicado à competência,independent_legacy_group,https://www.b3.com.br/pt_br/noticias/listagem-8AA8D0CC93CF18C60194AE5749752DA3.htm,2026-07-20,Grupo historicamente descrito como gestora independente; manter separado de CBSF para preservar os nomes observados no cadastro vigente.,8163243207.58,6,True,6
2025-12,gestor,REAG,4,8,17182040643.82,0.025496005986990977,44,673911068760.61,3285,cadastro CVM vigente aplicado à competência,independent_legacy_group,https://www.b3.com.br/pt_br/noticias/listagem-8AA8D0CC93CF18C60194AE5749752DA3.htm,2026-07-20,Grupo historicamente descrito como gestora independente; manter separado de CBSF para preservar os nomes observados no cadastro vigente.,8163243207.58,6,True,6
2026-06,gestor,REAG,6,21,8163243207.58,0.011359759893498427,38,718610541429.85,3472,cadastro CVM vigente aplicado à competência,independent_legacy_group,https://www.b3.com.br/pt_br/noticias/listagem-8AA8D0CC93CF18C60194AE5749752DA3.htm,2026-07-20,Grupo historicamente descrito como gestora independente; manter separado de CBSF para preservar os nomes observados no cadastro vigente.,8163243207.58,6,True,6
2024-12,gestor,QI Tech,8,142,415132116.24,0.0007874407152740468,5,527191581775.81006,2732,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://qitech.com.br/newsroom/qi-tech-recebe-aprovacao-do-banco-central-para-concluir-aquisicao-da-singulare/,2026-07-20,"Grupo de infraestrutura financeira sem banco controlador identificado; inclui QI Corretora, QI DTVM e QI Gestão.",4845979220.94,7,False,
2025-12,gestor,QI Tech,8,39,4325563376.610001,0.006418596721619583,14,673911068760.61,3285,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://qitech.com.br/newsroom/qi-tech-recebe-aprovacao-do-banco-central-para-concluir-aquisicao-da-singulare/,2026-07-20,"Grupo de infraestrutura financeira sem banco controlador identificado; inclui QI Corretora, QI DTVM e QI Gestão.",4845979220.94,7,False,
2026-06,gestor,QI Tech,7,34,4845979220.94,0.006743540404093918,17,718610541429.85,3472,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://qitech.com.br/newsroom/qi-tech-recebe-aprovacao-do-banco-central-para-concluir-aquisicao-da-singulare/,2026-07-20,"Grupo de infraestrutura financeira sem banco controlador identificado; inclui QI Corretora, QI DTVM e QI Gestão.",4845979220.94,7,False,
2024-12,gestor,BRL Trust,7,29,3848614507.2700005,0.007300219958570273,13,527191581775.81006,2732,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://www.internal.brltrust.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,4768210489.959998,8,False,
2025-12,gestor,BRL Trust,7,37,4400814560.200001,0.006530260095435945,15,673911068760.61,3285,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://www.internal.brltrust.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,4768210489.959998,8,False,
2026-06,gestor,BRL Trust,8,35,4768210489.959998,0.006635319432515541,15,718610541429.85,3472,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://www.internal.brltrust.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,4768210489.959998,8,False,
