Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,06/10/2023,Cotas Subordinadas Juniores do Fundo,Subordinada,—,—,"40,0",—,—,536974_emissao_emissao_536974_2023-10-06.pdf · ID 536974 · 06/10/2023
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,14/02/2024,Cotas Subordinadas Mezanino e (b) 1,Mezanino,—,—,—,—,—,627265_regulamento_regulamento_627265_2024-02-14.pdf · ID 627265 · 14/02/2024
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,14/02/2024,cotas Subordinadas,Subordinada,—,—,"90,0",—,—,627259_assembleia_assembleia_627259_2024-02-14.pdf · ID 627259 · 14/02/2024 15:00
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,28/03/2024,Cotas Subordinadas Mezanino e (b)1 (uma) classe de Cotas Subordinada,Mezanino,—,—,—,—,—,631967_regulamento_regulamento_631967_2024-03-28.pdf · ID 631967 · 28/03/2024
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,22/05/2024,12ª Série,—,—,—,"117,0",—,—,674320_assembleia_assembleia_674320_2024-05-22.pdf · ID 674320 · 22/05/2024 10:00
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,10/06/2024,Classe/série não identificada,—,—,—,"117,0",—,—,676139_emissao_emissao_676139_2024-06-10.pdf · ID 676139 · 10/06/2024
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,06/11/2024,Cotas Subordinadas Mezanino,Mezanino,—,—,—,—,—,772135_regulamento_regulamento_772135_2024-11-06.pdf · ID 772135 · 06/11/2024
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,12/11/2024,13ª Série,—,—,—,"90,0",—,—,781703_assembleia_assembleia_781703_2024-11-12.pdf · ID 781703 · 12/11/2024 10:00
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,22/11/2024,Classe/série não identificada,—,—,—,"90,0",—,—,785428_emissao_emissao_785428_2024-11-22.pdf · ID 785428 · 22/11/2024
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,28/05/2025,Cotas Subordinadas Mezanino,Mezanino,—,—,—,—,—,913534_regulamento_regulamento_913534_2025-05-28.pdf · ID 913534 · 28/05/2025
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,Cotas Subordinadas Mezanino,Mezanino,—,—,—,—,—,1011996_regulamento_regulamento_1011996_2025-10-13.pdf · ID 1011996 · 13/10/2025
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,19/01/2026,Cotas Subordinadas Mezanino,Mezanino,—,—,"50,0",DI + 3% a.a.,—,1089197_assembleia_assembleia_1089197_2026-01-19.pdf · ID 1089197 · 19/01/2026 09:00
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,27/04/2026,6ª Série,—,—,—,"15,0","DI + 2,5% a.a.",—,1179100_assembleia_assembleia_1179100_2026-04-27.pdf · ID 1179100 · 27/04/2026 18:00
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,30/04/2026,cotas MEZANINO 6 do,Mezanino,—,—,"50,0",—,—,1175771_emissao_emissao_1175771_2026-04-30.pdf · ID 1175771 · 30/04/2026
