grupo,fundo,nome_curto,cnpj,data_referencia,evento,categoria,tipo_documento,especie,documento_id,arquivo_local_existe,source_file
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,06/2023,Informe trimestral,outro,Informe Trimestral,,507575,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,30/06/2023,Relatório de rating,outro,Relatório de Agência de Rating,,499533,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,09/2023,Informe trimestral,outro,Informe Trimestral,,552045,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,23/09/2023 23:59,Assembleia / deliberação,assembleia,AGO,Carta Consulta,517767,True,data/raw/28472333000132/517767_assembleia_assembleia_517767_2023-09-23.pdf
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,24/09/2023 23:59,Assembleia / deliberação,assembleia,AGO,Sumário das Decisões,528403,True,data/raw/28472333000132/528403_assembleia_assembleia_528403_2023-09-24.pdf
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,12/2023,Informe trimestral,outro,Informe Trimestral,,607588,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,18/12/2023 23:59,Assembleia / deliberação,assembleia,AGO,Carta Consulta,566552,True,data/raw/28472333000132/566552_assembleia_assembleia_566552_2023-12-18.pdf
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,18/12/2023 23:59,Assembleia / deliberação,assembleia,AGO,Sumário das Decisões,572987,True,data/raw/28472333000132/572987_assembleia_assembleia_572987_2023-12-18.pdf
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,31/12/2023,Relatório de rating,outro,Relatório de Agência de Rating,,607607,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,31/12/2023,Demonstrações financeiras,outro,Demonstrações Financeiras,,643226,False,
