setor_n1,setor_n2,participant_type,party_name,participant_cnpj_candidate,funds,evidence_rows,materiality_brl
Crédito PJ,Recebíveis comerciais/multissetorial,cedente_originador,NOVERDE TECNOLOGIA E PAGAMENTOS S.A,,1,1,50000000.0
Crédito PJ,Risco sacado/fornecedores,consultora,SARFATY CONSULTORIA DE CRÉDITO E COBRANÇA LTDA,,1,1,50000000.0
Crédito PF,Crédito pessoal/consumo,consultora,JUSINVEST Ltda,43.543.623/0001-13,1,1,47001315.42
Agro,Agro,cedente_originador,ROBBIN PAGAMENTOS LTDA,,1,1,45000000.0
Agro,Agro,sacado_devedor,"SOCIEDADE DE CRÉDITO DIRETO S.A. , INSTITUIÇÃO FINANCEIRA",48.632.754/0001-90,1,1,45000000.0
Crédito PJ,Risco sacado/fornecedores,cedente_originador,FRAGATA CREDIT SECURITIZADORA S/A,51.136.842/0001-06,1,1,40000000.0
Meios de Pagamento e Cartões,Bancos Emissores,consultora,CRÉDITO LTDA,,1,1,40000000.0
Crédito PJ,Risco sacado/fornecedores,cedente_originador,LOOMY SMART SOLUTIONS LTDA,44.448.885/0001-61,1,1,37500000.0
Crédito PF,Crédito pessoal/consumo,consultora,ou à Classe.Consultora EspecializadaA CREDISA FOMENTO MERCANTIL LTDA,72.538.937/0001-26,1,1,36718334.11
Crédito PJ,Risco sacado/fornecedores,consultora,MENESTYS CAPITAL LTDA,,1,1,35689315.37
Crédito PJ,Risco sacado/fornecedores,consultora,IOX SECURITIZADORA S.A,,1,1,35000000.0
Crédito PF,Crédito pessoal/consumo,sacado_devedor,VIA CERTA FINANCIADORA S.A,,1,1,33500000.0
Crédito PF,Crédito pessoal/consumo,sacado_devedor,es. 11 de 57 7.2A gestão da carteira do Fundo compete à GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA,,1,1,30000000.0
Crédito PJ,Risco sacado/fornecedores,consultora,GO CORRESPONDENTE BANCARIO LTDA,22.672.498/0001-71,1,1,30000000.0
Crédito PJ,Recebíveis comerciais/multissetorial,cedente_originador,DMINISTRADORA CART ÃO DE CRÉDITO TODOS S.A,,1,1,28127171.71
Imobiliário,Imobiliário,cedente_originador,POTI JUNIOR S.A,00.859.542/0001-14,1,1,28000000.0
Imobiliário,Imobiliário,consultora,"QFLASH TECNOLOGIA LTDA., SOCIEDADE EMPRESÁRIA LIMITADA",31.504.994/0001-07,1,1,28000000.0
Crédito PJ,CCB/Notas comerciais/Capital de giro,cedente_originador,CONDOCONTA FINANCE S.A,,1,1,27000000.0
Crédito PF,Crédito pessoal/consumo,consultora,SOLUCRED CONSULTORIA LTDA,,1,1,26091640.37
Crédito PJ,Recebíveis comerciais/multissetorial,consultora,OURO PRETO CAPITAL CONSULTORIA LTDA,,1,1,26010164.36
Imobiliário,Imobiliário,consultora,"Fundo contará com os serviços de consultora especializada, pela ZURIQUE B LTDA",52.287.610/0001-11,1,1,23000000.0
Imobiliário,Imobiliário,consultora,BWAI CONSULTORIA LTDA,,1,1,20661591.46
Imobiliário,Imobiliário,consultora,BWAI CONSULTORIA LTDA,51.943.290/0001-48,1,1,20661591.46
Imobiliário,Imobiliário,consultora,VANTO FINTECH S/A,53.074.457/0001-07,1,1,20661591.46
Crédito PF,Crédito pessoal/consumo,cedente_originador,Segurança Cindapa do Sul Ltda,,1,1,20000000.0
Crédito PF,Crédito pessoal/consumo,cedente_originador,"s, com objetivo de BANVOX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA",,1,1,20000000.0
Crédito PF,Crédito pessoal/consumo,consultora,PRECATORIOEXPRESS ASSESSORIA EMPRESARIAL LTDA,,1,1,20000000.0
Crédito PF,Crédito pessoal/consumo,sacado_devedor,serem adquiridos pela Classe. BANVOX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,,1,1,20000000.0
Crédito PF,Crédito pessoal/consumo,consultora,MARANATA CONSULTORIA LTDA,54.608.131/0001-85,1,1,15763473.03
Agro,Agro,consultora,BMJ CONSULTORIA LTDA,,1,1,15000000.0
Imobiliário,Imobiliário,sacado_devedor,"MOVA SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A. , sociedade anônima",,1,1,15000000.0
Imobiliário,Imobiliário,sacado_devedor,PICPAY INSTITUIÇÃO DE PAGAMENTO S.A,,1,1,15000000.0
Crédito PJ,Risco sacado/fornecedores,consultora,"GELMAR ASSESSORIA, COBRANCAS E SERVICOS ADMINISTRATIVOS LTDA",,1,1,12500000.0
Crédito PF,Crédito pessoal/consumo,consultora,NEW ERA CAPITAL LTDA,37.031.794/0001-60,1,1,10000000.0
Crédito PF,Crédito pessoal/consumo,consultora,PINARELLO FOMENTO MERCANTIL LTDA,23.543.497/0001-90,1,1,10000000.0
Crédito PF,Crédito pessoal/consumo,sacado_devedor,SGA CORRETORA DE SEGUROS LTDA,,1,1,10000000.0
Crédito PF,Crédito pessoal/consumo,consultora,FINANCIA ASSESSORIA E COBRANÇA LTDA,,1,1,6953740.48
Crédito PJ,Risco sacado/fornecedores,consultora,ou à Classe.Consultora EspecializadaA I9 APOIO DE ADMINISTRATIVO LTDA,44.658.362/0001-40,1,1,5868586.82
Crédito PJ,Risco sacado/fornecedores,consultora,TPC Consultoria Ltda,52.885.025/0001-13,1,1,4500000.0
Crédito PJ,Risco sacado/fornecedores,consultora,MENESTYS CAPITAL LTDA,15.704.987/0001-00,1,1,2700000.0
