Fundo,CNPJ,Critério,Chave,Evento,Comparação,Limite,Monitoramento,Métrica IME sugerida,Fonte,Comentário
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,100%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,147607_regulamento_regulamento_147607_2021-02-05.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,parcial,Posições mantidas em derivativos,147607_regulamento_regulamento_147607_2021-02-05.pdf,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,"0,23%",parcial,Posições mantidas em derivativos,147607_regulamento_regulamento_147607_2021-02-05.pdf,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,parcial,Posições mantidas em derivativos,147607_regulamento_regulamento_147607_2021-02-05.pdf,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,parcial,Posições mantidas em derivativos,147607_regulamento_regulamento_147607_2021-02-05.pdf,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,parcial,Posições mantidas em derivativos,147607_regulamento_regulamento_147607_2021-02-05.pdf,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"5,50%",monitoravel,Dir Cred / PL,147618_assembleia_assembleia_147618_2021-02-05.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"57,06%",monitoravel,Dir Cred / PL,147618_assembleia_assembleia_147618_2021-02-05.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,100%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,147618_assembleia_assembleia_147618_2021-02-05.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,0%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,147618_assembleia_assembleia_147618_2021-02-05.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,0%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,147618_assembleia_assembleia_147618_2021-02-05.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,parcial,Posições mantidas em derivativos,147618_assembleia_assembleia_147618_2021-02-05.pdf,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,"0,23%",parcial,Posições mantidas em derivativos,147618_assembleia_assembleia_147618_2021-02-05.pdf,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,parcial,Posições mantidas em derivativos,147618_assembleia_assembleia_147618_2021-02-05.pdf,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,parcial,Posições mantidas em derivativos,147618_assembleia_assembleia_147618_2021-02-05.pdf,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,parcial,Posições mantidas em derivativos,147618_assembleia_assembleia_147618_2021-02-05.pdf,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"3,30%",monitoravel,Dir Cred / PL,193190_assembleia_assembleia_193190_2021-07-13.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Cobertura mínima de PDD/provisão,pdd_coverage_min,enquadramento,>=,100%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,197229_assembleia_assembleia_197229_2021-07-22.pdf,O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Cobertura mínima de PDD/provisão,pdd_coverage_min,enquadramento,>=,1%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,197229_assembleia_assembleia_197229_2021-07-22.pdf,O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Cobertura mínima de PDD/provisão,pdd_coverage_min,enquadramento,>=,1%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,197229_assembleia_assembleia_197229_2021-07-22.pdf,O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Cobertura mínima de PDD/provisão,pdd_coverage_min,enquadramento,>=,1%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,197229_assembleia_assembleia_197229_2021-07-22.pdf,O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Cobertura mínima de PDD/provisão,pdd_coverage_min,enquadramento,>=,100%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,197229_assembleia_assembleia_197229_2021-07-22.pdf,O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,100%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,197229_assembleia_assembleia_197229_2021-07-22.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,0%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,197229_assembleia_assembleia_197229_2021-07-22.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,parcial,Posições mantidas em derivativos,197229_assembleia_assembleia_197229_2021-07-22.pdf,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,parcial,Posições mantidas em derivativos,197229_assembleia_assembleia_197229_2021-07-22.pdf,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,parcial,Posições mantidas em derivativos,197229_assembleia_assembleia_197229_2021-07-22.pdf,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"67,72%",monitoravel,Dir Cred / PL,256459_assembleia_assembleia_256459_2021-12-23.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"67,72%",monitoravel,Dir Cred / PL,256459_assembleia_assembleia_256459_2021-12-23.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"67,72%",monitoravel,Dir Cred / PL,256459_assembleia_assembleia_256459_2021-12-23.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,100%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,256459_assembleia_assembleia_256459_2021-12-23.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,100%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,256459_assembleia_assembleia_256459_2021-12-23.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,0%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,256459_assembleia_assembleia_256459_2021-12-23.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Cobertura mínima de PDD/provisão,pdd_coverage_min,enquadramento,>=,1%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,314941_assembleia_assembleia_314941_2022-06-14.pdf,O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Cobertura mínima de PDD/provisão,pdd_coverage_min,enquadramento,>=,1%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,314941_assembleia_assembleia_314941_2022-06-14.pdf,O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Cobertura mínima de PDD/provisão,pdd_coverage_min,enquadramento,>=,1%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,314941_assembleia_assembleia_314941_2022-06-14.pdf,O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Cobertura mínima de PDD/provisão,pdd_coverage_min,enquadramento,>=,1%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,314941_assembleia_assembleia_314941_2022-06-14.pdf,O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Cobertura mínima de PDD/provisão,pdd_coverage_min,enquadramento,>=,"0,00%",monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,314941_assembleia_assembleia_314941_2022-06-14.pdf,O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,parcial,Posições mantidas em derivativos,314941_assembleia_assembleia_314941_2022-06-14.pdf,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,parcial,Posições mantidas em derivativos,314941_assembleia_assembleia_314941_2022-06-14.pdf,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,parcial,Posições mantidas em derivativos,314941_assembleia_assembleia_314941_2022-06-14.pdf,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"2,80%",monitoravel,Dir Cred / PL,324000_assembleia_assembleia_324000_2022-07-11.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,100%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,324000_assembleia_assembleia_324000_2022-07-11.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,100%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,324000_assembleia_assembleia_324000_2022-07-11.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,0%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,324000_assembleia_assembleia_324000_2022-07-11.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"32,81%",monitoravel,Dir Cred / PL,324285_assembleia_assembleia_324285_2022-07-11.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"32,81%",monitoravel,Dir Cred / PL,324285_assembleia_assembleia_324285_2022-07-11.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"32,81%",monitoravel,Dir Cred / PL,324285_assembleia_assembleia_324285_2022-07-11.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,100%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,324285_assembleia_assembleia_324285_2022-07-11.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,100%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,324285_assembleia_assembleia_324285_2022-07-11.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,100%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,324285_assembleia_assembleia_324285_2022-07-11.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"3,5%",monitoravel,Dir Cred / PL,458972_regulamento_regulamento_458972_2023-05-05.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"3,5%",monitoravel,Dir Cred / PL,458972_regulamento_regulamento_458972_2023-05-05.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"3,5%",monitoravel,Dir Cred / PL,458972_regulamento_regulamento_458972_2023-05-05.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"3,5%",monitoravel,Dir Cred / PL,458972_regulamento_regulamento_458972_2023-05-05.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"3,5%",monitoravel,Dir Cred / PL,458972_regulamento_regulamento_458972_2023-05-05.pdf,O Informe Mensal traz direitos creditórios e PL.
