Fundo,CNPJ,Data,Classe/Série,Evento,Volume,Remuneração,Amortização/Vencimento,Fonte
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,33ª SÉRIE,evento de cota,"R$ 200.000.000,00","(sessenta) meses a contar da 1ª Data de Integralização de Cotas Seniores da 33ª Série. Sobretaxa Sênior das Cotas Seniores da 33ª Série: 2,10% ( dois inteiros e dez centésimos por cento) ao ano , conforme definida no âmbito do procedimento de bookbuilding conduzido pelo intermediário líder da Oferta. Meta de Remuneração das Cotas Seniores da 33ª Série: As Cotas Seniores da 33ª Série serão valoradas diariamente, a pa…","item 14 do Regulamento. A Meta de Remuneração das Cotas Seniores da 33ª Série será determinada através da apropriação diária, sob forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis, da Taxa DI, acrescida de Sobretaxa Sênior das Cotas Seniores da 33ª Série. Tipo de Amortização Programada: Remuneração Intermediária. Meta de Amortização de Principal: Com relação a cada D…",596947_assembleia_assembleia_596947_2024-02-06.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,33ª SÉRIE,emissão,"R$ 225.000.000,00",,,602471_emissao_emissao_602471_2024-02-06.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,33ª SÉRIE,emissão,"R$ 1,00",,,602486_emissao_emissao_602486_2024-02-09.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,cotas seniores XXXI 71,evento de cota,,"ão aplicada em direitos creditórios poderá ser aplicada em ativos financeiros. Os ativos financeiros podem vir a se mostrar ilíquidos (seja por ausência de mercado secundário ativo, seja por eventual atraso no pagamento por parte do respectivo emissor e/ou devedor), o que poderia, eventualme nte, afetar os pagamentos de remuneração, amortização e/ou de resgate das cotas. Adicionalmente, não foi realizado qualquer pr…",reditórios 439.505 341.708 Valores ressarcidos/reembolsados por contratos cancelados 2.515 1.637 Rendas em operações compromissadas 939 970 Resgate de titulos privados de renda fixa (142.627) 90.608 Aplicação em titulos privados de renda fixa 264.506 (146.855) Aplicação em títulos públicos (201.336) (360.286) Resgate/amortização de títulos públicos 191.930 332.114 Liquidação financeira de derivativos 9.951 (1.462) P…,690837_assembleia_assembleia_690837_2024-07-01.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,34ª Série,evento de cota,"R$ 30.000.000,00","ia para amortização de principal e, a partir do 13º (décimo terceiro) mês (inclusive), amortização de principal à razão de 1/48 (um sobre quarenta e oito avos) de principal a cada mês. O pagamento de juros ocorrerá mensalmente sem carência, desde a 1ª Data de Integralização de Cotas Seniores da 34ª Série; (v) Meta de Remuneração das Cotas Seniores da 34ª Série: as Cotas Seniores da 34ª Série serão valoradas diariame…","iores da 34ª Série: a ser definid a de acordo com Procedimento de Bookbuilding, observada a quantidade mínima de 30.000.000 (trinta milhões) e a quantidade máxima de 330.000.000 (trezentos e trinta milhões) de Cotas Seniores da 34ª Série; (iii) Valor Unitário de Emissão: R$ 1,00 (um real); (iv) Prazo e Condições de Amortização das Cotas Seniores da 34ª Série: prazo de 60 (sessenta) meses a contar da primeira data de…",716784_assembleia_assembleia_716784_2024-08-08.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,34ª SÉRIE,evento de cota,"R$ 380.000.000,00",,,730982_evento_evento_730982_2024-08-13.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,Cotas Subordinadas,evento de cota,"R$ 5.000.000,00",não colocado será cancelado. Data de Resgate: 60 (sessenta) meses a contar da 1ª Data de Integralização de Cotas Subordinadas Mezanino II-D. Sobretaxa Mezanino das Cotas Subordinadas Mezanino II-D: A ser definida de acordo com procedimento de bookbuilding conduzido pelo intermediário líder da Oferta. Meta de Remuneração das Cotas Subordinadas Mezanino II-D: As Cotas Subordinadas Mezanino II-D serão valoradas diariam…,"Regulamento. A Meta de Remuneração das Cotas Subordinadas Mezanino II- D será determinada através da apropriação diária, sob forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis, da Taxa DI, acrescida de Sobretaxa Mezanino das Cotas Subordinadas Mezanino II-D. Tipo de Amortização Programada: Remuneração Intermediária Meta de Amortização de Principal: com relação a cada…",736911_assembleia_assembleia_736911_2024-09-23.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,Cotas Subordinadas Mezanino II-D:,evento de cota,"R$ 5.000.000,00",o não colocado será cancelado. Data de Resgate: 60 (sessenta) meses a contar da 1ª Data de Integralização de Cotas Subordinadas Mezanino II-D. Sobretaxa Mezanino das Cotas Subordinadas Mezanino II-D: A ser definida de acordo com procedimento de bookbuilding conduzido pelo intermediário líder da Oferta. Meta de Remuneração das Cotas Subordinadas Mezanino II-D: As Cotas Subordinadas Mezanino II -D serão valoradas diar…,"Regulamento. A Meta de Remuneração das Cotas Subordinadas Mezanino II-D será determinada através da apropriação diária, sob forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis, da Taxa DI, acrescida de Sobretaxa Mezanino das Cotas Subordinadas Mezanino II-D. Tipo de Amortização Programada: Remuneração Intermediária Meta de Amortização de Principal: com relação a cada D…",742937_assembleia_assembleia_742937_2024-09-23.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,34ª SÉRIE,emissão,"R$1,00",,"Sobretaxa Sênior da 34ª Série : variação da Taxa DI, acrescida de sobretaxa sênior equivalente a 1,40% (um inteiro e quarenta centésimos por cento) ao ano, calculada pro rata temporis por Dias Úteis decorridos, desde a 1ª Data de Integralização das Cotas referente às Cotas Seniores da 34ª Série até a respectiva Data de Resgate estabelecida no Suplemento das Cotas Seniores da 34ª Série, nos termos do item 14 do regul…",743529_emissao_emissao_743529_2024-09-24.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,34ª SÉRIE,evento de cota,"R$ 276.400.000,00","sessenta) meses a contar da 1ª Data de Integralização de Cotas Seniores da 34ª Série. Sobretaxa Sênior das Cotas Seniores da 34ª Série: 1,40% ( um inteiro e quarenta centésimos por cento) ao ano, conforme definida no âmbito do procedimento de bookbuilding conduzido pelo intermediário líder da Oferta. Meta de Remuneração das Cotas Seniores da 34ª Série: As Cotas Seniores da 34ª Série serão valoradas diariamente, a pa…","item 14 do Regulamento. A Meta de Remuneração das Cotas Seniores da 34ª Série será determinada através da apropriação diária, sob forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis, da Taxa DI, acrescida de Sobretaxa Sênior das Cotas Seniores da 34ª Série. Tipo de Amortização Programada: Remuneração Intermediária. Meta de Amortização de Principal: Com relação a cada D…",743627_assembleia_assembleia_743627_2024-09-24.pdf
