grupo,fundo,nome_curto,cnpj,cnpj_digits,data_referencia,categoria,tipo_documento,especie,documento_id,status_cvm,downloaded_flag,source_file,arquivo_local_existe,source_registry,page_count
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,30/06/2021,outro,Relatório de Agência de Rating,,205027,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,09/2021,outro,Informe Trimestral,,235040,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,30/09/2021,outro,Relatório de Agência de Rating,,235044,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,30/09/2021,outro,Relatório de Agência de Rating,,235878,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,12/2021,outro,Informe Trimestral,,270880,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,12/2021,outro,Informe Trimestral,,321401,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,31/12/2021,outro,Demonstrações Financeiras,,510926,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,03/2022,outro,Informe Trimestral,,304904,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,03/2022,outro,Informe Trimestral,,373768,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,06/2022,outro,Informe Trimestral,,340650,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,06/2022,outro,Informe Trimestral,,373901,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,09/2022,outro,Informe Trimestral,,376748,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,09/2022,outro,Informe Trimestral,,410062,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,12/2022,outro,Informe Trimestral,,415493,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,30/12/2022,outro,Relatório de Agência de Rating,,410762,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,31/12/2022,outro,Demonstrações Financeiras,,565264,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,03/2023,outro,Informe Trimestral,,454622,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,31/03/2023,outro,Relatório de Agência de Rating,,457230,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,13/04/2023 18:00,assembleia,AGE,Ata da Assembleia,444985,,,data/raw/28472333000132/444985_assembleia_assembleia_444985_2023-04-13.pdf,True,reports/regulatory_document_inventory.csv,103.0
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,14/04/2023 23:59,assembleia,AGE,Carta Consulta,436942,,,data/raw/28472333000132/436942_assembleia_assembleia_436942_2023-04-14.pdf,True,reports/regulatory_document_inventory.csv,10.0
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,19/04/2023,regulamento,Instrumento Particular de Alteração do Regulamento,,448299,,,data/raw/28472333000132/448299_regulamento_regulamento_448299_2023-04-19.pdf,True,reports/regulatory_document_inventory.csv,97.0
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,19/04/2023,evento,Fato Relevante,,448302,,,data/raw/28472333000132/448302_evento_evento_448302_2023-04-19.pdf,True,reports/regulatory_document_inventory.csv,1.0
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,06/2023,outro,Informe Trimestral,,507575,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,30/06/2023,outro,Relatório de Agência de Rating,,499533,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,09/2023,outro,Informe Trimestral,,552045,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,23/09/2023 23:59,assembleia,AGO,Carta Consulta,517767,,,data/raw/28472333000132/517767_assembleia_assembleia_517767_2023-09-23.pdf,True,reports/regulatory_document_inventory.csv,4.0
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,24/09/2023 23:59,assembleia,AGO,Sumário das Decisões,528403,,,data/raw/28472333000132/528403_assembleia_assembleia_528403_2023-09-24.pdf,True,reports/regulatory_document_inventory.csv,1.0
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,12/2023,outro,Informe Trimestral,,607588,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,18/12/2023 23:59,assembleia,AGO,Carta Consulta,566552,,,data/raw/28472333000132/566552_assembleia_assembleia_566552_2023-12-18.pdf,True,reports/regulatory_document_inventory.csv,4.0
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,18/12/2023 23:59,assembleia,AGO,Sumário das Decisões,572987,,,data/raw/28472333000132/572987_assembleia_assembleia_572987_2023-12-18.pdf,True,reports/regulatory_document_inventory.csv,1.0
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,31/12/2023,outro,Relatório de Agência de Rating,,607607,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,31/12/2023,outro,Demonstrações Financeiras,,643226,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,03/2024,outro,Informe Trimestral,,653128,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,28/03/2024,outro,Relatório de Agência de Rating,,664505,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,06/2024,outro,Informe Trimestral,,714174,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,15/06/2024 23:59,assembleia,AGE,Carta Consulta,674485,,,data/raw/28472333000132/674485_assembleia_assembleia_674485_2024-06-15.pdf,True,reports/regulatory_document_inventory.csv,4.0
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,17/06/2024 10:00,assembleia,AGO,Ata da Assembleia,681860,,,data/raw/28472333000132/681860_assembleia_assembleia_681860_2024-06-17.pdf,True,reports/regulatory_document_inventory.csv,1.0
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,28/06/2024,outro,Relatório de Agência de Rating,,709466,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,03/09/2024 10:00,assembleia,AGE,Ata da Assembleia,732139,,,data/raw/28472333000132/732139_assembleia_assembleia_732139_2024-09-03.pdf,True,reports/regulatory_document_inventory.csv,100.0
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,03/09/2024,regulamento,Regulamento,,732140,,,data/raw/28472333000132/732140_regulamento_regulamento_732140_2024-09-03.pdf,True,reports/regulatory_document_inventory.csv,95.0
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,12/2020,outro,Informe Trimestral,,149747,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,31/12/2020,outro,Demonstrações Financeiras,,259351,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,03/2021,outro,Informe Trimestral,,180899,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,06/2021,outro,Informe Trimestral,,206633,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,15/07/2021 09:00,assembleia,AGE,Ata da Assembleia,196309,,,data/raw/33254370000104/196309_assembleia_assembleia_196309_2021-07-15.pdf,True,reports/regulatory_document_inventory.csv,12.0
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,15/07/2021,regulamento,Regulamento,,206963,,,data/raw/33254370000104/206963_regulamento_regulamento_206963_2021-07-15.pdf,True,reports/regulatory_document_inventory.csv,71.0
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,30/07/2021,regulamento,Instrumento Particular de Alteração do Regulamento,,201177,,,data/raw/33254370000104/201177_regulamento_regulamento_201177_2021-07-30.pdf,True,reports/regulatory_document_inventory.csv,72.0
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,13/08/2021,outro,Outros Documentos,,207363,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,13/08/2021,regulamento,Regulamento,,207364,,,data/raw/33254370000104/207364_regulamento_regulamento_207364_2021-08-13.pdf,True,reports/regulatory_document_inventory.csv,75.0
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,13/08/2021 16:00,assembleia,AGE,Ata da Assembleia,211844,,,data/raw/33254370000104/211844_assembleia_assembleia_211844_2021-08-13.pdf,True,reports/regulatory_document_inventory.csv,4.0
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,09/2021,outro,Informe Trimestral,,236959,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,09/2021,outro,Informe Trimestral,,265200,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,30/09/2021,outro,Outros Documentos,,237022,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,30/09/2021,outro,Relatório de Agência de Rating,,239154,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,21/10/2021 16:00,assembleia,AGE,Ata da Assembleia,228022,,,data/raw/33254370000104/228022_assembleia_assembleia_228022_2021-10-21.pdf,True,reports/regulatory_document_inventory.csv,5.0
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,21/10/2021,regulamento,Regulamento,,228026,,,data/raw/33254370000104/228026_regulamento_regulamento_228026_2021-10-21.pdf,True,reports/regulatory_document_inventory.csv,84.0
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,12/2021,outro,Informe Trimestral,,269524,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,31/12/2021,outro,Relatório de Agência de Rating,,269349,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,31/12/2021,outro,Demonstrações Financeiras,,474003,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,03/2022,outro,Informe Trimestral,,304753,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,31/03/2022,outro,Relatório de Agência de Rating,,304722,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,06/2022,outro,Informe Trimestral,,339514,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,06/2022,outro,Informe Trimestral,,345265,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,29/06/2022 10:00,assembleia,AGE,Ata da Assembleia,325863,,,data/raw/33254370000104/325863_assembleia_assembleia_325863_2022-06-29.pdf,True,reports/regulatory_document_inventory.csv,7.0
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,29/06/2022,regulamento,Regulamento,,325865,,,data/raw/33254370000104/325865_regulamento_regulamento_325865_2022-06-29.pdf,True,reports/regulatory_document_inventory.csv,102.0
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,30/06/2022,outro,Relatório de Agência de Rating,,339360,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,09/2022,outro,Informe Trimestral,,377130,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,30/09/2022,regulamento,Regulamento,,376737,,,data/raw/33254370000104/376737_regulamento_regulamento_376737_2022-09-30.pdf,True,reports/regulatory_document_inventory.csv,1.0
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,30/09/2022,outro,Relatório de Agência de Rating,,385084,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,14/10/2022 17:00,assembleia,AGE,Ata da Assembleia,365260,,,data/raw/33254370000104/365260_assembleia_assembleia_365260_2022-10-14.pdf,True,reports/regulatory_document_inventory.csv,6.0
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,14/10/2022,regulamento,Regulamento,,365262,,,data/raw/33254370000104/365262_regulamento_regulamento_365262_2022-10-14.pdf,True,reports/regulatory_document_inventory.csv,102.0
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,12/2022,outro,Informe Trimestral,,418639,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,30/12/2022,outro,Relatório de Agência de Rating,,417767,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,30/12/2022,outro,Relatório de Agência de Rating,,418417,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,31/12/2022,outro,Demonstrações Financeiras,,513758,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,03/2023,outro,Informe Trimestral,,461146,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,16/03/2023 09:00,assembleia,AGO/E,Ata da Assembleia,433414,,,data/raw/33254370000104/433414_assembleia_assembleia_433414_2023-03-16.pdf,True,reports/regulatory_document_inventory.csv,6.0
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,31/03/2023,outro,Relatório de Agência de Rating,,463085,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,17/04/2023 09:00,assembleia,AGO/E,Ata da Assembleia,447603,,,data/raw/33254370000104/447603_assembleia_assembleia_447603_2023-04-17.pdf,True,reports/regulatory_document_inventory.csv,3.0
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,33254370000104,26/04/2023 16:00,assembleia,AGO/E,Ata da Assembleia,451292,,,data/raw/33254370000104/451292_assembleia_assembleia_451292_2023-04-26.pdf,True,reports/regulatory_document_inventory.csv,3.0
