CNPJ,FIDC,Subtipo funcional,Papel econômico do cedente,Tags,Menção BACEN/BCB,2024 Issuance,2025 Issuance,2026 YTD,Current PL,Classificação base,Evidência,Materialidade
45598747000121,SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,Adquirência / credenciadoras / IPs,Cedente econômico = estabelecimentos/lojistas,"arranjo/transações, estabelecimentos/usuários, credenciadora/adquirente, chargeback/conta centralizadora, BACEN/BCB, plataforma/sistema",Sim,0.0,332500000.0,0.0,380840962.89,Meios de Pagamento e Cartões | Arranjos de pagamento/adquirência,"fundo e aos cotistas. 10.7.2. risco de media materialidade (a) concorrencia. o cedente esta sujeito a competicao com instituicoes credenciadoras e subcredenciadoras na prestacao de servicos aos clientes e estabelecimentos comerciais, e o seu desempenho financeiro depende d",380840962.89
46655552000139,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS BULLLA CARTOES,Arranjos de pagamento / UR,"Papel funcional descrito, sem cedente nomeado","arranjo/transações, estabelecimentos/usuários",Não,192000000.0,300000000.0,300000000.0,611376212.28,Não classificado | Sem classificação,"em tempos detidos pelo bullla em face dos clientes bullla, nos termos dos contratos de administracao de cartoes, provenientes de transacoes de pagamento, presenciais e nao presenciais, incluindo na modalidade ""credito"" ou eventuais tarifas de utilizacao do cartao, realizadas pelos",611376212.28
43705687000173,EDENEMERALD HEZ FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Arranjos de pagamento / UR,Cedente econômico = estabelecimentos/lojistas,"arranjo/transações, estabelecimentos/usuários, plataforma/sistema",Não,0.0,250000000.0,0.0,410851618.82,Não classificado | Sem classificação,"mitada fidc pulverizado direitos creditorios de tempos em tempos detidos pelo cedentes em face da devedora, conforme as regras do arranjo de pagamento, decorrentes de transacoes de pagamento realizadas por usuarios com a utilizacao de instrumentos de pagamento, operacionalizadas",410851618.82
52271464000136,KIWIFY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Marketplaces/plataformas,Cedente/originador = credenciadora ou instituição de pagamento,"arranjo/transações, credenciadora/adquirente, plataforma/sistema",Não,55493140.519999996,229000000.06,0.0,332467731.86,Não classificado | Sem classificação,"concentrado concentrado pulverizado pulverizado significam os direitos creditorios performados, de tempos em tempos detidos pela subcredenciadora em face da credenciadora, originarios de transacoes de pagamento realizadas pelos compradores dos infoprodutores com a utilizacao",332467731.86
59511264000152,FLOW CARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Adquirência / credenciadoras / IPs,Cedente econômico = estabelecimentos/lojistas,"arranjo/transações, estabelecimentos/usuários, credenciadora/adquirente, chargeback/conta centralizadora, BACEN/BCB, plataforma/sistema",Sim,0.0,205000000.0,0.0,0.0,Agro | Agro,"da brigadeiro faria lima, no 1355 – 5o andar, inscrita no cnpj sob o no 62.285.390/0001 -40, ou sua sucessora a qualquer titulo. “adquirentes aprovados” exclusivamente adquirentes oriundos de m aquinas das seguintes empresas, bem como de suas partes relacionadas: cielo, redecard",205000000.0
62627122000160,SUMUP SMART III FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Arranjos de pagamento / UR,"Papel funcional descrito, sem cedente nomeado",plataforma/sistema,Não,0.0,190000000.0,0.0,203168031.45,Não classificado | Sem classificação,Denominação oficial indica payment rail: SUMUP SMART III FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,203168031.45
63863686000164,ORIZ JURI LC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Arranjos de pagamento / UR,"Papel funcional descrito, sem cedente nomeado","arranjo/transações, BACEN/BCB",Sim,0.0,151000000.0,0.0,87052540.99,Crédito PF | Auto/Veículos,"forme definidos em regulamentacao a ser expedida pelo cmn) e de fundos de investimento que liquidem antecipadamente recebiveis de arranjos de pagamento, que ficam sujeitos a tributacao por ibs/cbs quando nao forem classificados como entidades de investimento). 11. das disposicoes",151000000.0
43722605000107,EDENTOURMALINE HAN FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Arranjos de pagamento / UR,Cedente econômico = estabelecimentos/lojistas,"arranjo/transações, estabelecimentos/usuários, plataforma/sistema",Não,0.0,150000000.0,0.0,198220445.25,Não classificado | Sem classificação,"itada fidc pulverizado direitos creditorios de tempos em tempos detidos pelos cedentes em face da devedora, conforme as regras do arranjo de pagamento, decorrentes de transacoes de pagamento realizadas por usuarios com a utilizacao de instrumentos de pagamento, operacionalizadas",198220445.25
58557938000197,JVD FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Arranjos de pagamento / UR,Cedente/originador = credenciadora ou instituição de pagamento,"arranjo/transações, BACEN/BCB",Sim,0.0,150000000.0,0.0,166503766.27,Meios de Pagamento e Cartões | Arranjos de pagamento/adquirência,"e compra e venda, contratos de prestacao de servicos, contratos de locacao, por fatura ou nota fiscal, por agenda ou transacao de arranjos de pagamento (os “documentos comprobatorios”). artigo 37o fluxo das operacoes: toda operacao de aquisicao de direitos creditorios pelo fundo s",166503766.27
61709339000156,FIDC MDR II HIGH GRADE RECEBIVEIS DE CREDENCIADORAS RESPONSABILIDADE LIMITADA,Adquirência / credenciadoras / IPs,Cedente econômico = estabelecimentos/lojistas,"arranjo/transações, estabelecimentos/usuários, credenciadora/adquirente, instituição de pagamento, BACEN/BCB, plataforma/sistema",Sim,0.0,150000000.0,0.0,131700315.86,Agro | Agro,"fidc mdr ii high grade recebiveis de credenciadoras responsabilidade limitada fidc pulverizado a estrategia da classe e a alocacao em ""direitos creditorios"", assim considerados os",150000000.0
34691362000198,ZEUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Arranjos de pagamento / UR,"Papel funcional descrito, sem cedente nomeado","arranjo/transações, BACEN/BCB",Sim,0.0,147000000.0,30000000.0,89807084.78,Meios de Pagamento e Cartões | Arranjos de pagamento/adquirência,"e compra e venda, contratos de prestacao de servicos, contratos de locacao, por fatura ou nota fiscal, por agenda ou transacao de arranjos de pagamento (os “documentos comprobatorios”). artigo 37o fluxo das operacoes: toda operacao de aquisicao de direitos creditorios pelo fundo s",147000000.0
50857998000113,LEO MADEIRAS FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Arranjos de pagamento / UR,"Papel funcional descrito, sem cedente nomeado",arranjo/transações,Não,0.0,140000000.0,0.0,201466637.88,Não classificado | Sem classificação,c segmento meios de pagamento de responsabilidade limitada fidc fidc pulverizado pulverizado direitos creditorios provenientes de transacoes de pagamento realizadas por clientes dos marceneiros utilizando-se de instrumentos de pagamento para servicos e produtos junto aos marceneiros,201466637.88
50059866000146,PAGALEVE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS DE RESPONSABILIDADE LIMITADA,Marketplaces/plataformas,Cedente econômico = estabelecimentos/lojistas,"arranjo/transações, estabelecimentos/usuários, plataforma/sistema",Não,11000000.0,120000000.0,0.0,158377665.84,Não classificado | Sem classificação,"a serem adquiridos pela classe serao representados pelos documentos comprobatorios, originados de ou para viabilizar operacoes de transacoes de pagamento ocorridas no ambito do arranjo de pagamento pagaleve, pelo qual os devedores podem optar por efetuar o pagamento de compras reali",158377665.84
31368761000124,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGBEM,Adquirência / credenciadoras / IPs,Cedente econômico = estabelecimentos/lojistas,"arranjo/transações, estabelecimentos/usuários, instituição de pagamento, BACEN/BCB",Sim,130000000.0,120000000.0,40000000.0,102569468.64,Crédito PJ | Recebíveis comerciais/multissetorial,"celebrado entre a pagbem e cada cliente pagbem, em que sao estabelecidos os termos e condicoes para a emissao e a utilizacao dos instrumentos de pagamento, entre outros; contrato repom: contrato de prestacao de servicos celebrado entre a repom e cada cliente repom, em que sao estabel",130000000.0
62800819000190,HOVERLA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE RECEBIVEIS DE CARTOES - RESP LIMITADA,Adquirência / credenciadoras / IPs,Cedente/originador = credenciadora ou instituição de pagamento,"arranjo/transações, credenciadora/adquirente",Não,0.0,100000000.0,0.0,107010782.46,Não classificado | Sem classificação,"direitos creditorios a serem adquiridos pela classe serao representados por urs de cartoes, originalmente detidos pelos cedentes contra credenciadoras, no ambito do arranjo de pagamento, conforme regimento especifico do instituidor do arranjo de pagamentos, decorrentes da prestac",107010782.46
61292200000150,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ASAAS III - RESPONSABILIDADE LIMITADA,Adquirência / credenciadoras / IPs,Cedente/originador = credenciadora ou instituição de pagamento,"arranjo/transações, credenciadora/adquirente, UR/registradora",Não,0.0,95000000.0,380000000.0,112796518.43,Não classificado | Sem classificação,"to, apos o desconto das taxas que constituem a remuneracao das bandeiras, dos emissores e da respectiva devedora, na qualidade de credenciador. limine trust distribuidora de titulos e valores mobiliarios ltda limine trust distribuidora de titulos e valores mobiliarios ltd",380000000.0
47085610000107,FUNDO DE GESTÃO DE ATIVOS DE CRÉDITO - FIDC RESPONSABILIDADE LIMITADA,Bancos emissores / risco emissor,Cedente/risco = banco emissor ou instituição financeira,"BACEN/BCB, banco emissor/cartão",Sim,0.0,94999999.18,0.0,374858274.92,Meios de Pagamento e Cartões | Bancos Emissores,"; “creditos consumer”: creditos representados por contratos ou instrumentos de credito junto a instituicoes financeiras em geral, faturas de cartao de credito, contratos de crediario, faturas de consumo de servicos de agua, luz, gas, telefonia, internet, televisao por assina",374858274.92
60354694000197,FLIP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS - RESPONSABILIDADE LIMITADA,Adquirência / credenciadoras / IPs,Cedente econômico = estabelecimentos/lojistas,"arranjo/transações, estabelecimentos/usuários, credenciadora/adquirente, instituição de pagamento, BACEN/BCB",Sim,0.0,90500000.0,22500000.0,91011363.87,Meios de Pagamento e Cartões | Arranjos de pagamento/adquirência,"inscrito no registro de cotistas do fundo; “cotista inr” tem o significado que lhe e atribuido no item 25.2 deste regulamento; 7 “credenciadoras” as pessoas juridicas devidamente autorizadas pelo bacen, que sem gerenciar conta de pagamento: (i) habilitam recebedores para a",91011363.87
29226654000110,INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Bancos emissores / risco emissor,Cedente/risco = banco emissor ou instituição financeira,"estabelecimentos/usuários, instituição de pagamento, BACEN/BCB, banco emissor/cartão",Sim,0.0,90000000.0,0.0,1217877675.72,Meios de Pagamento e Cartões | Bancos Emissores,"unica, conforme disposto nos respectivos contratos de deposito. contratos com estabelecimentos sao os contratos celebrados com os estabelecimentos comerciais que aceitam os cartoes de credito emitidos pela credsystem pelos quais sao fixadas as normas e condicoes para a prestacao dos ser",1217877675.72
60871114000139,COBUCCIO I FIDC - SEGMENTO MEIOS DE PAGAMENTO RESPONSABILIDADE LIMITADA.,Arranjos de pagamento / UR,"Papel funcional descrito, sem cedente nomeado",arranjo/transações,Não,0.0,80000000.0,0.0,52771690.17,Não classificado | Sem classificação,"da. fidc pulverizado direitos creditorios performados detidos pela cedente em face dos devedores, equivalentes ao valor total das transacoes de pagamento genial investimentos corretora de valores mobiliarios s.a genial gestao ltda., genial investimentos corretora de valores mobiliar",80000000.0
59356952000195,BEFLY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Adquirência / credenciadoras / IPs,Cedente econômico = estabelecimentos/lojistas,"arranjo/transações, estabelecimentos/usuários, credenciadora/adquirente, instituição de pagamento, UR/registradora, chargeback/conta centralizadora, BACEN/BCB",Sim,0.0,75000000.0,0.0,68316418.24,Imobiliário | Imobiliário,"definido acima, entendidos conforme o significado que lhe atribui o artigo 116 da lei no 6.404/76, e suas alteracoes posteriores; contrato de adquirencia: e o instrumento formal que regula a relacao entre o credenciador e o cedente, estabelecendo os direitos, deveres, condicoes e re",75000000.0
63615161000100,ROBBIN PAGAMENTOS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Arranjos de pagamento / UR,Cedente econômico = estabelecimentos/lojistas,"estabelecimentos/usuários, BACEN/BCB, plataforma/sistema",Sim,0.0,45000000.0,0.0,11090735.77,Agro | Agro,"io nos termos do contrato de parceria comercial para emissoes de cartao, dos quais os devedores podem adquirir bens e servicos em estabelecimentos credenciados, sendo a utilizacao de tais cartoes de credito regida pelos termos e condicoes de uso do cartao de credito robbin. “ccb” ou “cc",45000000.0
54008688000185,MARAJO FIDC - SEGMENTO FINANCEIRO E COMERCIAL - RESPONSABILIDADE LIMITADA,Arranjos de pagamento / UR,"Papel funcional descrito, sem cedente nomeado",arranjo/transações,Não,39900000.0,32000000.0,0.0,106002567.51,Não classificado | Sem classificação,"mento de produtos e servicos, com pagamento a prazo, realizadas com o grupo marajo e (ii) operacoes realizadas pelos titulares de instrumentos de pagamento de cartoes emitidos no ambito do arranjo de pagamentos fechado (private label) da rede frota. os direitos creditorios a serem adq",106002567.51
58593281000113,HEIVI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Arranjos de pagamento / UR,"Papel funcional descrito, sem cedente nomeado","arranjo/transações, BACEN/BCB",Sim,0.0,28000000.0,10000000.0,24109187.2,Meios de Pagamento e Cartões | Arranjos de pagamento/adquirência,"e compra e venda, contratos de prestacao de servicos, contratos de locacao, por fatura ou nota fiscal, por agenda ou transacao de arranjos de pagamento (os “documentos comprobatorios”). artigo 37o fluxo das operacoes: toda operacao de aquisicao de direitos creditorios pelo fundo s",28000000.0
63507342000112,H3 CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Arranjos de pagamento / UR,"Papel funcional descrito, sem cedente nomeado",arranjo/transações,Não,0.0,25000000.0,0.0,72157116.75,Não classificado | Sem classificação,"elo usuario, para a aquisicao de bens e/ou servicos junto ao respectivo recebedor credenciado, mediante a utilizacao de quaisquer instrumentos de pagamento, no ambito de um ou mais arranjos de pagamento genial investimentos corretores de valores mobiliarios s.a., genial gestao ltda ge",72157116.75
52256912000122,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - ACR I,Adquirência / credenciadoras / IPs,Cedente econômico = estabelecimentos/lojistas,"arranjo/transações, estabelecimentos/usuários, UR/registradora, plataforma/sistema",Não,2780000000.0,23000000.0,0.0,2609972622.98,Não classificado | Sem classificação,"oncentrado pulverizado direitos creditorios de tempos em tempos detidos pela cedente em face dos devedores conforme as regras dos arranjos de pagamentos, decorrentes de transacoes de pagamento realizadas por usuarios-finais com a utilizacao de instrumentos de pagamento para a aqui",2780000000.0
45121220000101,MAIS TODOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Adquirência / credenciadoras / IPs,Cedente econômico = estabelecimentos/lojistas,"arranjo/transações, estabelecimentos/usuários, credenciadora/adquirente, UR/registradora, chargeback/conta centralizadora, BACEN/BCB",Sim,106000000.0,20000000.0,30000000.13,142166712.8,Meios de Pagamento e Cartões | Bancos Emissores,"ia; sistema de pagamento: o conjunto de pessoas, equipamentos, tecnologias e procedimentos desenvolvido e disponibilizado por uma credenciadora ou subcredenciadora para os cedentes operarem os cartoes; subfranqueadoras: sao as seguintes sociedades, quando tratadas em conju",142166712.8
35880835000168,FUNDO DE GESTÃO E RECUPERAÇÃO - FIDC - RESPONSABILIDADE LIMITADA,Bancos emissores / risco emissor,Cedente/risco = banco emissor ou instituição financeira,"BACEN/BCB, banco emissor/cartão",Sim,0.0,15000000.0,0.0,949550207.53,Meios de Pagamento e Cartões | Bancos Emissores,"a “creditos consumer”: creditos representados por contratos ou instrumentos de credito junto a instituicoes financeiras em geral, faturas de cartao de credito, contratos de crediario, faturas de consumo de servicos de agua, luz, gas, telefonia, internet, televisao por assina",949550207.53
58288437000152,ALTOMAX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO RECEBÍVEIS COMERCIAIS DE RESP LTDA,Marketplaces/plataformas,"Papel funcional descrito, sem cedente nomeado","arranjo/transações, estabelecimentos/usuários, BACEN/BCB",Sim,40000000.0,15000000.0,0.0,83694430.1,Meios de Pagamento e Cartões | Bancos Emissores,ltda fidc fidc fidc pulverizado pulverizado pulverizado duplicatas performadas oriundas de transacoes mercantis e urs oriundas de transacoes de pagamento via cartao de credito duplicatas performadas oriundas de transacoes mercantis e urs oriundas de transacoes de pagamento via carta,83694430.1
60614968000130,BEMFÁCIL DIGITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MERCANTIS RESPONSABILIDADE LIMITADA,Arranjos de pagamento / UR,"Papel funcional descrito, sem cedente nomeado","arranjo/transações, estabelecimentos/usuários",Não,0.0,15000000.0,0.0,0.0,Não classificado | Sem classificação,"responsabilidade limitada fidc pulverizado direitos creditorios de titularidade do cedente em face dos devedores, decorrentes de transacoes de pagamento, presenciais ou virtuais atraves de link de pagamento, na modalidade ""credito"", realizadas pelos usuarios finais com a utilizacao",15000000.0
61975703000120,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RAPPI PINBANK,Marketplaces/plataformas,"Papel funcional descrito, sem cedente nomeado",plataforma/sistema,Não,0.0,12000000.0,75000000.0,63915293.58,Não classificado | Sem classificação,Denominação oficial indica payment rail: FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RAPPI PINBANK,75000000.0
10756703000106,KOBOLD H FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Adquirência / credenciadoras / IPs,Cedente/originador = credenciadora ou instituição de pagamento,"arranjo/transações, credenciadora/adquirente, instituição de pagamento, chargeback/conta centralizadora, BACEN/BCB",Sim,0.0,10000000.0,0.0,212469813.24,Meios de Pagamento e Cartões | Arranjos de pagamento/adquirência,"trumentos de pagamento e o contrato de credenciamento celebrado entre a empresa realizadora da venda e a instituicao de pagamento credenciadora para operar seu sistema e, se for o caso, termo de adesao a tal contrato de credenciamento, caso o cedente elegivel nao seja a pr",212469813.24
58829200000131,VOX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Arranjos de pagamento / UR,"Papel funcional descrito, sem cedente nomeado","arranjo/transações, BACEN/BCB",Sim,0.0,10000000.0,0.0,125107270.3,Crédito PJ | Recebíveis comerciais/multissetorial,"torios sao oriundos de compras parceladas com juros, parcelamento de fatura, acordos relacionados e inadimplementos originados de transacoes de pagamento realizadas por clientes pessoas fisicas portadores de cartoes de credito emitidos pela voxcred que configurem direitos creditorio",125107270.3
43076377000137,MAX FINANCEIRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Arranjos de pagamento / UR,"Papel funcional descrito, sem cedente nomeado","arranjo/transações, BACEN/BCB",Sim,0.0,10000000.0,0.0,4139542.42,Crédito PF | Crédito pessoal/consumo,"e compra e venda, contratos de prestacao de servicos, contratos de locacao, por fatura ou nota fiscal, por agenda ou transacao de arranjos de pagamento (os (31) 3658-3032 www.actualdtvm.com.br rua martim de carvalho, 723 - 10o andar sto. agostinho - belo horizonte / mg 31 “documen",10000000.0
42866998000151,PRECAVIDA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Arranjos de pagamento / UR,"Papel funcional descrito, sem cedente nomeado","arranjo/transações, BACEN/BCB",Sim,32000000.0,9500000.0,0.0,16742957.93,Meios de Pagamento e Cartões | Arranjos de pagamento/adquirência,"comp ra e venda, contratos de prestacao de servicos, contratos de locacao, por fatura ou nota fiscal, por agenda ou transacao de arranjos de pagamento (os “documentos comprobatorios”). artigo 37o fluxo das operacoes: toda operacao de aquisicao de direitos creditorios pelo fundo s",32000000.0
45810162000123,LANCE REAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Arranjos de pagamento / UR,"Papel funcional descrito, sem cedente nomeado","arranjo/transações, BACEN/BCB",Sim,10000000.0,8700000.0,3000000.0,11140013.36,Crédito PF | Crédito pessoal/consumo,"e compra e venda, contratos de prestacao de servicos, contratos de locacao, por fatura ou nota fiscal, por agenda ou transacao de arranjos de pagamento (os “documentos comprobatorios”). artigo 37o fluxo das operacoes: toda operacao de aquisicao de direitos creditorios pelo fundo s",11140013.36
28960803000107,M SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Arranjos de pagamento / UR,"Papel funcional descrito, sem cedente nomeado","arranjo/transações, BACEN/BCB",Sim,0.0,6000000.0,10000000.0,32118222.74,Meios de Pagamento e Cartões | Arranjos de pagamento/adquirência,"e compra e venda, contratos de prestacao de servicos, contratos de locacao, por fatura ou nota fiscal, por agenda ou transacao de arranjos de pagamento (os “documentos comprobatorios”). www.actualdtvm.com.br (31) 3658-3032 | (11) 3631-85000 avenida paulista, no 1337, conjunto 142,",32118222.74
60209130000160,WFOUR FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Arranjos de pagamento / UR,"Papel funcional descrito, sem cedente nomeado","arranjo/transações, BACEN/BCB",Sim,0.0,5000000.0,0.0,3331486.58,Meios de Pagamento e Cartões | Arranjos de pagamento/adquirência,"e compra e venda, contratos de prestacao de servicos, contratos de locacao, por fatura ou nota fiscal, por agenda ou transacao de arranjos de pagamento (os “documentos comprobatorios”). artigo 37o fluxo das operacoes: toda operacao de aquisicao de direitos creditorios pelo fundo s",5000000.0
