grupo,fundo,nome_curto,cnpj,cnpj_digits,data_referencia,categoria,tipo_documento,especie,documento_id,source_file,arquivo_local_existe,page_count,fonte_cobertura
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,03/2024,outro,Informe Trimestral,,661359,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,31/03/2024,outro,Demonstrações Financeiras,,675897,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,06/2024,outro,Informe Trimestral,,718119,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,26/06/2024,outro,Relatório de Agência de Rating,,690671,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,12/08/2024,outro,Relatório de Agência de Rating,,716991,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,09/2024,outro,Informe Trimestral,,780777,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,27/11/2024,outro,Relatório de Agência de Rating,,798081,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,28/11/2024,regulamento,Instrumento Particular de Alteração do Regulamento,,790772,data/raw/50473039000102/790772_regulamento_regulamento_790772_2024-11-28.pdf,True,191.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,28/11/2024,regulamento,Regulamento,,790777,data/raw/50473039000102/790777_regulamento_regulamento_790777_2024-11-28.pdf,True,188.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,12/2024,outro,Informe Trimestral,,842063,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,26/02/2025,outro,Relatório de Agência de Rating,,858232,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,03/2025,outro,Informe Trimestral,,903889,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,31/03/2025,outro,Demonstrações Financeiras,,936462,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,15/05/2025,outro,Relatório de Agência de Rating,,909988,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,19/05/2025 10:00,assembleia,AGO/E,Ata da Assembleia,909546,data/raw/50473039000102/909546_assembleia_assembleia_909546_2025-05-19.pdf,True,10.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,19/05/2025,regulamento,Regulamento,,909547,data/raw/50473039000102/909547_regulamento_regulamento_909547_2025-05-19.pdf,True,152.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,23/05/2025,emissao,Aviso ao Mercado,,911027,data/raw/50473039000102/911027_emissao_emissao_911027_2025-05-23.pdf,True,3.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,26/05/2025,assembleia,Instrumento Particular de Emissão de Cotas,,912093,data/raw/50473039000102/912093_assembleia_assembleia_912093_2025-05-26.pdf,True,5.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,28/05/2025,emissao,Anúncio de Início,,912172,data/raw/50473039000102/912172_emissao_emissao_912172_2025-05-28.pdf,True,3.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,06/2025,outro,Informe Trimestral,,969075,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,04/06/2025,emissao,Anúncio de Encerramento,,932137,data/raw/50473039000102/932137_emissao_emissao_932137_2025-06-04.pdf,True,3.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,09/2025,outro,Informe Trimestral,,1039870,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,15/09/2025,outro,Relatório de Agência de Rating,,998447,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,07/11/2025,outro,Relatório de Agência de Rating,,1037116,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,12/2025,outro,Informe Trimestral,,1115964,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,12/02/2026,outro,Relatório de Agência de Rating,,1119230,,False,,Inventário sem PDF local
