rank_pl_fundo,cnpj_fundo_raw,fundo,pl_fundo_reais,pl_fundo_pct_industria_origem,pl_acumulado_pct_origem,cedentes_declarados_fundo,administrador,cnpj_fundo,pl_negativo_flag,cedente_declarado_flag,pl_com_cedente_reais,pl_sem_cedente_reais,pl_total_acumulado_reais,pl_total_acumulado_pct,fundos_com_cedente_acumulado,fundos_sem_cedente_acumulado,pl_com_cedente_acumulado_reais,pl_sem_cedente_acumulado_reais,pl_com_cedente_acumulado_pct_industria,pl_sem_cedente_acumulado_pct_industria,pl_com_cedente_pct_dentro_corte,dentro_corte_recomendado_flag,corte_recomendado_flag,marco_cobertura
21,34.197.588/0001-37,DAY MAXX 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,4015059128.44,0.00401816822716,0.23930996192,0,BANCO DAYCOVAL S.A.,34197588000137,False,False,0,4015059128.44,239124793391.31,0.23930996192,8,13,105714771803.43,133410021587.88,0.105796633029,0.13351332889,0.442090384289,True,False,
22,51.152.102/0001-63,HIGH TOWER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,3967152720.03,0.00397022472198,0.243280186642,0,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,51152102000163,False,False,0,3967152720.03,243091946111.34,0.243280186642,8,14,105714771803.43,137377174307.91,0.105796633029,0.137483553612,0.434875665338,True,False,
23,54.979.779/0001-68,FIDC ACR BEM BANCOS EMISSORES DE CARTÃO DE CRÉDITO - RESPONSABILIDADE LIMITADA,3677016076.94,0.00367986340885,0.24696005005,1,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,54979779000168,False,True,3677016076.94,0,246768962188.28,0.24696005005,9,14,109391787880.37,137377174307.91,0.109476496438,0.137483553612,0.443296380997,True,False,
24,12.817.329/0001-29,"HAVAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO, FINANCEIRO E COMERCIAL",3666009327.00,0.00366884813573,0.250628898186,1,BANCO FINAXIS S.A.,12817329000129,False,True,3666009327.00,0,250434971515.28,0.250628898186,10,14,113057797207.37,137377174307.91,0.113145344574,0.137483553612,0.451445724706,True,False,
25,50.473.039/0001-02,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,3656448188.16,0.00365927959314,0.254288177779,0,OLIVEIRA TRUST DTVM S.A.,50473039000102,False,False,0,3656448188.16,254091419703.44,0.254288177779,10,15,113057797207.37,141033622496.07,0.113145344574,0.141142833205,0.444949291634,True,False,
26,29.301.202/0001-55,RSCRED MULTIESTRÉGIA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,3599850973.43,0.00360263855182,0.257890816331,0,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,29301202000155,False,False,0,3599850973.43,257691270676.87,0.257890816331,10,16,113057797207.37,144633473469.50,0.113145344574,0.144745471757,0.438733515925,True,False,
27,53.073.485/0001-00,EXPERT III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE ILIMITADA,3516792400.64,0.00351951566185,0.261410331993,0,BANCO DAYCOVAL S.A.,53073485000100,False,False,0,3516792400.64,261208063077.51,0.261410331993,10,17,113057797207.37,148150265870.14,0.113145344574,0.148264987419,0.432826597599,True,False,
28,48.349.509/0001-70,OCCAM CRÉDITO CORPORATIVO 30 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,3470655083.68,0.00347334261802,0.264883674611,0,BNY MELLON SERVICOS FINANCEIROS DTVM S.A.,48349509000170,False,False,0,3470655083.68,264678718161.19,0.264883674611,10,18,113057797207.37,151620920953.82,0.113145344574,0.151738330037,0.427151068257,True,False,
29,58.900.579/0001-29,MONEE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,3438585492.93,0.00344124819388,0.268324922805,0,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,58900579000129,False,False,0,3438585492.93,268117303654.12,0.268324922805,10,19,113057797207.37,155059506446.75,0.113145344574,0.155179578231,0.421672885959,True,False,
30,13.054.656/0001-39,SOLIS CAPITAL CORE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3424302623.16,0.00342695426404,0.271751877069,0,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,13054656000139,False,False,0,3424302623.16,271541606277.28,0.271751877069,10,20,113057797207.37,158483809069.91,0.113145344574,0.158606532495,0.416355337796,True,False,
