Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
MULTIPLIKE PLUS,42.154.687/0001-60,02/10/2025,Cotas Seniores ou classes de Cotas Subordinadas Mezanino,Sênior,—,—,"100,0","CDI + 3,3% a.a.",—,1008020_emissao_emissao_1008020_2025-10-02.pdf · ID 1008020 · 02/10/2025
MULTIPLIKE PLUS,42.154.687/0001-60,08/10/2025,10ª Série,—,—,—,—,"CDI + 3,3%",—,1009190_emissao_emissao_1009190_2025-10-08.pdf · ID 1009190 · 08/10/2025
MULTIPLIKE PLUS,42.154.687/0001-60,08/10/2025,cotas MEZANINO 10 do,Mezanino,—,—,"100,0",—,—,1009181_emissao_emissao_1009181_2025-10-08.pdf · ID 1009181 · 08/10/2025
MULTIPLIKE PLUS,42.154.687/0001-60,14/10/2025,16ª Série,—,—,—,"300,0","DI + 1,25% a.a.",—,1014848_emissao_emissao_1014848_2025-10-14.pdf · ID 1014848 · 14/10/2025
MULTIPLIKE PLUS,42.154.687/0001-60,17/10/2025,16ª SÉRIE,—,—,—,"300,0",—,—,1016506_emissao_emissao_1016506_2025-10-17.pdf · ID 1016506 · 17/10/2025
MULTIPLIKE PLUS,42.154.687/0001-60,20/10/2025,10ª Série,—,—,—,"100,0","DI + 6,00% a.a.",—,1017184_emissao_emissao_1017184_2025-10-20.pdf · ID 1017184 · 20/10/2025
MULTIPLIKE PLUS,42.154.687/0001-60,28/10/2025,Cotas Seniores ou classes de Cotas,Sênior,—,—,"35,0",CDI + 4% a.a.,—,1023580_emissao_emissao_1023580_2025-10-28.pdf · ID 1023580 · 28/10/2025
MULTIPLIKE PLUS,42.154.687/0001-60,04/11/2025,Cotas Seniores ou classes de Cotas Subordinada s Mezanino,Sênior,—,—,"45,0",CDI + 4% a.a.,—,1028773_emissao_emissao_1028773_2025-11-04.pdf · ID 1028773 · 04/11/2025
MULTIPLIKE PLUS,42.154.687/0001-60,05/12/2025,Cotas Seniores ou classes de Cotas Subordinadas Mezanino,Sênior,—,—,"65,0","CDI + 1,55% a.a.",—,1056095_emissao_emissao_1056095_2025-12-05.pdf · ID 1056095 · 05/12/2025
MULTIPLIKE PLUS,42.154.687/0001-60,28/01/2026,Cotas Mezanino,Mezanino,—,—,"50,0","CDI + 4,00% a.a.",—,1100083_emissao_emissao_1100083_2026-01-28.pdf · ID 1100083 · 28/01/2026
MULTIPLIKE PLUS,42.154.687/0001-60,29/01/2026,cotas MEZANINO 13 do,Mezanino,—,—,"50,0",—,—,1095560_emissao_emissao_1095560_2026-01-29.pdf · ID 1095560 · 29/01/2026
MULTIPLIKE PLUS,42.154.687/0001-60,02/03/2026,14ª Série,—,—,—,"75,0","DI + 3,5% a.a.",—,1129536_assembleia_assembleia_1129536_2026-03-02.pdf · ID 1129536 · 02/03/2026 19:00
MULTIPLIKE PLUS,42.154.687/0001-60,05/03/2026,cotas MEZANINO 14 do,Mezanino,—,—,"75,0",—,—,1129083_emissao_emissao_1129083_2026-03-05.pdf · ID 1129083 · 05/03/2026
MULTIPLIKE PLUS,42.154.687/0001-60,10/03/2026,Cotas Seniores ou classes de Cotas Subordinadas Mezanino,Sênior,—,—,"35,0","CDI + 1,55% a.a.",—,1140141_emissao_emissao_1140141_2026-03-10.pdf · ID 1140141 · 10/03/2026
MULTIPLIKE PLUS,42.154.687/0001-60,11/03/2026,Cotas Sêniores,Sênior,—,—,"120,0","CDI + 2,00% a.a.",—,1140140_emissao_emissao_1140140_2026-03-11.pdf · ID 1140140 · 11/03/2026
MULTIPLIKE PLUS,42.154.687/0001-60,18/03/2026,Classe/série não identificada,—,—,—,—,"DI + 6,00% a.a.",—,1140137_regulamento_regulamento_1140137_2026-03-18.pdf · ID 1140137 · 18/03/2026
MULTIPLIKE PLUS,42.154.687/0001-60,20/03/2026,20ª Série,—,—,—,"120,0","DI + 6,00% a.a.",—,1141410_emissao_emissao_1141410_2026-03-20.pdf · ID 1141410 · 20/03/2026
MULTIPLIKE PLUS,42.154.687/0001-60,20/03/2026,20ª Série,—,—,—,—,"DI + 2,00% a.a.",—,1141412_emissao_emissao_1141412_2026-03-20.pdf · ID 1141412 · 20/03/2026
MULTIPLIKE PLUS,42.154.687/0001-60,20/03/2026,20ª Série,—,—,—,"50,0","DI + 6,00% a.a.",—,1141577_emissao_emissao_1141577_2026-03-20.pdf · ID 1141577 · 20/03/2026
MULTIPLIKE PLUS,42.154.687/0001-60,20/03/2026,Classe/série não identificada,—,—,—,"120,0",—,—,1141414_emissao_emissao_1141414_2026-03-20.pdf · ID 1141414 · 20/03/2026
MULTIPLIKE PLUS,42.154.687/0001-60,13/04/2026,21ª Série,—,—,—,"210,0","CDI + 2,00%",—,1160028_emissao_emissao_1160028_2026-04-13.pdf · ID 1160028 · 13/04/2026
MULTIPLIKE PLUS,42.154.687/0001-60,13/04/2026,21ª série,—,—,—,—,"DI + 6,00% a.a.",—,1160029_emissao_emissao_1160029_2026-04-13.pdf · ID 1160029 · 13/04/2026
MULTIPLIKE PLUS,42.154.687/0001-60,13/04/2026,Classe/série não identificada,—,—,—,"10,0",—,—,1160023_emissao_emissao_1160023_2026-04-13.pdf · ID 1160023 · 13/04/2026
