role,participant,pl_brl_current,pl_dated_brl_current,vehicles_current,funds_current,share_current,dated_coverage_current,rank_current,pl_brl_previous,pl_dated_brl_previous,vehicles_previous,funds_previous,share_previous,dated_coverage_previous,rank_previous,delta_pl_brl,delta_share_pp,delta_rank,competencia_current,competencia_previous,history_quality
administrador,VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,15387367344.93,15387367344.93,44.0,44.0,0.0160529941509839,1.0,16.0,4161623190.26,4161623190.26,12.0,12.0,0.0053176886956504,1.0,29.0,11225744154.67,1.0735305455333497,13.0,2026-05,2025-05,alta
administrador,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,13227802357.82,13227802357.82,43.0,43.0,0.0138000106919149,1.0,17.0,11993086391.59,11993086391.59,48.0,48.0,0.0153246694894866,1.0,16.0,1234715966.2299995,-0.1524658797571777,-1.0,2026-05,2025-05,alta
administrador,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,13100767649.99,13100767649.99,163.0,163.0,0.0136674807161202,1.0,18.0,6745382421.5,6745382421.5,103.0,103.0,0.0086191954943448,1.0,22.0,6355385228.49,0.504828522177543,4.0,2026-05,2025-05,alta
administrador,BNY MELLON SERVICOS FINANCEIROS DTVM S.A,13056460429.99,13056460429.99,43.0,43.0,0.0136212568541975,1.0,19.0,10434624118.37,10434624118.37,44.0,44.0,0.0133332789108548,1.0,19.0,2621836311.620001,0.0287977943342732,0.0,2026-05,2025-05,alta
administrador,PLANNER CORRETORA DE VALORES S.A,12568638779.27,12568638779.27,184.0,184.0,0.013112333012309,1.0,20.0,5007849948.84,5007849948.84,100.0,100.0,0.0063989904527604,1.0,26.0,7560788830.43,0.6713342559548572,6.0,2026-05,2025-05,alta
administrador,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,11646899211.14,11646899211.14,42.0,42.0,0.0121507208297808,1.0,21.0,10709163049.97,10709163049.97,79.0,79.0,0.0136840825531696,1.0,18.0,937736161.17,-0.1533361723388861,-3.0,2026-05,2025-05,alta
administrador,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,10139078076.08,10139078076.08,88.0,88.0,0.0105776743612552,1.0,22.0,6188362477.22,6188362477.22,31.0,31.0,0.0079074398822841,1.0,23.0,3950715598.86,0.2670234478971118,1.0,2026-05,2025-05,alta
administrador,SEFER INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,8008728255.19,8008728255.19,25.0,25.0,0.0083551698581983,1.0,23.0,12347451299.79,12347451299.79,27.0,27.0,0.015777474123717,1.0,15.0,-4338723044.600001,-0.7422304265518702,-8.0,2026-05,2025-05,alta
administrador,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,7915269947.64,7915269947.64,13.0,13.0,0.0082576687307585,1.0,24.0,6771895288.95,6771895288.95,14.0,14.0,0.0086530734234803,1.0,21.0,1143374658.6900003,-0.0395404692721725,-3.0,2026-05,2025-05,alta
administrador,CATALISE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,7177237789.43,7177237789.43,78.0,78.0,0.0074877107741178,1.0,25.0,4565690206.67,4565690206.67,55.0,55.0,0.0058340022846552,1.0,28.0,2611547582.76,0.1653708489462552,3.0,2026-05,2025-05,alta
administrador,QORE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6701330238.14,6701330238.14,40.0,40.0,0.0069912164118262,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6701330238.14,0.6991216411826221,-26.0,2026-05,2025-05,alta
administrador,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",6694362068.5199995,6694362068.5199995,15.0,15.0,0.0069839468130933,1.0,27.0,4803016680.06,4803016680.06,70.0,70.0,0.0061372561466767,1.0,27.0,1891345388.459999,0.0846690666416584,0.0,2026-05,2025-05,alta
administrador,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6405709837.68,6405709837.68,54.0,54.0,0.0066828080627489,1.0,28.0,12664929313.23,12664929313.23,100.0,100.0,0.0161831449800163,1.0,14.0,-6259219475.549999,-0.9500336917267383,-14.0,2026-05,2025-05,alta
administrador,BANCO FINAXIS S.A,5337533438.6,5337533438.6,17.0,17.0,0.0055684244841765,1.0,29.0,5228370960.1,5228370960.1,17.0,17.0,0.0066807704302161,1.0,24.0,109162478.5,-0.111234594603963,-5.0,2026-05,2025-05,alta
administrador,RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA,3951789316.1,3951789316.1,18.0,18.0,0.0041227358361712,1.0,30.0,5212798922.83,5212798922.83,10.0,10.0,0.0066608726060324,1.0,25.0,-1261009606.73,-0.2538136769861163,-5.0,2026-05,2025-05,alta
administrador,MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3195698423.1,3195698423.1,81.0,80.0,0.0033339379599094,1.0,31.0,1779679377.41,1779679377.41,49.0,48.0,0.0022740600180441,1.0,33.0,1416019045.6899998,0.1059877941865328,2.0,2026-05,2025-05,alta
administrador,BANCO J. SAFRA S.A,2956263542.31,2956263542.31,4.0,4.0,0.0030841456039655,1.0,32.0,1919853143.09,1919853143.09,3.0,3.0,0.0024531729302673,1.0,31.0,1036410399.2199998,0.0630972673698232,-1.0,2026-05,2025-05,alta
administrador,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,2397272549.62,2397272549.62,21.0,21.0,0.0025009737763909,1.0,33.0,1779832365.5100002,1779832365.5100002,17.0,17.0,0.0022742555050098,1.0,32.0,617440184.1099997,0.0226718271381115,-1.0,2026-05,2025-05,alta
administrador,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,2345324337.75,2345324337.75,63.0,63.0,0.0024467783885374,1.0,34.0,1102219225.54,1102219225.54,36.0,36.0,0.0014084068758316,1.0,36.0,1243105112.21,0.1038371512705755,2.0,2026-05,2025-05,alta
administrador,AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2082665554.33,2082665554.33,95.0,95.0,0.0021727575102787,1.0,35.0,1340590069.85,1340590069.85,63.0,63.0,0.0017129952266286,1.0,35.0,742075484.48,0.0459762283650104,0.0,2026-05,2025-05,alta
administrador,CAIXA ECONOMICA FEDERAL,1865099983.25,1865099983.25,4.0,4.0,0.001945780486743,1.0,36.0,1426885263.8100002,1426885263.8100002,3.0,3.0,0.0018232625325404,1.0,34.0,438214719.4399998,0.0122517954202594,-2.0,2026-05,2025-05,alta
administrador,FINVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1047476681.53,1047476681.53,33.0,33.0,0.0010927884325471,1.0,37.0,2979023854.8399997,2979023854.8399997,7.0,7.0,0.0038065727608476,1.0,30.0,-1931547173.3099997,-0.2713784328300543,-7.0,2026-05,2025-05,alta
administrador,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,958433386.06,958433386.06,8.0,8.0,0.0009998933017998,1.0,38.0,693543643.85,693543643.85,5.0,5.0,0.0008862044991178,1.0,37.0,264889742.20999992,0.0113688802682029,-1.0,2026-05,2025-05,alta
administrador,INTEGRAL ACCESS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,889201023.08,889201023.08,4.0,4.0,0.0009276660849495,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889201023.08,0.0927666084949578,-39.0,2026-05,2025-05,alta
administrador,WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,686294323.12,686294323.12,21.0,21.0,0.0007159820460469,1.0,40.0,207266848.47,207266848.47,12.0,12.0,0.0002648439146705,1.0,41.0,479027474.65,0.0451138131376434,1.0,2026-05,2025-05,alta
administrador,BR-CAPITAL DTVM S.A,640384800.38,640384800.38,1.0,1.0,0.000668086568965,1.0,41.0,509313725.99,509313725.99,1.0,1.0,0.0006507969893995,1.0,38.0,131071074.39,0.0017289579565481,-3.0,2026-05,2025-05,alta
administrador,LASTRO RDV DTVM LTDA,639716187.72,639716187.72,8.0,8.0,0.0006673890334555,1.0,42.0,294704425.69,294704425.69,5.0,5.0,0.0003765709487388,1.0,40.0,345011762.03000003,0.0290818084716721,-2.0,2026-05,2025-05,alta
administrador,SANTANDER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,507114261.73,507114261.73,1.0,1.0,0.0005290510127526,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507114261.73,0.0529051012752648,-43.0,2026-05,2025-05,alta
administrador,INTRA INVESTIMENTOS DTVM LTDA,444284369.98,444284369.98,26.0,26.0,0.0004635032252617,1.0,44.0,339486820.43,339486820.43,17.0,17.0,0.0004337935331454,1.0,39.0,104797549.55,0.0029709692116307,-5.0,2026-05,2025-05,alta
administrador,BARU DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,344831175.65000004,344831175.65000004,10.0,10.0,0.0003597478842025,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344831175.65000004,0.0359747884202576,-45.0,2026-05,2025-05,alta
administrador,LIONS TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,182357206.23,182357206.23,4.0,4.0,0.0001902456150801,1.0,46.0,10380869.07,10380869.07,1.0,1.0,1.326459114168813e-05,1.0,45.0,171976337.16,0.0176981023938432,-1.0,2026-05,2025-05,alta
administrador,ATIVA INVESTIMENTOS S.A. C.T.C.V,98331024.34,98331024.34,4.0,4.0,0.0001025846282346,1.0,47.0,29526.93,29526.93,1.0,1.0,3.7729274059637626e-08,1.0,48.0,98301497.40999998,0.0102546898960632,1.0,2026-05,2025-05,alta
administrador,BANCO BNP PARIBAS BRASIL S/A,78056259.53,78056259.53,1.0,1.0,8.143281755703595e-05,1.0,48.0,65171678.98,65171678.98,1.0,1.0,8.327584808725945e-05,1.0,44.0,12884580.550000004,-0.0001843030530223,-4.0,2026-05,2025-05,alta
administrador,DILLON S/A DTVM,67371559.23,67371559.23,2.0,2.0,7.028591844323585e-05,1.0,49.0,66004334.440000005,66004334.440000005,2.0,2.0,8.43398085480183e-05,1.0,43.0,1367224.789999999,-0.0014053890104782,-6.0,2026-05,2025-05,alta
administrador,BFL ADMINISTRACAO DE RECURSOS LTDA,38424092.17,38424092.17,1.0,1.0,4.0086241722507294e-05,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38424092.17,0.0040086241722507,-50.0,2026-05,2025-05,alta
administrador,MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,15993991.42,15993991.42,3.0,3.0,1.66858595730312e-05,1.0,51.0,2413417.44,2413417.44,1.0,1.0,3.0838454256527523e-06,1.0,46.0,13580573.98,0.0013602014147378,-5.0,2026-05,2025-05,alta
administrador,HEDGE INVESTMENTS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151250505.09,151250505.09,2.0,2.0,0.0001932666808977,1.0,42.0,-151250505.09,-0.0193266680897716,42.0,2026-05,2025-05,alta
administrador,SICOOB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150599.47,150599.47,1.0,1.0,1.924347934873749e-07,1.0,47.0,-150599.47,-1.9243479348737487e-05,47.0,2026-05,2025-05,alta
