competencia,classe_analitica,participant,pl_brl,fundos,share_tipo,rank_tipo
2024-12,"Agro, Indústria e Comércio",GRUPO BB,91899498292.23999,2,0.3111178447298338,1
2024-12,"Agro, Indústria e Comércio",GRUPO BRADESCO/BEM,17346551243.27,12,0.05872525679237021,4
2024-12,"Agro, Indústria e Comércio",GRUPO GENIAL,5331619721.71,18,0.01804973985236171,12
2024-12,"Agro, Indústria e Comércio",HEDGE INVESTMENTS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,51378462.77,1,0.00017393736526942675,29
2024-12,"Agro, Indústria e Comércio",HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,4851478284.01,39,0.016424262324860113,13
2024-12,"Agro, Indústria e Comércio",ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,2384527663.82,57,0.008072613248738352,16
2024-12,"Agro, Indústria e Comércio",INTRA INVESTIMENTOS DTVM LTDA,268136431.02,11,0.0009077528176183342,26
2024-12,"Agro, Indústria e Comércio",ITAU/INTRAG,9317403868.67,7,0.031543269157790405,6
2024-12,"Agro, Indústria e Comércio",LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1940739396.82,47,0.0065702062529312075,17
2024-12,"Agro, Indústria e Comércio","MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",4520589873.09,55,0.01530406807826973,14
2024-12,"Agro, Indústria e Comércio",MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,857315724.51,29,0.002902368624629037,20
2024-12,"Agro, Indústria e Comércio",OLIVEIRA TRUST,17104487866.98,53,0.05790577205829815,5
2024-12,"Agro, Indústria e Comércio",OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,353526596.6,12,0.0011968338764930214,25
2024-12,"Agro, Indústria e Comércio",PLANNER CORRETORA DE VALORES S.A,900345.48,1,3.048042159698063e-06,33
