administrador,gestor,custodiante,ofertas,volume_registrado_brl
QI TECH + SINGULARE,BRAVE GESTORA DE RECURSOS LTDA,QI TECH + SINGULARE,4,149112000.02
QI TECH + SINGULARE,SOLIS INVESTIMENTOS LTDA,QI TECH + SINGULARE,4,145000005.0
QI TECH + SINGULARE,MILENIO CAPITAL GESTAO DE INVESTIMENTOS LTDA,QI TECH + SINGULARE,3,135000000.57999998
MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,ORRAM GESTAO DE RECURSOS LTDA,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1,135000000.0
OLIVEIRA TRUST,EMPIRICA INVESTIMENTOS GESTAO DE RECUSOS LTDA,OLIVEIRA TRUST,1,135000000.0
QI TECH + SINGULARE,PATRIMONIAL GESTAO DE RECURSOS LTDA,QI TECH + SINGULARE,7,131750000.86
QI TECH + SINGULARE,QUATA GESTAO DE RECURSOS LTDA,QI TECH + SINGULARE,1,131161053.0
QI TECH + SINGULARE,EVEREST CAPITAL GESTORA DE RECURSOS LTDA,QI TECH + SINGULARE,8,130000000.84
BANCO DAYCOVAL S.A,MOBIUS CAPITAL GESTAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A,3,128705000.0
MASTER CCTVM,MENESTYS GESTORA,MASTER CCTVM,2,128000000.0
"BANCO DAYCOVAL S.A., INSCRITO NO CNPJ SOB O NO 62.232.889/0001-90","GUARDIAN CREDITO LTDA., INSCRITA NO CNPJ SOB O NO 54.882.123/0001-22","BANCO DAYCOVAL S.A., INSCRITO NO CNPJ SOB O NO 62.232.889/0001-90",1,126998375.13
SEFER INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,ACURA GESTORA DE RECURSOS LTDA,SEFER INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6,123000000.0
BANCO DAYCOVAL S.A,POLIGONO CAPITAL LTDA,BANCO DAYCOVAL S.A,1,121000000.0
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,INTRABANK ASSET MANAGEMENT LTDA,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,4,120000000.0
GRUPO GENIAL,VALORA GESTAO DE INVESTIMENTOS RENDA FIXA LTDA,GRUPO GENIAL,1,120000000.0
QI TECH + SINGULARE,ASA ASSET GESTAO DE RECURSOS LTDA,QI TECH + SINGULARE,2,120000000.0
BANCO DAYCOVAL S.A,VALORA RENDA FIXA LTDA E EXT CAPITAL LTDA,BANCO DAYCOVAL S.A,1,116500000.0
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,CITRINO GESTAO DE RECURSOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2,110000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,F3 ROCK GESTAO DE RECURSOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3,110000000.0
QI TECH + SINGULARE,GALAPAGOS CAPITAL,QI TECH + SINGULARE,2,105000000.0
BANCO DAYCOVAL S.A,ARC CAPITAL LTDA,BANCO DAYCOVAL S.A,1,105000000.0
BANCO DAYCOVAL S.A,EXA CAPITAL ASSET LTDA,BANCO DAYCOVAL S.A,1,105000000.0
PLANNER CORRETORA DE VALORES S/A,REDWOOD ADMINISTRACAO DE RECURSOS LTDA,PLANNER CORRETORA DE VALORES S/A,8,102800000.0
QI TECH + SINGULARE,WNT GESTORA DE RECURSOS LTDA,QI TECH + SINGULARE,5,101000000.02000001
PLANNER CORRETORA DE VALORES S.A,LESTE CREDIT GESTAO DE RECURSOS LTDA,PLANNER CORRETORA DE VALORES S.A,2,100000204.0
OLIVEIRA TRUST,"GUARDIAN CREDITO LTDA., INSCRITA NO CNPJ SOB O NO 54.882.123/0001-22",OLIVEIRA TRUST,1,100000000.0
BANCO DAYCOVAL S.A,SOLIS INVESTIMENTOS LTDA,BANCO DAYCOVAL S.A,1,100000000.0
GRUPO GENIAL,VIA INVEST GESTORA DE RECURSOS LTDA,GRUPO GENIAL,1,100000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPACOES LTDA.OUTFIELD VENTURES LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,100000000.0
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,VERONA GESTORA DE INVESTIMENTOS LTDA,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3,100000000.0
BANCO DAYCOVAL S.A,BDR INVESTIMENTOS LTDA,BANCO DAYCOVAL S.A,1,100000000.0
GRUPO GENIAL,KANASTRA ADMINISTRACAO DE RECURSOS LTDA,GRUPO GENIAL,1,100000000.0
BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,XP VISTA ASSET MANAGMENT LTDA,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1,100000000.0
BTG PACTUAL,BRZ INVESTIMENTOS LTDA,BTG PACTUAL,1,100000000.0
