administrador,gestor,custodiante,ofertas,volume_registrado_brl
VORTX DISTRIBUIDORA DE TITULOS E VALRES MOBILIARIOS LTDA,MILENIO CAPITAL GESTAO DE INVESTIMENTOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALRES MOBILIARIOS LTDA,1,15000000.0
BTG PACTUAL,INVESTCOOP ASSET MANAGEMENT LTDA,BTG PACTUAL,1,15000000.0
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BAYCAP GESTAO DE RECURSOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,15000000.0
TRUSTEE DTVM,BLP CAPITAL GESTORA DE RECURSOS LTDA,TRUSTEE DTVM,1,15000000.0
BANCO DAYCOVAL S.A,EUQUEROINVESTIR GESTAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A,1,15000000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,VBR CAPITAL LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,13700000.0
MONETAR DTVM LTDA,CHIMERA CAPITAL ASSET MANAGEMENT LTDA,TERRA INVESTIMENTO DTVM LTDA,1,12500000.0
FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,CRD CAPITAL ADMINISTRACAO DE RECURSOS LTDA,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,12340000.0
ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,AF INVEST ADMINISTRACAO DE RECURSOS LTDA,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,1,12000000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BRZ INVESTIMENTOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILI?RIOS LTDA,1,12000000.0
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,ARTESANAL FINANCEIRO LTDA,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,12000000.0
MONETAR DTVM LTDA,CHIMERA CAPITAL ASSET MANAGEMENT LTDA,TERRA INVESTIMENTOS DTVM LTDA,1,12000000.0
QI TECH + SINGULARE,PATRIMONIAL GESTAO DE RECURSOSLTDA,QI TECH + SINGULARE,1,11250000.0
ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,HYPERION ASSET MANAGEMENT LTDA,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,1,10500000.0
ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPACOES LTDA. / HYPERION ASSET MANAGEMENT LTDA,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,1,10000000.06
ID CORRETORA DE TITULOS E VALORES S.A,VALORA RENDA FIXA ESTRUTURADOS LTDA,ID CORRETORA DE TITULOS E VALORES S.A,1,10000000.0
TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,LIBERTAS ASSET S/A,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,10000000.0
MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BLUEWAVE ASSET LTDA,TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,10000000.0
MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BERTHA CAPITAL GESTORA DE RECURSOS S.A,TERRA INVESTIMENTOS DTVM LTDA,1,10000000.0
ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,GLOBAL GESTAO E INVESTIMENTOS LTDA,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,10000000.0
TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,CCF INVESTIMENTOS LTDA,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,10000000.0
MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BLUEWAVE ASSET LTDA,MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,10000000.0
ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,GESTORA DE RECURSOS ID - GRID LTDA,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,1,10000000.0
REAG/CBSF,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,REAG/CBSF,1,10000000.0
MASTER S.A. CCTVM,TERCON INVESTIMENTOS,MASTER S.A. CCTVM,2,10000000.0
FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,LITUS GESTAO DE RECURSOS LTDA,BANCO FINAXIS S.A,1,10000000.0
ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,LIBERTAS ASSET,TRUSTEE DISTRIUIDORA DE TITULOS E VALORES MOBILIARIOS,1,10000000.0
BANCO DAYCOVAL S.A,GCB CAPITAL GESTAO DE RECURSOS DE VALORES MOBILIARIOS LTDA,BANCO DAYCOVAL S.A,1,10000000.0
MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,TERRA GESTORA DE RECURSOS LTDA,TERRA GESTORA DE RECURSOS LTDA,1,10000000.0
MASTER CCTVM,LIBERTAS ASSET,MASTER CCTVM,1,10000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALRES MOBILIARIOS LTDA,FRAM CAPITAL - GESTAO DE ATIVOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALRES MOBILIARIOS LTDA,1,10000000.0
ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,LIBERTAS ASSET,TRUSTEE DISTRIBUIDOR DE TITULOS E VALORES MOBILIARIOS,1,10000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALRES MOBILIARIOS LTDA,STRIVO GESTORA DE RECURSOS S/A,VORTX DISTRIBUIDORA DE TITULOS E VALRES MOBILIARIOS LTDA,1,10000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,ELLO GESTORA DE RECURSOS,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,10000000.0
GRUPO GENIAL,ORRAM GESTAO DE RECURSOS LTDA,GRUPO GENIAL,1,10000000.0
MASTER S.A. CCTVM,OURO PRETO GESTAO,MASTER S.A. CCTVM,1,10000000.0
FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BRAVE GESTORA DE RECURSOS LTDA,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,10000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,FRAM CAPITAL - GESTAO DE ATIVOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,10000000.0
QI TECH + SINGULARE,NOVA SRM ADMINISTRACAO DE RECURSOS S E FINANCAS S/A,QI TECH + SINGULARE,1,10000000.0
AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,ORIZ ASSET MANAGEMENT LTDA,AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,10000000.0
FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,KOBOLD GESTORA DE FUNDOS LTDA,BANCO FINAXIS S.A,1,10000000.0
MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BERTHA CAPITAL GESTORA DE RECURSOS S.A,TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3,9650000.0
TESLA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,OURO PRETO GESTAO DE RECURSOS S.A,TESLA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,1,9300000.0
PLANNER CORRETORA DE VALORES S.A,MENESTYS GESTORA DE RECURSOS LTDA,PLANNER CORRETORA DE VALORES S.A,3,9000459.0
PLANNER CORRETORA DE VALORES S.A,LEGATUS CAPITAL GESTORA DE RECURSOS LTDA,PLANNER CORRETORA DE VALORES S.A,2,9000000.0
QORE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,YARDS ASSET GESTORA DE RECURSOS LTDA,QORE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,8781000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,GRIF CAPITAL GESTORA DE RECURSOS,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,8000000.0
WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,WNT GESTORA DE RECURSOS LTDA,WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1,8000000.0
MONETAR DTVM LTDA,LATINOAMERICANA DE INVESTIMENTOS E CAPITAL LTDA,TERRA DTVM,2,8000000.0
ACTUAL DTVM SA,LIBERTAS ASSET S/A,TRUSTEE DTVM,1,6500000.0
QI TECH + SINGULARE,VALORA GESTAO DE INVESTIMENTOS RENDA FIXA LTDA,QI TECH + SINGULARE,1,6000000.07
SEFER INVESTIMENTO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,ACURA GESTORA DE RECURSOS LTDA,SEFER INVESTIMENTO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,6000000.0
ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,AF INVEST ADMINISTRACAO DE RECURSOS,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,1,6000000.0
QI TECH + SINGULARE,RJ GESTAO DE RECURSOS LTDA,QI TECH + SINGULARE,2,6000000.0
PLANNER CORRETORA DE VALORES S/A,LEGATUS CAPITAL GESTORA DE RECURSOS LTDA,PLANNER CORRETORA DE VALORES S/A,2,5400000.0
BANCO DAYCOVAL S.A,HIERON PATRIMONIO FAMILIAR E INVESTIMENTO LTDA,BANCO DAYCOVAL S.A,2,5300000.0
GRUPO GENIAL,LESTE FINANCIAL SERVICES GESTAO DE RECURSOS LTDA,GRUPO GENIAL,1,5000000.01
WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,UTILITY GESTORA DE RECURSOS LTDA,WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1,5000000.0
MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,JIVE ASSET GESTAO DE RECURSOS LTDA,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1,5000000.0
MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOSS.A,JIVE INVESTMENTS GESTAO DE RECURSOS E CONSULTORIA S.A,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1,5000000.0
REAG/CBSF,UNION CAPITAL LTDA,REAG/CBSF,1,5000000.0
BSWM GESTAO DE RECURSOS LTDA,TERRA INVESTIMENTOS DTVM LTDA,TERRA INVESTIMENTOS DTVM LTDA,1,5000000.0
QI TECH + SINGULARE,EVEREST ASSET,QI TECH + SINGULARE,1,5000000.0
MONETAR DTVM LTDA,BLUEWAVE ASSET LTDA,TERRA INVESTIMENTOS DTVM LTDA,1,5000000.0
AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,VESTRA GESTORA DE RECURSOS LTDA,AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,5000000.0
MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,TERCON INVESTIMENTOS LTDA,TERRA INVESTIMENTOS DTVM LTDA,1,5000000.0
MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,OURO PRETO GESTAO DE RECURSOS S.A,TERRA INVESTIMENTOS DTVM LTDA,1,5000000.0
ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,LIBERTAS ASSET SA,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,1,5000000.0
OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,FAMA RE.CAPITAL LTDA,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1,5000000.0
ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,LEGATUS CAPITAL GESTORA DE RECURSOS LTDA,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,2,5000000.0
PLANNER CORRETORA DE VALORES S.A,DEZESSEIS DEZOITO GESTAO DE RECURSOS LIMITADA,PLANNER CORRETORA DE VALORES S.A,1,4500000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,OUTFIELD VENTURES LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,4323000.0
ID CORRETORA DE TITULOS E VALORES S.A,VALORA RENDA FIXA LTDA,ID CORRETORA DE TITULOS E VALORES S.A,1,4200000.0
PLANNER CORRETORA DE VALORES S.A,KP GESTAO DE RECURSOS LTDA,PLANNER CORRETORA DE VALORES S.A,3,4000000.0
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,OPI GOOROO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,4000000.0
QI TECH + SINGULARE,BURITI INVESTIMENTOS GESTORA DE RECURSOS,QI TECH + SINGULARE,1,3000000.04
MASTER CCTVM,MENESTYS GESTAO,MASTER CCTVM,1,3000000.0
REAG/CBSF,MATTERHORN GESTORA DE RECURSOS LTDA,REAG/CBSF,1,3000000.0
QI TECH + SINGULARE,QUAESTUS GESTAO DE INVESTIMENTOS LTDA,QI TECH + SINGULARE,1,2700000.14
ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,LIBERTAS ASSET S/A,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,2700000.0
ACTUAL DTVM SA,LIBERTAS ASSET,TRUSTEE DTVM,1,2700000.0
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,TERCON INVESTIMENTOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,2699680.0
AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,PLANALTO CAPITAL GESTAO DE RECURSOS LTDA,AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,2697000.0
MONETAR DTVM LTDA,BERTHA CAPITAL GESTORA DE RECURSOS S.A,TERRA INVESTIMENTOS DTVM LTDA,1,2600000.0
MONETAR DTVM LTDA,EAGLE CAPITAL GESTAO DE INVESTIMENTOS LTDA,TERRA INVESTIMENTOS DTVM LTDA,2,2600000.0
QI TECH + SINGULARE,RIO DAS PEDRAS ADMINISTRACAO E PARTICIPACOES LTDA,QI TECH + SINGULARE,1,2599999.99
QI TECH + SINGULARE,ARTESANAL FINANCEIRO LTDA,QI TECH + SINGULARE,1,2500000.02
PLANNER CORRETORA DE VALORES S/A,ACURA GESTORA DE RECURSOS LTDA,PLANNER CORRETORA DE VALORES S/A,1,2500000.0
PLANNER CORRETORA DE VALORES S.A,PLANNER CORRETORA DE VALORES S.A,PLANNER CORRETORA DE VALORES S.A,1,2500000.0
PLANNER CORRETORA DE VALORES S.A,REDWOOD ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,PLANNER CORRETORA DE VALORES S.A,1,2500000.0
PLANNER CORRETORA DE VALORES S/A,MULTIPLICA CAPITAL ASSET MANAGEMENT LTDA,PLANNER CORRETORA DE VALORES S/A,1,2500000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,AVENTIS GESTAO DE RECURSOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,1999975.01
MASTER CCTVM,OURO PRETO GESTORA,MASTER CCTVM,1,1500000.0
MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,ALGARVE CAPITAL GESTAO DE RECURSOS LTDA,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1,1500000.0
MASTER S.A. CCTVM,SQUALO GESTORA,MASTER S.A. CCTVM,1,1500000.0
QI TECH + SINGULARE,KP GESTAO DE RECURSOS LTDA,QI TECH + SINGULARE,1,1000000.0
PLANNER CORRETORA DE VALORES S.A,10.405.423/0001-45,PLANNER CORRETORA DE VALORES S.A,1,1000000.0
MONETAR DTVM LTDA,MRB CAPITAL GESTORA DE RECUROS LTDA,TERRA INVESTIMENTOS DTVM LTDA,1,1000000.0
AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,D3 CAPITAL GESTORA DE RECURSOS LTDA,AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,1000000.0
MASTER CCTVM,SQUALO GESTAO,MASTER CCTVM,1,1000000.0
PLANNER CORRETORA DE VALORES S/A,DEZESSEIS DEZOITO GESTAO DE RECURSOS LIMITADA,PLANNER CORRETORA DE VALORES S/A,1,900021.72
ID CORRETORA DE TITULOS E VALORES MOBILARIOS S.A,VALORA RENDA FIXA LTDA,ID CORRETORA DE TITULOS E VALORES MOBILARIOS S.A,1,900000.0
GRUPO GENIAL,LEGEND WM GESTAO DE RECURSOS LTDA,GRUPO GENIAL,1,600000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,NUMBER ASSET DO BRASIL LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,571428.52
MASTER CCTVM,MARIN GESTORA,MASTER CCTVM,1,375000.0
BTG PACTUAL,LELIS ALBERTO DE MOURA NOBRE,BTG PACTUAL,1,120000.0
