role,participant,pl_brl_current,pl_dated_brl_current,vehicles_current,funds_current,share_current,dated_coverage_current,rank_current,pl_brl_previous,pl_dated_brl_previous,vehicles_previous,funds_previous,share_previous,dated_coverage_previous,rank_previous,delta_pl_brl,delta_share_pp,delta_rank,competencia_current,competencia_previous,history_quality
gestor,XP INVESTIMENTOS CCTVM S.A,8010271568.71,8010271568.71,3.0,3.0,0.0083567799323815,1.0,30.0,5315267120.27,0.0,3.0,3.0,0.0067918056459255,0.0,32.0,2695004448.4399996,0.1564974286456071,2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,VERSAL FINANCE GESTAO DE RECURSOS LTDA,6970488538.29,6970488538.29,13.0,13.0,0.0072720179629388,1.0,31.0,2840197099.8,0.0,8.0,8.0,0.003629181048004,0.0,55.0,4130291438.49,0.364283691493484,24.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,ASA ASSET MANAGEMENT LTDA,6629398944.54,6629398944.54,9.0,9.0,0.006916173514003,1.0,32.0,1939996927.41,0.0,6.0,6.0,0.0024789124961215,0.0,71.0,4689402017.13,0.4437261017881461,39.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,G5 ADMINISTRADORA DE RECURSOS LTDA,6091476108.18,6091476108.18,42.0,42.0,0.0063549812091599,1.0,33.0,4606403311.61,2290625008.5299997,34.0,34.0,0.0058860251632308,0.4972697468232315,37.0,1485072796.5700006,0.0468956045929135,4.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,5991042215.77,5991042215.77,10.0,10.0,0.0062502027469788,1.0,34.0,1378547417.32,322368659.91999996,10.0,10.0,0.0017614968204372,0.2338466242580969,92.0,4612494798.450001,0.4488705926541629,58.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,GV ATACAMA CAPITAL LTDA,5826917986.14,5826917986.14,31.0,31.0,0.0060789788306827,1.0,35.0,3928685709.34,734702542.5600001,24.0,24.0,0.0050200430529645,0.1870097526033525,42.0,1898232276.8,0.1058935777718212,7.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,RIZA SECURITIZACAO E CARTEIRAS GESTORA DE RECURSOS LTD,5693795604.17,5693795604.17,18.0,18.0,0.0059400978401126,1.0,36.0,405728907.12,0.0,2.0,2.0,0.0005184371396094,0.0,175.0,5288066697.05,0.5421660700503268,139.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,5278360276.42,5278360276.42,17.0,17.0,0.0055066916090799,1.0,37.0,4616569649.69,143403128.76000002,17.0,17.0,0.0058990156283961,0.0310627023182958,36.0,661790626.7300005,-0.0392324019316231,-1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,VALORA RENDA FIXA ESTRUTURADOS LTDA,5226986126.54,5226986126.54,34.0,34.0,0.0054530951159925,1.0,38.0,1141343099.8,231518804.51,13.0,13.0,0.0014583990482055,0.2028476840579923,102.0,4085643026.74,0.3994696067787046,64.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,REDWOOD ADMINISTRACAO DE RECURSOS LTDA,5179762464.7,5179762464.7,83.0,83.0,0.0054038286527755,1.0,39.0,3117139424.33,369111018.62,58.0,58.0,0.0039830557265061,0.1184133811080128,49.0,2062623040.37,0.1420772926269345,10.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,BLESS CAPITAL GESTORA DE RECURSOS LTDA,5100122724.62,5100122724.62,76.0,76.0,0.0053207438564597,1.0,40.0,2829001630.25,237229726.05,44.0,44.0,0.00361487556691,0.0838563412312476,56.0,2271121094.37,0.170586828954966,16.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,QI TECH + SINGULARE,4911885951.61,4911885951.61,17.0,17.0,0.0051243643362733,1.0,41.0,798878092.5,479056747.35,10.0,10.0,0.0010208000117917,0.599661890653235,122.0,4113007859.11,0.4103564324481589,81.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,VCM GESTAO DE CAPITAL LTDA,4846510824.46,4846510824.46,24.0,24.0,0.0050561612115779,1.0,42.0,4470462049.309999,112426128.82,16.0,16.0,0.0057123205098405,0.0251486597089785,39.0,376048775.1500006,-0.0656159298262555,-3.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,BRAVE GESTORA DE RECURSOS LTDA,4376372204.889999,4376372204.889999,27.0,27.0,0.0045656853334807,1.0,43.0,3009845940.34,2132537254.38,24.0,24.0,0.0038459569742054,0.7085204015920838,51.0,1366526264.5499992,0.071972835927535,8.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,LASS CAPITAL GESTAO DE RECURSOS LTDA,4346824803.35,4346824803.35,13.0,13.0,0.0045348597703116,1.0,44.0,2554363107.84,0.0,12.0,12.0,0.0032639446682578,0.0,59.0,1792461695.5100002,0.127091510205375,15.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,PORTOFINO GESTAO DE RECURSOS LTDA,4344457175.13,4344457175.13,11.0,11.0,0.0045323897232193,1.0,45.0,3566944912.56,1521008493.37,10.0,10.0,0.0045578135675333,0.4264177133810488,45.0,777512262.5700002,-0.0025423844313928,0.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPACOES LTDA,4285819588.64,4285819588.64,35.0,35.0,0.0044712155917483,1.0,46.0,1981369985.06,1134731774.41,16.0,16.0,0.0025317786569707,0.5727005975492447,68.0,2304449603.58,0.193943693477762,22.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,NOVA OCCAM BRASIL GESTAO DE RECURSOS LTDA,4189743621.41,4189743621.41,6.0,6.0,0.0043709835698943,1.0,47.0,3327842252.57,0.0,3.0,3.0,0.0042522901085366,0.0,47.0,861901368.8399997,0.011869346135761,0.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,ACURA GESTORA DE RECURSOS LTDA,4044196054.04,4044196054.04,14.0,14.0,0.0042191399051981,1.0,48.0,5200456378.38,193133669.12,13.0,13.0,0.0066451014018419,0.0371378308109495,33.0,-1156260324.3400002,-0.2425961496643844,-15.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,ECO GESTAO DE ATIVOS LTDA,3979050191.58,3979050191.58,9.0,9.0,0.0041511759627258,1.0,49.0,5316406817.95,4499272058.389999,16.0,16.0,0.0067932619424695,0.8462994297575055,31.0,-1337356626.37,-0.2642085979743713,-18.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,GESTORA DE RECURSOS ID - GRID LTDA,3965921746.0,3965921746.0,57.0,57.0,0.0041374796067876,1.0,50.0,4003026537.59,233780361.05,42.0,42.0,0.0051150351663628,0.0584009021311025,41.0,-37104791.59000015,-0.0977555559575235,-9.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,CARMEL GESTORA DE ATIVOS LTDA,3804172311.07,3804172311.07,26.0,26.0,0.0039687332140714,1.0,51.0,4764519188.76,3975214798.23,23.0,23.0,0.0060880643614195,0.8343370318683884,34.0,-960346877.69,-0.2119331147348065,-17.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,SUESTE CAPITAL GESTAO DE RECURSOS LTDA,3779427818.62,3779427818.62,17.0,17.0,0.0039429183242553,1.0,52.0,3410183860.74,476765004.35,13.0,13.0,0.0043575055542724,0.1398062461789211,46.0,369243957.8800006,-0.0414587230017048,-6.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,INVISTA GESTORA DE RECURSOS LTDA,3731463508.86,3731463508.86,4.0,4.0,0.0038928791741672,1.0,53.0,3002880284.76,0.0,4.0,4.0,0.0038370563154378,0.0,52.0,728583224.1000004,0.0055822858729387,-1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,SECURITY ADM. DE RECURSOS LTDA,3715379541.24,3715379541.24,2.0,2.0,0.0038760994462033,1.0,54.0,3718416942.6,0.0,2.0,2.0,0.0047513633112333,0.0,44.0,-3037401.3600001335,-0.0875263865029958,-10.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,QUADRA GESTAO DE RECURSOS S.A,3605249422.74,3605249422.74,23.0,23.0,0.0037612053185402,1.0,55.0,2913072843.95,19288676.88,19.0,19.0,0.0037223010887036,0.0066214193442019,54.0,692176578.79,0.0038904229836583,-1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,MILENIO CAPITAL GESTAO DE INVESTIMENTOS LTDA,3491652328.89,3491652328.89,35.0,35.0,0.0036426942410918,1.0,56.0,3156513404.99,1925189349.7,33.0,33.0,0.0040333674828296,0.6099100820090131,48.0,335138923.8999996,-0.0390673241737848,-8.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,INTRA ASSET MANAGEMENT LTDA,3407402160.44,3407402160.44,10.0,10.0,0.0035547995784747,1.0,57.0,825394336.04,0.0,4.0,4.0,0.0010546822548678,0.0,120.0,2582007824.4,0.2500117323606891,63.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,ARTESANAL FINANCEIRO LTDA,3402898699.1,3402898699.1,10.0,10.0,0.0035501013063837,1.0,58.0,155908900.68,26036418.79,4.0,4.0,0.0001992191413767,0.1669976420617527,259.0,3246989798.42,0.3350882165007002,201.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,H2 KAPITAL S.A,3378653739.42,3378653739.42,16.0,16.0,0.0035248075581285,1.0,59.0,2538752968.14,822166561.76,15.0,15.0,0.0032439981570949,0.3238466176417136,60.0,839900771.2800002,0.0280809401033549,1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,MULTIPLIKE GESTAO DE RECURSOS LTDA,3301105102.87,3301105102.87,2.0,2.0,0.0034439043223086,1.0,60.0,2391187865.39,1213950211.08,2.0,2.0,0.0030554406537143,0.5076766358054456,62.0,909917237.48,0.0388463668594259,2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,BANK OF AMERICA MERRILL LYNCH BANCO MULTIPLO S.A,3167591673.65,3167591673.65,2.0,2.0,0.0033046153685648,1.0,61.0,2932040889.94,0.0,1.0,1.0,0.0037465383055607,0.0,53.0,235550783.71000004,-0.0441922936995845,-8.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,MORE INVEST GESTORA DE RECURSOS LTDA,3167290809.96,3167290809.96,4.0,4.0,0.003304301490112,1.0,62.0,2409351906.28,2409351906.28,4.0,4.0,0.0030786505193106,1.0,61.0,757938903.6799998,0.0225650970801391,-1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,NEBRASKA CAPITAL GESTAO DE RECURSOS LTDA,3165139500.64,3165139500.64,5.0,5.0,0.0033020571194437,1.0,63.0,2626019806.68,33890360.77,3.0,3.0,0.003355507022649,0.0129055998297463,58.0,539119693.96,-0.0053449903205287,-5.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,GUARDIAN CREDITO LTDA,3108489509.54,3108489509.54,14.0,14.0,0.003242956562773,1.0,64.0,138541991.08,0.0,1.0,1.0,0.0001770278437421,0.0,266.0,2969947518.46,0.306592871903092,202.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,VINCI GESTORA DE RECURSOS LTDA,3100971795.0,3100971795.0,13.0,13.0,0.0032351136469035,1.0,65.0,2378016077.01,1287771873.16,11.0,11.0,0.0030386098482888,0.5415320298335328,63.0,722955717.9899998,0.0196503798614742,-2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,NORTH SEA GESTORA DE RECURSOS LTDA,2967850847.67,2967850847.67,7.0,7.0,0.0030962341530331,1.0,66.0,715972270.3000001,0.0,4.0,4.0,0.0009148636178989,0.0,132.0,2251878577.37,0.2181370535134183,66.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,EMERALD GESTAO DE INVESTIMENTOS SOCIEDADE UNIPESSOAL LIMITADA,2956263542.31,2956263542.31,4.0,4.0,0.0030841456039655,1.0,67.0,1919853143.09,0.0,3.0,3.0,0.0024531729302673,0.0,73.0,1036410399.2199998,0.0630972673698232,6.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,PHRONESIS INVESTIMENTOS LTDA,2818319335.09,2818319335.09,3.0,3.0,0.002940234205607,1.0,68.0,998582884.87,0.0,3.0,3.0,0.0012759811918991,0.0,108.0,1819736450.2200005,0.1664253013707911,40.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,NOVA S.R.M. ADMINISTRACAO DE RECURSOS E FINANCAS S/A,2746384695.22,2746384695.22,9.0,9.0,0.0028651878167609,1.0,69.0,977522066.44,0.0,4.0,4.0,0.0012490698472227,0.0,110.0,1768862628.7799995,0.1616117969538148,41.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,BLUE SOLUTIONS ASSET MANAGEMENT LTDA,2675134405.31,2675134405.31,16.0,16.0,0.0027908553814884,1.0,70.0,1665647745.33,146882834.62,17.0,17.0,0.0021283513142196,0.0881836120703296,84.0,1009486659.98,0.0662504067268744,14.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,ARTESANAL MCMS LTDA,2656203376.84,2656203376.84,12.0,12.0,0.0027711054345034,1.0,71.0,373492286.54,86161142.88,4.0,4.0,0.0004772454446848,0.2306905550264218,184.0,2282711090.3,0.22938599898186,113.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,REGIA CAPITAL LTDA,2585230919.89,2585230919.89,8.0,8.0,0.0026970628506903,1.0,72.0,1789489978.47,1142257199.61,6.0,6.0,0.0022865959253017,0.6383143875366215,78.0,795740941.4199998,0.0410466925388649,6.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,APEX GROUP INVESTIMENTOS LTDA,2532101392.72,2532101392.72,1.0,1.0,0.0026416350461942,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2532101392.72,0.2641635046194281,-73.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,VINCI SPS GESTAO DE RECURSOS LTDA,2493142902.39,2493142902.39,9.0,9.0,0.0026009912893137,1.0,74.0,1795509910.13,27871172.86,8.0,8.0,0.0022942881456382,0.0155227062255435,77.0,697632992.26,0.0306703143675518,3.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,EUQUEROINVESTIR GESTAO DE RECURSOS LTDA,2471267501.22,2471267501.22,28.0,28.0,0.0025781696019412,1.0,75.0,1911120169.72,1814972936.45,18.0,18.0,0.0024420140070189,0.9496906396607772,74.0,560147331.4999998,0.01361555949223,-1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,FARMTECH GESTAO DE RECURSOS LTDA,2444047404.45,2444047404.45,12.0,12.0,0.0025497720181022,1.0,76.0,1966729718.09,567132424.16,13.0,13.0,0.0025130714413943,0.2883631741278479,69.0,477317686.3599999,0.0036700576707892,-7.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,EUROVEST ASSET MANAGEMENT LTDA,2167261890.4700003,2167261890.4700003,2.0,2.0,0.0022610133151093,1.0,77.0,2174255777.91,0.0,2.0,2.0,0.0027782465742465,0.0,65.0,-6993887.43999958,-0.0517233259137185,-12.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,BURITI INVESTIMENTOS GESTORA DE RECURSOS LTDA,2144323058.74,2144323058.74,41.0,41.0,0.0022370821952928,1.0,78.0,2111092766.53,888672081.08,38.0,38.0,0.0026975373854894,0.4209535910355607,66.0,33230292.21000004,-0.0460455190196578,-12.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,LETO ASSET MANAGEMENT LTDA,2128731158.31,2128731158.31,12.0,12.0,0.0022208158203636,1.0,79.0,726222968.89,0.0,7.0,7.0,0.0009279618782465,0.0,131.0,1402508189.42,0.1292853942117111,52.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,AUGME CAPITAL GESTAO DE RECURSOS LTDA,2121053106.83,2121053106.83,26.0,26.0,0.002212805631698,1.0,80.0,1151304121.62,454059345.84,18.0,18.0,0.0014711271619024,0.3943869715337187,99.0,969748985.2099998,0.0741678469795671,19.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,IORQ GESTAO DE RECURSOS LTDA,2111506564.6,2111506564.6,17.0,17.0,0.0022028461251012,1.0,81.0,1649679812.53,573930567.27,12.0,12.0,0.0021079476179066,0.3479042192980481,86.0,461826752.06999993,0.0094898507194582,5.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,EB CAPITAL CREDITO PRIVADO LTDA,2084491053.34,2084491053.34,1.0,1.0,0.0021746619767332,1.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2084491053.34,0.2174661976733205,-82.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
