classe_analitica,participant,rank_2023,share_2023,pl_brl_2023,fundos_2023,rank_2024,share_2024,pl_brl_2024,fundos_2024,rank_2025,share_2025,pl_brl_2025,fundos_2025,delta_posicoes_2023_2025
Outros,BNY MELLON SERVICOS FINANCEIROS DTVM S.A,9,0.02951352283244092,1690229024.69,10,12,0.020560261586374366,1462990500.47,13,15,0.01599074705357457,1168724749.97,15,-6
Outros,ITAU/INTRAG,,0.0,0.0,0,,0.0,0.0,0,16,0.011126372180588099,813199439.73,1,
Outros,BR-CAPITAL DTVM S.A,16,0.009364178391773552,536283187.88,1,17,0.008354218698620696,594454625.18,1,17,0.007039156270480649,514474784.99,1,-1
Outros,XP INVESTIMENTOS CCTVM S.A,,0.0,0.0,0,,0.0,0.0,0,18,0.0057246516310259085,418400842.92,1,
Outros,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,19,7.4132877477662255e-06,424556.37,1,18,0.002426868113071749,172686761.81,1,19,0.0035152475961262794,256920883.94,6,0
Outros,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,,0.0,0.0,0,20,0.001327577785138334,94465417.19,5,20,0.00167239370538751,122231182.11,4,
Outros,MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,,0.0,0.0,0,19,0.0017087704817157913,121589648.64000002,2,21,0.001614716088366802,118015665.58,4,
Outros,LIONS TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,,0.0,0.0,0,,0.0,0.0,0,22,0.00014776726062636715,10799949.13,1,
Outros,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,,0.0,0.0,0,,0.0,0.0,0,23,3.8390474840798426e-05,2805866.29,1,
Outros,MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,,0.0,0.0,0,22,2.5526045303087788e-05,1816336.9,1,24,3.827731605511344e-05,2797595.79,1,
Outros,QORE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,,0.0,0.0,0,,0.0,0.0,0,25,1.6763104714420673e-05,1225174.49,1,
Outros,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,,0.0,0.0,0,21,0.0009298842649227972,66167049.5,1,,0.0,0.0,0,
Outros,FINVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,15,0.011403957672183067,653100626.56,1,16,0.010179076340653608,724304597.36,1,,0.0,0.0,0,
Outros,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,18,7.77622068357901e-05,4453414.11,2,,0.0,0.0,0,,0.0,0.0,0,
